ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
26,1966,1966-10-30,8,24.020,WAS,@,PHI,W 27-13,16,56,3.50,1,2,-3,-1.50,0,0,0,,0,0,0,,0,0,,,3,43,14.33,0,1,6,0,0,,0
27,1966,1966-11-06,9,24.027,WAS,@,BAL,L 10-37,9,17,1.89,0,2,8,4.00,0,0,0,,0,0,0,,0,0,,,2,30,15.00,0,0,0,0,0,,0
28,1966,1966-11-13,10,24.034,WAS,,DAL,L 30-31,4,5,1.25,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,0,0,,0
29,1966,1966-11-20,11,24.041,WAS,@,CLE,L 3-14,2,21,10.50,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
30,1966,1966-11-27,12,24.048,WAS,,NYG,W 72-41,10,46,4.60,1,2,4,2.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,6,0,0,,0
31,1966,1966-12-11,13,24.062,WAS,@,DAL,W 34-31,7,7,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
32,1967,1967-09-17,1,24.342,WAS,@,PHI,L 24-35,6,20,3.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
33,1967,1967-09-24,2,24.349,WAS,@,NOR,W 30-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0,0,0,,0
34,1967,1967-10-22,6,25.012,WAS,@,RAM,T 28-28,5,6,1.20,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
35,1969,1969-09-21,1,26.346,NOR,,WAS,L 20-26,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
36,1969,1969-10-05,3,26.360,NOR,@,RAM,L 17-36,2,-6,-3.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
