ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
58,1971,1971-10-24,6,33.207,SFO,@,STL,W 26-14,0,0,,0,0,0,1,6,0
59,1971,1971-10-31,7,33.214,SFO,,NWE,W 27-10,,,,,,,,,
60,1971,1971-11-07,8,33.221,SFO,@,MIN,W 13-9,,,,,,,,,
61,1971,1971-11-14,9,33.228,SFO,,NOR,L 20-26,,,,,,,,,
62,1971,1971-11-21,10,33.235,SFO,@,RAM,L 6-17,,,,,,,,,
63,1971,1971-11-28,11,33.242,SFO,@,NYJ,W 24-21,,,,,,,,,
64,1971,1971-12-06,12,33.250,SFO,,KAN,L 17-26,,,,,,,,,
65,1971,1971-12-12,13,33.256,SFO,,ATL,W 24-3,0,0,,0,0,0,1,0,0
66,1971,1971-12-19,14,33.263,SFO,,DET,W 31-27,,,,,,,,,
67,1972,1972-09-17,1,34.170,SFO,,SDG,W 34-3,0,0,,0,0,0,1,-5,0
68,1972,1972-09-24,2,34.177,SFO,@,BUF,L 20-27,,,,,,,,,
69,1972,1972-10-01,3,34.184,SFO,@,NOR,W 37-2,0,0,,0,0,0,2,8,0
70,1972,1972-10-08,4,34.191,SFO,@,RAM,L 7-31,,,,,,,,,
71,1972,1972-10-15,5,34.198,SFO,,NYG,L 17-23,,,,,,,,,
72,1972,1972-10-22,6,34.205,SFO,,NOR,T 20-20,,,,,,,,,
73,1972,1972-10-29,7,34.212,SFO,@,ATL,W 49-14,0,0,,0,0,0,1,15,0
74,1972,1972-11-05,8,34.219,SFO,@,GNB,L 24-34,,,,,,,,,
75,1972,1972-11-12,9,34.226,SFO,,BAL,W 24-21,,,,,,,,,
76,1972,1972-11-19,10,34.233,SFO,@,CHI,W 34-21,,,,,,,,,
77,1972,1972-11-23,11,34.237,SFO,@,DAL,W 31-10,,,,,,,,,
78,1972,1972-12-04,12,34.248,SFO,,RAM,L 16-26,,,,,,,,,
79,1972,1972-12-10,13,34.254,SFO,,ATL,W 20-0,,,,,,,,,
80,1972,1972-12-16,14,34.260,SFO,,MIN,W 20-17,,,,,,,,,
81,1973,1973-09-16,1,35.169,SFO,@,MIA,L 13-21,,,,,,,,,
82,1973,1973-09-23,2,35.176,SFO,@,DEN,W 36-34,0,0,,0,0,0,2,45,0
83,1973,1973-09-30,3,35.183,SFO,,RAM,L 20-40,,,,,,,,,
84,1973,1973-10-07,4,35.190,SFO,@,ATL,W 13-9,0,0,,0,0,0,1,1,0
85,1973,1973-10-14,5,35.197,SFO,,MIN,L 13-17,,,,,,,,,
86,1973,1973-10-28,7,35.211,SFO,,ATL,L 3-17,,,,,,,,,
87,1973,1973-11-04,8,35.218,SFO,@,DET,L 20-30,0,0,,0,0,0,1,0,0
88,1973,1973-11-11,9,35.225,SFO,@,WAS,L 9-33,,,,,,,,,
89,1973,1973-11-18,10,35.232,SFO,@,RAM,L 13-31,,,,,,,,,
90,1973,1973-11-26,11,35.240,SFO,,GNB,W 20-6,,,,,,,,,
91,1973,1973-12-02,12,35.246,SFO,,PHI,W 38-28,,,,,,,,,
92,1973,1973-12-09,13,35.253,SFO,@,NOR,L 10-16,,,,,,,,,
93,1973,1973-12-15,14,35.259,SFO,,PIT,L 14-37,,,,,,,,,
94,1974,1974-09-15,1,36.168,SFO,@,NOR,W 17-13,,,,,,,,,
95,1974,1974-09-22,2,36.175,SFO,@,ATL,W 16-10,0,0,,0,0,0,1,0,0
96,1974,1974-09-29,3,36.182,SFO,,CIN,L 3-21,,,,,,,,,
97,1974,1974-10-06,4,36.189,SFO,,STL,L 9-34,0,0,,0,0,0,1,13,0
98,1974,1974-10-20,6,36.203,SFO,@,RAM,L 14-37,,,,,,,,,
99,1974,1974-10-27,7,36.210,SFO,,OAK,L 24-35,,,,,,,,,
100,1974,1974-11-04,8,36.218,SFO,,RAM,L 13-15,,,,,,,,,
101,1974,1974-11-10,9,36.224,SFO,@,DAL,L 14-20,,,,,,,,,
102,1974,1974-11-17,10,36.231,SFO,@,CHI,W 34-0,,,,,,,,,
103,1974,1974-11-24,11,36.238,SFO,,ATL,W 27-0,0,0,,0,0,0,1,37,0
104,1974,1974-12-01,12,36.245,SFO,@,CLE,L 0-7,,,,,,,,,
105,1974,1974-12-08,13,36.252,SFO,,GNB,W 7-6,,,,,,,,,
106,1974,1974-12-15,14,36.259,SFO,,NOR,W 35-21,,,,,,,,,
107,1975,1975-09-21,1,37.174,SFO,@,MIN,L 17-27,0,0,,0,0,0,1,0,0
108,1975,1975-09-28,2,37.181,SFO,,RAM,L 14-23,,,,,,,,,
109,1975,1975-10-05,3,37.188,SFO,@,KAN,W 20-3,,,,,,,,,
110,1975,1975-10-12,4,37.195,SFO,,ATL,L 3-17,,,,,,,,,
111,1975,1975-10-19,5,37.202,SFO,,NOR,W 35-21,,,,,,,,,
112,1975,1975-10-26,6,37.209,SFO,@,NWE,L 16-24,,,,,,,,,
113,1975,1975-11-02,7,37.216,SFO,,DET,L 17-28,,,,,,,,,
114,1975,1975-11-09,8,37.223,SFO,@,RAM,W 24-23,0,0,,0,0,0,1,0,0
115,1975,1975-11-16,9,37.230,SFO,,CHI,W 31-3,,,,,,,,,
116,1975,1975-11-23,10,37.237,SFO,@,NOR,W 16-6,,,,,,,,,
117,1975,1975-11-30,11,37.244,SFO,@,PHI,L 17-27,,,,,,,,,
118,1975,1975-12-07,12,37.251,SFO,,HOU,L 13-27,,,,,,,,,
119,1975,1975-12-14,13,37.258,SFO,@,ATL,L 9-31,,,,,,,,,
120,1975,1975-12-21,14,37.265,SFO,,NYG,L 23-26,,,,,,,,,
121,1976,1976-09-12,1,38.165,SFO,@,GNB,W 26-14,,,,,,,,,
122,1976,1976-09-19,2,38.172,SFO,,CHI,L 12-19,,,,,,,,,
123,1976,1976-09-26,3,38.179,SFO,@,SEA,W 37-21,0,0,,0,0,0,1,17,0
124,1976,1976-10-03,4,38.186,SFO,,NYJ,W 17-6,,,,,,,,,
125,1976,1976-10-11,5,38.194,SFO,@,RAM,W 16-0,,,,,,,,,
126,1976,1976-10-17,6,38.200,SFO,,NOR,W 33-3,,,,,,,,,
127,1976,1976-10-23,7,38.206,SFO,,ATL,W 15-0,,,,,,,,,
128,1976,1976-10-31,8,38.214,SFO,@,STL,L 20-23,,,,,,,,,
129,1976,1976-11-07,9,38.221,SFO,,WAS,L 21-24,,,,,,,,,
130,1976,1976-11-14,10,38.228,SFO,@,ATL,L 16-21,,,,,,,,,
131,1976,1976-11-21,11,38.235,SFO,,RAM,L 3-23,,,,,,,,,
132,1976,1976-11-29,12,38.243,SFO,,MIN,W 20-16,,,,,,,,,
133,1976,1976-12-05,13,38.249,SFO,@,SDG,L 7-13,,,,,,,,,
134,1976,1976-12-12,14,38.256,SFO,@,NOR,W 27-7,,,,,,,,,
