ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
34,2011,2011-09-18,2,25.194,NOR,,CHI,W 30-13,,0.0,0,0,5,229,45.80,0
35,2011,2011-09-25,3,25.201,NOR,,HOU,W 40-33,,0.0,0,0,3,148,49.33,0
36,2011,2011-10-02,4,25.208,NOR,@,JAX,W 23-10,,0.0,0,0,1,58,58.00,0
37,2011,2011-10-09,5,25.215,NOR,@,CAR,W 30-27,,0.0,0,0,2,90,45.00,0
38,2011,2011-10-16,6,25.222,NOR,@,TAM,L 20-26,,0.0,0,0,4,220,55.00,0
39,2011,2011-10-23,7,25.229,NOR,,IND,W 62-7,,0.0,0,0,1,53,53.00,0
40,2011,2011-10-30,8,25.236,NOR,@,STL,L 21-31,,0.0,0,0,6,282,47.00,1
41,2011,2011-11-06,9,25.243,NOR,,TAM,W 27-16,,0.0,0,0,2,113,56.50,0
42,2011,2011-11-13,10,25.250,NOR,@,ATL,W 26-23,,0.0,0,0,5,202,40.40,0
43,2011,2011-11-28,11,25.265,NOR,,NYG,W 49-24,,0.0,0,0,2,84,42.00,0
44,2011,2011-12-04,12,25.271,NOR,,DET,W 31-17,,0.0,0,0,4,179,44.75,0
45,2011,2011-12-11,13,25.278,NOR,@,TEN,W 22-17,,0.0,0,0,5,249,49.80,0
46,2011,2011-12-18,14,25.285,NOR,@,MIN,W 42-20,,0.0,0,0,1,51,51.00,0
47,2011,2011-12-26,15,25.293,NOR,,ATL,W 45-16,,0.0,0,0,2,104,52.00,0
48,2011,2012-01-01,16,25.299,NOR,,CAR,W 45-17,,0.0,0,0,1,64,64.00,0
49,2012,2012-09-09,1,26.185,NOR,,WAS,L 32-40,,0.0,0,0,5,278,55.60,0
50,2012,2012-09-16,2,26.192,NOR,@,CAR,L 27-35,,0.0,0,0,3,148,49.33,0
51,2012,2012-09-23,3,26.199,NOR,,KAN,L 24-27,,0.0,0,0,6,335,55.83,0
52,2012,2012-09-30,4,26.206,NOR,@,GNB,L 27-28,,0.0,0,0,3,108,36.00,0
53,2012,2012-10-07,5,26.213,NOR,,SDG,W 31-24,,0.0,0,0,4,207,51.75,0
54,2012,2012-10-21,6,26.227,NOR,@,TAM,W 35-28,,0.0,0,0,4,205,51.25,0
55,2012,2012-10-28,7,26.234,NOR,@,DEN,L 14-34,,0.0,0,0,8,413,51.63,0
56,2012,2012-11-05,8,26.242,NOR,,PHI,W 28-13,,0.0,0,0,3,149,49.67,0
57,2012,2012-11-11,9,26.248,NOR,,ATL,W 31-27,,0.0,0,0,5,250,50.00,0
58,2012,2012-11-18,10,26.255,NOR,@,OAK,W 38-17,,0.0,0,0,4,172,43.00,0
59,2012,2012-11-25,11,26.262,NOR,,SFO,L 21-31,,0.0,0,0,5,252,50.40,0
60,2012,2012-11-29,12,26.266,NOR,@,ATL,L 13-23,,0.0,0,0,4,181,45.25,0
61,2012,2012-12-09,13,26.276,NOR,@,NYG,L 27-52,,0.0,0,0,4,202,50.50,0
62,2012,2012-12-16,14,26.283,NOR,,TAM,W 41-0,,0.0,0,0,5,268,53.60,0
63,2012,2012-12-23,15,26.290,NOR,@,DAL,W 34-31,,0.0,0,0,5,263,52.60,0
64,2012,2012-12-30,16,26.297,NOR,,CAR,L 38-44,,0.0,0,0,6,276,46.00,0
65,2013,2013-09-08,1,27.184,NOR,,ATL,W 23-17,,0.0,0,0,3,148,49.33,0
66,2013,2013-09-15,2,27.191,NOR,@,TAM,W 16-14,,0.0,0,0,4,175,43.75,0
67,2013,2013-09-22,3,27.198,NOR,,ARI,W 31-7,,0.0,1,0,4,198,49.50,0
68,2013,2013-09-30,4,27.206,NOR,,MIA,W 38-17,,0.0,0,0,3,142,47.33,0
69,2013,2013-10-06,5,27.212,NOR,@,CHI,W 26-18,,0.0,0,0,4,195,48.75,0
70,2013,2013-10-13,6,27.219,NOR,@,NWE,L 27-30,,0.0,0,0,6,268,44.67,0
71,2013,2013-10-27,7,27.233,NOR,,BUF,W 35-17,,0.0,0,0,4,187,46.75,0
72,2013,2013-11-03,8,27.240,NOR,@,NYJ,L 20-26,,0.0,0,0,2,82,41.00,0
73,2013,2013-11-10,9,27.247,NOR,,DAL,W 49-17,,0.0,0,0,1,33,33.00,0
74,2013,2013-11-17,10,27.254,NOR,,SFO,W 23-20,,0.0,0,0,3,154,51.33,0
75,2013,2013-11-21,11,27.258,NOR,@,ATL,W 17-13,,0.0,0,0,4,198,49.50,0
76,2013,2013-12-02,12,27.269,NOR,@,SEA,L 7-34,,0.0,0,0,6,294,49.00,0
77,2013,2013-12-08,13,27.275,NOR,,CAR,W 31-13,,0.0,1,0,4,177,44.25,0
78,2013,2013-12-15,14,27.282,NOR,@,STL,L 16-27,,0.0,0,0,2,107,53.50,0
79,2013,2013-12-22,15,27.289,NOR,@,CAR,L 13-17,,0.0,0,0,7,340,48.57,0
80,2013,2013-12-29,16,27.296,NOR,,TAM,W 42-17,,0.0,0,0,4,161,40.25,0
81,2014,2014-09-07,1,28.183,NOR,@,ATL,L 34-37,,0.0,0,0,2,101,50.50,0
82,2014,2014-09-14,2,28.190,NOR,@,CLE,L 24-26,,0.0,0,0,5,206,41.20,0
83,2014,2014-09-21,3,28.197,NOR,,MIN,W 20-9,,0.0,1,0,4,187,46.75,0
84,2014,2014-09-28,4,28.204,NOR,@,DAL,L 17-38,,0.0,0,0,2,83,41.50,0
85,2014,2014-10-05,5,28.211,NOR,,TAM,W 37-31,,0.0,0,0,2,97,48.50,0
86,2014,2014-10-19,6,28.225,NOR,@,DET,L 23-24,,0.0,0,0,4,168,42.00,0
87,2014,2014-10-26,7,28.232,NOR,,GNB,W 44-23,,,,,,,,
88,2014,2014-10-30,8,28.236,NOR,@,CAR,W 28-10,,0.0,0,0,4,187,46.75,0
89,2014,2014-11-09,9,28.246,NOR,,SFO,L 24-27,,0.0,0,0,6,299,49.83,0
90,2014,2014-11-16,10,28.253,NOR,,CIN,L 10-27,,0.0,0,0,3,132,44.00,0
91,2014,2014-11-24,11,28.261,NOR,,BAL,L 27-34,,0.0,0,0,3,146,48.67,0
92,2014,2014-11-30,12,28.267,NOR,@,PIT,W 35-32,,0.0,0,0,6,291,48.50,0
93,2014,2014-12-07,13,28.274,NOR,,CAR,L 10-41,,0.0,0,0,5,220,44.00,0
94,2014,2014-12-15,14,28.282,NOR,@,CHI,W 31-15,,0.0,1,0,5,217,43.40,0
95,2014,2014-12-21,15,28.288,NOR,,ATL,L 14-30,,0.0,0,0,4,200,50.00,0
96,2014,2014-12-28,16,28.295,NOR,@,TAM,W 23-20,,0.0,0,0,3,156,52.00,0
97,2015,2015-09-13,1,29.189,NOR,@,ARI,L 19-31,,0.0,0,0,4,171,42.75,0
98,2015,2015-09-20,2,29.196,NOR,,TAM,L 19-26,,0.0,0,0,4,175,43.75,0
99,2015,2015-09-27,3,29.203,NOR,@,CAR,L 22-27,,0.0,0,0,2,92,46.00,0
100,2015,2015-10-04,4,29.210,NOR,,DAL,W 26-20,,0.0,0,0,3,123,41.00,0
101,2015,2015-10-25,7,29.231,NOR,@,IND,W 27-21,,0.0,0,0,10,487,48.70,0
102,2015,2015-11-01,8,29.238,NOR,,NYG,W 52-49,,0.0,0,0,2,95,47.50,0
103,2015,2015-11-08,9,29.245,NOR,,TEN,L 28-34,,0.0,0,0,4,183,45.75,0
104,2015,2015-11-15,10,29.252,NOR,@,WAS,L 14-47,,0.0,0,0,4,189,47.25,0
105,2015,2015-11-29,11,29.266,NOR,@,HOU,L 6-24,,0.0,0,0,6,281,46.83,0
106,2015,2015-12-06,12,29.273,NOR,,CAR,L 38-41,,0.0,0,0,5,204,40.80,0
107,2015,2015-12-13,13,29.280,NOR,@,TAM,W 24-17,,0.0,0,0,4,175,43.75,0
108,2015,2015-12-21,14,29.288,NOR,,DET,L 27-35,,0.0,0,0,4,172,43.00,0
109,2015,2015-12-27,15,29.294,NOR,,JAX,W 38-27,,0.0,0,0,2,99,49.50,0
110,2015,2016-01-03,16,29.301,NOR,@,ATL,W 20-17,,0.0,0,0,2,105,52.50,0
111,2016,2016-09-11,1,30.187,NOR,,OAK,L 34-35,,0.0,0,0,2,95,47.50,0
112,2016,2016-09-18,2,30.194,NOR,@,NYG,L 13-16,,0.0,0,0,7,383,54.71,0
113,2016,2016-09-26,3,30.202,NOR,,ATL,L 32-45,,0.0,0,0,2,83,41.50,0
114,2016,2016-10-02,4,30.208,NOR,@,SDG,W 35-34,,0.0,0,0,5,256,51.20,0
115,2016,2016-10-16,5,30.222,NOR,,CAR,W 41-38,,0.0,0,0,4,211,52.75,0
116,2016,2016-10-23,6,30.229,NOR,@,KAN,L 21-27,,0.0,0,0,4,193,48.25,0
117,2016,2016-10-30,7,30.236,NOR,,SEA,W 25-20,,0.0,0,0,2,92,46.00,0
118,2016,2016-11-06,8,30.243,NOR,@,SFO,W 41-23,,0.0,0,0,4,210,52.50,0
119,2016,2016-11-13,9,30.250,NOR,,DEN,L 23-25,,0.0,0,0,4,163,40.75,0
120,2016,2016-11-17,10,30.254,NOR,@,CAR,L 20-23,,0.0,0,0,3,141,47.00,0
121,2016,2016-11-27,11,30.264,NOR,,LAR,W 49-21,,0.0,0,0,4,179,44.75,0
122,2016,2016-12-04,12,30.271,NOR,,DET,L 13-28,,0.0,0,0,4,162,40.50,0
123,2016,2016-12-11,13,30.278,NOR,@,TAM,L 11-16,,0.0,0,0,4,205,51.25,0
124,2016,2016-12-18,14,30.285,NOR,@,ARI,W 48-41,,0.0,0,0,1,30,30.00,0
125,2016,2016-12-24,15,30.291,NOR,,TAM,W 31-24,,0.0,0,0,3,124,41.33,0
126,2016,2017-01-01,16,30.299,NOR,@,ATL,L 32-38,,0.0,0,0,4,224,56.00,0
127,2017,2017-09-11,1,31.187,NOR,@,MIN,L 19-29,,0.0,0,0,3,171,57.00,0
128,2017,2017-09-17,2,31.193,NOR,,NWE,L 20-36,,0.0,0,0,3,121,40.33,0
129,2017,2017-09-24,3,31.200,NOR,@,CAR,W 34-13,,0.0,0,0,3,150,50.00,0
130,2017,2017-10-01,4,31.207,NOR,@,MIA,W 20-0,,0.0,0,0,3,141,47.00,0
131,2017,2017-10-15,5,31.221,NOR,,DET,W 52-38,,0.0,0,0,7,344,49.14,0
132,2017,2017-10-22,6,31.228,NOR,@,GNB,W 26-17,,0.0,0,0,2,78,39.00,0
133,2017,2017-10-29,7,31.235,NOR,,CHI,W 20-12,,0.0,0,0,4,204,51.00,0
134,2017,2017-11-05,8,31.242,NOR,,TAM,W 30-10,,0.0,0,0,2,91,45.50,0
135,2017,2017-11-12,9,31.249,NOR,@,BUF,W 47-10,,0.0,0,0,0,0,,0
136,2017,2017-11-19,10,31.256,NOR,,WAS,W 34-31,,0.0,0,0,3,119,39.67,0
137,2017,2017-11-26,11,31.263,NOR,@,LAR,L 20-26,,0.0,0,0,7,371,53.00,0
138,2017,2017-12-03,12,31.270,NOR,,CAR,W 31-21,,0.0,0,0,4,184,46.00,0
139,2017,2017-12-07,13,31.274,NOR,@,ATL,L 17-20,,0.0,0,0,5,208,41.60,0
140,2017,2017-12-17,14,31.284,NOR,,NYJ,W 31-19,,0.0,0,0,4,187,46.75,0
141,2017,2017-12-24,15,31.291,NOR,,ATL,W 23-13,,0.0,0,0,6,268,44.67,0
142,2017,2017-12-31,16,31.298,NOR,@,TAM,L 24-31,,0.0,0,0,4,185,46.25,0
143,2018,2018-09-09,1,32.185,NOR,,TAM,L 40-48,,0.0,0,0,3,156,52.00,0
144,2018,2018-09-16,2,32.192,NOR,,CLE,W 21-18,,0.0,0,0,4,179,44.75,0
145,2018,2018-09-23,3,32.199,NOR,@,ATL,W 43-37,,0.0,0,0,4,202,50.50,0
