ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
49,1977,1977-10-30,7,25.232,PHI,@,WAS,L 17-23,,,,,,,,,,,,,,
50,1977,1977-11-06,8,25.239,PHI,,NOR,W 28-7,,,,,,,,,,,,,,
51,1977,1977-11-13,9,25.246,PHI,,WAS,L 14-17,,,,,,,,,,,,,,
52,1977,1977-11-20,10,25.253,PHI,@,STL,L 16-21,,,,,,,,,,,,,,
53,1977,1977-11-27,11,25.260,PHI,@,NWE,L 6-14,,,,,,,,,,,,,,
54,1977,1977-12-04,12,25.267,PHI,@,DAL,L 14-24,,,,,,,,,,,,,,
55,1977,1977-12-11,13,25.274,PHI,,NYG,W 17-14,,,,,,,,,,,,,,
56,1977,1977-12-18,14,25.281,PHI,,NYJ,W 27-0,,,,,,,,,,,,,,
57,1978,1978-09-03,1,26.175,PHI,,RAM,L 14-16,,,,,,,,,,,,,,
58,1978,1978-09-10,2,26.182,PHI,@,WAS,L 30-35,,,,,,,,,,,,,,
59,1978,1978-09-17,3,26.189,PHI,@,NOR,W 24-17,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0
60,1978,1978-09-24,4,26.196,PHI,,MIA,W 17-3,,,,,,,,,,,,,,
61,1978,1978-10-01,5,26.203,PHI,@,BAL,W 17-14,,,,,,,,,,,,,,
62,1978,1978-10-08,6,26.210,PHI,@,NWE,L 14-24,1,6,6.00,0,0,0,,0,0,0,0.0,0,0,0
63,1978,1978-10-15,7,26.217,PHI,,WAS,W 17-10,,,,,,,,,,,,,,
64,1978,1978-10-22,8,26.224,PHI,@,DAL,L 7-14,,,,,,,,,,,,,,
65,1978,1978-10-29,9,26.231,PHI,,STL,L 10-16,0,0,,0,0,0,,0,0,0,0.0,1,7,0
66,1978,1978-11-05,10,26.238,PHI,,GNB,W 10-3,,,,,,,,,,,,,,
67,1978,1978-11-12,11,26.245,PHI,,NYJ,W 17-9,0,0,,0,0,0,,0,0,0,0.0,1,6,0
68,1978,1978-11-19,12,26.252,PHI,@,NYG,W 19-17,,,,,,,,,,,,,,
69,1978,1978-11-26,13,26.259,PHI,@,STL,W 14-10,,,,,,,,,,,,,,
70,1978,1978-12-03,14,26.266,PHI,@,MIN,L 27-28,,,,,,,,,,,,,,
71,1978,1978-12-10,15,26.273,PHI,,DAL,L 13-31,,,,,,,,,,,,,,
72,1978,1978-12-17,16,26.280,PHI,,NYG,W 20-3,0,0,,0,0,0,,0,1,6,0.0,1,9,1
73,1979,1979-09-02,1,27.174,PHI,,NYG,W 23-17,,,,,,,,,,,,,,
74,1979,1979-09-10,2,27.182,PHI,,ATL,L 10-14,,,,,,,,,,,,,,
75,1979,1979-09-16,3,27.188,PHI,@,NOR,W 26-14,,,,,,,,,,,,,,
76,1979,1979-09-23,4,27.195,PHI,@,NYG,W 17-13,,,,,,,,,,,,,,
77,1979,1979-09-30,5,27.202,PHI,,PIT,W 17-14,,,,,,,,,,,,,,
78,1979,1979-10-07,6,27.209,PHI,,WAS,W 28-17,,,,,,,,,,,,,,
79,1979,1979-10-14,7,27.216,PHI,@,STL,W 24-20,,,,,,,,,,,,,,
80,1979,1979-10-21,8,27.223,PHI,@,WAS,L 7-17,,,,,,,,,,,,,,
81,1979,1979-10-28,9,27.230,PHI,@,CIN,L 13-37,,,,,,,,,,,,,,
82,1979,1979-11-04,10,27.237,PHI,,CLE,L 19-24,,,,,,,,,,,,,,
83,1979,1979-11-12,11,27.245,PHI,@,DAL,W 31-21,,,,,,,,,,,,,,
84,1979,1979-11-18,12,27.251,PHI,,STL,W 16-13,1,15,15.00,0,0,0,,0,0,0,0.0,0,0,0
85,1979,1979-11-25,13,27.258,PHI,@,GNB,W 21-10,,,,,,,,,,,,,,
86,1979,1979-12-02,14,27.265,PHI,,DET,W 44-7,,,,,,,,,,,,,,
87,1979,1979-12-08,15,27.271,PHI,,DAL,L 17-24,,,,,,,,,,,,,,
88,1979,1979-12-16,16,27.279,PHI,@,HOU,W 26-20,,,,,,,,,,,,,,
89,1980,1980-09-07,1,28.179,PHI,,DEN,W 27-6,,,,,,,,,,,,,,
90,1980,1980-09-14,2,28.186,PHI,@,MIN,W 42-7,,,,,,,,,,,,,,
91,1980,1980-09-22,3,28.194,PHI,,NYG,W 35-3,,,,,,,,,,,,,,
92,1980,1980-09-28,4,28.200,PHI,@,STL,L 14-24,,,,,,,,,,,,,,
93,1980,1980-10-05,5,28.207,PHI,,WAS,W 24-14,,,,,,,,,,,,,,
94,1980,1980-10-12,6,28.214,PHI,@,NYG,W 31-16,,,,,,,,,,,,,,
95,1980,1980-10-19,7,28.221,PHI,,DAL,W 17-10,0,0,,0,0,0,,0,0,0,0.0,1,7,0
96,1980,1980-10-26,8,28.228,PHI,,CHI,W 17-14,,,,,,,,,,,,,,
97,1980,1980-11-02,9,28.235,PHI,@,SEA,W 27-20,,,,,,,,,,,,,,
98,1980,1980-11-09,10,28.242,PHI,@,NOR,W 34-21,,,,,,,,,,,,,,
99,1980,1980-11-16,11,28.249,PHI,@,WAS,W 24-0,,,,,,,,,,,,,,
100,1980,1980-11-23,12,28.256,PHI,,OAK,W 10-7,,,,,,,,,,,,,,
101,1980,1980-11-30,13,28.263,PHI,@,SDG,L 21-22,1,11,11.00,0,0,0,,0,0,0,0.0,0,0,0
102,1980,1980-12-07,14,28.270,PHI,,ATL,L 17-20,,,,,,,,,,,,,,
103,1980,1980-12-14,15,28.277,PHI,,STL,W 17-3,1,10,10.00,0,0,0,,0,0,0,0.0,0,0,0
104,1980,1980-12-21,16,28.284,PHI,@,DAL,L 27-35,,,,,,,,,,,,,,
105,1981,1981-09-06,1,29.178,PHI,@,NYG,W 24-10,0,0,,0,,,,,,,,,,
106,1981,1981-09-13,2,29.185,PHI,,NWE,W 13-3,0,0,,0,0,0,,0,0,0,0.0,1,22,0
107,1981,1981-09-17,3,29.189,PHI,@,BUF,W 20-14,1,7,7.00,0,0,0,,0,0,0,0.0,0,0,0
108,1981,1981-09-27,4,29.199,PHI,,WAS,W 36-13,0,0,,0,,,,,,,,,,
109,1981,1981-10-05,5,29.207,PHI,,ATL,W 16-13,0,0,,0,,,,,,,,,,
110,1981,1981-10-11,6,29.213,PHI,@,NOR,W 31-14,0,0,,0,,,,,,,,,,
111,1981,1981-10-18,7,29.220,PHI,@,MIN,L 23-35,0,0,,0,,,,,,,,,,
112,1981,1981-10-25,8,29.227,PHI,,TAM,W 20-10,0,0,,0,,,,,,,,,,
113,1981,1981-11-01,9,29.234,PHI,,DAL,L 14-17,0,0,,0,,,,,,,,,,
114,1981,1981-11-08,10,29.241,PHI,@,STL,W 52-10,0,0,,0,0,0,,0,0,0,0.0,1,6,0
115,1981,1981-11-15,11,29.248,PHI,,BAL,W 38-13,0,0,,0,,,,,,,,,,
116,1981,1981-11-22,12,29.255,PHI,,NYG,L 10-20,0,0,,0,,,,,,,,,,
117,1981,1981-11-30,13,29.263,PHI,@,MIA,L 10-13,0,0,,0,,,,,,,,,,
118,1981,1981-12-06,14,29.269,PHI,@,WAS,L 13-15,0,0,,0,,,,,,,,,,
119,1981,1981-12-13,15,29.276,PHI,@,DAL,L 10-21,0,0,,0,,,,,,,,,,
120,1981,1981-12-20,16,29.283,PHI,,STL,W 38-0,0,0,,0,,,,,,,,,,
121,1982,1982-09-12,1,30.184,PHI,,WAS,L 34-37,1,-1,-1.00,0,0,0,,0,0,0,0.0,0,0,0
122,1982,1982-09-19,2,30.191,PHI,@,CLE,W 24-21,0,0,,0,,,,,,,,,,
123,1982,1982-11-21,3,30.254,PHI,,CIN,L 14-18,0,0,,0,,,,,,,,,,
124,1982,1982-11-28,4,30.261,PHI,@,WAS,L 9-13,0,0,,0,,,,,,,,,,
125,1982,1982-12-05,5,30.268,PHI,,STL,L 20-23,0,0,,0,0,0,,0,0,0,1.0,0,0,0
126,1982,1982-12-11,6,30.274,PHI,@,NYG,L 7-23,0,0,,0,,,,,,,,,,
127,1982,1982-12-19,7,30.282,PHI,,HOU,W 35-14,0,0,,0,0,0,,0,0,0,1.0,0,0,0
128,1982,1982-12-26,8,30.289,PHI,@,DAL,W 24-20,0,0,,0,,,,,,,,,,
129,1982,1983-01-02,9,30.296,PHI,,NYG,L 24-26,0,0,,0,,,,,,,,,,
