ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
183,1994,1994-12-18,15,37.327,RAI,@,SEA,W 17-16,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,8,339,42.38,0
184,1994,1994-12-24,16,37.333,RAI,,KAN,L 9-19,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,205,51.25,0
185,1995,1995-09-03,1,38.221,OAK,,SDG,W 17-7,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,9,382,42.44,0
186,1995,1995-09-10,2,38.228,OAK,@,WAS,W 20-8,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,49,49.00,1
187,1995,1995-09-17,3,38.235,OAK,@,KAN,L 17-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,276,39.43,0
188,1995,1995-09-24,4,38.242,OAK,,PHI,W 48-17,,,,,,,,,,,,,,,,,,,,0,0,,
189,1995,1995-10-01,5,38.249,OAK,@,NYJ,W 47-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,211,42.20,0
190,1995,1995-10-08,6,38.256,OAK,,SEA,W 34-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,155,38.75,0
191,1995,1995-10-16,7,38.264,OAK,@,DEN,L 0-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,8,376,47.00,0
192,1995,1995-10-22,8,38.270,OAK,,IND,W 30-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,127,42.33,0
193,1995,1995-11-05,9,38.284,OAK,@,CIN,W 20-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,232,38.67,0
194,1995,1995-11-12,10,38.291,OAK,@,NYG,W 17-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,93,31.00,0
195,1995,1995-11-19,11,38.298,OAK,,DAL,L 21-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,63,31.50,0
196,1995,1995-11-27,12,38.306,OAK,@,SDG,L 6-12,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,112,37.33,0
197,1995,1995-12-03,13,38.312,OAK,,KAN,L 23-29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,204,40.80,0
198,1995,1995-12-10,14,38.319,OAK,,PIT,L 10-29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,260,43.33,0
199,1995,1995-12-17,15,38.326,OAK,@,SEA,L 10-44,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,8,345,43.13,0
200,1995,1995-12-24,16,38.333,OAK,,DEN,L 28-31,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,204,40.80,0
201,1996,1996-09-01,1,39.220,OAK,@,BAL,L 14-19,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,310,44.29,0
202,1996,1996-09-08,2,39.227,OAK,@,KAN,L 3-19,2,18,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,128,42.67,0
203,1996,1996-09-15,3,39.234,OAK,,JAX,W 17-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,212,42.40,0
204,1996,1996-09-22,4,39.241,OAK,,SDG,L 34-40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,180,45.00,0
205,1996,1996-09-29,5,39.248,OAK,@,CHI,L 17-19,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,244,40.67,0
206,1996,1996-10-06,6,39.255,OAK,@,NYJ,W 34-13,0,0,,0,0,0,,0,0,0,,,,,,1,0,0.00,0,4,147,36.75,0
207,1996,1996-10-13,7,39.262,OAK,,DET,W 37-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,189,37.80,0
208,1996,1996-10-21,8,39.270,OAK,@,SDG,W 23-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,120,30.00,0
209,1996,1996-11-04,9,39.284,OAK,,DEN,L 21-22,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,232,38.67,0
210,1996,1996-11-10,10,39.290,OAK,@,TAM,L 17-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,208,41.60,0
211,1996,1996-11-17,11,39.297,OAK,,MIN,L 13-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,260,37.14,0
212,1996,1996-11-24,12,39.304,OAK,@,SEA,W 27-21,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,34,34.00,0
