ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
52,2000,2000-10-15,6,37.358,BUF,,SDG,W 27-24,,2,3,66.67,30,0,0,99.3,0,0,10.00,10.00,0,0,,0,,,,,,,0,0
53,2000,2000-10-22,7,37.365,BUF,@,MIN,L 27-31,*,28,43,65.12,294,2,0,100.3,1,8,6.84,7.77,1,8,8.00,0,,,,,,,0,0
54,2000,2000-10-29,8,38.006,BUF,,NYJ,W 23-20,*,18,35,51.43,253,0,0,75.1,1,1,7.23,7.23,4,15,3.75,0,,,,,,,0,0
55,2000,2000-11-05,9,38.013,BUF,@,NWE,W 16-13,*,18,37,48.65,179,1,0,71.8,1,5,4.84,5.38,5,23,4.60,0,,,,,,,0,0
56,2000,2000-11-12,10,38.020,BUF,,CHI,W 20-3,*,16,26,61.54,171,0,1,64.7,1,6,6.58,4.85,6,6,1.00,1,,,,,,,1,6
57,2000,2000-11-26,12,38.034,BUF,@,TAM,L 17-31,,4,10,40.00,57,0,0,59.2,0,0,5.70,5.70,2,11,5.50,0,,,,,,,0,0
58,2000,2000-12-03,13,38.041,BUF,,MIA,L 6-33,,2,9,22.22,31,0,1,1.9,1,13,3.44,-1.56,1,17,17.00,0,,,,,,,0,0
59,2000,2000-12-11,14,38.049,BUF,@,IND,L 20-44,,6,12,50.00,82,1,0,100.0,1,5,6.83,8.50,0,0,,0,,,,,,,0,0
60,2000,2000-12-17,15,38.055,BUF,,NWE,L 10-13,,15,25,60.00,193,1,0,97.6,3,26,7.72,8.52,9,50,5.56,0,,,,,,,0,0
61,2000,2000-12-23,16,38.061,BUF,@,SEA,W 42-23,*,20,25,80.00,366,3,0,158.3,0,0,14.64,17.04,8,31,3.88,0,,,,,,,0,0
62,2001,2001-09-09,1,38.321,SDG,,WAS,W 30-3,*,10,18,55.56,129,0,2,38.7,1,7,7.17,2.17,4,0,0.00,0,,,,,,,0,0
63,2001,2001-09-23,2,38.335,SDG,@,DAL,W 32-21,*,23,38,60.53,348,2,0,108.2,1,3,9.16,10.21,6,15,2.50,0,,,,,,,0,0
64,2001,2001-09-30,3,38.342,SDG,,CIN,W 28-14,*,12,19,63.16,133,1,0,101.4,2,21,7.00,8.05,5,3,0.60,0,,,,,,,0,0
65,2001,2001-10-07,4,38.349,SDG,@,CLE,L 16-20,*,17,37,45.95,149,0,0,57.2,1,6,4.03,4.03,3,9,3.00,0,,,,,,,0,0
66,2001,2001-10-14,5,38.356,SDG,@,NWE,L 26-29,*,20,32,62.50,270,1,0,99.7,1,12,8.44,9.06,2,1,0.50,0,,,,,,,0,0
67,2001,2001-10-21,6,38.363,SDG,,DEN,W 27-10,*,21,32,65.63,280,2,1,101.0,3,8,8.75,8.59,4,10,2.50,0,,,,,,,0,0
68,2001,2001-10-28,7,39.005,SDG,,BUF,W 27-24,*,21,33,63.64,254,1,0,97.3,1,11,7.70,8.30,2,12,6.00,1,,,,,,,1,6
69,2001,2001-11-04,8,39.012,SDG,,KAN,L 20-25,*,6,16,37.50,61,0,1,23.2,1,11,3.81,1.00,1,3,3.00,0,,,,,,,0,0
70,2001,2001-11-11,9,39.019,SDG,@,DEN,L 16-26,*,12,31,38.71,165,1,4,27.7,1,18,5.32,0.16,2,5,2.50,0,,,,,,,0,0
71,2001,2001-11-18,10,39.026,SDG,@,OAK,L 24-34,*,12,27,44.44,98,0,1,38.8,0,0,3.63,1.96,4,8,2.00,0,,,,,,,0,0
72,2001,2001-11-25,11,39.033,SDG,,ARI,L 17-20,*,33,44,75.00,308,2,0,108.9,0,0,7.00,7.91,2,9,4.50,0,,,,,,,0,0
73,2001,2001-12-02,12,39.040,SDG,@,SEA,L 10-13,*,19,33,57.58,195,0,2,49.4,1,10,5.91,3.18,2,22,11.00,0,,,,,,,0,0
74,2001,2001-12-09,13,39.047,SDG,@,PHI,L 14-24,*,20,44,45.45,307,2,2,65.2,2,10,6.98,5.84,8,45,5.63,0,,,,,,,0,0
75,2001,2001-12-15,14,39.053,SDG,,OAK,L 6-13,*,19,37,51.35,215,0,3,35.3,4,9,5.81,2.16,4,16,4.00,0,,,,,,,0,0
76,2001,2001-12-23,15,39.061,SDG,@,KAN,L 17-20,*,15,27,55.56,175,2,0,100.1,2,11,6.48,7.96,2,20,10.00,0,,,,,,,0,0
77,2001,2001-12-30,16,39.068,SDG,,SEA,L 22-25,*,34,53,64.15,377,1,2,75.7,4,31,7.11,5.79,2,14,7.00,0,,,,,,,0,0
78,2002,2002-12-15,14,40.053,SDG,@,BUF,L 13-20,,3,11,27.27,64,0,0,51.3,0,0,5.82,5.82,1,6,6.00,0,,,,,,,0,0
79,2003,2003-11-02,8,41.010,SDG,@,CHI,L 7-20,,8,11,72.73,70,0,0,89.2,0,0,6.36,6.36,2,19,9.50,0,,,,,,,0,0
80,2003,2003-11-09,9,41.017,SDG,,MIN,W 42-28,*,21,29,72.41,248,2,0,121.0,2,1,8.55,9.93,6,18,3.00,2,,,,,,,2,12
81,2003,2003-11-16,10,41.024,SDG,@,DEN,L 8-37,*,9,25,36.00,70,1,1,41.2,2,14,2.80,1.80,5,11,2.20,0,,,,,,,0,0
82,2003,2003-11-23,11,41.031,SDG,,CIN,L 27-34,*,15,33,45.45,210,2,0,86.7,2,3,6.36,7.58,2,14,7.00,0,,,,,,,0,0
83,2003,2003-11-30,12,41.038,SDG,,KAN,L 24-28,*,16,34,47.06,213,2,2,62.5,1,2,6.26,4.79,8,53,6.63,0,,,,,,,0,0
84,2003,2003-12-07,13,41.045,SDG,@,DET,W 14-7,*,17,25,68.00,244,2,1,109.4,0,0,9.76,9.56,7,30,4.29,0,,,,,,,0,0
85,2003,2003-12-21,15,41.059,SDG,@,PIT,L 24-40,,5,10,50.00,42,0,0,61.2,1,7,4.20,4.20,3,23,7.67,0,,,,,,,0,0
86,2004,2004-09-19,2,41.332,SDG,,NYJ,L 28-34,,7,16,43.75,77,0,0,58.6,0,0,4.81,4.81,2,14,7.00,1,,,,,,,1,6
87,2004,2005-01-02,16,42.071,SDG,,KAN,W 24-17,*,13,22,59.09,199,1,0,104.2,1,7,9.05,9.95,3,25,8.33,1,,,,,,,1,6
88,2005,2005-09-08,1,42.320,NWE,,OAK,W 30-20,,,,,,,,,,,,,,,,,,,,,,,,
89,2005,2005-09-18,2,42.330,NWE,@,CAR,L 17-27,,,,,,,,,,,,,,,,,,,,,,,,
90,2005,2005-09-25,3,42.337,NWE,@,PIT,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,
91,2005,2005-10-02,4,42.344,NWE,,SDG,L 17-41,,,,,,,,,,,,,,,,,,,,,,,,
92,2005,2005-10-09,5,42.351,NWE,@,ATL,W 31-28,,,,,,,,,,,,,,,,,,,,,,,,
93,2005,2005-10-16,6,42.358,NWE,@,DEN,L 20-28,,,,,,,,,,,,,,,,,,,,,,,,
94,2005,2005-10-30,7,43.007,NWE,,BUF,W 21-16,,,,,,,,,,,,,,,,,,,,,,,,
95,2005,2005-11-07,8,43.015,NWE,,IND,L 21-40,,3,7,42.86,20,0,0,50.3,1,13,2.86,2.86,0,0,,0,,,,,,,0,0
96,2005,2005-11-13,9,43.021,NWE,@,MIA,W 23-16,,,,,,,,,,,,,,,,,,,,,,,,
97,2005,2005-11-20,10,43.028,NWE,,NOR,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,
98,2005,2005-11-27,11,43.035,NWE,@,KAN,L 16-26,,,,,,,,,,,,,,,,,,,,,,,,
99,2005,2005-12-04,12,43.042,NWE,,NYJ,W 16-3,,,,,,,,,,,,,,,,,,,,,,,,
100,2005,2005-12-11,13,43.049,NWE,@,BUF,W 35-7,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,1,2,2.00,0,,,,,,,0,0
101,2005,2005-12-17,14,43.055,NWE,,TAM,W 28-0,,0,0,,0,0,0,,0,,,,2,-2,-1.00,0,,,,,,,0,0
102,2005,2005-12-26,15,43.064,NWE,@,NYJ,W 31-21,,1,1,100.00,2,0,0,79.2,0,0,2.00,2.00,2,-1,-0.50,0,,,,,,,0,0
103,2005,2006-01-01,16,43.070,NWE,,MIA,L 26-28,,0,0,,0,0,0,,0,,,,0,0,,0,1,1,100.0,,,,0,1
