ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt,punt_yds,punt_yds_per_punt,punt_blocked
18,1985,1985-10-27,8,24.334,NYJ,,SEA,W 17-14,*,13,25,52.00,182,2,1,85.7,7,59,7.28,7.08,3,16,5.33,0,,0,0,,0,,,0,0,,0
19,1985,1985-11-03,9,24.341,NYJ,@,IND,W 35-17,*,16,25,64.00,164,3,0,122.3,2,16,6.56,8.96,3,1,0.33,0,,0,0,,0,,,0,0,,0
20,1985,1985-11-10,10,24.348,NYJ,@,MIA,L 17-21,*,26,43,60.47,393,2,0,106.1,5,22,9.14,10.07,0,0,,0,,0,0,,0,,,0,0,,0
21,1985,1985-11-17,11,24.355,NYJ,,TAM,W 62-28,*,23,30,76.67,367,5,1,142.6,1,7,12.23,14.07,0,0,,0,,0,0,,0,,,0,0,,0
22,1985,1985-11-24,12,24.362,NYJ,,NWE,W 16-13,*,20,33,60.61,311,1,0,102.0,6,20,9.42,10.03,4,-4,-1.00,0,,0,0,,0,,,0,0,,0
23,1985,1985-11-28,13,25.001,NYJ,@,DET,L 20-31,*,23,35,65.71,281,2,0,109.3,7,42,8.03,9.17,0,0,,0,,0,0,,0,,,0,0,,0
24,1985,1985-12-08,14,25.011,NYJ,@,BUF,W 27-7,*,25,40,62.50,370,3,1,107.3,1,3,9.25,9.63,4,4,1.00,0,,0,0,,0,,,0,0,,0
25,1985,1985-12-14,15,25.017,NYJ,,CHI,L 6-19,*,12,26,46.15,122,0,0,60.1,4,33,4.69,4.69,0,0,,0,,0,0,,0,,,0,0,,0
26,1985,1985-12-22,16,25.025,NYJ,,CLE,W 37-10,*,21,34,61.76,251,1,1,81.9,3,25,7.38,6.65,1,0,0.00,0,,0,0,,0,,,0,0,,0
27,1986,1986-09-07,1,25.284,NYJ,@,BUF,W 28-24,*,18,25,72.00,318,2,0,140.8,3,31,12.72,14.32,1,0,0.00,0,,0,0,,0,,,0,0,,0
28,1986,1986-09-11,2,25.288,NYJ,,NWE,L 6-20,*,16,30,53.33,180,0,2,43.8,4,29,6.00,3.00,1,3,3.00,0,,0,0,,0,,,0,0,,0
29,1986,1986-09-21,3,25.298,NYJ,,MIA,W 51-45,*,29,43,67.44,479,4,1,126.0,3,30,11.14,11.95,1,8,8.00,0,,0,0,,0,,,0,0,,0
30,1986,1986-09-28,4,25.305,NYJ,@,IND,W 26-7,*,19,32,59.38,184,1,2,59.9,2,18,5.75,3.56,2,4,2.00,0,,0,0,,0,,,0,0,,0
31,1986,1986-10-05,5,25.312,NYJ,,BUF,W 14-13,*,29,39,74.36,288,2,1,101.2,2,16,7.38,7.26,1,0,0.00,0,,0,0,,0,,,0,0,,0
32,1986,1986-10-20,7,25.327,NYJ,,DEN,W 22-10,,5,12,41.67,52,1,0,82.6,2,28,4.33,6.00,0,0,,0,,0,0,,0,,,0,0,,0
33,1986,1986-10-26,8,25.333,NYJ,,NOR,W 28-23,*,20,32,62.50,258,3,0,119.0,4,32,8.06,9.94,5,-1,-0.20,0,,0,0,,0,,,0,0,,0
34,1986,1986-11-02,9,25.340,NYJ,@,SEA,W 38-7,*,26,32,81.25,431,4,0,158.3,2,12,13.47,15.97,1,5,5.00,0,,0,0,,0,,,0,0,,0
35,1986,1986-11-09,10,25.347,NYJ,@,ATL,W 28-14,*,26,33,78.79,322,3,0,137.6,0,0,9.76,11.58,0,0,,0,,0,0,,0,,,0,0,,0
36,1986,1986-11-16,11,25.354,NYJ,,IND,W 31-16,*,20,35,57.14,237,3,2,82.7,2,19,6.77,5.91,3,16,5.33,0,,0,0,,0,,,0,0,,0
37,1986,1986-11-24,12,25.362,NYJ,@,MIA,L 3-45,*,11,21,52.38,168,0,1,59.2,2,18,8.00,5.86,0,0,,0,,0,0,,0,,,0,0,,0
38,1986,1986-11-30,13,26.003,NYJ,,RAM,L 3-17,*,28,47,59.57,272,0,2,58.1,1,11,5.79,3.87,0,0,,0,,0,0,,0,,,0,0,,0
39,1986,1986-12-07,14,26.010,NYJ,@,SFO,L 10-24,*,20,44,45.45,198,1,3,37.9,4,37,4.50,1.89,0,0,,0,,0,0,,0,,,0,0,,0
40,1986,1986-12-13,15,26.016,NYJ,,PIT,L 24-45,*,20,30,66.67,197,1,3,56.5,5,39,6.57,2.73,0,0,,0,,0,0,,0,,,0,0,,0
41,1986,1986-12-21,16,26.024,NYJ,@,CIN,L 21-52,*,13,27,48.15,106,0,3,19.0,4,33,3.93,-1.07,2,11,5.50,0,,0,0,,0,,,0,0,,0
42,1987,1987-09-13,1,26.290,NYJ,@,BUF,W 31-28,*,24,35,68.57,276,2,1,99.2,4,15,7.89,7.74,4,7,1.75,0,,0,0,,0,,,0,0,,0
43,1987,1987-09-21,2,26.298,NYJ,,NWE,W 43-24,*,19,26,73.08,313,1,0,126.0,5,38,12.04,12.81,1,0,0.00,0,,0,0,,0,,,0,0,,0
44,1987,1987-10-25,6,26.332,NYJ,@,WAS,L 16-17,*,18,27,66.67,174,1,1,81.4,7,48,6.44,5.52,1,7,7.00,0,,0,0,,0,,,0,0,,0
45,1987,1987-11-01,7,26.339,NYJ,,IND,L 14-19,*,15,29,51.72,174,0,1,55.8,7,61,6.00,4.45,2,14,7.00,0,,0,0,,0,,,0,0,,0
46,1987,1987-11-09,8,26.347,NYJ,,SEA,W 30-14,*,23,30,76.67,226,1,0,108.5,2,16,7.53,8.20,5,22,4.40,0,,0,0,,0,,,0,0,,0
47,1987,1987-11-15,9,26.353,NYJ,@,KAN,W 16-9,*,14,22,63.64,132,1,0,95.3,4,30,6.00,6.91,3,-2,-0.67,0,,0,0,,0,,,0,0,,0
48,1987,1987-11-22,10,26.360,NYJ,,BUF,L 14-17,*,18,40,45.00,225,2,1,69.3,5,33,5.63,5.50,4,8,2.00,0,,0,0,,0,,,0,0,,0
49,1987,1987-11-29,11,27.002,NYJ,,CIN,W 27-20,*,19,33,57.58,224,1,2,63.2,2,19,6.79,4.67,6,3,0.50,0,,0,0,,0,,,0,0,,0
50,1987,1987-12-07,12,27.010,NYJ,@,MIA,L 28-37,*,18,25,72.00,237,1,1,98.2,4,21,9.48,8.48,0,0,,0,,0,0,,0,,,0,0,,0
51,1987,1987-12-13,13,27.016,NYJ,@,NWE,L 20-42,*,22,43,51.16,229,1,1,65.0,4,32,5.33,4.74,0,0,,0,,0,0,,0,,,0,0,,0
52,1987,1987-12-20,14,27.023,NYJ,,PHI,L 27-38,*,25,49,51.02,301,2,0,83.8,3,25,6.14,6.96,2,0,0.00,0,,0,0,,0,,,0,0,,0
53,1987,1987-12-27,15,27.030,NYJ,@,NYG,L 7-20,*,19,34,55.88,185,0,0,71.3,3,26,5.44,5.44,2,2,1.00,0,,0,0,,0,,,0,0,,0
54,1988,1988-09-04,1,27.282,NYJ,@,NWE,L 3-28,*,15,29,51.72,134,0,0,64.4,5,42,4.62,4.62,3,9,3.00,0,,0,0,,0,,,0,0,,0
55,1988,1988-09-11,2,27.289,NYJ,@,CLE,W 23-3,*,19,30,63.33,256,0,0,90.4,2,8,8.53,8.53,2,3,1.50,0,,0,0,,0,,,0,0,,0
56,1988,1988-09-18,3,27.296,NYJ,,HOU,W 45-3,*,17,26,65.38,260,3,0,136.7,1,10,10.00,12.31,1,-2,-2.00,0,,0,0,,0,,,0,0,,0
57,1988,1988-09-25,4,27.303,NYJ,@,DET,W 17-10,*,27,38,71.05,253,2,1,95.6,4,23,6.66,6.53,3,14,4.67,0,,0,0,,0,,,0,0,,0
58,1988,1988-10-02,5,27.310,NYJ,,KAN,T 17-17,*,27,48,56.25,288,0,1,65.3,3,18,6.00,5.06,1,0,0.00,0,,0,0,,0,,,0,0,,0
59,1988,1988-10-09,6,27.317,NYJ,@,CIN,L 19-36,*,18,38,47.37,151,1,0,66.9,4,34,3.97,4.50,0,0,,0,,0,0,,0,,,0,0,,0
60,1988,1988-10-17,7,27.325,NYJ,,BUF,L 14-37,*,18,30,60.00,191,0,1,64.7,5,37,6.37,4.87,0,0,,0,,0,0,,0,,,0,0,,0
61,1988,1988-10-23,8,27.331,NYJ,@,MIA,W 44-30,*,18,37,48.65,174,3,1,78.0,0,0,4.70,5.11,0,0,,0,,0,0,,0,,,0,0,,0
62,1988,1988-10-30,9,27.338,NYJ,,PIT,W 24-20,*,14,33,42.42,132,1,0,64.2,3,20,4.00,4.61,4,-6,-1.50,0,,0,0,,0,,,0,0,,0
63,1988,1988-11-06,10,27.345,NYJ,@,IND,L 14-38,*,20,31,64.52,173,0,2,52.2,3,21,5.58,2.68,1,0,0.00,0,,0,0,,0,,,0,0,,0
64,1988,1988-11-13,11,27.352,NYJ,,NWE,L 13-14,*,11,30,36.67,134,0,1,37.4,3,25,4.47,2.97,1,0,0.00,0,,0,0,,0,,,0,0,,0
65,1988,1988-11-27,13,28.000,NYJ,,MIA,W 38-34,,6,9,66.67,92,2,0,139.8,0,0,10.22,14.67,3,1,0.33,0,,0,0,,0,,,0,0,,0
66,1988,1988-12-10,15,28.013,NYJ,,IND,W 34-16,,10,19,52.63,115,1,0,88.7,2,13,6.05,7.11,0,0,,0,,0,0,,0,,,0,0,,0
67,1988,1988-12-18,16,28.021,NYJ,,NYG,W 27-21,*,16,26,61.54,214,2,0,113.3,2,16,8.23,9.77,2,6,3.00,0,,0,0,,0,,,0,0,,0
68,1989,1989-09-10,1,28.287,NYJ,,NWE,L 24-27,*,18,31,58.06,261,2,1,93.6,1,6,8.42,8.26,2,6,3.00,0,,0,0,,0,,,0,0,,0
69,1989,1989-09-17,2,28.294,NYJ,@,CLE,L 24-38,*,24,43,55.81,270,1,4,43.7,3,24,6.28,2.56,0,0,,0,,0,0,,0,,,0,0,,0
70,1989,1989-09-24,3,28.301,NYJ,@,MIA,W 40-33,*,27,37,72.97,329,3,1,115.7,4,20,8.89,9.30,0,0,,0,,0,0,,0,,,0,0,,0
71,1989,1989-10-01,4,28.308,NYJ,,IND,L 10-17,*,20,31,64.52,222,0,1,72.2,5,40,7.16,5.71,0,0,,0,,0,0,,0,,,0,0,,0
72,1989,1989-10-09,5,28.316,NYJ,,RAI,L 7-14,*,24,48,50.00,338,0,2,55.7,3,36,7.04,5.17,0,0,,0,,0,0,,0,,,0,0,,0
73,1989,1989-10-15,6,28.322,NYJ,@,NOR,L 14-29,,14,20,70.00,157,0,0,93.1,3,25,7.85,7.85,0,0,,0,,0,0,,0,,,0,0,,0
74,1989,1989-10-22,7,28.329,NYJ,@,BUF,L 3-34,*,11,29,37.93,140,0,1,39.4,5,38,4.83,3.28,0,0,,0,,0,0,,0,,,0,0,,0
75,1989,1989-10-29,8,28.336,NYJ,,SFO,L 10-23,*,25,36,69.44,203,0,0,83.4,9,82,5.64,5.64,2,4,2.00,0,,0,0,,0,,,0,0,,0
76,1989,1989-11-05,9,28.343,NYJ,@,NWE,W 27-26,*,22,29,75.86,386,2,0,140.4,2,12,13.31,14.69,2,4,2.00,0,,0,0,,0,,,0,0,,0
77,1989,1989-11-12,10,28.350,NYJ,,MIA,L 23-31,*,22,35,62.86,289,1,3,62.7,2,15,8.26,4.97,2,4,2.00,0,,0,0,,0,,,0,0,,0
78,1989,1989-11-19,11,28.357,NYJ,@,IND,L 10-27,*,19,33,57.58,215,0,2,52.0,4,24,6.52,3.79,0,0,,0,,0,0,,0,,,0,0,,0
79,1989,1989-11-26,12,28.364,NYJ,,ATL,W 27-7,*,17,29,58.62,117,1,0,79.2,1,3,4.03,4.72,0,0,,0,,0,0,,0,,,0,0,,0
80,1989,1989-12-03,13,29.006,NYJ,@,SDG,W 20-17,*,9,20,45.00,81,1,1,52.3,4,38,4.05,2.80,0,0,,0,,0,0,,0,,,0,0,,0
81,1989,1989-12-10,14,29.013,NYJ,,PIT,L 0-13,,26,38,68.42,226,0,2,62.0,1,8,5.95,3.58,1,0,0.00,0,,0,0,,0,,,0,0,,0
82,1989,1989-12-17,15,29.020,NYJ,@,RAM,L 14-38,,10,18,55.56,112,1,0,92.8,3,20,6.22,7.33,0,0,,0,,0,0,,0,,,0,0,,0
83,1990,1990-09-09,1,29.286,NYJ,@,CIN,L 20-25,*,27,49,55.10,300,2,1,78.6,4,30,6.12,6.02,1,7,7.00,0,,0,0,,0,,,0,0,,0
84,1990,1990-09-16,2,29.293,NYJ,,CLE,W 24-21,*,13,21,61.90,218,0,0,96.9,3,26,10.38,10.38,2,6,3.00,0,,0,0,,0,,,0,0,,0
85,1990,1990-09-24,3,29.301,NYJ,,BUF,L 7-30,*,15,30,50.00,153,0,0,65.0,3,28,5.10,5.10,3,12,4.00,0,,0,0,,0,,,0,0,,0
86,1990,1990-09-30,4,29.307,NYJ,@,NWE,W 37-13,*,19,29,65.52,282,1,1,94.3,1,7,9.72,8.86,1,2,2.00,0,,0,0,,0,,,0,0,,0
87,1990,1990-10-07,5,29.314,NYJ,@,MIA,L 16-20,*,20,33,60.61,256,1,0,95.0,4,28,7.76,8.36,2,2,1.00,0,,0,0,,0,,,0,0,,0
88,1990,1990-10-14,6,29.321,NYJ,,SDG,L 3-39,*,4,11,36.36,56,0,0,53.6,3,22,5.09,5.09,0,0,,0,,0,0,,0,,,0,0,,0
89,1990,1990-10-21,7,29.328,NYJ,@,BUF,L 27-30,*,14,28,50.00,210,2,1,83.9,3,18,7.50,7.32,1,2,2.00,0,,0,0,,0,,,0,0,,0
90,1990,1990-10-28,8,29.335,NYJ,@,HOU,W 17-12,*,11,23,47.83,142,1,1,64.0,0,0,6.17,5.09,1,6,6.00,0,,0,0,,0,,,0,0,,0
91,1990,1990-11-04,9,29.342,NYJ,,DAL,W 24-9,*,8,23,34.78,87,0,0,46.8,2,16,3.78,3.78,2,8,4.00,0,,0,0,,0,,,0,0,,0
92,1990,1990-11-11,10,29.349,NYJ,,MIA,L 3-17,*,12,25,48.00,106,0,2,26.4,5,40,4.24,0.64,2,5,2.50,0,,0,0,,0,,,0,0,,0
93,1990,1990-11-18,11,29.356,NYJ,@,IND,L 14-17,*,23,35,65.71,272,0,0,89.2,1,6,7.77,7.77,1,0,0.00,0,,0,0,,0,,,0,0,,0
94,1990,1990-11-25,12,29.363,NYJ,,PIT,L 7-24,*,9,17,52.94,117,1,2,54.9,1,14,6.88,2.76,1,3,3.00,0,,0,0,,0,,,1,23,23.00,0
95,1990,1990-12-02,13,30.005,NYJ,@,SDG,L 17-38,*,19,37,51.35,217,2,2,64.8,2,10,5.86,4.51,0,0,,0,,0,0,,0,,,0,0,,0
96,1990,1990-12-16,14,30.019,NYJ,,IND,L 21-29,*,10,19,52.63,127,1,0,91.3,2,17,6.68,7.74,2,15,7.50,0,,0,0,,0,,,0,0,,0
97,1990,1990-12-23,15,30.026,NYJ,,NWE,W 42-7,*,11,12,91.67,210,2,0,158.3,0,0,17.50,20.83,0,0,,0,,0,0,,0,,,0,0,,0
98,1990,1990-12-30,16,30.033,NYJ,@,TAM,W 16-14,*,11,19,57.89,102,0,0,72.7,0,0,5.37,5.37,2,4,2.00,0,,0,0,,0,,,0,0,,0
99,1991,1991-09-01,1,30.278,NYJ,,TAM,W 16-13,*,16,25,64.00,176,0,0,84.7,2,24,7.04,7.04,2,-4,-2.00,0,,0,0,,0,,,0,0,,0
100,1991,1991-09-08,2,30.285,NYJ,@,SEA,L 13-20,*,13,29,44.83,128,0,2,29.1,3,27,4.41,1.31,1,0,0.00,0,,0,0,,0,,,0,0,,0
101,1991,1991-09-15,3,30.292,NYJ,,BUF,L 20-23,*,21,35,60.00,237,1,1,77.9,3,15,6.77,6.06,0,0,,0,,0,0,,0,,,0,0,,0
102,1991,1991-09-23,4,30.300,NYJ,@,CHI,L 13-19,*,16,30,53.33,184,0,0,72.1,1,7,6.13,6.13,1,0,0.00,0,,0,0,,0,,,0,0,,0
103,1991,1991-09-29,5,30.306,NYJ,,MIA,W 41-23,*,18,24,75.00,221,1,0,116.8,0,0,9.21,10.04,2,5,2.50,0,,0,0,,0,,,0,0,,0
104,1991,1991-10-06,6,30.313,NYJ,@,CLE,W 17-14,*,19,23,82.61,195,0,0,102.0,0,0,8.48,8.48,3,3,1.00,0,,0,0,,0,,,0,0,,0
105,1991,1991-10-13,7,30.320,NYJ,,HOU,L 20-23,*,24,42,57.14,269,1,1,74.4,4,33,6.40,5.81,0,0,,0,,0,0,,0,,,0,0,,0
106,1991,1991-10-20,8,30.327,NYJ,@,IND,W 17-6,*,14,19,73.68,205,1,1,104.1,2,12,10.79,9.47,4,19,4.75,0,,0,0,,0,,,0,0,,0
107,1991,1991-11-03,9,30.341,NYJ,,GNB,W 19-16,*,16,29,55.17,209,1,0,89.6,3,37,7.21,7.90,1,-1,-1.00,0,,0,0,,0,,,0,0,,0
108,1991,1991-11-10,10,30.348,NYJ,,IND,L 27-28,*,23,36,63.89,329,1,0,102.7,1,11,9.14,9.69,0,0,,0,,0,0,,0,,,0,0,,0
109,1991,1991-11-17,11,30.355,NYJ,@,NWE,W 28-21,*,26,41,63.41,309,3,0,110.7,0,0,7.54,9.00,1,2,2.00,0,,0,0,,0,,,0,0,,0
110,1991,1991-11-24,12,30.362,NYJ,,SDG,W 24-3,*,16,30,53.33,175,1,1,68.1,1,9,5.83,5.00,1,3,3.00,0,,0,0,,0,,,0,0,,0
111,1991,1991-12-01,13,31.004,NYJ,@,BUF,L 13-24,*,14,28,50.00,171,0,2,39.4,3,20,6.11,2.89,1,-1,-1.00,0,,0,0,,0,,,0,0,,0
112,1991,1991-12-08,14,31.011,NYJ,@,DET,L 20-34,*,19,36,52.78,173,0,2,42.9,5,46,4.81,2.31,3,22,7.33,0,,1,27,27.00,0,,,0,0,,0
113,1991,1991-12-15,15,31.018,NYJ,,NWE,L 3-6,*,19,38,50.00,161,0,0,61.4,1,2,4.24,4.24,2,7,3.50,0,,0,0,,0,,,0,0,,0
114,1991,1991-12-22,16,31.025,NYJ,@,MIA,W 23-20,*,13,24,54.17,158,0,1,57.3,4,30,6.58,4.71,1,5,5.00,0,,0,0,,0,,,0,0,,0
115,1992,1992-09-13,2,31.291,NYJ,@,PIT,L 10-27,,1,4,25.00,17,0,3,5.2,0,0,4.25,-29.50,0,0,,0,,0,0,,0,0.0%,,0,0,,0
116,1992,1992-09-20,3,31.298,NYJ,,SFO,L 14-31,*,23,43,53.49,263,2,1,78.0,4,18,6.12,6.00,1,4,4.00,0,,0,0,,0,0.0%,,0,0,,0
117,1992,1992-10-04,5,31.312,NYJ,,NWE,W 30-21,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,,,
118,1992,1992-10-11,6,31.319,NYJ,@,IND,L 3-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,,,
119,1992,1992-10-26,7,31.334,NYJ,,BUF,L 20-24,,3,5,60.00,37,0,0,82.9,0,0,7.40,7.40,0,0,,0,,0,0,,0,0.0%,,0,0,,0
120,1992,1992-11-01,8,31.340,NYJ,,MIA,W 26-14,*,21,29,72.41,240,3,1,117.0,5,37,8.28,8.79,6,5,0.83,0,,0,0,,0,0.0%,,0,0,,0
121,1992,1992-11-08,9,31.347,NYJ,@,DEN,L 16-27,,2,5,40.00,34,0,1,24.2,0,0,6.80,-2.20,0,0,,0,,0,0,,0,0.0%,,0,0,,0
122,1992,1992-11-15,10,31.354,NYJ,,CIN,W 17-14,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,,0,0,,0,0.0%,,0,0,,0
123,1992,1992-11-22,11,31.361,NYJ,@,NWE,L 3-24,,4,9,44.44,38,0,0,56.7,1,6,4.22,4.22,0,0,,0,,0,0,,0,0.0%,,0,0,,0
124,1992,1992-11-29,12,32.002,NYJ,,KAN,L 7-23,*,1,3,33.33,13,0,0,47.9,0,0,4.33,4.33,0,0,,0,,0,0,,0,0.0%,,0,0,,0
125,1993,1993-10-17,6,32.324,PHI,@,NYG,L 10-21,,19,32,59.38,210,1,1,76.3,2,10,6.56,5.78,1,1,1.00,0,,0,0,,0,0.0%,,0,0,,0
126,1993,1993-10-31,7,32.338,PHI,,DAL,L 10-23,*,11,24,45.83,107,1,0,72.7,2,18,4.46,5.29,1,3,3.00,0,,0,0,,0,0.0%,,0,0,,0
127,1993,1993-11-07,8,32.345,PHI,@,PHO,L 3-16,*,14,32,43.75,166,0,1,47.1,4,30,5.19,3.78,0,0,,0,,0,0,,0,0.0%,,0,0,,0
128,1993,1993-11-14,9,32.352,PHI,,MIA,L 14-19,*,23,37,62.16,189,2,0,93.2,4,32,5.11,6.19,0,0,,0,,0,0,,0,0.0%,,0,0,,0
129,1993,1993-11-21,10,32.359,PHI,,NYG,L 3-7,*,4,12,33.33,36,0,1,7.6,3,26,3.00,-0.75,2,13,6.50,0,,0,0,,0,0.0%,,0,0,,0
