ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
19,1962,1962-09-30,3,38.248,CLE,@,PHI,L 7-35,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,2,0.0,0,1
20,1962,1962-10-07,4,38.255,CLE,,DAL,W 19-10,,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,50.0,2,3,66.7,0,7
21,1962,1962-10-14,5,38.262,CLE,,BAL,L 14-36,,0,0,,0,0,,,,,,,0,0,,0,2,2,100.0,,,,0,2
22,1962,1962-10-21,6,38.269,CLE,@,STL,W 34-7,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,3,66.7,0,10
23,1962,1962-10-28,7,38.276,CLE,@,PIT,W 41-14,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,2,4,50.0,0,11
24,1962,1962-11-04,8,38.283,CLE,,PHI,T 14-14,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,3,0.0,0,2
25,1962,1962-11-11,9,38.290,CLE,@,WAS,L 9-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,1,0.0,1,2,50.0,0,3
26,1962,1962-11-18,10,38.297,CLE,,STL,W 38-14,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,1,100.0,0,8
27,1962,1962-11-25,11,38.304,CLE,,PIT,W 35-14,,0,0,,0,0,,,,,,,0,0,,0,5,5,100.0,,,,0,5
28,1962,1962-12-02,12,38.311,CLE,@,DAL,L 21-45,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,2,0.0,0,3
29,1962,1962-12-09,13,38.318,CLE,@,NYG,L 13-17,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,3,66.7,0,7
30,1962,1962-12-15,14,38.324,CLE,@,SFO,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1
31,1963,1963-09-15,1,39.233,CLE,,WAS,W 37-14,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,3,5,60.0,0,13
32,1963,1963-09-22,2,39.240,CLE,@,DAL,W 41-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,2,3,66.7,0,11
33,1963,1963-09-29,3,39.247,CLE,,RAM,W 20-6,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,2,3,66.7,,,,0,2
34,1963,1963-10-05,4,39.253,CLE,,PIT,W 35-23,,0,0,,0,0,,,,,,,0,0,,0,5,5,100.0,,,,0,5
35,1963,1963-10-13,5,39.261,CLE,@,NYG,W 35-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,1,0.0,0,5
36,1963,1963-10-20,6,39.268,CLE,,PHI,W 37-7,,0,0,,0,0,0,,0,0,,,0,0,,0,4,5,80.0,1,1,100.0,0,7
37,1963,1963-10-27,7,39.275,CLE,,NYG,L 6-33,,0,0,,0,0,,,,,,,0,0,,0,,1,0.0,,,,0,0
38,1963,1963-11-03,8,39.282,CLE,@,PHI,W 23-17,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,3,5,60.0,0,11
39,1963,1963-11-10,9,39.289,CLE,@,PIT,L 7-9,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1
40,1963,1963-11-17,10,39.296,CLE,,STL,L 14-20,,0,0,,0,0,,,,,,,0,0,,0,2,2,100.0,,,,0,2
41,1963,1963-11-24,11,39.303,CLE,,DAL,W 27-17,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9
42,1963,1963-12-01,12,39.310,CLE,@,STL,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6
43,1963,1963-12-08,13,39.317,CLE,@,DET,L 10-38,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,1,100.0,0,4
44,1963,1963-12-15,14,39.324,CLE,@,WAS,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9
45,1964,1964-09-13,1,40.232,CLE,@,WAS,W 27-13,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3
46,1964,1964-09-20,2,40.239,CLE,,STL,T 33-33,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,4,4,100.0,0,15
47,1964,1964-09-27,3,40.246,CLE,@,PHI,W 28-20,,0,0,,0,0,,,,,,,0,0,,0,4,4,100.0,,,,0,4
48,1964,1964-10-04,4,40.253,CLE,,DAL,W 27-6,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9
49,1964,1964-10-10,5,40.259,CLE,,PIT,L 7-23,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,2,0.0,0,1
50,1964,1964-10-18,6,40.267,CLE,@,DAL,W 20-16,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,3,66.7,0,8
51,1964,1964-10-25,7,40.274,CLE,,NYG,W 42-20,,0,0,,0,0,,,,,,,0,0,,0,6,6,100.0,,,,0,6
52,1964,1964-11-01,8,40.281,CLE,@,PIT,W 30-17,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,3,3,100.0,0,12
53,1964,1964-11-08,9,40.288,CLE,,WAS,W 34-24,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,3,66.7,0,10
54,1964,1964-11-15,10,40.295,CLE,,DET,W 37-21,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,3,3,100.0,0,13
55,1964,1964-11-22,11,40.302,CLE,@,GNB,L 21-28,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3
56,1964,1964-11-29,12,40.309,CLE,,PHI,W 38-24,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,2,50.0,0,8
57,1964,1964-12-06,13,40.316,CLE,@,STL,L 19-28,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,4,5,80.0,0,13
58,1964,1964-12-12,14,40.322,CLE,@,NYG,W 52-20,,0,0,,0,0,0,,0,0,,,0,0,,0,7,7,100.0,1,4,25.0,0,10
59,1965,1965-09-19,1,41.237,CLE,@,WAS,W 17-7,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5
60,1965,1965-09-26,2,41.244,CLE,,STL,L 13-49,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7
61,1965,1965-10-03,3,41.251,CLE,@,PHI,W 35-17,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,1,0.0,0,5
62,1965,1965-10-09,4,41.257,CLE,,PIT,W 24-19,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,3,33.3,0,6
63,1965,1965-10-17,5,41.265,CLE,,DAL,W 23-17,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,3,5,60.0,0,11
64,1965,1965-10-24,6,41.272,CLE,@,NYG,W 38-14,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,1,100.0,0,8
65,1965,1965-10-31,7,41.279,CLE,,MIN,L 17-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,2,100.0,1,1,100.0,0,5
66,1965,1965-11-07,8,41.286,CLE,,PHI,W 38-34,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,2,50.0,0,8
67,1965,1965-11-14,9,41.293,CLE,,NYG,W 34-21,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,2,100.0,0,10
68,1965,1965-11-21,10,41.300,CLE,@,DAL,W 24-17,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6
69,1965,1965-11-28,11,41.307,CLE,@,PIT,W 42-21,,0,0,,0,0,,,,,,,0,0,,0,6,6,100.0,,,,0,6
70,1965,1965-12-05,12,41.314,CLE,,WAS,W 24-16,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,1,100.0,0,6
71,1965,1965-12-12,13,41.321,CLE,@,RAM,L 7-42,,0,0,,0,0,,,,,,,0,0,,0,1,1,100.0,,,,0,1
72,1965,1965-12-19,14,41.328,CLE,@,STL,W 27-24,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,4,50.0,0,9
73,1966,1966-09-11,1,42.229,CLE,@,WAS,W 38-14,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,1,100.0,0,8
74,1966,1966-09-18,2,42.236,CLE,,GNB,L 20-21,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,2,100.0,0,8
75,1966,1966-09-25,3,42.243,CLE,,STL,L 28-34,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,3,0.0,0,4
76,1966,1966-10-02,4,42.250,CLE,@,NYG,W 28-7,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,2,0.0,0,4
77,1966,1966-10-08,5,42.256,CLE,,PIT,W 41-10,,1,1,100.00,-7,0,0,79.2,0,0,-7.00,-7.00,0,0,,0,5,5,100.0,,1,0.0,0,5
78,1966,1966-10-23,6,42.271,CLE,,DAL,W 30-21,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,3,4,75.0,0,12
79,1966,1966-10-30,7,42.278,CLE,@,ATL,W 49-17,,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,,1,0.0,0,6
80,1966,1966-11-06,8,42.285,CLE,@,PIT,L 6-16,,0,0,,0,0,,,,,,,0,0,,0,,1,0.0,,,,0,0
81,1966,1966-11-13,9,42.292,CLE,,PHI,W 27-7,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9
82,1966,1966-11-20,10,42.299,CLE,,WAS,W 14-3,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,1,0.0,0,2
83,1966,1966-11-24,11,42.303,CLE,@,DAL,L 14-26,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,3,0.0,0,2
84,1966,1966-12-04,12,42.313,CLE,,NYG,W 49-40,,0,0,,0,0,,,,,,,0,0,,0,7,7,100.0,,,,0,7
85,1966,1966-12-11,13,42.320,CLE,@,PHI,L 21-33,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,2,0.0,0,3
86,1966,1966-12-17,14,42.326,CLE,@,STL,W 38-10,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,1,100.0,0,8
87,1967,1967-09-17,1,43.235,CLE,,DAL,L 14-21,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,2,0.0,0,2
88,1967,1967-09-24,2,43.242,CLE,@,DET,L 14-31,,0,0,,0,0,,,,,,,0,0,,0,2,2,100.0,,,,0,2
89,1967,1967-10-01,3,43.249,CLE,@,NOR,W 42-7,,0,0,,0,0,,,,,,,0,0,,0,6,6,100.0,,,,0,6
90,1967,1967-10-07,4,43.255,CLE,,PIT,W 21-10,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3
91,1967,1967-10-15,5,43.263,CLE,,STL,W 20-16,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,3,66.7,0,8
92,1967,1967-10-22,6,43.270,CLE,,CHI,W 24-0,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,4,25.0,0,6
93,1967,1967-10-29,7,43.277,CLE,@,NYG,L 34-38,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,2,100.0,0,10
94,1967,1967-11-05,8,43.284,CLE,@,PIT,W 34-14,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,2,100.0,0,10
95,1967,1967-11-12,9,43.291,CLE,@,GNB,L 7-55,,0,0,,0,0,,,,,,,0,0,,0,1,1,100.0,,,,0,1
96,1967,1967-11-19,10,43.298,CLE,,MIN,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,1,0.0,0,2
97,1967,1967-11-26,11,43.305,CLE,,WAS,W 42-37,,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,,1,0.0,0,6
98,1967,1967-12-03,12,43.312,CLE,,NYG,W 24-14,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6
99,1967,1967-12-10,13,43.319,CLE,@,STL,W 20-16,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,3,66.7,0,8
100,1967,1967-12-17,14,43.326,CLE,@,PHI,L 24-28,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6
