ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
28,2008,2008-09-08,1,24.353,GNB,,MIN,W 24-19,*,5,5,91,18.20,0,100.0%,18.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
29,2008,2008-09-14,2,24.359,GNB,@,DET,W 48-25,*,10,6,167,27.83,0,60.0%,16.70,0,0,,0,0,0,,0,,0,0,0.0,0,0
30,2008,2008-09-21,3,25.000,GNB,,DAL,L 16-27,*,10,8,115,14.38,0,80.0%,11.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
31,2008,2008-09-28,4,25.007,GNB,@,TAM,L 21-30,*,11,6,109,18.17,2,54.5%,9.91,0,0,,0,0,0,,0,,2,12,0.0,0,0
32,2008,2008-10-05,5,25.014,GNB,,ATL,L 24-27,*,9,4,87,21.75,1,44.4%,9.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
33,2008,2008-10-12,6,25.021,GNB,@,SEA,W 27-17,*,7,5,84,16.80,1,71.4%,12.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
34,2008,2008-10-19,7,25.028,GNB,,IND,W 34-14,*,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2008,2008-11-02,8,25.042,GNB,@,TEN,L 16-19,*,11,3,79,26.33,0,27.3%,7.18,0,0,,0,0,0,,0,,0,0,0.0,0,0
36,2008,2008-11-09,9,25.049,GNB,@,MIN,L 27-28,*,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
37,2008,2008-11-16,10,25.056,GNB,,CHI,W 37-3,*,6,5,64,12.80,1,83.3%,10.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
38,2008,2008-11-24,11,25.064,GNB,@,NOR,L 29-51,*,15,8,101,12.63,1,53.3%,6.73,0,0,,0,0,0,,0,,1,6,0.0,0,0
39,2008,2008-11-30,12,25.070,GNB,,CAR,L 31-35,,13,8,91,11.38,1,61.5%,7.00,0,0,,0,0,0,,0,1,1,8,0.0,0,0
40,2008,2008-12-07,13,25.077,GNB,,HOU,L 21-24,*,7,2,74,37.00,0,28.6%,10.57,0,0,,0,0,0,,0,,0,0,0.0,1,0
41,2008,2008-12-14,14,25.084,GNB,@,JAX,L 16-20,*,9,3,22,7.33,1,33.3%,2.44,0,0,,0,0,0,,0,,1,6,0.0,0,0
42,2008,2008-12-22,15,25.092,GNB,@,CHI,L 17-20,*,9,6,38,6.33,1,66.7%,4.22,0,0,,0,0,0,,0,,1,6,0.0,0,0
43,2008,2008-12-28,16,25.098,GNB,,DET,W 31-21,*,10,5,101,20.20,0,50.0%,10.10,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2009,2009-09-13,1,25.357,GNB,,CHI,W 21-15,*,8,6,106,17.67,1,75.0%,13.25,0,0,,0,0,0,,0,1,1,8,0.0,0,0
45,2009,2009-09-20,2,25.364,GNB,,CIN,L 24-31,,5,,,,,0.0%,,,,,,,,,,,,,,,
46,2009,2009-09-27,3,26.006,GNB,@,STL,W 36-17,,4,2,103,51.50,0,50.0%,25.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
47,2009,2009-10-05,4,26.014,GNB,@,MIN,L 23-30,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,,0,0,0.0,1,0
48,2009,2009-10-18,5,26.027,GNB,,DET,W 26-0,*,8,6,64,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
49,2009,2009-10-25,6,26.034,GNB,@,CLE,W 31-3,*,8,5,52,10.40,0,62.5%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
50,2009,2009-11-01,7,26.041,GNB,,MIN,L 26-38,*,11,7,81,11.57,1,63.6%,7.36,0,0,,0,0,0,,0,,1,6,0.0,0,0
51,2009,2009-11-08,8,26.048,GNB,@,TAM,L 28-38,*,10,5,61,12.20,0,50.0%,6.10,0,0,,0,0,0,,0,,0,0,0.0,0,0
52,2009,2009-11-15,9,26.055,GNB,,DAL,W 17-7,*,7,4,45,11.25,0,57.1%,6.43,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2009,2009-11-22,10,26.062,GNB,,SFO,W 30-24,*,7,5,126,25.20,1,71.4%,18.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
54,2009,2009-11-26,11,26.066,GNB,@,DET,W 34-12,*,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,,0,0,0.0,0,0
55,2009,2009-12-07,12,26.077,GNB,,BAL,W 27-14,*,10,6,77,12.83,0,60.0%,7.70,0,0,,0,0,0,,0,,0,0,0.0,2,0
56,2009,2009-12-13,13,26.083,GNB,@,CHI,W 21-14,,5,3,56,18.67,0,60.0%,11.20,0,0,,0,0,0,,0,1,0,2,0.0,0,0
57,2009,2009-12-20,14,26.090,GNB,@,PIT,L 36-37,*,11,5,118,23.60,1,45.5%,10.73,0,0,,0,0,0,,0,,1,6,0.0,0,0
58,2009,2009-12-27,15,26.097,GNB,,SEA,W 48-10,*,7,4,111,27.75,0,57.1%,15.86,0,0,,0,0,0,,0,,0,0,0.0,0,0
59,2009,2010-01-03,16,26.104,GNB,@,ARI,W 33-7,*,6,3,29,9.67,0,50.0%,4.83,0,0,,0,0,0,,0,,0,0,0.0,0,0
60,2010,2010-09-12,1,26.356,GNB,@,PHI,W 27-20,*,10,5,82,16.40,1,50.0%,8.20,0,0,,0,0,0,,0,,1,6,0.0,0,0
61,2010,2010-09-19,2,26.363,GNB,,BUF,W 34-7,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
62,2010,2010-09-27,3,27.006,GNB,@,CHI,L 17-20,*,6,2,18,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
63,2010,2010-10-03,4,27.012,GNB,,DET,W 28-26,*,5,2,25,12.50,1,40.0%,5.00,0,0,,0,0,0,,0,,1,6,0.0,2,0
64,2010,2010-10-10,5,27.019,GNB,@,WAS,L 13-16,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,,0,0,0.0,1,0
65,2010,2010-10-17,6,27.026,GNB,,MIA,L 20-23,*,7,6,133,22.17,1,85.7%,19.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
66,2010,2010-10-24,7,27.033,GNB,,MIN,W 28-24,*,10,6,74,12.33,1,60.0%,7.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
67,2010,2010-10-31,8,27.040,GNB,@,NYJ,W 9-0,*,12,6,81,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
68,2010,2010-11-07,9,27.047,GNB,,DAL,W 45-7,*,7,7,80,11.43,1,100.0%,11.43,0,0,,0,0,0,,0,,1,6,0.0,0,0
69,2010,2010-11-21,10,27.061,GNB,@,MIN,W 31-3,*,9,7,152,21.71,3,77.8%,16.89,0,0,,0,0,0,,0,,3,18,0.0,0,0
70,2010,2010-11-28,11,27.068,GNB,@,ATL,L 17-20,*,8,5,119,23.80,0,62.5%,14.88,0,0,,0,0,0,,0,,0,0,0.0,0,0
71,2010,2010-12-05,12,27.075,GNB,,SFO,W 34-16,*,7,6,122,20.33,2,85.7%,17.43,0,0,,0,0,0,,0,,2,12,0.0,0,0
72,2010,2010-12-12,13,27.082,GNB,@,DET,L 3-7,*,9,4,52,13.00,0,44.4%,5.78,0,0,,0,0,0,,0,,0,0,0.0,0,0
73,2010,2010-12-19,14,27.089,GNB,@,NWE,L 27-31,*,5,4,30,7.50,1,80.0%,6.00,1,-1,-1.00,0,0,0,,0,,1,6,0.0,0,0
74,2010,2010-12-26,15,27.096,GNB,,NYG,W 45-17,*,10,7,142,20.29,0,70.0%,14.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
75,2010,2011-01-02,16,27.103,GNB,,CHI,W 10-3,*,10,4,97,24.25,0,40.0%,9.70,0,0,,0,0,0,,0,,0,0,0.0,0,0
76,2011,2011-09-08,1,27.352,GNB,,NOR,W 42-34,*,8,7,89,12.71,1,87.5%,11.13,0,0,,0,0,0,,0,,1,6,0.0,0,0
77,2011,2011-09-18,2,27.362,GNB,@,CAR,W 30-23,*,8,2,55,27.50,1,25.0%,6.88,0,0,,0,0,0,,0,,1,6,0.0,0,0
78,2011,2011-09-25,3,28.004,GNB,@,CHI,W 27-17,*,10,9,119,13.22,0,90.0%,11.90,0,0,,0,0,0,,0,,0,0,0.0,0,0
79,2011,2011-10-02,4,28.011,GNB,,DEN,W 49-23,*,7,7,103,14.71,1,100.0%,14.71,0,0,,0,0,0,,0,,1,6,0.0,0,0
80,2011,2011-10-09,5,28.018,GNB,@,ATL,W 25-14,*,5,4,82,20.50,1,80.0%,16.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
81,2011,2011-10-16,6,28.025,GNB,,STL,W 24-3,*,10,6,82,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,1,0
82,2011,2011-10-23,7,28.032,GNB,@,MIN,W 33-27,*,10,7,147,21.00,1,70.0%,14.70,0,0,,0,0,0,,0,,1,6,0.0,0,0
83,2011,2011-11-06,8,28.046,GNB,@,SDG,W 45-38,*,8,6,46,7.67,1,75.0%,5.75,0,0,,0,0,0,,0,,1,6,0.0,0,0
84,2011,2011-11-14,9,28.054,GNB,,MIN,W 45-7,*,5,3,32,10.67,1,60.0%,6.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
85,2011,2011-11-20,10,28.060,GNB,,TAM,W 35-26,*,6,2,6,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2011,2011-11-24,11,28.064,GNB,@,DET,W 27-15,*,5,5,74,14.80,1,100.0%,14.80,0,0,,0,0,0,,0,,1,6,0.0,0,0
87,2011,2011-12-04,12,28.074,GNB,@,NYG,W 38-35,*,14,7,94,13.43,1,50.0%,6.71,0,0,,0,0,0,,0,,1,6,0.0,0,0
88,2011,2011-12-11,13,28.081,GNB,,OAK,W 46-16,*,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
89,2012,2012-09-09,1,28.354,GNB,,SFO,L 22-30,*,9,5,34,6.80,0,55.6%,3.78,0,0,,0,0,0,,0,,0,0,0.0,0,0
90,2012,2012-09-24,3,29.003,GNB,@,SEA,L 12-14,*,10,6,35,5.83,0,60.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
91,2012,2012-09-30,4,29.009,GNB,,NOR,W 28-27,,3,1,9,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
92,2012,2012-12-02,12,29.072,GNB,,MIN,W 23-14,,8,4,46,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
93,2012,2012-12-09,13,29.079,GNB,,DET,W 27-20,*,4,1,27,27.00,0,25.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
94,2012,2012-12-16,14,29.086,GNB,@,CHI,W 21-13,,7,4,50,12.50,0,57.1%,7.14,0,0,,0,0,0,,0,,0,0,0.0,0,0
95,2012,2012-12-23,15,29.093,GNB,,TEN,W 55-7,*,9,7,45,6.43,1,77.8%,5.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
96,2012,2012-12-30,16,29.100,GNB,@,MIN,L 34-37,*,12,8,120,15.00,2,66.7%,10.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
97,2013,2013-09-08,1,29.352,MIN,@,DET,L 24-34,*,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,,0,,0,0,0.0,1,0
98,2013,2013-09-15,2,29.359,MIN,@,CHI,L 30-31,*,6,5,84,16.80,0,83.3%,14.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
99,2013,2013-09-22,3,30.001,MIN,,CLE,L 27-31,*,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,,0,0,0.0,0,0
100,2013,2013-09-29,4,30.008,MIN,,PIT,W 34-27,*,4,3,92,30.67,2,75.0%,23.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
101,2013,2013-10-13,5,30.022,MIN,,CAR,L 10-35,*,10,6,34,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
102,2013,2013-10-21,6,30.030,MIN,@,NYG,L 7-23,*,10,4,41,10.25,0,40.0%,4.10,0,0,,0,0,0,,0,,0,0,0.0,1,0
103,2013,2013-10-27,7,30.036,MIN,,GNB,L 31-44,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
104,2013,2013-11-03,8,30.043,MIN,@,DAL,L 23-27,*,9,6,56,9.33,0,66.7%,6.22,0,0,,0,0,0,,0,,0,0,0.0,1,0
105,2013,2013-11-07,9,30.047,MIN,,WAS,W 34-27,*,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
106,2013,2013-11-24,11,30.064,MIN,@,GNB,T 26-26,*,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
107,2013,2013-12-01,12,30.071,MIN,,CHI,W 23-20,*,9,7,78,11.14,1,77.8%,8.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
108,2013,2013-12-08,13,30.078,MIN,@,BAL,L 26-29,*,10,5,53,10.60,0,50.0%,5.30,0,0,,0,0,0,,0,,0,0,0.0,0,0
109,2013,2013-12-15,14,30.085,MIN,,PHI,W 48-30,*,13,11,163,14.82,1,84.6%,12.54,0,0,,0,0,0,,0,,1,6,0.0,0,0
110,2013,2013-12-22,15,30.092,MIN,@,CIN,L 14-42,*,6,4,27,6.75,0,66.7%,4.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
111,2013,2013-12-29,16,30.099,MIN,,DET,W 14-13,*,6,5,44,8.80,0,83.3%,7.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
112,2014,2014-09-07,1,30.351,MIN,@,STL,W 34-6,*,7,6,58,9.67,1,85.7%,8.29,0,0,,0,0,0,,0,,1,6,0.0,0,0
113,2014,2014-09-14,2,30.358,MIN,,NWE,L 7-30,*,5,1,4,4.00,0,20.0%,0.80,0,0,,0,0,0,,0,,0,0,0.0,1,0
114,2014,2014-09-21,3,31.000,MIN,@,NOR,L 9-20,,7,5,70,14.00,0,71.4%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
115,2014,2014-09-28,4,31.007,MIN,,ATL,W 41-28,*,4,3,72,24.00,0,75.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
116,2014,2014-10-02,5,31.011,MIN,@,GNB,L 10-42,*,6,2,31,15.50,0,33.3%,5.17,0,0,,0,0,0,,0,,0,0,0.0,0,0
117,2014,2014-10-12,6,31.021,MIN,,DET,L 3-17,*,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
118,2014,2014-10-19,7,31.028,MIN,@,BUF,L 16-17,,7,6,77,12.83,0,85.7%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
119,2014,2014-10-26,8,31.035,MIN,@,TAM,W 19-13,,6,3,38,12.67,1,50.0%,6.33,0,0,,0,0,0,,0,,1,6,0.0,0,0
120,2014,2014-11-02,9,31.042,MIN,,WAS,W 29-26,*,10,6,76,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
121,2014,2014-11-16,10,31.056,MIN,@,CHI,L 13-21,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
122,2014,2014-11-23,11,31.063,MIN,,GNB,L 21-24,*,6,4,38,9.50,1,66.7%,6.33,0,0,,0,0,0,,0,,1,6,0.0,1,0
123,2014,2014-11-30,12,31.070,MIN,,CAR,W 31-13,*,6,5,45,9.00,1,83.3%,7.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
124,2014,2014-12-07,13,31.077,MIN,,NYJ,W 30-24,*,7,5,52,10.40,0,71.4%,7.43,0,0,,0,0,0,,0,,0,0,0.0,0,0
125,2014,2014-12-14,14,31.084,MIN,@,DET,L 14-16,*,5,3,43,14.33,1,60.0%,8.60,0,0,,0,0,0,,0,,1,6,0.0,1,0
126,2014,2014-12-21,15,31.091,MIN,@,MIA,L 35-37,*,3,3,56,18.67,1,100.0%,18.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
127,2014,2014-12-28,16,31.098,MIN,,CHI,W 13-9,*,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
128,2015,2015-09-13,1,31.357,MIA,@,WAS,W 17-10,*,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
129,2015,2015-09-20,2,31.364,MIA,@,JAX,L 20-23,*,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
130,2015,2015-09-27,3,32.006,MIA,,BUF,L 14-41,*,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
131,2015,2015-10-04,4,32.013,MIA,,NYJ,L 14-27,*,7,3,15,5.00,0,42.9%,2.14,0,0,,0,0,0,,0,,0,0,0.0,0,0
132,2015,2015-10-18,5,32.027,MIA,@,TEN,W 38-10,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
133,2015,2015-10-25,6,32.034,MIA,,HOU,W 44-26,,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
134,2015,2015-10-29,7,32.038,MIA,@,NWE,L 7-36,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
135,2015,2015-11-08,8,32.048,MIA,@,BUF,L 17-33,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
136,2015,2015-11-15,9,32.055,MIA,@,PHI,W 20-19,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
137,2015,2015-11-22,10,32.062,MIA,,DAL,L 14-24,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
138,2015,2015-11-29,11,32.069,MIA,@,NYJ,L 20-38,,3,2,9,4.50,1,66.7%,3.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
139,2015,2015-12-06,12,32.076,MIA,,BAL,W 15-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
140,2015,2015-12-14,13,32.084,MIA,,NYG,L 24-31,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
141,2015,2015-12-20,14,32.090,MIA,@,SDG,L 14-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
142,2015,2015-12-27,15,32.097,MIA,,IND,L 12-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
143,2015,2016-01-03,16,32.104,MIA,,NWE,W 20-10,,5,4,74,18.50,0,80.0%,14.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
