ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
52,1998,1998-10-11,6,27.251,IND,,BUF,L 24-31,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
53,1998,1998-10-18,7,27.258,IND,@,SFO,L 31-34,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
54,1998,1998-11-01,8,27.272,IND,,NWE,L 16-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
55,1998,1998-11-08,9,27.279,IND,@,MIA,L 14-27,,4,3,22,7.33,1,75.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
56,1998,1998-11-15,10,27.286,IND,,NYJ,W 24-23,,6,4,22,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
57,1998,1998-11-22,11,27.293,IND,@,BUF,L 11-34,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
58,1998,1998-11-29,12,27.300,IND,@,BAL,L 31-38,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
59,1998,1998-12-06,13,27.307,IND,@,ATL,L 21-28,,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
60,1998,1998-12-13,14,27.314,IND,,CIN,W 39-26,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
61,1998,1998-12-20,15,27.321,IND,@,SEA,L 23-27,,7,4,61,15.25,0,57.1%,8.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
62,1998,1998-12-27,16,27.328,IND,,CAR,L 19-27,,4,1,18,18.00,0,25.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
63,1999,1999-09-12,1,28.222,IND,,BUF,W 31-14,*,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
64,1999,1999-09-19,2,28.229,IND,@,NWE,L 28-31,*,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
65,1999,1999-09-26,3,28.236,IND,@,SDG,W 27-19,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,,,,,0,0,,0,0,0
66,1999,1999-10-10,4,28.250,IND,,MIA,L 31-34,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
67,1999,1999-10-17,5,28.257,IND,@,NYJ,W 16-13,*,0,4,59,14.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
68,1999,1999-10-24,6,28.264,IND,,CIN,W 31-10,*,5,3,25,8.33,1,60.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
69,1999,1999-10-31,7,28.271,IND,,DAL,W 34-24,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
70,1999,1999-11-07,8,28.278,IND,,KAN,W 25-17,*,3,1,30,30.00,0,33.3%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
71,1999,1999-11-14,9,28.285,IND,@,NYG,W 27-19,*,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
72,1999,1999-11-28,11,28.299,IND,,NYJ,W 13-6,*,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
73,1999,1999-12-05,12,28.306,IND,@,MIA,W 37-34,*,5,5,80,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
74,1999,1999-12-12,13,28.313,IND,,NWE,W 20-15,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
75,1999,1999-12-19,14,28.320,IND,,WAS,W 24-21,*,3,3,35,11.67,1,100.0%,11.67,0,0,,0,0,0,,,,,,0,0,,0,1,6
76,1999,1999-12-26,15,28.327,IND,@,CLE,W 29-28,*,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,,,,,,0,0,,0,0,0
77,1999,2000-01-02,16,28.334,IND,@,BUF,L 6-31,*,7,5,52,10.40,0,71.4%,7.43,0,0,,0,0,0,,,,,,0,0,,0,0,0
78,2000,2000-09-03,1,29.214,IND,@,KAN,W 27-14,,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
79,2000,2000-09-10,2,29.221,IND,,OAK,L 31-38,*,9,8,96,12.00,0,88.9%,10.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
80,2000,2000-09-25,3,29.236,IND,,JAX,W 43-14,*,9,5,38,7.60,1,55.6%,4.22,0,0,,0,0,0,,,,,,0,0,,0,1,6
81,2000,2000-10-01,4,29.242,IND,@,BUF,W 18-16,*,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
82,2000,2000-10-08,5,29.249,IND,@,NWE,L 16-24,*,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0,,,,,,0,0,,0,0,0
83,2000,2000-10-15,6,29.256,IND,@,SEA,W 37-24,*,6,6,93,15.50,1,100.0%,15.50,0,0,,0,0,0,,,,,,0,0,,0,1,6
84,2000,2000-10-22,7,29.263,IND,,NWE,W 30-23,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
85,2000,2000-10-29,8,29.270,IND,,DET,W 30-18,*,6,5,52,10.40,1,83.3%,8.67,0,0,,0,0,0,,,,,,0,0,,0,1,6
86,2000,2000-11-05,9,29.277,IND,@,CHI,L 24-27,*,7,5,66,13.20,0,71.4%,9.43,0,0,,0,0,0,,,,,,0,0,,0,0,0
87,2000,2000-11-12,10,29.284,IND,,NYJ,W 23-15,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
88,2000,2000-11-19,11,29.291,IND,@,GNB,L 24-26,,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
89,2000,2000-11-26,12,29.298,IND,,MIA,L 14-17,,4,1,15,15.00,0,25.0%,3.75,0,0,,0,0,0,,,,,,1,0,0.00,0,0,0
90,2000,2000-12-03,13,29.305,IND,@,NYJ,L 17-27,*,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
91,2000,2000-12-11,14,29.313,IND,,BUF,W 44-20,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
92,2000,2000-12-17,15,29.319,IND,@,MIA,W 20-13,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
93,2000,2000-12-24,16,29.326,IND,,MIN,W 31-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
94,2001,2001-09-09,1,30.219,IND,@,NYJ,W 45-24,*,4,2,28,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
95,2001,2001-09-23,2,30.233,IND,,BUF,W 42-26,*,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
96,2001,2001-09-30,3,30.240,IND,@,NWE,L 13-44,*,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0
97,2001,2001-10-14,4,30.254,IND,,OAK,L 18-23,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
98,2001,2001-10-21,5,30.261,IND,,NWE,L 17-38,*,3,2,32,16.00,0,66.7%,10.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0
99,2001,2001-10-25,6,30.265,IND,@,KAN,W 35-28,*,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
100,2001,2001-11-04,7,30.275,IND,@,BUF,W 30-14,*,2,,,,,0.0%,,,,,,,,,0,,,,,,,,,
101,2001,2001-11-11,8,30.282,IND,,MIA,L 24-27,*,1,,,,,0.0%,,,,,,,,,0,,,,,,,,,
102,2001,2001-11-18,9,30.289,IND,@,NOR,L 20-34,*,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,,,,0,0,,0,0,0
103,2001,2001-11-25,10,30.296,IND,,SFO,L 21-40,*,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
104,2001,2001-12-02,11,30.303,IND,@,BAL,L 27-39,*,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
105,2001,2001-12-10,12,30.311,IND,@,MIA,L 6-41,*,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0
106,2001,2001-12-16,13,30.317,IND,,ATL,W 41-27,*,3,2,16,8.00,1,66.7%,5.33,0,0,,0,0,0,,0,,,,0,0,,0,1,6
107,2001,2001-12-23,14,30.324,IND,,NYJ,L 28-29,*,6,4,38,9.50,0,66.7%,6.33,1,1,100.00,39,1,0,158.3,0,0,39.00,59.00,0,0,,0,0,0
108,2001,2001-12-30,15,30.331,IND,@,STL,L 17-42,*,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
109,2001,2002-01-06,16,30.338,IND,,DEN,W 29-10,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
110,2002,2002-09-08,1,31.218,TAM,,NOR,L 20-26,,5,2,7,3.50,0,40.0%,1.40,0,0,,0,0,0,,,,,,0,0,,0,0,0
111,2002,2002-09-15,2,31.225,TAM,@,BAL,W 25-0,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
112,2002,2002-09-23,3,31.233,TAM,,STL,W 26-14,*,6,5,38,7.60,0,83.3%,6.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
113,2002,2002-09-29,4,31.239,TAM,@,CIN,W 35-7,*,3,2,33,16.50,1,66.7%,11.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
114,2002,2002-10-06,5,31.246,TAM,@,ATL,W 20-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
115,2002,2002-10-13,6,31.253,TAM,,CLE,W 17-3,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
116,2002,2002-10-20,7,31.260,TAM,@,PHI,L 10-20,*,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
117,2002,2002-10-27,8,31.267,TAM,@,CAR,W 12-9,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
118,2002,2002-11-03,9,31.274,TAM,,MIN,W 38-24,*,3,3,61,20.33,0,100.0%,20.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
119,2002,2002-11-17,10,31.288,TAM,,CAR,W 23-10,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
120,2002,2002-11-24,11,31.295,TAM,,GNB,W 21-7,*,4,3,17,5.67,1,75.0%,4.25,0,0,,0,0,0,,,,,,0,0,,0,1,6
121,2002,2002-12-01,12,31.302,TAM,@,NOR,L 20-23,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
122,2002,2002-12-08,13,31.309,TAM,,ATL,W 34-10,*,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
123,2002,2002-12-15,14,31.316,TAM,@,DET,W 23-20,*,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,,,,,0,0,,0,0,0
124,2002,2002-12-23,15,31.324,TAM,,PIT,L 7-17,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
125,2002,2002-12-29,16,31.330,TAM,@,CHI,W 15-0,*,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
126,2003,2003-09-08,1,32.218,TAM,@,PHI,W 17-0,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
127,2003,2003-09-14,2,32.224,TAM,,CAR,L 9-12,*,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
128,2003,2003-09-21,3,32.231,TAM,@,ATL,W 31-10,*,3,1,24,24.00,0,33.3%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
129,2003,2003-10-06,4,32.246,TAM,,IND,L 35-38,*,11,6,63,10.50,0,54.5%,5.73,0,0,,0,0,0,,,,,,0,0,,0,0,0
130,2003,2003-10-12,5,32.252,TAM,@,WAS,W 35-13,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
131,2003,2003-10-19,6,32.259,TAM,@,SFO,L 7-24,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
132,2003,2003-10-26,7,32.266,TAM,,DAL,W 16-0,*,2,2,51,25.50,0,100.0%,25.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
133,2003,2003-11-02,8,32.273,TAM,,NOR,L 14-17,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
134,2003,2003-11-09,9,32.280,TAM,@,CAR,L 24-27,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
135,2003,2003-11-16,10,32.287,TAM,,GNB,L 13-20,*,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
136,2003,2003-11-24,11,32.295,TAM,,NYG,W 19-13,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
137,2003,2003-11-30,12,32.301,TAM,@,JAX,L 10-17,*,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
138,2003,2003-12-07,13,32.308,TAM,@,NOR,W 14-7,*,2,2,26,13.00,1,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
139,2003,2003-12-20,15,32.321,TAM,,ATL,L 28-30,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
140,2003,2003-12-28,16,32.329,TAM,@,TEN,L 13-33,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
141,2004,2004-09-12,1,33.223,TAM,@,WAS,L 10-16,*,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
142,2004,2004-09-19,2,33.230,TAM,,SEA,L 6-10,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
143,2004,2004-09-26,3,33.237,TAM,@,OAK,L 20-30,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
144,2004,2004-10-03,4,33.244,TAM,,DEN,L 13-16,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
145,2004,2004-10-10,5,33.251,TAM,@,NOR,W 20-17,*,3,3,60,20.00,1,100.0%,20.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
146,2004,2004-10-18,6,33.259,TAM,@,STL,L 21-28,*,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
147,2004,2004-10-24,7,33.265,TAM,,CHI,W 19-7,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
148,2004,2004-11-07,8,33.279,TAM,,KAN,W 34-31,*,7,5,47,9.40,1,71.4%,6.71,0,0,,0,0,0,,,,,,0,0,,0,1,6
149,2004,2004-11-14,9,33.286,TAM,@,ATL,L 14-24,*,5,5,51,10.20,1,100.0%,10.20,0,0,,0,0,0,,,,,,0,0,,0,1,6
150,2004,2004-11-21,10,33.293,TAM,,SFO,W 35-3,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
151,2004,2004-11-28,11,33.300,TAM,@,CAR,L 14-21,*,4,1,19,19.00,0,25.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,0,0
152,2004,2004-12-05,12,33.307,TAM,,ATL,W 27-0,*,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,,,,,0,0,,0,0,0
153,2004,2004-12-12,13,33.314,TAM,@,SDG,L 24-31,*,5,4,28,7.00,0,80.0%,5.60,0,0,,0,0,0,,,,,,0,0,,0,0,0
154,2004,2004-12-19,14,33.321,TAM,,NOR,L 17-21,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
155,2004,2004-12-26,15,33.328,TAM,,CAR,L 20-37,*,6,3,23,7.67,0,50.0%,3.83,0,0,,0,0,0,,,,,,0,0,,0,0,0
156,2004,2005-01-02,16,33.335,TAM,@,ARI,L 7-12,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
