ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
21,1970,1970-11-15,9,25.026,CHI,@,GNB,L 19-20,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,,0
22,1970,1970-11-22,10,25.033,CHI,,BUF,W 31-13,,,,,,,,,,,,,,,,,,,,,,,
23,1970,1970-11-29,11,25.040,CHI,@,BAL,L 20-21,0,0,,0,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,1,29,29.00,0
24,1970,1970-12-05,12,25.046,CHI,@,MIN,L 13-16,0,0,,0,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0,0,0,,0
25,1970,1970-12-13,13,25.054,CHI,,GNB,W 35-17,0,0,,0,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0,0,0,,0
26,1970,1970-12-20,14,25.061,CHI,@,NOR,W 24-3,0,0,,0,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0,0,0,,0
27,1971,1971-09-19,1,25.334,CHI,,PIT,W 17-15,,,,,,,,,,,,,,,,,,,,,,,
28,1971,1971-09-26,2,25.341,CHI,@,MIN,W 20-17,,,,,,,,,,,,,,,,,,,,,,,
29,1971,1971-10-03,3,25.348,CHI,@,RAM,L 3-17,,,,,,,,,,,,,,,,,,,,,,,
30,1971,1971-10-10,4,25.355,CHI,,NOR,W 35-14,,,,,,,,,,,,,,,,,,,,,,,
31,1971,1971-10-17,5,25.362,CHI,@,SFO,L 0-13,,,,,,,,,,,,,,,,,,,,,,,
32,1971,1971-10-24,6,26.004,CHI,@,DET,W 28-23,,,,,,,,,,,,,,,,,,,,,,,
33,1971,1971-10-31,7,26.011,CHI,,DAL,W 23-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,29,0,0,0,,0
34,1971,1971-11-07,8,26.018,CHI,,GNB,L 14-17,,,,,,,,,,,,,,,,,,,,,,,
35,1971,1971-11-14,9,26.025,CHI,,WAS,W 16-15,,,,,,,,,,,,,,,,,,,,,,,
36,1971,1971-11-21,10,26.032,CHI,,DET,L 3-28,,,,,,,,,,,,,,,,,,,,,,,
37,1971,1971-11-29,11,26.040,CHI,@,MIA,L 3-34,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0,,0
38,1971,1971-12-05,12,26.046,CHI,@,DEN,L 3-6,,,,,,,,,,,,,,,,,,,,,,,
39,1971,1971-12-12,13,26.053,CHI,@,GNB,L 10-31,,,,,,,,,,,,,,,,,,,,,,,
40,1971,1971-12-19,14,26.060,CHI,,MIN,L 10-27,,,,,,,,,,,,,,,,,,,,,,,
41,1972,1972-09-17,1,26.333,CHI,,ATL,L 21-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,35,0,0,0,,0
42,1972,1972-09-24,2,26.340,CHI,,RAM,T 13-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,17,0,0,0,,0
43,1972,1972-10-01,3,26.347,CHI,,DET,L 24-38,,,,,,,,,,,,,,,,,,,,,,,
44,1973,1973-09-16,1,27.331,CHI,,DAL,L 17-20,,,,,,,,,,,,,,,,,,,,,,,
45,1973,1973-09-23,2,27.338,CHI,,MIN,L 13-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,9,0,0,0,,0
46,1973,1973-09-30,3,27.345,CHI,@,DEN,W 33-14,,,,,,,,,,,,,,,,,,,,,,,
47,1973,1973-10-07,4,27.352,CHI,@,NOR,L 16-21,,,,,,,,,,,,,,,,,,,,,,,
48,1973,1973-10-14,5,27.359,CHI,@,ATL,L 6-46,,,,,,,,,,,,,,,,,,,,,,,
49,1973,1973-10-21,6,28.001,CHI,,NWE,L 10-13,,,,,,,,,,,,,,,,,,,,,,,
50,1973,1973-10-28,7,28.008,CHI,,HOU,W 35-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0,0,0,,0
51,1973,1973-11-04,8,28.015,CHI,@,GNB,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,23,0,0,0,,0
52,1973,1973-11-12,9,28.023,CHI,@,KAN,L 7-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,,0
53,1973,1973-11-18,10,28.029,CHI,,DET,L 7-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,24,0,0,0,,0
54,1973,1973-11-25,11,28.036,CHI,@,MIN,L 13-31,,,,,,,,,,,,,,,,,,,,,,,
55,1973,1973-12-02,12,28.043,CHI,,RAM,L 0-26,,,,,,,,,,,,,,,,,,,,,,,
56,1973,1973-12-09,13,28.050,CHI,@,DET,L 7-40,,,,,,,,,,,,,,,,,,,,,,,
57,1973,1973-12-16,14,28.057,CHI,,GNB,L 0-21,,,,,,,,,,,,,,,,,,,,,,,
58,1974,1974-09-15,1,28.330,CHI,,DET,W 17-9,,,,,,,,,,,,,,,,,,,,,,,
59,1974,1974-09-22,2,28.337,CHI,,NYJ,L 21-23,,,,,,,,,,,,,,,,,,,,,,,
60,1974,1974-09-29,3,28.344,CHI,@,MIN,L 7-11,,,,,,,,,,,,,,,,,,,,,,,
61,1974,1974-10-06,4,28.351,CHI,,NOR,W 24-10,,,,,,,,,,,,,,,,,,,,,,,
62,1974,1974-10-13,5,28.358,CHI,@,ATL,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0,0,0,,0
63,1974,1974-10-21,6,29.001,CHI,,GNB,W 10-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,36,0,0,0,,0
64,1974,1974-10-27,7,29.007,CHI,@,BUF,L 6-16,,,,,,,,,,,,,,,,,,,,,,,
65,1974,1974-11-03,8,29.014,CHI,,MIN,L 0-17,,,,,,,,,,,,,,,,,,,,,,,
66,1974,1974-11-10,9,29.021,CHI,@,GNB,L 3-20,,,,,,,,,,,,,,,,,,,,,,,
67,1974,1974-11-17,10,29.028,CHI,,SFO,L 0-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,21,0,0,0,,0
68,1974,1974-11-24,11,29.035,CHI,@,DET,L 17-34,,,,,,,,,,,,,,,,,,,,,,,
69,1974,1974-12-01,12,29.042,CHI,,NYG,W 16-13,,,,,,,,,,,,,,,,,,,,,,,
70,1974,1974-12-08,13,29.049,CHI,@,SDG,L 21-28,,,,,,,,,,,,,,,,,,,,,,,
71,1974,1974-12-15,14,29.056,CHI,@,WAS,L 0-42,,,,,,,,,,,,,,,,,,,,,,,
