ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
72,1995,1995-11-26,12,27.143,TAM,@,GNB,L 13-35,,14,6,68,11.33,0,42.9%,4.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
73,1995,1995-12-03,13,27.150,TAM,@,MIN,L 17-31,,8,1,38,38.00,1,12.5%,4.75,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
74,1995,1995-12-10,14,27.157,TAM,,GNB,W 13-10,,8,1,7,7.00,0,12.5%,0.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
75,1995,1995-12-17,15,27.164,TAM,@,CHI,L 10-31,,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
76,1995,1995-12-23,16,27.170,TAM,,DET,L 10-37,,9,4,49,12.25,0,44.4%,5.44,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
77,1996,1996-09-01,1,28.057,TAM,,GNB,L 3-34,,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
78,1996,1996-09-08,2,28.064,TAM,@,DET,L 6-21,,6,1,11,11.00,0,16.7%,1.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
79,1996,1996-09-15,3,28.071,TAM,@,DEN,L 23-27,,2,2,77,38.50,1,100.0%,38.50,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
80,1996,1996-09-22,4,28.078,TAM,,SEA,L 13-17,,7,3,48,16.00,0,42.9%,6.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
81,1996,1996-09-29,5,28.085,TAM,,DET,L 0-27,,9,4,41,10.25,0,44.4%,4.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
82,1996,1996-10-13,6,28.099,TAM,,MIN,W 24-13,,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
83,1996,1996-10-27,8,28.113,TAM,@,GNB,L 7-13,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
84,1996,1996-11-03,9,28.120,TAM,@,CHI,L 10-13,,5,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
85,1996,1996-11-17,11,28.134,TAM,@,SDG,W 25-17,,2,1,27,27.00,0,50.0%,13.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
86,1996,1996-12-08,14,28.155,TAM,,WAS,W 24-10,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,
87,1996,1996-12-15,15,28.162,TAM,@,MIN,L 10-21,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,
88,1996,1996-12-22,16,28.169,TAM,,CHI,W 34-19,,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
89,1997,1997-08-31,1,29.056,WAS,@,CAR,W 24-10,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,
90,1997,1997-09-07,2,29.063,WAS,@,PIT,L 13-14,,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
91,1997,1997-09-14,3,29.070,WAS,,ARI,W 19-13,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
92,1997,1997-09-28,4,29.084,WAS,,JAX,W 24-12,,3,2,65,32.50,0,66.7%,21.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
93,1997,1997-10-05,5,29.091,WAS,@,PHI,L 10-24,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
94,1997,1997-10-13,6,29.099,WAS,,DAL,W 21-16,,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
95,1997,1997-10-19,7,29.105,WAS,@,TEN,L 14-28,,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
96,1997,1997-10-26,8,29.112,WAS,,BAL,L 17-20,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,
97,1997,1997-11-02,9,29.119,WAS,@,CHI,W 31-8,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
98,1997,1997-11-09,10,29.126,WAS,,DET,W 30-7,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
99,1997,1997-11-16,11,29.133,WAS,@,DAL,L 14-17,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
100,1997,1997-11-30,13,29.147,WAS,,STL,L 20-23,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
101,1999,1999-10-24,6,31.110,DAL,,WAS,W 38-20,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
102,1999,1999-10-31,7,31.117,DAL,@,IND,L 24-34,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
