ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
18,1960,1960-11-06,7,29.173,STL,,WAS,W 44-7,1,26,26.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,49,0,1,45,45.00,0
19,1960,1960-11-13,8,29.180,STL,@,CLE,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,96,48.00,0
20,1960,1960-11-20,9,29.187,STL,@,WAS,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,20,0,3,132,44.00,0
21,1960,1960-11-27,10,29.194,STL,,CLE,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,1,59,59.00,0
22,1960,1960-12-04,11,29.201,STL,,PHI,L 6-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,13,0,8,382,47.75,0
23,1960,1960-12-18,12,29.215,STL,,PIT,W 38-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,1,45,45.00,0
24,1961,1961-09-17,1,30.123,STL,@,NYG,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,13,0,6,204,34.00,1
25,1961,1961-09-24,2,30.130,STL,@,CLE,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,2,0,5,215,43.00,0
26,1961,1961-10-01,3,30.137,STL,@,PHI,W 30-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,223,44.60,0
27,1961,1961-10-08,4,30.144,STL,,NYG,L 9-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,11,0,10,434,43.40,0
28,1961,1961-10-15,5,30.151,STL,,PHI,L 7-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,274,45.67,0
29,1961,1961-10-22,6,30.158,STL,@,WAS,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,276,46.00,0
30,1961,1961-10-29,7,30.165,STL,,CLE,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,7,329,47.00,0
31,1961,1961-11-05,8,30.172,STL,@,DAL,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,286,47.67,0
32,1961,1961-11-12,9,30.179,STL,,DET,L 14-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,281,46.83,0
33,1961,1961-11-19,10,30.186,STL,@,BAL,L 0-16,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,9,362,40.22,0
34,1961,1961-11-26,11,30.193,STL,@,PIT,L 27-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,4,110,2,6,270,45.00,0
35,1961,1961-12-03,12,30.200,STL,,WAS,W 38-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,147,49.00,0
36,1961,1961-12-10,13,30.207,STL,,DAL,W 31-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,199,49.75,0
37,1961,1961-12-17,14,30.214,STL,,PIT,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,303,50.50,0
38,1962,1962-09-16,1,31.122,DAL,,WAS,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,21,0,0,0,,0
39,1962,1962-09-23,2,31.129,DAL,,PIT,L 28-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0,0,0,,0
40,1963,1963-09-15,1,32.121,GNB,,CHI,L 3-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,243,48.60,0
41,1963,1963-09-22,2,32.128,GNB,,DET,W 31-10,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,180,45.00,0
42,1963,1963-09-29,3,32.135,GNB,,BAL,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,126,42.00,0
43,1963,1963-10-06,4,32.142,GNB,,RAM,W 42-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,118,39.33,0
44,1963,1963-10-13,5,32.149,GNB,@,MIN,W 37-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,150,50.00,0
45,1963,1963-10-20,6,32.156,GNB,@,STL,W 30-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,98,49.00,0
46,1963,1963-10-27,7,32.163,GNB,@,BAL,W 34-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,140,46.67,0
47,1963,1963-11-03,8,32.170,GNB,,PIT,W 33-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,1,49,49.00,0
48,1963,1963-11-10,9,32.177,GNB,,MIN,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,243,48.60,0
49,1963,1963-11-17,10,32.184,GNB,@,CHI,L 7-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,194,38.80,0
50,1963,1963-11-24,11,32.191,GNB,,SFO,W 28-10,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,122,40.67,0
51,1963,1963-11-28,12,32.195,GNB,@,DET,T 13-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,7,307,43.86,0
52,1963,1963-12-07,13,32.204,GNB,@,RAM,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,176,44.00,0
53,1963,1963-12-14,14,32.211,GNB,@,SFO,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,134,44.67,0
54,1964,1964-09-13,1,33.119,GNB,,CHI,W 23-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,107,53.50,0
55,1964,1964-09-20,2,33.126,GNB,,BAL,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,143,47.67,0
56,1964,1964-09-28,3,33.134,GNB,@,DET,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,206,41.20,0
57,1964,1964-10-04,4,33.140,GNB,,MIN,L 23-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,228,45.60,0
58,1964,1964-10-11,5,33.147,GNB,,SFO,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,135,45.00,0
59,1964,1964-10-18,6,33.154,GNB,@,BAL,L 21-24,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,117,39.00,0
60,1964,1964-10-25,7,33.161,GNB,,RAM,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,219,43.80,0
61,1964,1964-11-01,8,33.168,GNB,@,MIN,W 42-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,7,295,42.14,0
62,1964,1964-11-08,9,33.175,GNB,,DET,W 30-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,124,41.33,0
63,1964,1964-11-15,10,33.182,GNB,@,SFO,L 14-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,148,37.00,0
64,1964,1964-11-22,11,33.189,GNB,,CLE,W 28-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,179,35.80,0
65,1964,1964-11-29,12,33.196,GNB,@,DAL,W 45-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,207,41.40,0
66,1964,1964-12-05,13,33.202,GNB,@,CHI,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,175,43.75,0
67,1964,1964-12-13,14,33.210,GNB,@,RAM,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,79,39.50,0
