ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
35,1984,1984-11-04,10,25.015,STL,,RAM,L 13-16,,0,0,,0,0,0,,0,,,,,,,,,,,
36,1984,1984-11-11,11,25.022,STL,,DAL,L 17-24,,0,0,,0,0,0,,0,,,,,,,,,,,
37,1984,1984-11-18,12,25.029,STL,@,NYG,L 10-16,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,22,0
38,1984,1984-11-25,13,25.036,STL,,PHI,W 17-16,,0,0,,0,0,0,,0,,,,,,,,,,,
39,1984,1984-12-02,14,25.043,STL,@,NWE,W 33-10,,0,0,,0,0,0,,0,,,,,,,,,,,
40,1984,1984-12-09,15,25.050,STL,,NYG,W 31-21,,0,0,,0,0,0,,0,,,,,,,,,,,
41,1984,1984-12-16,16,25.057,STL,@,WAS,L 27-29,,0,0,,0,0,0,,0,,,,,,,,,,,
42,1985,1985-09-15,2,25.330,STL,,CIN,W 41-27,,,,,,,,,,,,,,,,,,,,
43,1985,1985-09-22,3,25.337,STL,@,NYG,L 17-27,,,,,,,,,,,,,,,,,,,,
44,1985,1985-09-29,4,25.344,STL,,GNB,W 43-28,,,,,,,,,,,,,,,,,,,,
45,1985,1985-10-07,5,25.352,STL,@,WAS,L 10-27,,,,,,,,,,,,,,,,,,,,
46,1985,1985-10-13,6,25.358,STL,@,PHI,L 7-30,,,,,,,,,,,,,,,,,,,,
47,1985,1985-11-04,9,26.015,STL,,DAL,W 21-10,,,,,,,,,,,,,,,,,,,,
48,1985,1985-11-10,10,26.021,STL,@,TAM,L 0-16,,,,,,,,,,,,,,,,,,,,
