ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
31,2014,2014-10-26,7,25.014,MIA,@,JAX,W 27-13,,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,1,6,0.0,1,0
32,2014,2014-11-02,8,25.021,MIA,,SDG,W 37-0,,1,1,21,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,6,0.0,0,0
33,2014,2014-11-09,9,25.028,MIA,@,DET,L 16-20,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,1
34,2014,2014-11-13,10,25.032,MIA,,BUF,W 22-9,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2014,2014-11-23,11,25.042,MIA,@,DEN,L 36-39,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2014,2014-12-01,12,25.050,MIA,@,NYJ,W 16-13,,,,,,,0.0%,,,,,,,,,,,,,,
37,2014,2014-12-07,13,25.056,MIA,,BAL,L 13-28,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2014,2014-12-14,14,25.063,MIA,@,NWE,L 13-41,,5,2,16,8.00,0,40.0%,3.20,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
39,2015,2015-09-13,1,25.336,MIA,@,WAS,W 17-10,*,6,4,34,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,1,6,0.0,0,0
40,2015,2015-09-20,2,25.343,MIA,@,JAX,L 20-23,*,7,6,115,19.17,0,85.7%,16.43,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2015,2015-09-27,3,25.350,MIA,,BUF,L 14-41,*,10,6,113,18.83,2,60.0%,11.30,0,0,,0,0,0,,0,2,12,0.0,0,0
42,2015,2015-10-04,4,25.357,MIA,,NYJ,L 14-27,*,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0
43,2015,2015-10-18,5,26.006,MIA,@,TEN,W 38-10,*,6,6,85,14.17,0,100.0%,14.17,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2015,2015-10-25,6,26.013,MIA,,HOU,W 44-26,*,3,3,75,25.00,1,100.0%,25.00,0,0,,0,1,9,9.00,0,1,6,0.0,0,0
45,2015,2015-10-29,7,26.017,MIA,@,NWE,L 7-36,*,12,7,62,8.86,0,58.3%,5.17,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2015,2015-11-08,8,26.027,MIA,@,BUF,L 17-33,*,4,4,54,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2015,2015-11-15,9,26.034,MIA,@,PHI,W 20-19,*,6,5,93,18.60,0,83.3%,15.50,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
48,2015,2015-11-22,10,26.041,MIA,,DAL,L 14-24,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2015,2015-11-29,11,26.048,MIA,@,NYJ,L 20-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
50,2016,2016-09-11,1,26.335,TEN,,MIN,L 16-25,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
51,2016,2016-09-18,2,26.342,TEN,@,DET,W 16-15,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2016,2016-09-25,3,26.349,TEN,,OAK,L 10-17,*,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2016,2016-10-02,4,26.356,TEN,@,HOU,L 20-27,,2,2,82,41.00,0,100.0%,41.00,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2016,2016-10-09,5,26.363,TEN,@,MIA,W 30-17,*,4,4,32,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,1,6,0.0,0,0
55,2016,2016-10-16,6,27.004,TEN,,CLE,W 28-26,,3,3,70,23.33,1,100.0%,23.33,0,0,,0,0,0,,0,1,6,0.0,0,0
56,2016,2016-10-23,7,27.011,TEN,,IND,L 26-34,,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,0.0,0,0
57,2016,2016-10-27,8,27.015,TEN,,JAX,W 36-22,*,4,4,38,9.50,1,100.0%,9.50,0,0,,0,0,0,,0,1,6,0.0,0,0
58,2016,2016-11-06,9,27.025,TEN,@,SDG,L 35-43,,10,6,63,10.50,2,60.0%,6.30,0,0,,0,0,0,,0,2,12,0.0,0,0
59,2016,2016-11-13,10,27.032,TEN,,GNB,W 47-25,*,5,3,63,21.00,1,60.0%,12.60,0,0,,0,0,0,,0,1,6,0.0,0,0
60,2016,2016-11-20,11,27.039,TEN,@,IND,L 17-24,*,13,9,122,13.56,0,69.2%,9.38,0,0,,0,0,0,,0,0,0,0.0,0,0
61,2016,2016-11-27,12,27.046,TEN,@,CHI,W 27-21,*,7,3,64,21.33,1,42.9%,9.14,0,0,,0,0,0,,0,1,6,0.0,0,0
62,2016,2016-12-11,13,27.060,TEN,,DEN,W 13-10,*,3,1,26,26.00,0,33.3%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0
63,2016,2016-12-18,14,27.067,TEN,@,KAN,W 19-17,,10,4,105,26.25,0,40.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0
64,2016,2016-12-24,15,27.073,TEN,@,JAX,L 17-38,*,9,3,31,10.33,1,33.3%,3.44,0,0,,0,0,0,,0,1,6,0.0,0,0
65,2016,2017-01-01,16,27.081,TEN,,HOU,W 24-17,*,13,9,114,12.67,1,69.2%,8.77,0,0,,0,0,0,,0,1,6,0.0,0,0
66,2017,2017-09-10,1,27.333,TEN,,OAK,L 16-26,*,9,5,71,14.20,0,55.6%,7.89,0,0,,0,0,0,,0,0,0,0.0,0,0
67,2017,2017-09-17,2,27.340,TEN,@,JAX,W 37-16,*,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,0.0,0,0
68,2017,2017-09-24,3,27.347,TEN,,SEA,W 33-27,*,10,6,87,14.50,1,60.0%,8.70,0,0,,0,0,0,,0,1,6,0.0,0,0
69,2017,2017-10-01,4,27.354,TEN,@,HOU,L 14-57,,8,3,49,16.33,0,37.5%,6.13,0,0,,0,0,0,,0,0,0,0.0,0,0
70,2017,2017-10-08,5,27.361,TEN,@,MIA,L 10-16,*,6,3,34,11.33,0,50.0%,5.67,1,-3,-3.00,0,0,0,,0,0,0,0.0,0,0
71,2017,2017-10-16,6,28.004,TEN,,IND,W 36-22,*,4,4,69,17.25,0,100.0%,17.25,0,0,,0,0,0,,0,0,0,0.0,0,0
72,2017,2017-10-22,7,28.010,TEN,@,CLE,W 12-9,*,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,0.0,0,0
73,2017,2017-11-05,8,28.024,TEN,,BAL,W 23-20,*,7,4,70,17.50,1,57.1%,10.00,0,0,,0,0,0,,0,1,6,0.0,0,0
74,2017,2017-11-12,9,28.031,TEN,,CIN,W 24-20,*,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,0,0.0,0,0
75,2017,2017-11-16,10,28.035,TEN,@,PIT,L 17-40,*,6,5,113,22.60,1,83.3%,18.83,0,0,,0,0,0,,0,1,6,0.0,0,0
76,2017,2017-12-10,13,28.059,TEN,@,ARI,L 7-12,,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,0,0,0.0,0,0
77,2017,2017-12-17,14,28.066,TEN,@,SFO,L 23-25,,8,6,95,15.83,1,75.0%,11.88,0,0,,0,0,0,,0,1,6,0.0,0,0
78,2017,2017-12-24,15,28.073,TEN,,LAR,L 23-27,*,4,2,48,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,0,0
79,2017,2017-12-31,16,28.080,TEN,,JAX,W 15-10,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0
80,2018,2018-09-09,1,28.332,TEN,@,MIA,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,0.0,0,0
81,2018,2018-09-16,2,28.339,TEN,,HOU,W 20-17,,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
82,2018,2018-09-23,3,28.346,TEN,@,JAX,W 9-6,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,3,20,6.67,0,0,0,0.0,0,0
