ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
35,2014,2014-09-21,3,24.090,STL,,DAL,L 31-34,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
36,2014,2014-10-05,4,24.104,STL,@,PHI,L 28-34,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
37,2014,2014-10-13,5,24.112,STL,,SFO,L 17-31,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,0,0,0
38,2014,2014-10-19,6,24.118,STL,,SEA,W 28-26,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,0,0,0
39,2014,2014-10-26,7,24.125,STL,@,KAN,L 7-34,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,0,0,0
40,2014,2014-11-02,8,24.132,STL,@,SFO,W 13-10,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
41,2014,2014-11-09,9,24.139,STL,@,ARI,L 14-31,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
42,2014,2014-11-16,10,24.146,STL,,DEN,W 22-7,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
43,2014,2014-11-23,11,24.153,STL,@,SDG,L 24-27,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
44,2014,2014-11-30,12,24.160,STL,,OAK,W 52-0,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,0,0,0
45,2014,2014-12-07,13,24.167,STL,@,WAS,W 24-0,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,1,1,0
46,2014,2014-12-11,14,24.171,STL,,ARI,L 6-12,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,0,0,0
47,2014,2014-12-21,15,24.181,STL,,NYG,L 27-37,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
48,2014,2014-12-28,16,24.188,STL,@,SEA,L 6-20,*,0,0,0,,0,0.0%,,0,0,0.0,3,3,0,0,0
49,2015,2015-09-13,1,25.082,STL,,SEA,W 34-31,*,0,0,0,,0,0.0%,,0,0,0.0,3,3,0,0,0
50,2015,2015-09-20,2,25.089,STL,@,WAS,L 10-24,*,0,0,0,,0,0.0%,,0,0,0.0,4,2,0,0,0
51,2015,2015-09-27,3,25.096,STL,,PIT,L 6-12,*,0,0,0,,0,0.0%,,0,0,0.0,4,3,0,0,0
52,2015,2015-10-04,4,25.103,STL,@,ARI,W 24-22,*,0,0,0,,0,0.0%,,0,0,0.0,3,2,0,0,0
53,2015,2015-10-11,5,25.110,STL,@,GNB,L 10-24,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
54,2015,2015-10-25,6,25.124,STL,,CLE,W 24-6,*,0,0,0,,0,0.0%,,1,6,0.0,2,0,0,0,0
55,2015,2015-11-01,7,25.131,STL,,SFO,W 27-6,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
56,2015,2015-11-08,8,25.138,STL,@,MIN,L 18-21,*,0,0,0,,0,0.0%,,0,0,0.0,7,1,0,0,0
57,2015,2015-11-15,9,25.145,STL,,CHI,L 13-37,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
58,2015,2015-11-22,10,25.152,STL,@,BAL,L 13-16,*,0,0,0,,0,0.0%,,0,0,0.0,6,3,1,4,0
59,2015,2015-11-29,11,25.159,STL,@,CIN,L 7-31,*,0,0,0,,0,0.0%,,0,0,0.0,2,3,0,0,0
60,2015,2015-12-06,12,25.166,STL,,ARI,L 3-27,*,0,0,0,,0,0.0%,,0,0,0.0,5,2,0,0,0
61,2015,2015-12-13,13,25.173,STL,,DET,W 21-14,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,0,0,0
62,2015,2015-12-17,14,25.177,STL,,TAM,W 31-23,*,0,0,0,,0,0.0%,,0,0,0.0,7,1,0,0,0
63,2015,2015-12-27,15,25.187,STL,@,SEA,W 23-17,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
64,2015,2016-01-03,16,25.194,STL,@,SFO,L 16-19,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
65,2016,2016-09-11,1,26.080,PHI,,CLE,W 29-10,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,1,5,0
66,2016,2016-09-19,2,26.088,PHI,@,CHI,W 29-14,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
67,2016,2016-09-25,3,26.094,PHI,,PIT,W 34-3,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,1,0,0
68,2016,2016-10-09,4,26.108,PHI,@,DET,L 23-24,*,0,0,0,,0,0.0%,,0,0,0.0,8,1,0,0,0
69,2016,2016-10-16,5,26.115,PHI,@,WAS,L 20-27,*,0,0,0,,0,0.0%,,0,0,0.0,11,2,0,0,0
70,2016,2016-10-23,6,26.122,PHI,,MIN,W 21-10,*,0,0,0,,0,0.0%,,0,0,1.0,7,0,1,0,0
71,2016,2016-10-30,7,26.129,PHI,@,DAL,L 23-29,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
72,2016,2016-11-06,8,26.136,PHI,@,NYG,L 23-28,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
73,2016,2016-11-13,9,26.143,PHI,,ATL,W 24-15,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
74,2016,2016-11-20,10,26.150,PHI,@,SEA,L 15-26,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,0,0,0
75,2016,2016-11-28,11,26.158,PHI,,GNB,L 13-27,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,0,0,0
76,2016,2016-12-04,12,26.164,PHI,@,CIN,L 14-32,*,0,0,0,,0,0.0%,,0,0,0.0,3,4,0,0,0
77,2016,2016-12-11,13,26.171,PHI,,WAS,L 22-27,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,0,0,0
78,2016,2016-12-18,14,26.178,PHI,@,BAL,L 26-27,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,0,0,0
79,2016,2016-12-22,15,26.182,PHI,,NYG,W 24-19,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
80,2016,2017-01-01,16,26.192,PHI,,DAL,W 27-13,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
81,2017,2017-09-10,1,27.079,PHI,@,WAS,W 30-17,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,0,0,0
82,2017,2017-09-17,2,27.086,PHI,@,KAN,L 20-27,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,0,0,0
83,2017,2017-10-01,4,27.100,PHI,@,LAC,W 26-24,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,0,0,0
84,2017,2017-10-08,5,27.107,PHI,,ARI,W 34-7,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
85,2017,2017-10-12,6,27.111,PHI,@,CAR,W 28-23,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
86,2017,2017-10-23,7,27.122,PHI,,WAS,W 34-24,*,0,0,0,,0,0.0%,,0,0,0.0,1,2,0,0,0
87,2017,2017-10-29,8,27.128,PHI,,SFO,W 33-10,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,1,4,0
88,2017,2017-11-05,9,27.135,PHI,,DEN,W 51-23,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,50,0
89,2017,2017-11-19,10,27.149,PHI,@,DAL,W 37-9,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,1,13,0
90,2017,2017-11-26,11,27.156,PHI,,CHI,W 31-3,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
91,2017,2017-12-03,12,27.163,PHI,@,SEA,L 10-24,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,0,0,0
92,2017,2017-12-10,13,27.170,PHI,@,LAR,W 43-35,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
93,2017,2017-12-17,14,27.177,PHI,@,NYG,W 34-29,*,0,0,0,,0,0.0%,,0,0,0.0,7,4,0,0,0
94,2017,2017-12-25,15,27.185,PHI,,OAK,W 19-10,*,0,0,0,,0,0.0%,,0,0,0.0,3,3,0,0,0
95,2018,2018-09-06,1,28.075,PHI,,ATL,W 18-12,*,0,0,0,,0,0.0%,,0,0,0.0,5,1,0,0,0
96,2018,2018-09-16,2,28.085,PHI,@,TAM,L 21-27,*,0,0,0,,0,0.0%,,0,0,0.0,2,1,0,0,0
97,2018,2018-09-23,3,28.092,PHI,,IND,W 20-16,*,0,0,0,,0,0.0%,,0,0,0.0,0,1,0,0,0
