ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
16,1967,1967-09-24,2,24.144,ATL,@,SFO,L 7-38,3,36,12.00,0,0,0,,0,3,81,27.00,0,1,13,13.00,0,0,0,0,0,0
17,1967,1967-10-01,3,24.151,ATL,@,GNB,L 0-23,2,25,12.50,0,0,0,,0,3,72,24.00,0,1,-1,-1.00,0,0,0,0,0,0
18,1967,1967-10-08,4,24.158,ATL,,PHI,L 7-38,3,40,13.33,0,1,5,5.00,0,4,89,22.25,0,2,2,1.00,0,0,0,0,0,0
19,1967,1967-10-15,5,24.165,ATL,,WAS,T 20-20,1,25,25.00,0,2,10,5.00,0,2,50,25.00,0,2,26,13.00,0,0,0,0,0,0
20,1967,1967-10-22,6,24.172,ATL,@,DET,L 3-24,0,0,,0,1,3,3.00,0,2,42,21.00,0,2,7,3.50,0,0,0,0,0,0
21,1967,1967-10-29,7,24.179,ATL,,MIN,W 21-20,0,0,,0,0,0,,0,3,72,24.00,0,2,-5,-2.50,0,0,0,0,0,0
22,1967,1967-11-05,8,24.186,ATL,@,DAL,L 7-37,0,0,,0,0,0,,0,5,94,18.80,0,3,4,1.33,0,0,0,0,0,0
23,1967,1967-11-12,9,24.193,ATL,,BAL,L 7-49,0,0,,0,0,0,,0,7,177,25.29,0,0,0,,0,0,0,0,0,0
24,1967,1967-11-19,10,24.200,ATL,,RAM,L 3-31,1,41,41.00,0,0,0,,0,1,29,29.00,0,3,27,9.00,0,0,0,0,0,0
25,1967,1967-11-26,11,24.207,ATL,@,NOR,L 24-27,0,0,,0,2,11,5.50,0,4,99,24.75,0,0,0,,0,0,0,0,0,0
26,1967,1967-12-03,12,24.214,ATL,@,RAM,L 3-20,0,0,,0,0,0,,0,1,21,21.00,0,1,-6,-6.00,0,0,0,0,0,0
27,1967,1967-12-10,13,24.221,ATL,,SFO,L 28-34,0,0,,0,2,13,6.50,0,1,11,11.00,0,1,3,3.00,0,0,0,0,0,0
28,1968,1968-09-16,1,25.136,RAM,@,STL,W 24-13,0,0,,0,0,0,,0,2,129,64.50,1,2,18,9.00,0,1,6,0,0,0
29,1968,1968-09-22,2,25.142,RAM,,PIT,W 45-10,0,0,,0,0,0,,0,3,85,28.33,0,2,1,0.50,0,0,0,0,0,0
30,1968,1968-09-29,3,25.149,RAM,@,CLE,W 24-6,0,0,,0,0,0,,0,1,18,18.00,0,4,28,7.00,0,0,0,0,0,0
31,1968,1968-10-06,4,25.156,RAM,,SFO,W 24-10,0,0,,0,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,0,0
32,1968,1968-10-13,5,25.163,RAM,@,GNB,W 16-14,0,0,,0,0,0,,0,2,51,25.50,0,1,8,8.00,0,0,0,0,0,0
33,1968,1968-10-20,6,25.170,RAM,,ATL,W 27-14,0,0,,0,0,0,,0,3,76,25.33,0,2,19,9.50,0,0,0,0,0,0
34,1968,1968-10-27,7,25.177,RAM,@,BAL,L 10-27,0,0,,0,0,0,,0,2,43,21.50,0,1,-5,-5.00,0,0,0,0,0,0
35,1968,1968-11-03,8,25.184,RAM,,DET,W 10-7,0,0,,0,0,0,,0,1,24,24.00,0,2,0,0.00,0,0,0,2,28,0
36,1968,1968-11-10,9,25.191,RAM,@,ATL,W 17-10,0,0,,0,0,0,,0,3,89,29.67,0,1,0,0.00,0,0,0,0,0,0
37,1968,1968-11-17,10,25.198,RAM,@,SFO,T 20-20,0,0,,0,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0,0,0
38,1968,1968-11-24,11,25.205,RAM,,NYG,W 24-21,0,0,,0,0,0,,0,3,95,31.67,0,4,55,13.75,0,0,0,0,0,0
39,1968,1968-12-01,12,25.212,RAM,@,MIN,W 31-3,0,0,,0,0,0,,0,0,0,,0,3,30,10.00,0,0,0,0,0,0
40,1968,1968-12-08,13,25.219,RAM,,CHI,L 16-17,0,0,,0,0,0,,0,2,31,15.50,0,2,5,2.50,0,0,0,0,0,0
41,1968,1968-12-15,14,25.226,RAM,,BAL,L 24-28,0,0,,0,0,0,,0,2,36,18.00,0,1,0,0.00,0,0,0,1,0,0
42,1969,1969-09-21,1,26.141,RAM,@,BAL,W 27-20,0,0,,0,0,0,,0,2,46,23.00,0,1,12,12.00,0,0,0,0,0,0
43,1969,1969-09-28,2,26.148,RAM,,ATL,W 17-7,0,0,,0,0,0,,0,2,43,21.50,0,1,17,17.00,0,0,0,0,0,0
44,1969,1969-10-05,3,26.155,RAM,,NOR,W 36-17,0,0,,0,0,0,,0,2,47,23.50,0,3,5,1.67,0,0,0,0,0,0
45,1969,1969-10-12,4,26.162,RAM,@,SFO,W 27-21,0,0,,0,0,0,,0,0,0,,0,2,7,3.50,0,0,0,0,0,0
46,1969,1969-10-19,5,26.169,RAM,,GNB,W 34-21,0,0,,0,0,0,,0,2,45,22.50,0,0,0,,0,0,0,0,0,0
47,1969,1969-10-26,6,26.176,RAM,@,CHI,W 9-7,0,0,,0,0,0,,0,1,24,24.00,0,1,0,0.00,0,0,0,0,0,0
48,1969,1969-11-02,7,26.183,RAM,@,ATL,W 38-6,0,0,,0,0,0,,0,0,0,,0,2,-4,-2.00,0,1,6,2,48,1
49,1969,1969-11-09,8,26.190,RAM,,SFO,W 41-30,0,0,,0,0,0,,0,2,43,21.50,0,2,18,9.00,0,0,0,0,0,0
50,1969,1969-11-16,9,26.197,RAM,@,PHI,W 23-17,0,0,,0,0,0,,0,4,88,22.00,0,1,5,5.00,0,0,0,0,0,0
51,1969,1969-11-23,10,26.204,RAM,,DAL,W 24-23,0,0,,0,0,0,,0,4,102,25.50,0,1,21,21.00,0,0,0,0,0,0
52,1969,1969-11-30,11,26.211,RAM,@,WAS,W 24-13,0,0,,0,0,0,,0,2,46,23.00,0,6,27,4.50,0,0,0,0,0,0
53,1969,1969-12-07,12,26.218,RAM,,MIN,L 13-20,0,0,,0,0,0,,0,3,50,16.67,0,3,14,4.67,0,0,0,0,0,0
54,1969,1969-12-14,13,26.225,RAM,@,DET,L 0-28,0,0,,0,0,0,,0,2,30,15.00,0,0,0,,0,0,0,1,22,0
55,1969,1969-12-21,14,26.232,RAM,,BAL,L 7-13,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0,0,0
56,1970,1970-09-19,1,27.139,CHI,@,NYG,W 24-16,0,0,,0,0,0,,0,1,27,27.00,0,1,9,9.00,0,0,0,0,0,0
57,1970,1970-09-27,2,27.147,CHI,,PHI,W 20-16,0,0,,0,0,0,,0,3,53,17.67,0,1,10,10.00,0,0,0,0,0,0
58,1970,1970-10-05,3,27.155,CHI,@,DET,L 14-28,0,0,,0,0,0,,0,4,101,25.25,0,1,13,13.00,0,0,0,0,0,0
59,1970,1970-10-11,4,27.161,CHI,,MIN,L 0-24,0,0,,0,0,0,,0,1,21,21.00,0,2,10,5.00,0,0,0,0,0,0
60,1970,1970-10-18,5,27.168,CHI,,SDG,L 7-20,0,0,,0,0,0,,0,3,65,21.67,0,0,0,,0,0,0,0,0,0
61,1970,1970-10-25,6,27.175,CHI,,DET,L 10-16,0,0,,0,0,0,,0,2,66,33.00,0,4,4,1.00,0,0,0,0,0,0
62,1970,1970-11-01,7,27.182,CHI,@,ATL,W 23-14,0,0,,0,0,0,,0,1,16,16.00,0,3,8,2.67,0,0,0,0,0,0
63,1970,1970-11-08,8,27.189,CHI,,SFO,L 16-37,0,0,,0,0,0,,0,5,125,25.00,0,1,8,8.00,0,0,0,0,0,0
64,1970,1970-11-15,9,27.196,CHI,@,GNB,L 19-20,0,0,,0,0,0,,0,3,45,15.00,0,4,14,3.50,0,0,0,0,0,0
65,1970,1970-11-22,10,27.203,CHI,,BUF,W 31-13,0,0,,0,0,0,,0,1,22,22.00,0,5,10,2.00,0,0,0,0,0,0
66,1970,1970-11-29,11,27.210,CHI,@,BAL,L 20-21,0,0,,0,0,0,,0,1,44,44.00,0,2,21,10.50,0,0,0,0,0,0
67,1970,1970-12-05,12,27.216,CHI,@,MIN,L 13-16,0,0,,0,0,0,,0,2,43,21.50,0,2,-1,-0.50,0,0,0,0,0,0
68,1970,1970-12-13,13,27.224,CHI,,GNB,W 35-17,0,0,,0,0,0,,0,0,0,,0,2,-4,-2.00,0,0,0,0,0,0
69,1970,1970-12-20,14,27.231,CHI,@,NOR,W 24-3,0,0,,0,0,0,,0,1,23,23.00,0,5,24,4.80,0,0,0,0,0,0
70,1971,1971-09-19,1,28.139,CHI,,PIT,W 17-15,0,0,,0,0,0,,0,4,114,28.50,0,1,17,17.00,0,0,0,0,0,0
71,1971,1971-09-26,2,28.146,CHI,@,MIN,W 20-17,0,0,,0,0,0,,0,3,102,34.00,0,3,14,4.67,0,0,0,1,27,0
72,1971,1971-10-03,3,28.153,CHI,@,RAM,L 3-17,0,0,,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0,0,0,0
73,1971,1971-10-10,4,28.160,CHI,,NOR,W 35-14,0,0,,0,0,0,,0,1,16,16.00,0,2,9,4.50,0,0,0,0,0,0
74,1971,1971-10-17,5,28.167,CHI,@,SFO,L 0-13,0,0,,0,0,0,,0,2,60,30.00,0,2,2,1.00,0,0,0,0,0,0
75,1971,1971-10-24,6,28.174,CHI,@,DET,W 28-23,0,0,,0,0,0,,0,1,35,35.00,0,2,14,7.00,0,0,0,0,0,0
76,1971,1971-10-31,7,28.181,CHI,,DAL,W 23-19,0,0,,0,0,0,,0,3,91,30.33,0,3,44,14.67,0,0,0,1,21,0
77,1971,1971-11-07,8,28.188,CHI,,GNB,L 14-17,0,0,,0,0,0,,0,2,43,21.50,0,2,1,0.50,0,0,0,1,0,0
78,1971,1971-11-14,9,28.195,CHI,,WAS,W 16-15,0,0,,0,0,0,,0,1,14,14.00,0,1,0,0.00,0,0,0,0,0,0
79,1971,1971-11-21,10,28.202,CHI,,DET,L 3-28,0,0,,0,0,0,,0,3,97,32.33,0,2,10,5.00,0,0,0,0,0,0
80,1971,1971-11-29,11,28.210,CHI,@,MIA,L 3-34,0,0,,0,0,0,,0,3,59,19.67,0,0,0,,0,0,0,0,0,0
81,1971,1971-12-05,12,28.216,CHI,@,DEN,L 3-6,0,0,,0,0,0,,0,0,0,,0,4,60,15.00,0,0,0,0,0,0
82,1971,1971-12-12,13,28.223,CHI,@,GNB,L 10-31,0,0,,0,0,0,,0,1,2,2.00,0,2,13,6.50,0,0,0,0,0,0
83,1971,1971-12-19,14,28.230,CHI,,MIN,L 10-27,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0,0,0,0
84,1972,1972-09-17,1,29.137,CHI,,ATL,L 21-37,0,0,,0,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0,0,0
85,1972,1972-09-24,2,29.144,CHI,,RAM,T 13-13,0,0,,0,0,0,,0,4,110,27.50,0,1,7,7.00,0,0,0,0,0,0
86,1972,1972-10-01,3,29.151,CHI,,DET,L 24-38,0,0,,0,0,0,,0,4,146,36.50,0,0,0,,0,0,0,0,0,0
87,1972,1972-10-08,4,29.158,CHI,@,GNB,L 17-20,0,0,,0,0,0,,0,1,37,37.00,0,2,2,1.00,0,0,0,0,0,0
88,1972,1972-10-15,5,29.165,CHI,@,CLE,W 17-0,0,0,,0,0,0,,0,1,30,30.00,0,7,69,9.86,0,0,0,0,0,0
89,1972,1972-10-23,6,29.173,CHI,,MIN,W 13-10,0,0,,0,0,0,,0,1,22,22.00,0,2,7,3.50,0,0,0,0,0,0
90,1972,1972-10-29,7,29.179,CHI,@,STL,W 27-10,0,0,,0,0,0,,0,1,9,9.00,0,1,8,8.00,0,0,0,0,0,0
91,1972,1972-11-05,8,29.186,CHI,@,DET,L 0-14,0,0,,0,0,0,,0,2,50,25.00,0,0,0,,0,0,0,1,2,0
92,1972,1972-11-12,9,29.193,CHI,,GNB,L 17-23,0,0,,0,0,0,,0,3,66,22.00,0,1,3,3.00,0,0,0,0,0,0
93,1972,1972-11-19,10,29.200,CHI,,SFO,L 21-34,0,0,,0,0,0,,0,6,208,34.67,0,4,7,1.75,0,0,0,0,0,0
94,1972,1972-11-26,11,29.207,CHI,,CIN,L 3-13,0,0,,0,0,0,,0,1,23,23.00,0,4,16,4.00,0,0,0,0,0,0
95,1972,1972-12-03,12,29.214,CHI,@,MIN,L 10-23,0,0,,0,0,0,,0,1,25,25.00,0,1,29,29.00,0,0,0,0,0,0
96,1972,1972-12-10,13,29.221,CHI,@,PHI,W 21-12,0,0,,0,0,0,,0,1,20,20.00,0,2,0,0.00,0,0,0,0,0,0
97,1972,1972-12-17,14,29.228,CHI,@,OAK,L 21-28,0,0,,0,0,0,,0,4,178,44.50,1,0,0,,0,1,6,0,0,0
98,1973,1973-09-16,1,30.136,SDG,@,WAS,L 0-38,0,0,,0,0,0,,0,4,66,16.50,0,0,0,,0,0,0,0,0,0
99,1973,1973-09-23,2,30.143,SDG,,BUF,W 34-7,0,0,,0,0,0,,0,0,0,,0,3,82,27.33,1,1,6,0,0,0
100,1973,1973-09-30,3,30.150,SDG,,CIN,L 13-20,0,0,,0,0,0,,0,3,65,21.67,0,0,0,,0,0,0,0,0,0
101,1973,1973-10-07,4,30.157,SDG,@,PIT,L 21-38,0,0,,0,0,0,,0,4,120,30.00,0,2,29,14.50,0,0,0,0,0,0
102,1973,1973-10-14,5,30.164,SDG,,OAK,L 17-27,0,0,,0,0,0,,0,2,34,17.00,0,2,4,2.00,0,0,0,0,0,0
103,1973,1973-10-21,6,30.171,SDG,,ATL,L 0-41,0,0,,0,0,0,,0,4,104,26.00,0,1,11,11.00,0,0,0,1,4,0
104,1973,1973-10-28,7,30.178,SDG,@,CLE,T 16-16,0,0,,0,0,0,,0,2,50,25.00,0,2,4,2.00,0,0,0,0,0,0
105,1973,1973-11-04,8,30.185,SDG,,KAN,L 0-19,0,0,,0,0,0,,0,2,61,30.50,0,5,65,13.00,0,0,0,0,0,0
106,1973,1973-11-11,9,30.192,SDG,@,DEN,L 19-30,0,0,,0,0,0,,0,3,108,36.00,0,1,7,7.00,0,0,0,0,0,0
107,1973,1973-11-18,10,30.199,SDG,,NOR,W 17-14,0,0,,0,0,0,,0,2,48,24.00,0,4,112,28.00,1,1,6,0,0,0
108,1973,1973-11-25,11,30.206,SDG,@,OAK,L 3-31,0,0,,0,0,0,,0,4,75,18.75,0,0,0,,0,0,0,0,0,0
109,1973,1973-12-02,12,30.213,SDG,@,NWE,L 14-30,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
110,1973,1973-12-09,13,30.220,SDG,,DEN,L 28-42,0,0,,0,0,0,,0,3,121,40.33,0,3,36,12.00,0,0,0,0,0,0
111,1973,1973-12-16,14,30.227,SDG,@,KAN,L 6-33,0,0,,0,0,0,,0,3,95,31.67,0,3,2,0.67,0,0,0,0,0,0
112,1974,1974-09-16,1,31.136,OAK,@,BUF,L 20-21,0,0,,0,0,0,,0,0,0,,0,4,44,11.00,0,0,0,0,0,0
113,1974,1974-09-22,2,31.142,OAK,,KAN,W 27-7,0,0,,0,0,0,,0,0,0,,0,4,39,9.75,0,0,0,0,0,0
114,1974,1974-09-29,3,31.149,OAK,@,PIT,W 17-0,0,0,,0,0,0,,0,1,41,41.00,0,6,81,13.50,0,0,0,0,0,0
115,1974,1974-10-06,4,31.156,OAK,@,CLE,W 40-24,0,0,,0,0,0,,0,3,57,19.00,0,4,28,7.00,0,0,0,0,0,0
116,1974,1974-10-13,5,31.163,OAK,@,SDG,W 14-10,0,0,,0,0,0,,0,1,28,28.00,0,4,23,5.75,0,0,0,0,0,0
117,1974,1974-10-20,6,31.170,OAK,,CIN,W 30-27,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
118,1974,1974-10-27,7,31.177,OAK,@,SFO,W 35-24,0,0,,0,0,0,,0,2,42,21.00,0,2,19,9.50,0,0,0,0,0,0
119,1974,1974-11-03,8,31.184,OAK,@,DEN,W 28-17,0,0,,0,0,0,,0,1,21,21.00,0,2,19,9.50,0,0,0,0,0,0
120,1974,1974-11-10,9,31.191,OAK,,DET,W 35-13,0,0,,0,0,0,,0,1,17,17.00,0,1,9,9.00,0,0,0,0,0,0
121,1974,1974-11-17,10,31.198,OAK,,SDG,W 17-10,0,0,,0,0,0,,0,0,0,,0,4,42,10.50,0,0,0,0,0,0
122,1974,1974-11-24,11,31.205,OAK,,DEN,L 17-20,0,0,,0,0,0,,0,3,69,23.00,0,4,58,14.50,0,0,0,0,0,0
123,1974,1974-12-01,12,31.212,OAK,,NWE,W 41-26,0,0,,0,0,0,,0,5,98,19.60,0,1,13,13.00,0,0,0,0,0,0
124,1974,1974-12-08,13,31.219,OAK,@,KAN,W 7-6,0,0,,0,0,0,,0,1,35,35.00,0,1,21,21.00,0,0,0,0,0,0
125,1974,1974-12-14,14,31.225,OAK,,DAL,W 27-23,0,0,,0,0,0,,0,1,12,12.00,0,3,90,30.00,0,0,0,0,0,0
