ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
25,1989,1989-11-05,9,23.345,RAM,@,MIN,L 21-23,,,,,,,,,,,,,,
26,1989,1989-11-12,10,23.352,RAM,,NYG,W 31-10,,,,,,,,,,,,,,
27,1989,1989-11-19,11,23.359,RAM,,PHO,W 37-14,,,,,,,,,,,,,,
28,1989,1989-11-26,12,24.001,RAM,@,NOR,W 20-17,,,,,,,,,,,,,,
29,1989,1989-12-03,13,24.008,RAM,@,DAL,W 35-31,,,,,,,,,,,,,,
30,1989,1989-12-11,14,24.016,RAM,,SFO,L 27-30,,,,,,,,,,,,,,
31,1989,1989-12-17,15,24.022,RAM,,NYJ,W 38-14,,,,,,,,,,,,,,
32,1990,1990-09-09,1,24.288,RAM,@,GNB,L 24-36,,,,,,,,,,,,,,
33,1990,1990-09-16,2,24.295,RAM,@,TAM,W 35-14,,,,,,,,,,,,,,
34,1990,1990-09-23,3,24.302,RAM,,PHI,L 21-27,,,0,0,,0,,,0,0,0.0,1,0,0
35,1990,1990-10-07,4,24.316,RAM,,CIN,L 31-34,,,,,,,,,,,,,,
36,1990,1990-10-14,5,24.323,RAM,@,CHI,L 9-38,,,,,,,,,,,,,,
37,1990,1990-10-21,6,24.330,RAM,,ATL,W 44-24,,,,,,,,,,,,,,
38,1990,1990-10-29,7,24.338,RAM,@,PIT,L 10-41,,,,,,,,,,,,,,
39,1990,1990-11-04,8,24.344,RAM,,HOU,W 17-13,,,,,,,,,,,,,,
40,1990,1990-11-11,9,24.351,RAM,,NYG,L 7-31,,,,,,,,,,,,,,
41,1990,1990-11-18,10,24.358,RAM,,DAL,L 21-24,,,,,,,,,,,,,,
42,1990,1990-11-25,11,25.000,RAM,@,SFO,W 28-17,,,,,,,,,,,,,,
43,1990,1990-12-02,12,25.007,RAM,@,CLE,W 38-23,,,,,,,,,,,,,,
44,1990,1990-12-09,13,25.014,RAM,,NOR,L 20-24,,,0,0,,0,,,0,0,0.0,1,0,0
45,1990,1990-12-17,14,25.022,RAM,,SFO,L 10-26,,,,,,,,,,,,,,
46,1990,1990-12-23,15,25.028,RAM,@,ATL,L 13-20,,,,,,,,,,,,,,
47,1990,1990-12-31,16,25.036,RAM,@,NOR,L 17-20,,,,,,,,,,,,,,
48,1991,1991-09-01,1,25.280,RAM,,PHO,L 14-24,,,,,,,,,,,,,,
49,1991,1991-09-08,2,25.287,RAM,@,NYG,W 19-13,,,,,,,,,,,,,,
50,1991,1991-09-15,3,25.294,RAM,@,NOR,L 7-24,,,,,,,,,,,,,,
51,1991,1991-09-22,4,25.301,RAM,@,SFO,L 10-27,,,,,,,,,,,,,,
52,1991,1991-09-29,5,25.308,RAM,,GNB,W 23-21,,,,,,,,,,,,,,
53,1991,1991-10-13,6,25.322,RAM,,SDG,W 30-24,,,,,,,,,,,,,,
54,1991,1991-10-20,7,25.329,RAM,@,RAI,L 17-20,,,,,,,,,,,,,,
55,1991,1991-10-27,8,25.336,RAM,@,ATL,L 14-31,,,,,,,,,,,,,,
56,1991,1991-11-03,9,25.343,RAM,,NOR,L 17-24,,,,,,,,,,,,,,
57,1991,1991-11-10,10,25.350,RAM,,KAN,L 20-27,,,0,0,,0,,,0,0,1.0,0,0,0
58,1991,1991-11-17,11,25.357,RAM,@,DET,L 10-21,,,,,,,,,,,,,,
59,1991,1991-11-25,12,26.000,RAM,,SFO,L 10-33,,,,,,,,,,,,,,
60,1991,1991-12-01,13,26.006,RAM,,WAS,L 6-27,,,,,,,,,,,,,,
61,1991,1991-12-08,14,26.013,RAM,,ATL,L 14-31,,,,,,,,,,,,,,
62,1991,1991-12-15,15,26.020,RAM,@,MIN,L 14-20,,,,,,,,,,,,,,
63,1991,1991-12-22,16,26.027,RAM,@,SEA,L 9-23,,,0,0,,0,,,0,0,0.0,1,58,0
64,1992,1992-09-06,1,26.286,RAM,@,BUF,L 7-40,,,0,0,,0,0.0%,,0,0,0.0,1,0,0
65,1992,1992-09-13,2,26.293,RAM,,NWE,W 14-0,,,0,0,,0,0.0%,,0,0,0.0,1,0,0
66,1992,1992-09-20,3,26.300,RAM,@,MIA,L 10-26,,,0,0,,0,0.0%,,0,0,0.0,1,17,0
67,1992,1992-09-27,4,26.307,RAM,,NYJ,W 18-10,,,,,,,0.0%,,,,,,,
68,1992,1992-10-04,5,26.314,RAM,@,SFO,L 24-27,,,,,,,0.0%,,,,,,,
69,1992,1992-10-11,6,26.321,RAM,@,NOR,L 10-13,,,,,,,0.0%,,,,,,,
70,1992,1992-10-18,7,26.328,RAM,,NYG,W 38-17,,,0,0,,0,0.0%,,0,0,0.0,1,16,0
71,1992,1992-11-01,8,26.342,RAM,@,ATL,L 28-30,,,,,,,0.0%,,,,,,,
72,1992,1992-11-08,9,26.349,RAM,,PHO,L 14-20,,,,,,,0.0%,,,,,,,
73,1992,1992-11-15,10,26.356,RAM,@,DAL,W 27-23,,,,,,,0.0%,,,,,,,
74,1992,1992-11-22,11,26.363,RAM,,SFO,L 10-27,,,,,,,0.0%,,,,,,,
75,1992,1992-11-29,12,27.004,RAM,,MIN,L 17-31,,,,,,,0.0%,,,,,,,
76,1992,1992-12-06,13,27.011,RAM,@,TAM,W 31-27,,,,,,,0.0%,,,,,,,
77,1992,1992-12-13,14,27.018,RAM,,NOR,L 14-37,,,,,,,0.0%,,,,,,,
78,1992,1992-12-20,15,27.025,RAM,@,GNB,L 13-28,,,,,,,0.0%,,,,,,,
79,1992,1992-12-27,16,27.032,RAM,,ATL,W 38-27,,,,,,,0.0%,,,,,,,
80,1993,1993-09-05,1,27.284,RAM,@,GNB,L 6-36,,,,,,,0.0%,,,,,,,
81,1993,1993-09-12,2,27.291,RAM,,PIT,W 27-0,,,,,,,0.0%,,,,,,,
82,1993,1993-09-19,3,27.298,RAM,@,NYG,L 10-20,,,,,,,0.0%,,,,,,,
83,1993,1993-09-26,4,27.305,RAM,@,HOU,W 28-13,,,,,,,0.0%,,,,,,,
84,1993,1993-10-03,5,27.312,RAM,,NOR,L 6-37,,,,,,,0.0%,,,,,,,
85,1993,1993-10-14,6,27.323,RAM,@,ATL,L 24-30,,,,,,,0.0%,,,,,,,
86,1993,1993-10-24,7,27.333,RAM,,DET,L 13-16,,,,,,,0.0%,,,,,,,
87,1993,1993-10-31,8,27.340,RAM,@,SFO,L 17-40,,,,,,,0.0%,,,,,,,
88,1993,1993-11-14,9,27.354,RAM,,ATL,L 0-13,,,,,,,0.0%,,,,,,,
89,1993,1993-11-21,10,27.361,RAM,,WAS,W 10-6,,,,,,,0.0%,,,,,,,
90,1993,1993-11-28,11,28.003,RAM,,SFO,L 10-35,,,,,,,0.0%,,,,,,,
91,1993,1993-12-05,12,28.010,RAM,@,PHO,L 10-38,,,,,,,0.0%,,,,,,,
92,1993,1993-12-12,13,28.017,RAM,@,NOR,W 23-20,,,,,,,0.0%,,,,,,,
93,1993,1993-12-19,14,28.024,RAM,@,CIN,L 3-15,,,,,,,0.0%,,,,,,,
94,1993,1993-12-26,15,28.031,RAM,,CLE,L 14-42,,,,,,,0.0%,,,,,,,
95,1993,1994-01-02,16,28.038,RAM,,CHI,W 20-6,,,,,,,0.0%,,,,,,,
96,1994,1994-09-04,1,28.283,RAM,,ARI,W 14-12,,,,,,,0.0%,,,,,,,
97,1994,1994-09-11,2,28.290,RAM,@,ATL,L 13-31,,,,,,,0.0%,,,,,,,
98,1994,1994-09-18,3,28.297,RAM,,SFO,L 19-34,,,,,,,0.0%,,,,,,,
99,1994,1994-09-25,4,28.304,RAM,@,KAN,W 16-0,,,,,,,0.0%,,,,,,,
100,1994,1994-10-02,5,28.311,RAM,,ATL,L 5-8,,,,,,,0.0%,,,,,,,
101,1994,1994-10-09,6,28.318,RAM,@,GNB,L 17-24,,,,,,,0.0%,,,,,,,
102,1994,1994-10-16,7,28.325,RAM,,NYG,W 17-10,,0,0,0,,0,0.0%,,0,0,0.0,1,24,0
103,1994,1994-10-23,8,28.332,RAM,@,NOR,L 34-37,,,,,,,0.0%,,,,,,,
104,1994,1994-11-06,9,28.346,RAM,,DEN,W 27-21,,,,,,,0.0%,,,,,,,
105,1994,1994-11-13,10,28.353,RAM,,RAI,L 17-20,,,,,,,0.0%,,,,,,,
106,1994,1994-11-20,11,28.360,RAM,@,SFO,L 27-31,,,,,,,0.0%,,,,,,,
107,1994,1994-11-27,12,29.002,RAM,@,SDG,L 17-31,,,,,,,0.0%,,,,,,,
108,1994,1994-12-04,13,29.009,RAM,,NOR,L 15-31,,,,,,,0.0%,,,,,,,
109,1994,1994-12-11,14,29.016,RAM,@,TAM,L 14-24,,,,,,,0.0%,,,,,,,
110,1994,1994-12-18,15,29.023,RAM,@,CHI,L 13-27,,,,,,,0.0%,,,,,,,
111,1994,1994-12-24,16,29.029,RAM,,WAS,L 21-24,,,0,0,,0,0.0%,,1,6,0.0,1,22,1
112,1995,1995-09-10,2,29.289,NOR,@,STL,L 13-17,,,0,0,,0,0.0%,,,,,,,
113,1995,1995-09-17,3,29.296,NOR,,ATL,L 24-27,,0,0,0,,0,0.0%,,,,,,,
114,1995,1995-09-24,4,29.303,NOR,@,NYG,L 29-45,,0,0,0,,0,0.0%,,,,,,,
115,1995,1995-10-01,5,29.310,NOR,,PHI,L 10-15,,,0,0,,0,0.0%,,,,,,,
116,1995,1995-10-15,6,29.324,NOR,,MIA,W 33-30,,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0,0
117,1995,1995-10-22,7,29.331,NOR,@,CAR,L 3-20,,,0,0,,0,0.0%,,,,,,,
118,1995,1995-10-29,8,29.338,NOR,@,SFO,W 11-7,,,0,0,,0,0.0%,,,,,,,
119,1995,1995-11-05,9,29.345,NOR,,STL,W 19-10,,0,0,0,,0,0.0%,,,,,,,
120,1995,1995-11-12,10,29.352,NOR,,IND,W 17-14,,0,0,0,,0,0.0%,,,,,,,
121,1995,1995-11-19,11,29.359,NOR,@,MIN,L 24-43,,,0,0,,0,0.0%,,,,,,,
122,1995,1995-11-26,12,30.001,NOR,,CAR,W 34-26,,,0,0,,0,0.0%,,,,,,,
123,1995,1995-12-16,15,30.021,NOR,,GNB,L 23-34,,,0,0,,0,0.0%,,,,,,,
124,1996,1996-09-01,1,30.281,NOR,@,SFO,L 11-27,,,,,,,0.0%,,,,,,,
125,1996,1996-09-08,2,30.288,NOR,,CAR,L 20-22,,0,0,0,,0,0.0%,,0,0,0.0,1,0,0
126,1996,1996-09-15,3,30.295,NOR,@,CIN,L 15-30,,,,,,,0.0%,,,,,,,
127,1996,1996-09-22,4,30.302,NOR,,ARI,L 14-28,,,,,,,0.0%,,,,,,,
128,1996,1996-10-06,6,30.316,NOR,,JAX,W 17-13,,,,,,,0.0%,,,,,,,
129,1996,1996-10-13,7,30.323,NOR,,CHI,W 27-24,,,,,,,0.0%,,,,,,,
130,1996,1996-10-20,8,30.330,NOR,@,CAR,L 7-19,,,,,,,0.0%,,,,,,,
131,1996,1996-11-03,9,30.344,NOR,,SFO,L 17-24,,,,,,,0.0%,,,,,,,
132,1996,1996-11-10,10,30.351,NOR,,HOU,L 14-31,,,,,,,0.0%,,,,,,,
133,1996,1996-11-17,11,30.358,NOR,@,ATL,L 15-17,,,,,,,0.0%,,,,,,,
134,1996,1996-11-24,12,30.365,NOR,@,TAM,L 7-13,,,,,,,0.0%,,,,,,,
135,1996,1996-12-01,13,31.006,NOR,,STL,L 10-26,,,,,,,0.0%,,,,,,,
136,1996,1996-12-08,14,31.013,NOR,,ATL,L 15-31,,,,,,,0.0%,,,,,,,
137,1996,1996-12-15,15,31.020,NOR,@,NYG,W 17-3,,0,0,0,,0,0.0%,,0,0,0.0,1,21,0
138,1996,1996-12-21,16,31.026,NOR,@,STL,L 13-14,,0,0,0,,0,0.0%,,0,0,0.0,1,19,0
139,1997,1997-08-31,1,31.279,NOR,@,STL,L 24-38,,,,,,,0.0%,,,,,,,
140,1997,1997-09-07,2,31.286,NOR,,SDG,L 6-20,,,,,,,0.0%,,,,,,,
141,1997,1997-09-14,3,31.293,NOR,@,SFO,L 7-33,,,,,,,0.0%,,,,,,,
142,1997,1997-09-21,4,31.300,NOR,,DET,W 35-17,,0,0,0,,0,0.0%,,0,0,0.0,2,2,0
143,1997,1997-09-28,5,31.307,NOR,@,NYG,L 9-14,,,,,,,0.0%,,,,,,,
144,1997,1997-10-05,6,31.314,NOR,@,CHI,W 20-17,,,,,,,0.0%,,,,,,,
145,1997,1997-10-12,7,31.321,NOR,,ATL,L 17-23,,,,,,,0.0%,,,,,,,
146,1997,1997-10-19,8,31.328,NOR,,CAR,L 0-13,,,,,,,0.0%,,,,,,,
147,1997,1997-10-26,9,31.335,NOR,,SFO,L 0-23,,,,,,,0.0%,,,,,,,
148,1997,1997-11-09,10,31.349,NOR,@,OAK,W 13-10,,,,,,,0.0%,,,,,,,
149,1997,1997-11-16,11,31.356,NOR,,SEA,W 20-17,,,,,,,0.0%,,,,,,,
150,1997,1997-11-30,13,32.005,NOR,@,CAR,W 16-13,,0,0,0,,0,0.0%,,0,0,0.0,1,17,0
151,1998,1998-09-06,1,32.285,OAK,@,KAN,L 8-28,,,,,,,0.0%,,,,,,,
152,1998,1998-09-13,2,32.292,OAK,,NYG,W 20-17,,,,,,,0.0%,,,,,,,
153,1998,1998-10-04,5,32.313,OAK,@,ARI,W 23-20,,,,,,,0.0%,,,,,,,
154,1998,1998-10-11,6,32.320,OAK,,SDG,W 7-6,,0,0,0,,0,0.0%,,0,0,0.0,1,11,0
155,1998,1998-10-25,7,32.334,OAK,,CIN,W 27-10,,,,,,,0.0%,,,,,,,
156,1998,1998-11-01,8,32.341,OAK,@,SEA,W 31-18,,,,,,,0.0%,,,,,,,
157,1998,1998-11-15,10,32.355,OAK,,SEA,W 20-17,,,,,,,0.0%,,,,,,,
158,1998,1998-12-06,13,33.011,OAK,,MIA,L 17-27,,,,,,,0.0%,,,,,,,
159,1998,1998-12-20,15,33.025,OAK,@,SDG,W 17-10,,0,0,0,,0,0.0%,,0,0,0.0,1,6,0
160,1998,1998-12-26,16,33.031,OAK,,KAN,L 24-31,,,,,,,0.0%,,,,,,,
161,1999,1999-09-12,1,33.291,OAK,@,GNB,L 24-28,*,0,,,,,0.0%,,,,,,,
162,1999,1999-09-19,2,33.298,OAK,@,MIN,W 22-17,*,0,,,,,0.0%,,,,,,,
163,1999,1999-09-26,3,33.305,OAK,,CHI,W 24-17,*,0,,,,,0.0%,,,,,,,
164,1999,1999-10-03,4,33.312,OAK,@,SEA,L 21-22,*,0,,,,,0.0%,,,,,,,
165,1999,1999-10-10,5,33.319,OAK,,DEN,L 13-16,*,0,,,,,0.0%,,,,,,,
166,1999,1999-10-17,6,33.326,OAK,@,BUF,W 20-14,,0,,,,,0.0%,,,,,,,
167,1999,1999-10-24,7,33.333,OAK,,NYJ,W 24-23,,0,,,,,0.0%,,,,,,,
168,1999,1999-10-31,8,33.340,OAK,,MIA,L 9-16,*,0,,,,,0.0%,,,,,,,
169,1999,1999-11-14,9,33.354,OAK,,SDG,W 28-9,,0,,,,,0.0%,,,,,,,
170,1999,1999-11-22,10,33.362,OAK,@,DEN,L 21-27,*,0,,,,,0.0%,,,,,,,
171,1999,1999-11-28,11,34.003,OAK,,KAN,L 34-37,*,0,,,,,0.0%,,,,,,,
172,1999,1999-12-05,12,34.010,OAK,,SEA,W 30-21,*,0,0,0,,0,0.0%,,0,0,0.0,1,16,0
173,1999,1999-12-09,13,34.014,OAK,@,TEN,L 14-21,*,0,,,,,0.0%,,,,,,,
174,1999,1999-12-19,14,34.024,OAK,,TAM,W 45-0,*,0,,,,,0.0%,,,,,,,
175,1999,1999-12-26,15,34.031,OAK,@,SDG,L 20-23,*,0,0,0,,0,0.0%,,0,0,0.0,1,0,0
176,1999,2000-01-02,16,34.038,OAK,@,KAN,W 41-38,*,0,,,,,0.0%,,,,,,,
