ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
132,1998,1998-10-18,7,29.272,SDG,,PHI,W 13-10,,0,0,0,,0,0.0%,,0.5,,,0,0,0
133,1998,1998-10-25,8,29.279,SDG,,SEA,L 20-27,,,,,,,0.0%,,,,,,,
134,1998,1998-11-08,9,29.293,SDG,@,DEN,L 10-27,,0,0,0,,0,0.0%,,1.0,,,0,0,0
135,1998,1998-11-22,11,29.307,SDG,,KAN,W 38-37,,,,,,,0.0%,,,,,,,
136,1998,1998-11-29,12,29.314,SDG,,DEN,L 16-31,,0,0,0,,0,0.0%,,1.0,,,0,0,0
137,1998,1998-12-06,13,29.321,SDG,@,WAS,L 20-24,,0,0,0,,0,0.0%,,1.0,,,0,0,0
138,1998,1998-12-13,14,29.328,SDG,@,SEA,L 17-38,,,,,,,0.0%,,,,,,,
139,1998,1998-12-20,15,29.335,SDG,,OAK,L 10-17,,,,,,,0.0%,,,,,,,
140,1998,1998-12-27,16,29.342,SDG,@,ARI,L 13-16,,,,,,,0.0%,,,,,,,
141,1999,1999-09-19,1,30.243,SDG,@,CIN,W 34-7,*,1,0,0,,0,0.0%,0.00,1.0,,,0,0,0
142,1999,1999-09-26,2,30.250,SDG,,IND,L 19-27,*,1,,,,,0.0%,,,,,,,
143,1999,1999-10-03,3,30.257,SDG,,KAN,W 21-14,*,0,,,,,0.0%,,,,,,,
144,1999,1999-10-10,4,30.264,SDG,@,DET,W 20-10,*,0,0,0,,0,0.0%,,2.0,,,0,0,0
145,1999,1999-10-17,5,30.271,SDG,,SEA,W 13-10,*,0,,,,,0.0%,,,,,,,
146,1999,1999-10-24,6,30.278,SDG,,GNB,L 3-31,*,0,,,,,0.0%,,,,,,,
147,1999,1999-10-31,7,30.285,SDG,@,KAN,L 0-34,*,0,,,,,0.0%,,,,,,,
148,1999,1999-11-07,8,30.292,SDG,,DEN,L 17-33,*,0,,,,,0.0%,,,,,,,
149,1999,1999-11-14,9,30.299,SDG,@,OAK,L 9-28,*,0,,,,,0.0%,,,,,,,
150,1999,1999-11-21,10,30.306,SDG,,CHI,L 20-23,*,1,1,2,2.00,0,100.0%,2.00,0.0,,,0,0,0
151,1999,1999-11-28,11,30.313,SDG,@,MIN,L 27-35,*,1,1,6,6.00,0,100.0%,6.00,0.0,,,0,0,0
152,1999,1999-12-12,13,30.327,SDG,@,SEA,W 19-16,*,0,,,,,0.0%,,,,,,,
153,1999,1999-12-19,14,30.334,SDG,@,MIA,L 9-12,*,0,,,,,0.0%,,,,,,,
154,1999,1999-12-26,15,30.341,SDG,,OAK,W 23-20,*,0,0,0,,0,0.0%,,0.5,,,1,16,0
155,2000,2000-09-03,1,31.228,SDG,@,OAK,L 6-9,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
156,2000,2000-09-10,2,31.235,SDG,,NOR,L 27-28,,0,,,,,0.0%,,,,,,,
157,2000,2000-09-17,3,31.242,SDG,@,KAN,L 10-42,,0,,,,,0.0%,,,,,,,
158,2000,2000-09-24,4,31.249,SDG,,SEA,L 12-20,*,0,0,0,,0,0.0%,,0.5,,,0,0,0
159,2000,2000-10-01,5,31.256,SDG,@,STL,L 31-57,*,0,,,,,0.0%,,,,,,,
160,2000,2000-10-08,6,31.263,SDG,,DEN,L 7-21,*,0,,,,,0.0%,,,,,,,
161,2000,2000-10-15,7,31.270,SDG,@,BUF,L 24-27,,0,,,,,0.0%,,,,,,,
162,2000,2000-10-29,8,31.284,SDG,,OAK,L 13-15,,0,0,0,,0,0.0%,,0.0,,,1,0,0
163,2000,2000-11-05,9,31.291,SDG,@,SEA,L 15-17,,0,0,0,,0,0.0%,,1.0,,,0,0,0
164,2000,2000-11-12,10,31.298,SDG,,MIA,L 7-17,*,0,,,,,0.0%,,,,,,,
165,2000,2000-11-19,11,31.305,SDG,@,DEN,L 37-38,,0,,,,,0.0%,,,,,,,
166,2000,2000-11-26,12,31.312,SDG,,KAN,W 17-16,,0,0,0,,0,0.0%,,0.0,,,1,2,0
167,2000,2000-12-03,13,31.319,SDG,,SFO,L 17-45,,0,0,0,,0,0.0%,,1.0,,,0,0,0
168,2000,2000-12-10,14,31.326,SDG,@,BAL,L 3-24,*,0,,,,,0.0%,,,,,,,
169,2000,2000-12-17,15,31.333,SDG,@,CAR,L 22-30,*,0,,,,,0.0%,,,,,,,
170,2000,2000-12-24,16,31.340,SDG,,PIT,L 21-34,,0,,,,,0.0%,,,,,,,
171,2001,2001-09-09,1,32.233,SDG,,WAS,W 30-3,*,0,,,,,0.0%,,,,,,,
172,2001,2001-09-23,2,32.247,SDG,@,DAL,W 32-21,*,0,,,,,0.0%,,,,,,,
173,2001,2001-09-30,3,32.254,SDG,,CIN,W 28-14,*,0,0,0,,0,0.0%,,0.0,,,1,2,0
174,2001,2001-10-07,4,32.261,SDG,@,CLE,L 16-20,*,0,,,,,0.0%,,,,,,,
175,2001,2001-10-14,5,32.268,SDG,@,NWE,L 26-29,*,0,,,,,0.0%,,,,,,,
176,2001,2001-10-21,6,32.275,SDG,,DEN,W 27-10,*,0,,,,,0.0%,,,,,,,
177,2001,2001-10-28,7,32.282,SDG,,BUF,W 27-24,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
178,2001,2001-11-04,8,32.289,SDG,,KAN,L 20-25,*,0,,,,,0.0%,,,,,,,
179,2001,2001-11-11,9,32.296,SDG,@,DEN,L 16-26,*,0,,,,,0.0%,,,,,,,
180,2001,2001-11-18,10,32.303,SDG,@,OAK,L 24-34,*,0,,,,,0.0%,,,,,,,
181,2001,2001-11-25,11,32.310,SDG,,ARI,L 17-20,*,0,,,,,0.0%,,,,,,,
182,2001,2001-12-02,12,32.317,SDG,@,SEA,L 10-13,*,0,,,,,0.0%,,,,,,,
183,2001,2001-12-09,13,32.324,SDG,@,PHI,L 14-24,*,0,,,,,0.0%,,,,,,,
184,2001,2001-12-15,14,32.330,SDG,,OAK,L 6-13,*,0,,,,,0.0%,,,,,,,
185,2001,2001-12-23,15,32.338,SDG,@,KAN,L 17-20,*,0,,,,,0.0%,,,,,,,
186,2001,2001-12-30,16,32.345,SDG,,SEA,L 22-25,*,0,,,,,0.0%,,,,,,,
187,2002,2002-09-08,1,33.232,SDG,@,CIN,W 34-6,*,0,,,,,0.0%,,,,,,,
188,2002,2002-09-15,2,33.239,SDG,,HOU,W 24-3,*,0,0,0,,0,0.0%,,1.0,,,1,25,0
189,2002,2002-09-22,3,33.246,SDG,@,ARI,W 23-15,*,0,,,,,0.0%,,,,,,,
190,2002,2002-09-29,4,33.253,SDG,,NWE,W 21-14,*,0,,,,,0.0%,,,,,,,
191,2002,2002-10-13,6,33.267,SDG,,KAN,W 35-34,*,0,,,,,0.0%,,,,,,,
192,2002,2002-11-03,8,33.288,SDG,,NYJ,L 13-44,*,0,,,,,0.0%,,,,,,,
193,2002,2002-11-10,9,33.295,SDG,@,STL,L 24-28,*,0,,,,,0.0%,,,,,,,
194,2002,2002-11-17,10,33.302,SDG,,SFO,W 20-17,*,0,,,,,0.0%,,,,,,,
195,2002,2002-11-24,11,33.309,SDG,@,MIA,L 3-30,*,0,,,,,0.0%,,,,,,,
196,2002,2002-12-01,12,33.316,SDG,,DEN,W 30-27,*,0,,,,,0.0%,,,,,,,
197,2002,2002-12-08,13,33.323,SDG,,OAK,L 7-27,*,0,,,,,0.0%,,,,,,,
198,2002,2002-12-15,14,33.330,SDG,@,BUF,L 13-20,*,0,0,0,,0,0.0%,,0.5,,,0,0,0
199,2002,2002-12-22,15,33.337,SDG,@,KAN,L 22-24,*,0,,,,,0.0%,,,,,,,
200,2003,2003-09-07,1,34.231,MIA,,HOU,L 20-21,*,0,,,,,0.0%,,,,,,,
201,2003,2003-09-14,2,34.238,MIA,@,NYJ,W 21-10,*,0,,,,,0.0%,,,,,,,
202,2003,2003-09-21,3,34.245,MIA,,BUF,W 17-7,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
203,2003,2003-10-05,4,34.259,MIA,@,NYG,W 23-10,*,0,,,,,0.0%,,,,,,,
204,2003,2003-10-19,6,34.273,MIA,,NWE,L 13-19,*,0,,,,,0.0%,,,,,,,
205,2003,2003-10-27,7,34.281,MIA,@,SDG,W 26-10,*,0,,,,,0.0%,,,,,,,
206,2003,2003-11-02,8,34.287,MIA,,IND,L 17-23,*,0,,,,,0.0%,,,,,,,
207,2003,2003-11-09,9,34.294,MIA,@,TEN,L 7-31,*,0,,,,,0.0%,,,,,,,
208,2003,2003-11-16,10,34.301,MIA,,BAL,W 9-6,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
209,2003,2003-11-23,11,34.308,MIA,,WAS,W 24-23,*,0,,,,,0.0%,,,,,,,
210,2003,2003-11-27,12,34.312,MIA,@,DAL,W 40-21,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
211,2003,2003-12-07,13,34.322,MIA,@,NWE,L 0-12,*,0,,,,,0.0%,,,,,,,
212,2003,2003-12-15,14,34.330,MIA,,PHI,L 27-34,*,0,,,,,0.0%,,,,,,,
213,2003,2003-12-21,15,34.336,MIA,@,BUF,W 20-3,*,0,,,,,0.0%,,,,,,,
214,2003,2003-12-28,16,34.343,MIA,,NYJ,W 23-21,*,0,,,,,0.0%,,,,,,,
215,2004,2004-09-11,1,35.236,MIA,,TEN,L 7-17,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
216,2004,2004-09-19,2,35.244,MIA,@,CIN,L 13-16,*,0,,,,,0.0%,,,,,,,
217,2004,2004-09-26,3,35.251,MIA,,PIT,L 3-13,*,0,,,,,0.0%,,,,,,,
218,2004,2004-10-03,4,35.258,MIA,,NYJ,L 9-17,*,0,,,,,0.0%,,,,,,,
219,2004,2004-10-10,5,35.265,MIA,@,NWE,L 10-24,*,0,,,,,0.0%,,,,,,,
220,2004,2004-10-17,6,35.272,MIA,@,BUF,L 13-20,*,0,,,,,0.0%,,,,,,,
221,2004,2004-10-24,7,35.279,MIA,,STL,W 31-14,*,0,,,,,0.0%,,,,,,,
222,2004,2004-11-01,8,35.287,MIA,@,NYJ,L 14-41,*,0,,,,,0.0%,,,,,,,
223,2005,2005-09-11,1,36.235,MIA,,DEN,W 34-10,*,0,,,,,0.0%,,,,,,,
224,2005,2005-09-18,2,36.242,MIA,@,NYJ,L 7-17,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
225,2005,2005-09-25,3,36.249,MIA,,CAR,W 27-24,*,0,,,,,0.0%,,,,,,,
226,2005,2005-10-09,4,36.263,MIA,@,BUF,L 14-20,,0,,,,,0.0%,,,,,,,
227,2005,2005-11-06,8,36.291,MIA,,ATL,L 10-17,*,0,,,,,0.0%,,,,,,,
228,2005,2005-11-13,9,36.298,MIA,,NWE,L 16-23,,0,,,,,0.0%,,,,,,,
229,2005,2005-11-20,10,36.305,MIA,@,CLE,L 0-22,*,0,,,,,0.0%,,,,,,,
230,2006,2006-09-10,1,37.234,NWE,,BUF,W 19-17,*,0,,,,,0.0%,,,,,,,
231,2006,2006-09-17,2,37.241,NWE,@,NYJ,W 24-17,*,0,,,,,0.0%,,,,,,,
232,2006,2006-09-24,3,37.248,NWE,,DEN,L 7-17,*,0,,,,,0.0%,,,,,,,
233,2006,2006-10-01,4,37.255,NWE,@,CIN,W 38-13,,0,,,,,0.0%,,,,,,,
234,2006,2006-10-08,5,37.262,NWE,,MIA,W 20-10,*,0,,,,,0.0%,,,,,,,
235,2006,2006-10-22,6,37.276,NWE,@,BUF,W 28-6,*,0,,,,,0.0%,,,,,,,
236,2006,2006-10-30,7,37.284,NWE,@,MIN,W 31-7,*,0,,,,,0.0%,,,,,,,
237,2006,2006-11-05,8,37.290,NWE,,IND,L 20-27,*,0,0,0,,0,0.0%,,1.0,,,0,0,0
238,2006,2006-11-12,9,37.297,NWE,,NYJ,L 14-17,*,0,,,,,0.0%,,,,,,,
239,2006,2006-11-19,10,37.304,NWE,@,GNB,W 35-0,*,0,,,,,0.0%,,,,,,,
240,2006,2006-11-26,11,37.311,NWE,,CHI,W 17-13,*,0,,,,,0.0%,,,,,,,
241,2007,2007-09-09,1,38.233,NWE,@,NYJ,W 38-14,,0,,,,,0.0%,,,,,,,
242,2007,2007-09-16,2,38.240,NWE,,SDG,W 38-14,,0,,,,,0.0%,,,,,,,
243,2007,2007-09-23,3,38.247,NWE,,BUF,W 38-7,,0,,,,,0.0%,,,,,,,
244,2007,2007-10-01,4,38.255,NWE,@,CIN,W 34-13,,0,,,,,0.0%,,,,,,,
245,2007,2007-10-07,5,38.261,NWE,,CLE,W 34-17,,0,0,0,,0,0.0%,,0.0,,,2,23,0
246,2007,2007-10-14,6,38.268,NWE,@,DAL,W 48-27,,,0,0,,0,0.0%,,0.0,,,1,5,0
247,2007,2007-10-21,7,38.275,NWE,@,MIA,W 49-28,,0,0,0,,0,0.0%,,1.0,,,0,0,0
248,2007,2007-10-28,8,38.282,NWE,,WAS,W 52-7,,0,,,,,0.0%,,,,,,,
249,2007,2007-11-04,9,38.289,NWE,@,IND,W 24-20,,0,,,,,0.0%,,,,,,,
250,2007,2007-11-18,10,38.303,NWE,@,BUF,W 56-10,,0,,,,,0.0%,,,,,,,
251,2007,2007-11-25,11,38.310,NWE,,PHI,W 31-28,,0,,,,,0.0%,,,,,,,
252,2007,2007-12-03,12,38.318,NWE,@,BAL,W 27-24,,0,,,,,0.0%,,,,,,,
253,2007,2007-12-09,13,38.324,NWE,,PIT,W 34-13,*,0,,,,,0.0%,,,,,,,
254,2007,2007-12-16,14,38.331,NWE,,NYJ,W 20-10,*,0,0,0,,0,0.0%,,2.0,,,0,0,0
