ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
18,1995,1995-10-01,5,27.131,OAK,@,NYJ,W 47-10,4,1,6,6.00,1,25.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
19,1995,1995-10-08,6,27.138,OAK,,SEA,W 34-14,6,4,68,17.00,0,66.7%,11.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
20,1995,1995-10-16,7,27.146,OAK,@,DEN,L 0-27,5,1,43,43.00,0,20.0%,8.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
21,1995,1995-10-22,8,27.152,OAK,,IND,W 30-17,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,10,10.00,0,0,0
22,1995,1995-11-05,9,27.166,OAK,@,CIN,W 20-17,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
23,1995,1995-11-12,10,27.173,OAK,@,NYG,W 17-13,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
24,1995,1995-11-19,11,27.180,OAK,,DAL,L 21-34,12,4,43,10.75,0,33.3%,3.58,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
25,1995,1995-11-27,12,27.188,OAK,@,SDG,L 6-12,6,3,52,17.33,0,50.0%,8.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
26,1995,1995-12-03,13,27.194,OAK,,KAN,L 23-29,7,2,62,31.00,0,28.6%,8.86,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0
27,1995,1995-12-10,14,27.201,OAK,,PIT,L 10-29,4,2,35,17.50,0,50.0%,8.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
28,1995,1995-12-17,15,27.208,OAK,@,SEA,L 10-44,3,1,6,6.00,0,33.3%,2.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
29,1995,1995-12-24,16,27.215,OAK,,DEN,L 28-31,4,3,41,13.67,1,75.0%,10.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
30,1996,1996-09-01,1,28.101,OAK,@,BAL,L 14-19,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
31,1996,1996-09-08,2,28.108,OAK,@,KAN,L 3-19,9,5,50,10.00,0,55.6%,5.56,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
32,1996,1996-09-15,3,28.115,OAK,,JAX,W 17-3,4,3,43,14.33,0,75.0%,10.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
33,1996,1996-09-22,4,28.122,OAK,,SDG,L 34-40,9,5,59,11.80,0,55.6%,6.56,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
34,1996,1996-09-29,5,28.129,OAK,@,CHI,L 17-19,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,,,,,0,0,,0,2,48,24.00,0,0,0
35,1996,1996-10-06,6,28.136,OAK,@,NYJ,W 34-13,2,2,10,5.00,1,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,1,10,10.00,0,1,6
36,1996,1996-10-13,7,28.143,OAK,,DET,W 37-21,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,,,,,0,0,,0,5,17,3.40,0,0,0
37,1996,1996-10-21,8,28.151,OAK,@,SDG,W 23-14,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,0,0
38,1996,1996-11-04,9,28.165,OAK,,DEN,L 21-22,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
39,1996,1996-11-10,10,28.171,OAK,@,TAM,L 17-20,3,3,27,9.00,1,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
40,1996,1996-11-17,11,28.178,OAK,,MIN,L 13-16,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,
41,1996,1996-11-24,12,28.185,OAK,@,SEA,W 27-21,1,1,29,29.00,0,100.0%,29.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
42,1996,1996-12-01,13,28.192,OAK,,MIA,W 17-7,1,1,9,9.00,0,100.0%,9.00,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,0,0,,0,0,0
43,1996,1996-12-09,14,28.200,OAK,,KAN,W 26-7,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,
44,1996,1996-12-15,15,28.206,OAK,@,DEN,L 19-24,11,6,52,8.67,1,54.5%,4.73,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
45,1996,1996-12-22,16,28.213,OAK,,SEA,L 21-28,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0,,,,,,1,14,14.00,0,1,0,0.00,0,0,0
46,1997,1997-08-31,1,29.100,NOR,@,STL,L 24-38,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
47,1997,1997-09-07,2,29.107,NOR,,SDG,L 6-20,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
48,1997,1997-09-14,3,29.114,NOR,@,SFO,L 7-33,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
49,1997,1997-09-21,4,29.121,NOR,,DET,W 35-17,1,1,20,20.00,1,100.0%,20.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
50,1997,1997-10-05,6,29.135,SEA,,TEN,W 16-13,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
51,1997,1997-10-26,8,29.156,SEA,,OAK,W 45-34,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
52,1997,1997-11-02,9,29.163,SEA,@,DEN,L 27-30,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
53,1997,1997-11-09,10,29.170,SEA,@,SDG,W 37-31,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
54,1997,1997-11-16,11,29.177,SEA,@,NOR,L 17-20,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
55,1997,1997-11-23,12,29.184,SEA,,KAN,L 14-19,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
56,1997,1997-11-30,13,29.191,SEA,,ATL,L 17-24,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
57,1997,1997-12-07,14,29.198,SEA,@,BAL,L 24-31,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
58,1997,1997-12-14,15,29.205,SEA,@,OAK,W 22-21,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
59,1997,1997-12-21,16,29.212,SEA,,SFO,W 38-9,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
