ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
38,2012,2012-11-04,8,25.091,BUF,@,HOU,L 9-21,,6,39,6.50,0,5,5,63,12.60,0,100.0%,12.60,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2012,2012-11-11,9,25.098,BUF,@,NWE,L 31-37,,9,70,7.78,0,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2012,2012-11-15,10,25.102,BUF,,MIA,W 19-14,*,22,91,4.14,0,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2012,2012-11-25,11,25.112,BUF,@,IND,L 13-20,*,14,107,7.64,0,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2012,2012-12-02,12,25.119,BUF,,JAX,W 34-18,*,14,77,5.50,1,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0
43,2012,2012-12-09,13,25.126,BUF,,STL,L 12-15,*,7,37,5.29,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2012,2012-12-16,14,25.133,BUF,,SEA,L 17-50,*,17,103,6.06,1,5,3,-2,-0.67,0,60.0%,-0.40,0,0,,0,0,0,,0,1,6,0.0,0,0
45,2012,2012-12-23,15,25.140,BUF,@,MIA,L 10-24,*,22,138,6.27,0,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2012,2012-12-30,16,25.147,BUF,,NYJ,W 28-9,*,24,59,2.46,0,7,2,72,36.00,1,28.6%,10.29,0,0,,0,0,0,,0,1,6,0.0,0,0
47,2013,2013-09-08,1,26.034,BUF,,NWE,L 21-23,*,17,41,2.41,0,6,5,14,2.80,0,83.3%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0
48,2013,2013-09-15,2,26.041,BUF,,CAR,W 24-23,*,16,103,6.44,0,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2013,2013-09-22,3,26.048,BUF,@,NYJ,L 20-27,*,10,9,0.90,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
50,2013,2013-09-29,4,26.055,BUF,,BAL,W 23-20,*,23,77,3.35,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
51,2013,2013-10-03,5,26.059,BUF,@,CLE,L 24-37,,8,66,8.25,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,0,0
52,2013,2013-10-13,6,26.069,BUF,,CIN,L 24-27,,10,55,5.50,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2013,2013-10-20,7,26.076,BUF,@,MIA,W 23-21,,6,11,1.83,0,3,3,-4,-1.33,0,100.0%,-1.33,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2013,2013-11-03,9,26.090,BUF,,KAN,L 13-23,,12,116,9.67,0,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0
55,2013,2013-11-10,10,26.097,BUF,@,PIT,L 10-23,*,8,23,2.88,0,3,3,11,3.67,0,100.0%,3.67,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2013,2013-11-17,11,26.104,BUF,,NYJ,W 37-14,,13,6,0.46,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
57,2013,2013-12-01,12,26.118,BUF,,ATL,L 31-34,*,15,149,9.93,1,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,1,6,0.0,0,0
58,2013,2013-12-08,13,26.125,BUF,@,TAM,L 6-27,*,11,22,2.00,0,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,0.0,0,0
59,2013,2013-12-15,14,26.132,BUF,@,JAX,W 27-20,*,13,67,5.15,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,0.0,0,0
60,2013,2013-12-22,15,26.139,BUF,,MIA,W 19-0,*,21,83,3.95,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
61,2013,2013-12-29,16,26.146,BUF,@,NWE,L 20-34,*,19,105,5.53,0,5,5,28,5.60,0,100.0%,5.60,0,0,,0,0,0,,0,0,0,0.0,0,0
62,2014,2014-09-07,1,27.033,BUF,@,CHI,W 23-20,*,15,53,3.53,0,3,3,11,3.67,1,100.0%,3.67,1,29,29.00,0,0,0,,0,1,6,0.0,0,0
63,2014,2014-09-14,2,27.040,BUF,,MIA,W 29-10,,12,69,5.75,0,1,1,9,9.00,0,100.0%,9.00,2,122,61.00,1,0,0,,0,0,6,0.0,0,0
64,2014,2014-09-21,3,27.047,BUF,,SDG,L 10-22,*,10,25,2.50,0,3,3,37,12.33,0,100.0%,12.33,1,18,18.00,0,0,0,,0,0,0,0.0,0,0
65,2014,2014-09-28,4,27.054,BUF,@,HOU,L 17-23,*,15,60,4.00,0,3,3,24,8.00,0,100.0%,8.00,3,82,27.33,0,0,0,,0,0,0,0.0,0,0
66,2014,2014-10-05,5,27.061,BUF,@,DET,W 17-14,,10,8,0.80,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0
67,2014,2014-10-12,6,27.068,BUF,,NWE,L 22-37,*,6,19,3.17,0,1,0,0,,0,0.0%,0.00,2,52,26.00,0,0,0,,0,0,0,0.0,0,0
68,2014,2014-10-19,7,27.075,BUF,,MIN,W 17-16,*,1,53,53.00,0,1,1,3,3.00,0,100.0%,3.00,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
69,2014,2014-12-21,15,27.138,BUF,@,OAK,L 24-26,,4,-4,-1.00,0,4,4,14,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0
70,2014,2014-12-28,16,27.145,BUF,@,NWE,W 17-9,,5,17,3.40,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
71,2015,2015-09-20,2,28.046,NOR,,TAM,L 19-26,,3,7,2.33,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,0.0,0,0
72,2015,2015-09-27,3,28.053,NOR,@,CAR,L 22-27,*,1,4,4.00,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,0,0
73,2015,2015-10-04,4,28.060,NOR,,DAL,W 26-20,,2,10,5.00,0,5,5,99,19.80,1,100.0%,19.80,0,0,,0,0,0,,0,1,6,0.0,0,0
74,2015,2015-10-11,5,28.067,NOR,@,PHI,L 17-39,*,3,10,3.33,0,4,3,-8,-2.67,0,75.0%,-2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
75,2015,2015-10-15,6,28.071,NOR,,ATL,W 31-21,,3,10,3.33,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,0,0,0.0,0,0
76,2015,2015-10-25,7,28.081,NOR,@,IND,W 27-21,,4,16,4.00,0,6,6,32,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0
77,2015,2015-11-01,8,28.088,NOR,,NYG,W 52-49,,4,21,5.25,0,4,2,15,7.50,1,50.0%,3.75,0,0,,0,0,0,,0,1,6,0.0,0,0
78,2015,2015-11-08,9,28.095,NOR,,TEN,L 28-34,,2,8,4.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
79,2015,2015-11-15,10,28.102,NOR,@,WAS,L 14-47,,8,24,3.00,0,2,2,10,5.00,0,100.0%,5.00,3,59,19.67,0,0,0,,0,0,0,0.0,0,0
80,2015,2015-11-29,11,28.116,NOR,@,HOU,L 6-24,,1,-2,-2.00,0,3,2,8,4.00,0,66.7%,2.67,2,40,20.00,0,0,0,,0,0,0,0.0,0,0
81,2015,2015-12-06,12,28.123,NOR,,CAR,L 38-41,,0,0,,0,2,1,0,0.00,0,50.0%,0.00,1,26,26.00,0,0,0,,0,0,0,0.0,0,0
82,2015,2015-12-13,13,28.130,NOR,@,TAM,W 24-17,,3,2,0.67,0,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0
83,2015,2015-12-21,14,28.138,NOR,,DET,L 27-35,,2,2,1.00,0,5,2,16,8.00,0,40.0%,3.20,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
84,2016,2016-10-02,4,29.058,SEA,@,NYJ,W 27-17,,2,12,6.00,0,3,2,5,2.50,1,66.7%,1.67,1,22,22.00,0,0,0,,0,1,6,0.0,0,0
85,2016,2016-10-16,5,29.072,SEA,,ATL,W 26-24,,1,-3,-3.00,0,6,3,38,12.67,0,50.0%,6.33,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
86,2016,2016-11-06,9,29.093,NYJ,@,MIA,L 23-27,,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,0,0,,0,0,0,0.0,1,0
87,2016,2016-11-13,10,29.100,NYJ,,LAR,L 6-9,,1,4,4.00,0,1,0,0,,0,0.0%,0.00,3,59,19.67,0,0,0,,0,0,0,0.0,0,0
88,2016,2016-11-27,11,29.114,NYJ,,NWE,L 17-22,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
89,2016,2016-12-05,12,29.122,NYJ,,IND,L 10-41,,2,5,2.50,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0
90,2017,2017-10-19,7,30.075,KAN,@,OAK,L 30-31,,2,0,0.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
