ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
57,2005,2005-09-18,2,27.211,PIT,@,HOU,W 27-7,,,,,
58,2005,2005-09-25,3,27.218,PIT,,NWE,L 20-23,,,,,
59,2005,2005-10-10,4,27.233,PIT,@,SDG,W 24-22,,,,,
60,2005,2005-10-16,5,27.239,PIT,,JAX,L 17-23,,,,,
61,2005,2005-10-23,6,27.246,PIT,@,CIN,W 27-13,,,,,
62,2005,2005-10-31,7,27.254,PIT,,BAL,W 20-19,,,,,
63,2005,2005-11-06,8,27.260,PIT,@,GNB,W 20-10,,,,,
64,2005,2005-11-13,9,27.267,PIT,,CLE,W 34-21,,,,,
65,2005,2005-11-20,10,27.274,PIT,@,BAL,L 13-16,,,,,
66,2005,2005-11-28,11,27.282,PIT,@,IND,L 7-26,,,,,
67,2005,2005-12-04,12,27.288,PIT,,CIN,L 31-38,,,,,
68,2005,2005-12-11,13,27.295,PIT,,CHI,W 21-9,,,,,
69,2005,2005-12-18,14,27.302,PIT,@,MIN,W 18-3,,,,,
70,2005,2005-12-24,15,27.308,PIT,@,CLE,W 41-0,,1,3,3.00,0
71,2005,2006-01-01,16,27.316,PIT,,DET,W 35-21,,,,,
72,2006,2006-10-08,5,28.231,NWE,,MIA,W 20-10,,,,,
73,2006,2006-10-22,6,28.245,NWE,@,BUF,W 28-6,,,,,
74,2006,2006-10-30,7,28.253,NWE,@,MIN,W 31-7,,,,,
75,2006,2006-12-07,13,28.291,PIT,,CLE,W 27-7,,,,,
76,2006,2006-12-17,14,28.301,PIT,@,CAR,W 37-3,,,,,
77,2007,2007-12-30,16,29.314,TEN,@,IND,W 16-10,,,,,
