ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks
42,1987,1987-12-14,13,24.363,CHI,@,SFO,L 0-41,0,0,,0,,,,,,,,,,
43,1987,1987-12-20,14,25.004,CHI,,SEA,L 21-34,0,0,,0,,,,,,,,,,
44,1987,1987-12-27,15,25.011,CHI,@,RAI,W 6-3,0,0,,0,,,,,,,,,,
45,1988,1988-09-04,1,25.263,CHI,,MIA,W 34-7,,,,,,,,,,,,,,
46,1988,1988-09-11,2,25.270,CHI,@,IND,W 17-13,,,,,,,,,,,,,,
47,1988,1988-09-18,3,25.277,CHI,,MIN,L 7-31,,,,,,,,,,,,,,
48,1989,1989-09-10,1,26.268,CHI,,CIN,W 17-14,,,,,,,,,,,,,,
49,1989,1989-09-17,2,26.275,CHI,,MIN,W 38-7,,,,,,,,,,,,,,
50,1989,1989-09-24,3,26.282,CHI,@,DET,W 47-27,0,0,,0,,0,0,,0,,,0,0,1.0
51,1989,1989-10-02,4,26.290,CHI,,PHI,W 27-13,,,,,,,,,,,,,,
52,1989,1989-10-08,5,26.296,CHI,@,TAM,L 35-42,0,0,,0,,0,0,,0,,,0,0,1.0
53,1989,1989-10-15,6,26.303,CHI,,HOU,L 28-33,,,,,,,,,,,,,,
54,1989,1989-10-23,7,26.311,CHI,@,CLE,L 7-27,,,,,,,,,,,,,,
55,1989,1989-10-29,8,26.317,CHI,,RAM,W 20-10,,,,,,,,,,,,,,
56,1989,1989-11-05,9,26.324,CHI,@,GNB,L 13-14,,,,,,,,,,,,,,
57,1989,1989-11-12,10,26.331,CHI,@,PIT,W 20-0,0,0,,0,,0,0,,0,,,0,0,2.0
58,1989,1989-11-19,11,26.338,CHI,,TAM,L 31-32,,,,,,,,,,,,,,
59,1989,1989-11-26,12,26.345,CHI,@,WAS,L 14-38,,,,,,,,,,,,,,
60,1989,1989-12-03,13,26.352,CHI,@,MIN,L 16-27,,,,,,,,,,,,,,
61,1990,1990-09-09,1,27.267,CHI,,SEA,W 17-0,0,0,,0,,,,,,,,,,
62,1990,1990-09-16,2,27.274,CHI,@,GNB,W 31-13,0,0,,0,,0,0,,0,,,0,0,1.0
63,1990,1990-09-23,3,27.281,CHI,,MIN,W 19-16,0,0,,0,,,,,,,,,,
64,1990,1990-09-30,4,27.288,CHI,@,RAI,L 10-24,0,0,,0,,,,,,,,,,
65,1990,1990-10-07,5,27.295,CHI,,GNB,W 27-13,1,-1,-1.00,0,,0,0,,0,,,0,0,0.0
66,1990,1990-10-14,6,27.302,CHI,,RAM,W 38-9,0,0,,0,,,,,,,,,,
67,1990,1990-10-28,7,27.316,CHI,@,PHO,W 31-21,0,0,,0,,0,0,,0,,,0,0,1.0
68,1990,1990-11-04,8,27.323,CHI,@,TAM,W 26-6,0,0,,0,,,,,,,,,,
69,1990,1990-11-11,9,27.330,CHI,,ATL,W 30-24,0,0,,0,,,,,,,,,,
70,1990,1990-11-18,10,27.337,CHI,@,DEN,W 16-13,0,0,,0,,0,0,,0,,,0,0,1.0
71,1990,1990-11-25,11,27.344,CHI,@,MIN,L 13-41,0,0,,0,,,,,,,,,,
72,1990,1990-12-02,12,27.351,CHI,,DET,W 23-17,0,0,,0,,,,,,,,,,
73,1990,1990-12-09,13,27.358,CHI,@,WAS,L 9-10,0,0,,0,,,,,,,,,,
74,1990,1990-12-16,14,28.000,CHI,@,DET,L 21-38,0,0,,0,,0,0,,0,,,0,0,1.0
75,1990,1990-12-23,15,28.007,CHI,,TAM,W 27-14,0,0,,0,,,,,,,,,,
76,1990,1990-12-29,16,28.013,CHI,,KAN,L 10-21,0,0,,0,,,,,,,,,,
77,1991,1991-09-01,1,28.259,CHI,,MIN,W 10-6,,,,,,,,,,,,,,
78,1991,1991-09-08,2,28.266,CHI,@,TAM,W 21-20,,,,,,,,,,,,,,
79,1991,1991-09-15,3,28.273,CHI,,NYG,W 20-17,0,0,,0,,0,0,,0,,,0,0,1.0
80,1991,1991-09-23,4,28.281,CHI,,NYJ,W 19-13,,,,,,,,,,,,,,
81,1991,1991-09-29,5,28.287,CHI,@,BUF,L 20-35,0,0,,0,,0,0,,0,,,0,0,1.0
82,1991,1991-10-06,6,28.294,CHI,,WAS,L 7-20,,,,,,,,,,,,,,
83,1991,1991-10-17,7,28.305,CHI,@,GNB,W 10-0,,,,,,,,,,,,,,
84,1991,1991-10-27,8,28.315,CHI,@,NOR,W 20-17,,,,,,,,,,,,,,
85,1991,1991-11-03,9,28.322,CHI,,DET,W 20-10,0,0,,0,,0,0,,0,,,0,0,0.5
86,1991,1991-11-11,10,28.330,CHI,@,MIN,W 34-17,,,,,,,,,,,,,,
87,1991,1991-11-17,11,28.336,CHI,@,IND,W 31-17,0,0,,0,,0,0,,0,,,0,0,1.0
88,1991,1991-11-24,12,28.343,CHI,,MIA,L 13-16,0,0,,0,,0,0,,0,,,0,0,2.0
89,1991,1991-11-28,13,28.347,CHI,@,DET,L 6-16,,,,,,,,,,,,,,
90,1991,1991-12-08,14,28.357,CHI,,GNB,W 27-13,,,,,,,,,,,,,,
91,1991,1991-12-14,15,28.363,CHI,,TAM,W 27-0,,,,,,,,,,,,,,
92,1991,1991-12-23,16,29.007,CHI,@,SFO,L 14-52,,,,,,,,,,,,,,
93,1992,1992-09-13,2,29.272,CHI,@,NOR,L 6-28,,,,,,,,,,0.0%,,,,
94,1992,1992-09-21,3,29.280,CHI,,NYG,L 14-27,,,,,,,,,,0.0%,,,,
95,1992,1992-09-27,4,29.286,CHI,,ATL,W 41-31,,,,,,,,,,0.0%,,,,
96,1992,1992-10-04,5,29.293,CHI,@,MIN,L 20-21,,,,,,,,,,0.0%,,,,
97,1992,1992-10-18,6,29.307,CHI,,TAM,W 31-14,,,,,,,,,,0.0%,,,,
98,1992,1992-10-25,7,29.314,CHI,@,GNB,W 30-10,,,,,,,,,,0.0%,,,,
99,1992,1992-11-02,8,29.322,CHI,,MIN,L 10-38,0,0,,0,,0,0,,0,0.0%,,0,0,1.0
100,1992,1992-11-08,9,29.328,CHI,,CIN,L 28-31,,,,,,,,,,0.0%,,,,
101,1992,1992-11-15,10,29.335,CHI,@,TAM,L 17-20,,,,,,,,,,0.0%,,,,
102,1992,1992-11-22,11,29.342,CHI,,GNB,L 3-17,,,,,,,,,,0.0%,,,,
103,1992,1992-11-29,12,29.349,CHI,@,CLE,L 14-27,,,,,,,,,,0.0%,,,,
104,1992,1992-12-07,13,29.357,CHI,@,HOU,L 7-24,,,,,,,,,,0.0%,,,,
105,1992,1992-12-13,14,29.363,CHI,,PIT,W 30-6,0,0,,0,,0,0,,0,0.0%,,0,0,1.0
106,1992,1992-12-20,15,30.004,CHI,@,DET,L 3-16,,,,,,,,,,0.0%,,,,
107,1992,1992-12-27,16,30.011,CHI,@,DAL,L 14-27,,,,,,,,,,0.0%,,,,
108,1993,1993-09-05,1,30.263,CHI,,NYG,L 20-26,,,,,,,,,,0.0%,,,,
109,1993,1993-09-12,2,30.270,CHI,@,MIN,L 7-10,,,,,,,,,,0.0%,,,,
110,1993,1993-09-26,3,30.284,CHI,,TAM,W 47-17,,,,,,,,,,0.0%,,,,
111,1993,1993-10-03,4,30.291,CHI,,ATL,W 6-0,,,,,,,,,,0.0%,,,,
112,1993,1993-10-10,5,30.298,CHI,@,PHI,W 17-6,,,,,,,,,,0.0%,,,,
113,1993,1993-10-25,6,30.313,CHI,,MIN,L 12-19,,,,,,,,,,0.0%,,,,
114,1993,1993-10-31,7,30.319,CHI,@,GNB,L 3-17,,,,,,,,,,0.0%,,,,
115,1993,1993-11-14,9,30.333,PHI,,MIA,L 14-19,,,,,,,,,,0.0%,,,,
116,1993,1993-11-21,10,30.340,PHI,,NYG,L 3-7,,,,,,,,,,0.0%,,,,
117,1993,1993-11-28,11,30.347,PHI,@,WAS,W 17-14,,,,,,,,,,0.0%,,,,
118,1993,1993-12-06,12,30.355,PHI,@,DAL,L 17-23,,,,,,,,,,0.0%,,,,
119,1993,1993-12-12,13,30.361,PHI,,BUF,L 7-10,,,,,,,,,,0.0%,,,,
120,1993,1993-12-19,14,31.003,PHI,@,IND,W 20-10,0,0,,0,,0,0,,0,0.0%,,0,0,1.0
121,1993,1993-12-26,15,31.010,PHI,,NOR,W 37-26,,,,,,,,,,0.0%,,,,
122,1993,1994-01-03,16,31.018,PHI,@,SFO,W 37-34,,,,,,,,,,0.0%,,,,
123,1994,1994-09-04,1,31.262,PHI,@,NYG,L 23-28,,,,,,,,,,0.0%,,,,
124,1994,1994-09-12,2,31.270,PHI,,CHI,W 30-22,,,,,,,,,,0.0%,,,,
125,1994,1994-09-18,3,31.276,PHI,,GNB,W 13-7,,,,,,,,,,0.0%,,,,
126,1994,1994-10-02,4,31.290,PHI,@,SFO,W 40-8,,,,,,,,,,0.0%,,,,
127,1994,1994-10-09,5,31.297,PHI,,WAS,W 21-17,,,,,,,,,,0.0%,,,,
128,1994,1994-10-16,6,31.304,PHI,@,DAL,L 13-24,,,,,,,,,,0.0%,,,,
129,1994,1994-10-24,7,31.312,PHI,,HOU,W 21-6,,,,,,,,,,0.0%,,,,
130,1994,1994-10-30,8,31.318,PHI,@,WAS,W 31-29,,,,,,,,,,0.0%,,,,
131,1994,1994-11-06,9,31.325,PHI,,ARI,W 17-7,,,,,,,,,,0.0%,,,,
132,1994,1994-11-13,10,31.332,PHI,,CLE,L 7-26,,,,,,,,,,0.0%,,,,
133,1994,1994-11-20,11,31.339,PHI,@,ARI,L 6-12,,,,,,,,,,0.0%,,,,
134,1994,1994-11-27,12,31.346,PHI,@,ATL,L 21-28,,,,,,,,,,0.0%,,,,
135,1994,1994-12-04,13,31.353,PHI,,DAL,L 19-31,,,,,,,,,,0.0%,,,,
136,1994,1994-12-11,14,31.360,PHI,@,PIT,L 3-14,,,,,,,,,,0.0%,,,,
137,1994,1994-12-18,15,32.002,PHI,,NYG,L 13-16,,,,,,,,,,0.0%,,,,
138,1994,1994-12-24,16,32.008,PHI,@,CIN,L 30-33,,,,,,,,,,0.0%,,,,
