ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
49,2006,2006-12-03,12,29.205,DET,@,NWE,L 21-28,*,12,9,123,13.67,1,75.0%,10.25,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,0,0,0
50,2006,2006-12-10,13,29.212,DET,,MIN,L 20-30,*,16,9,84,9.33,0,56.3%,5.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
51,2006,2006-12-17,14,29.219,DET,@,GNB,L 9-17,*,5,3,20,6.67,0,60.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
52,2006,2006-12-24,15,29.226,DET,,CHI,L 21-26,,11,10,107,10.70,1,90.9%,9.73,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,0,0,0
53,2006,2006-12-31,16,29.233,DET,@,DAL,W 39-31,*,13,11,102,9.27,1,84.6%,7.85,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,0,0,0
54,2007,2007-09-09,1,30.120,DET,@,OAK,W 36-21,*,7,5,52,10.40,0,71.4%,7.43,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
55,2007,2007-09-16,2,30.127,DET,,MIN,W 20-17,*,6,5,60,12.00,0,83.3%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
56,2007,2007-09-23,3,30.134,DET,@,PHI,L 21-56,*,7,5,43,8.60,0,71.4%,6.14,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
57,2007,2007-09-30,4,30.141,DET,,CHI,W 37-27,*,7,5,91,18.20,0,71.4%,13.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
58,2007,2007-10-07,5,30.148,DET,@,WAS,L 3-34,*,6,1,14,14.00,0,16.7%,2.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
59,2007,2007-10-21,6,30.162,DET,,TAM,W 23-16,,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
60,2007,2007-10-28,7,30.169,DET,@,CHI,W 16-7,,4,3,44,14.67,0,75.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
61,2007,2007-11-04,8,30.176,DET,,DEN,W 44-7,*,3,3,32,10.67,1,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,0,0,0
62,2007,2007-11-11,9,30.183,DET,@,ARI,L 21-31,,7,5,64,12.80,0,71.4%,9.14,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
63,2007,2007-11-18,10,30.190,DET,,NYG,L 10-16,*,6,5,41,8.20,0,83.3%,6.83,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
64,2007,2007-11-22,11,30.194,DET,,GNB,L 26-37,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
65,2007,2007-12-02,12,30.204,DET,@,MIN,L 10-42,*,9,7,57,8.14,0,77.8%,6.33,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0.0,,,0,0,0
66,2007,2007-12-09,13,30.211,DET,,DAL,L 27-28,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
67,2007,2007-12-16,14,30.218,DET,@,SDG,L 14-51,,10,7,80,11.43,0,70.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
68,2007,2007-12-23,15,30.225,DET,,KAN,W 25-20,*,0,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0,3,30,10.00,0,0,0,0.0,,,0,0,0
69,2007,2007-12-30,16,30.232,DET,@,GNB,L 13-34,*,11,6,47,7.83,0,54.5%,4.27,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
70,2008,2008-09-07,1,31.118,DET,@,ATL,L 21-34,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,2,30,15.00,0,0,0,,0,0,0,0.0,0,0,0,0,0
71,2008,2008-09-14,2,31.125,DET,,GNB,L 25-48,*,7,2,22,11.00,0,28.6%,3.14,0,0,,0,0,0,,0,3,28,9.33,0,0,0,0.0,0,0,0,0,0
72,2008,2008-09-21,3,31.132,DET,@,SFO,L 13-31,,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0,0,0
73,2008,2008-10-05,4,31.146,DET,,CHI,L 7-34,,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
74,2008,2008-10-12,5,31.153,DET,@,MIN,L 10-12,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0
75,2008,2008-10-19,6,31.160,DET,@,HOU,L 21-28,,9,6,89,14.83,0,66.7%,9.89,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
76,2008,2008-10-26,7,31.167,DET,,WAS,L 17-25,,5,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
77,2008,2008-11-02,8,31.174,DET,@,CHI,L 23-27,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
78,2008,2008-11-09,9,31.181,DET,,JAX,L 14-38,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
79,2009,2009-09-13,1,32.124,CLE,,MIN,L 20-34,,7,4,28,7.00,0,57.1%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
80,2009,2009-09-20,2,32.131,CLE,@,DEN,L 6-27,*,4,1,2,2.00,0,25.0%,0.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
81,2009,2009-09-27,3,32.138,CLE,@,BAL,L 3-34,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
82,2009,2009-10-04,4,32.145,CLE,,CIN,L 20-23,,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
83,2009,2009-10-11,5,32.152,CLE,@,BUF,W 6-3,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
84,2009,2009-10-18,6,32.159,CLE,@,PIT,L 14-27,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0.0,0,0,0,0,0
85,2009,2009-10-25,7,32.166,CLE,,GNB,L 3-31,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
86,2009,2009-11-01,8,32.173,CLE,@,CHI,L 6-30,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
87,2009,2009-11-16,9,32.188,CLE,,BAL,L 0-16,,8,6,30,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
88,2009,2009-11-22,10,32.194,CLE,@,DET,L 37-38,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
89,2009,2009-11-29,11,32.201,CLE,@,CIN,L 7-16,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
90,2009,2009-12-06,12,32.208,CLE,,SDG,L 23-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
91,2009,2009-12-10,13,32.212,CLE,,PIT,W 13-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
92,2009,2009-12-20,14,32.222,CLE,@,KAN,W 41-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
93,2009,2009-12-27,15,32.229,CLE,,OAK,W 23-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
94,2009,2010-01-03,16,32.236,CLE,,JAX,W 23-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
