ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
106,2003,2003-11-16,10,29.280,CHI,,STL,L 21-23,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,289,41.29,0
107,2003,2003-11-23,11,29.287,CHI,@,DEN,W 19-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,183,36.60,0
108,2003,2003-11-30,12,29.294,CHI,,ARI,W 28-3,,0,0,,0,0,0,,,,,,1,0,0.00,0,0.0,,,4,163,40.75,0
109,2003,2003-12-07,13,29.301,CHI,@,GNB,L 21-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,256,42.67,0
110,2003,2003-12-14,14,29.308,CHI,,MIN,W 13-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,212,42.40,0
111,2003,2003-12-21,15,29.315,CHI,,WAS,W 27-24,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,2,91,45.50,0
112,2003,2003-12-28,16,29.322,CHI,@,KAN,L 3-31,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,206,41.20,0
113,2004,2004-09-12,1,30.216,CHI,,DET,L 16-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,322,46.00,0
114,2004,2004-09-19,2,30.223,CHI,@,GNB,W 21-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,153,51.00,0
115,2004,2004-09-26,3,30.230,CHI,@,MIN,L 22-27,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,2,84,42.00,0
116,2004,2004-10-03,4,30.237,CHI,,PHI,L 9-19,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,349,43.63,0
117,2004,2004-10-17,5,30.251,CHI,,WAS,L 10-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,10,446,44.60,0
118,2004,2004-10-24,6,30.258,CHI,@,TAM,L 7-19,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,288,41.14,0
119,2004,2004-10-31,7,30.265,CHI,,SFO,W 23-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,222,37.00,0
120,2004,2004-11-07,8,30.272,CHI,@,NYG,W 28-21,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,10,367,36.70,0
121,2004,2004-11-14,9,30.279,CHI,@,TEN,W 19-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,11,509,46.27,0
122,2004,2004-11-21,10,30.286,CHI,,IND,L 10-41,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,163,40.75,0
123,2004,2004-11-25,11,30.290,CHI,@,DAL,L 7-21,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,10,412,41.20,0
124,2004,2004-12-05,12,30.300,CHI,,MIN,W 24-14,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,148,49.33,0
125,2004,2004-12-12,13,30.307,CHI,@,JAX,L 3-22,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,308,51.33,0
126,2004,2004-12-19,14,30.314,CHI,,HOU,L 5-24,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,295,42.14,0
127,2004,2004-12-26,15,30.321,CHI,@,DET,L 13-19,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,347,43.38,0
128,2004,2005-01-02,16,30.328,CHI,,GNB,L 14-31,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,225,37.50,0
129,2005,2005-09-11,1,31.214,CHI,@,WAS,L 7-9,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,292,41.71,0
130,2005,2005-09-18,2,31.221,CHI,,DET,W 38-6,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,167,41.75,0
131,2005,2005-09-25,3,31.228,CHI,,CIN,L 7-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,253,42.17,0
132,2005,2005-10-09,4,31.242,CHI,@,CLE,L 10-20,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,179,44.75,0
133,2005,2005-10-16,5,31.249,CHI,,MIN,W 28-3,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,194,38.80,0
134,2005,2005-10-23,6,31.256,CHI,,BAL,W 10-6,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,262,37.43,0
135,2005,2005-10-30,7,31.263,CHI,@,DET,W 19-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,8,286,35.75,0
136,2005,2005-11-06,8,31.270,CHI,@,NOR,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,292,48.67,0
137,2005,2005-11-13,9,31.277,CHI,,SFO,W 17-9,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,,,5,189,37.80,0
138,2005,2005-11-20,10,31.284,CHI,,CAR,W 13-3,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,308,44.00,0
139,2005,2005-11-27,11,31.291,CHI,@,TAM,W 13-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,8,351,43.88,0
140,2005,2005-12-04,12,31.298,CHI,,GNB,W 19-7,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,292,48.67,0
141,2005,2005-12-11,13,31.305,CHI,@,PIT,L 9-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,251,41.83,0
142,2005,2005-12-18,14,31.312,CHI,,ATL,W 16-3,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,231,33.00,0
143,2005,2005-12-25,15,31.319,CHI,@,GNB,W 24-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,244,40.67,0
144,2005,2006-01-01,16,31.326,CHI,@,MIN,L 10-34,,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,0.0,,,4,146,36.50,1
145,2006,2006-09-10,1,32.213,CHI,@,GNB,W 26-0,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,189,47.25,0
146,2006,2006-09-17,2,32.220,CHI,,DET,W 34-7,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,133,44.33,0
147,2006,2006-09-24,3,32.227,CHI,@,MIN,W 19-16,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,152,50.67,0
148,2006,2006-10-01,4,32.234,CHI,,SEA,W 37-6,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,211,42.20,0
149,2006,2006-10-08,5,32.241,CHI,,BUF,W 40-7,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,119,39.67,0
150,2006,2006-10-16,6,32.249,CHI,@,ARI,W 24-23,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,299,49.83,0
151,2006,2006-10-29,7,32.262,CHI,,SFO,W 41-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,154,51.33,0
152,2006,2006-11-05,8,32.269,CHI,,MIA,L 13-31,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,147,49.00,0
153,2006,2006-11-12,9,32.276,CHI,@,NYG,W 38-20,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,196,39.20,0
154,2006,2006-11-19,10,32.283,CHI,@,NYJ,W 10-0,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,8,343,42.88,0
155,2006,2006-11-26,11,32.290,CHI,@,NWE,L 13-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,115,38.33,0
156,2006,2006-12-03,12,32.297,CHI,,MIN,W 23-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,302,43.14,0
157,2006,2006-12-11,13,32.305,CHI,@,STL,W 42-27,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,104,34.67,0
158,2006,2006-12-17,14,32.311,CHI,,TAM,W 34-31,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,10,446,44.60,0
159,2006,2006-12-24,15,32.318,CHI,@,DET,W 26-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,286,47.67,0
160,2006,2006-12-31,16,32.325,CHI,,GNB,L 7-26,,1,1,100.00,37,0,0,118.7,0,0,37.00,37.00,0,0,,0,0.0,,,5,208,41.60,0
161,2007,2007-09-09,1,33.212,CHI,@,SDG,L 3-14,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,244,40.67,0
162,2007,2007-09-23,3,33.226,CHI,,DAL,L 10-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,165,41.25,0
163,2007,2007-09-30,4,33.233,CHI,@,DET,L 27-37,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,223,44.60,0
164,2007,2007-10-07,5,33.240,CHI,@,GNB,W 27-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,314,44.86,0
165,2007,2007-10-14,6,33.247,CHI,,MIN,L 31-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,248,41.33,0
166,2007,2007-10-21,7,33.254,CHI,@,PHI,W 19-16,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,2,84,42.00,0
167,2007,2007-10-28,8,33.261,CHI,,DET,L 7-16,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,239,47.80,0
168,2007,2007-11-11,9,33.275,CHI,@,OAK,W 17-6,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,9,364,40.44,0
169,2007,2007-11-18,10,33.282,CHI,@,SEA,L 23-30,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,215,43.00,0
170,2007,2007-11-25,11,33.289,CHI,,DEN,W 37-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,241,40.17,0
171,2007,2007-12-02,12,33.296,CHI,,NYG,L 16-21,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,316,39.50,0
172,2007,2007-12-06,13,33.300,CHI,@,WAS,L 16-24,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,229,38.17,0
173,2007,2007-12-17,14,33.311,CHI,@,MIN,L 13-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,9,394,43.78,0
174,2007,2007-12-23,15,33.317,CHI,,GNB,W 35-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,140,35.00,0
175,2007,2007-12-30,16,33.324,CHI,,NOR,W 33-25,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,266,44.33,0
176,2008,2008-09-07,1,34.211,CHI,@,IND,W 29-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,178,35.60,0
177,2008,2008-09-14,2,34.218,CHI,@,CAR,L 17-20,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,0,7,281,40.14,0
178,2008,2008-09-21,3,34.225,CHI,,TAM,L 24-27,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,6,275,45.83,0
179,2008,2008-09-28,4,34.232,CHI,,PHI,W 24-20,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,8,354,44.25,0
180,2008,2008-10-05,5,34.239,CHI,@,DET,W 34-7,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,5,165,33.00,0
181,2008,2008-10-12,6,34.246,CHI,@,ATL,L 20-22,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,3,130,43.33,0
182,2008,2008-10-19,7,34.253,CHI,,MIN,W 48-41,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,0,0,4,191,47.75,0
