ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
26,1983,1983-10-09,6,24.130,BAL,,NWE,W 12-7,0,0,,0,,,,,,,,,,,,,
27,1983,1983-10-16,7,24.137,BAL,,BUF,L 7-30,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0
28,1983,1983-10-23,8,24.144,BAL,,MIA,L 7-21,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0
29,1983,1983-10-30,9,24.151,BAL,@,PHI,W 22-21,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0
30,1983,1983-11-06,10,24.158,BAL,@,NYJ,W 17-14,2,46,23.00,0,0,0,,0,0,0,,,,,,0,0
31,1983,1983-11-13,11,24.165,BAL,,PIT,L 13-24,3,41,13.67,0,0,0,,0,0,0,,,,,,0,0
32,1983,1983-11-20,12,24.172,BAL,@,MIA,L 0-37,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0
33,1983,1983-11-27,13,24.179,BAL,@,CLE,L 23-41,4,71,17.75,0,0,0,,0,0,0,,,,,,0,0
34,1983,1983-12-04,14,24.186,BAL,,NYJ,L 6-10,0,0,,0,,,,,,,,,,,,,
35,1983,1983-12-11,15,24.193,BAL,@,DEN,L 19-21,3,32,10.67,0,0,0,,0,0,0,,,,,,0,0
36,1983,1983-12-18,16,24.200,BAL,,HOU,W 20-10,1,12,12.00,0,0,0,,0,0,0,,,,,,0,0
37,1984,1984-09-02,1,25.093,IND,,NYJ,L 14-23,4,51,12.75,0,0,0,,0,0,0,,,,,,0,0
38,1984,1984-09-09,2,25.100,IND,@,HOU,W 35-21,6,91,15.17,1,0,0,,0,0,0,,,,,,1,6
39,1984,1984-09-16,3,25.107,IND,,STL,L 33-34,4,120,30.00,1,0,0,,0,0,0,,,,,,1,6
40,1984,1984-09-23,4,25.114,IND,@,MIA,L 7-44,2,26,13.00,0,0,0,,0,0,0,,,,,,0,0
41,1984,1984-09-30,5,25.121,IND,,BUF,W 31-17,4,47,11.75,0,0,0,,0,0,0,,,,,,0,0
42,1984,1984-10-07,6,25.128,IND,,WAS,L 7-35,2,44,22.00,0,0,0,,0,0,0,,,,,,0,0
43,1984,1984-10-14,7,25.135,IND,@,PHI,L 7-16,1,16,16.00,0,0,0,,0,0,0,,,,,,0,0
44,1984,1984-10-21,8,25.142,IND,,PIT,W 17-16,1,13,13.00,0,0,0,,0,0,0,,,,,,0,0
45,1984,1984-10-28,9,25.149,IND,@,DAL,L 3-22,0,0,,0,,,,,,,,,,,,,
46,1984,1984-11-04,10,25.156,IND,,SDG,L 10-38,2,29,14.50,0,0,0,,0,0,0,,,,,,0,0
47,1984,1984-11-11,11,25.163,IND,@,NYJ,W 9-5,2,10,5.00,0,0,0,,0,0,0,,,,,,0,0
48,1984,1984-11-18,12,25.170,IND,,NWE,L 17-50,4,63,15.75,0,0,0,,0,0,0,,,,,,0,0
49,1984,1984-11-25,13,25.177,IND,@,RAI,L 7-21,4,43,10.75,0,0,0,,0,0,0,,,,,,0,0
50,1984,1984-12-02,14,25.184,IND,@,BUF,L 15-21,2,16,8.00,0,0,0,,0,0,0,,,,,,0,0
51,1984,1984-12-09,15,25.191,IND,,MIA,L 17-35,1,21,21.00,0,0,0,,0,0,0,,,,,,0,0
52,1984,1984-12-16,16,25.198,IND,@,NWE,L 10-16,0,0,,0,,,,,,,,,,,,,
