ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
15,1972,1972-09-24,2,23.153,BUF,,SFO,W 27-20,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1972,1972-10-01,3,23.160,BUF,,BAL,L 0-17,,,,,,,,,,,,,,,,,,,,,,,,,
17,1972,1972-10-08,4,23.167,BUF,,NWE,W 38-14,3,88,29.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
18,1972,1972-10-15,5,23.174,BUF,@,OAK,L 16-28,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,1972,1972-10-22,6,23.181,BUF,@,MIA,L 23-24,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
20,1972,1972-10-29,7,23.188,BUF,,PIT,L 21-38,7,94,13.43,2,3,27,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
21,1972,1972-11-05,8,23.195,BUF,,MIA,L 16-30,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
22,1972,1972-11-12,9,23.202,BUF,@,NYJ,L 3-41,4,78,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
23,1972,1972-11-19,10,23.209,BUF,@,NWE,W 27-24,4,71,17.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
24,1972,1972-11-26,11,23.216,BUF,@,CLE,L 10-27,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
25,1972,1972-12-03,12,23.223,BUF,@,BAL,L 7-35,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
26,1972,1972-12-10,13,23.230,BUF,,DET,T 21-21,3,71,23.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
27,1972,1972-12-17,14,23.237,BUF,@,WAS,W 24-17,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
28,1973,1973-09-16,1,24.145,BUF,@,NWE,W 31-13,3,44,14.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
29,1973,1973-09-23,2,24.152,BUF,@,SDG,L 7-34,0,0,,0,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
30,1973,1973-09-30,3,24.159,BUF,,NYJ,W 9-7,2,28,14.00,0,1,-10,-10.00,0,0,0,,0,0,0,,0,0,,,1,2,2.00,0,0,0
31,1973,1973-10-07,4,24.166,BUF,,PHI,W 27-26,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1973,1973-10-14,5,24.173,BUF,,BAL,W 31-13,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1973,1973-10-21,6,24.180,BUF,@,MIA,L 6-27,1,10,10.00,0,1,-17,-17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
34,1973,1973-10-29,7,24.188,BUF,,KAN,W 23-14,3,35,11.67,0,1,-3,-3.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,3,3.00,0,0,1
35,1973,1973-11-04,8,24.194,BUF,@,NOR,L 0-13,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
36,1973,1973-11-11,9,24.201,BUF,,CIN,L 13-16,3,24,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
37,1973,1973-11-18,10,24.208,BUF,,MIA,L 0-17,0,0,,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
38,1973,1973-11-25,11,24.215,BUF,@,BAL,W 24-17,5,97,19.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
39,1973,1973-12-02,12,24.222,BUF,@,ATL,W 17-6,4,41,10.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
40,1973,1973-12-09,13,24.229,BUF,,NWE,W 37-13,2,43,21.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
41,1973,1973-12-16,14,24.236,BUF,@,NYJ,W 34-14,2,55,27.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
42,1974,1974-09-16,1,25.145,BUF,,OAK,W 21-20,,,,,,,,,,,,,,,,,,,,,,,,,
43,1974,1974-09-22,2,25.151,BUF,,MIA,L 16-24,,,,,,,,,,,,,,,,,,,,,,,,,
44,1974,1974-09-29,3,25.158,BUF,,NYJ,W 16-12,,,,,,,,,,,,,,,,,,,,,,,,,
45,1974,1974-10-06,4,25.165,BUF,@,GNB,W 27-7,,,,,,,,,,,,,,,,,,,,,,,,,
46,1974,1974-10-13,5,25.172,BUF,@,BAL,W 27-14,,,,,,,,,,,,,,,,,,,,,,,,,
47,1974,1974-10-20,6,25.179,BUF,,NWE,W 30-28,,,,,,,,,,,,,,,,,,,,,,,,,
48,1974,1974-10-27,7,25.186,BUF,,CHI,W 16-6,,,,,,,,,,,,,,,,,,,,,,,,,
49,1974,1974-11-03,8,25.193,BUF,@,NWE,W 29-28,,,,,,,,,,,,,,,,,,,,,,,,,
50,1974,1974-11-10,9,25.200,BUF,,HOU,L 9-21,5,62,12.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
51,1974,1974-11-17,10,25.207,BUF,@,MIA,L 28-35,2,26,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
52,1974,1974-11-24,11,25.214,BUF,@,CLE,W 15-10,,,,,,,,,,,,,,,,,,,,,,,,,
53,1974,1974-12-01,12,25.221,BUF,,BAL,W 6-0,,,,,,,,,,,,,,,,,,,,,,,,,
54,1974,1974-12-08,13,25.228,BUF,@,NYJ,L 10-20,,,,,,,,,,,,,,,,,,,,,,,,,
55,1974,1974-12-15,14,25.235,BUF,@,RAM,L 14-19,,,,,,,,,,,,,,,,,,,,,,,,,
56,1975,1975-09-21,1,26.150,BUF,,NYJ,W 42-14,3,34,11.33,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
57,1975,1975-09-28,2,26.157,BUF,@,PIT,W 30-21,3,59,19.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
58,1975,1975-10-05,3,26.164,BUF,,DEN,W 38-14,4,69,17.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
59,1975,1975-10-12,4,26.171,BUF,@,BAL,W 38-31,,,,,,,,,,,,,,,,,,,,,,,,,
60,1975,1975-10-20,5,26.179,BUF,,NYG,L 14-17,3,51,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
61,1975,1975-10-26,6,26.185,BUF,,MIA,L 30-35,8,96,12.00,2,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
62,1975,1975-11-02,7,26.192,BUF,@,NYJ,W 24-23,5,75,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
63,1975,1975-11-09,8,26.199,BUF,,BAL,L 35-42,7,118,16.86,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
64,1975,1975-11-17,9,26.207,BUF,@,CIN,L 24-33,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
65,1975,1975-11-23,10,26.213,BUF,,NWE,W 45-31,6,78,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
66,1975,1975-11-27,11,26.217,BUF,@,STL,W 32-14,3,29,9.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
67,1975,1975-12-07,12,26.227,BUF,@,MIA,L 21-31,5,63,12.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
68,1975,1975-12-14,13,26.234,BUF,@,NWE,W 34-14,3,22,7.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
69,1975,1975-12-20,14,26.240,BUF,,MIN,L 13-35,4,33,8.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
70,1976,1976-09-13,1,27.142,BUF,,MIA,L 21-30,3,50,16.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
71,1976,1976-09-19,2,27.148,BUF,,HOU,L 3-13,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
72,1976,1976-09-26,3,27.155,BUF,@,TAM,W 14-9,5,110,22.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
73,1976,1976-10-03,4,27.162,BUF,,KAN,W 50-17,6,59,9.83,3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18
74,1976,1976-10-10,5,27.169,BUF,@,NYJ,L 14-17,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
75,1976,1976-10-17,6,27.176,BUF,,BAL,L 13-31,5,79,15.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
76,1976,1976-10-24,7,27.183,BUF,,NWE,L 22-26,3,46,15.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
77,1976,1976-10-31,8,27.190,BUF,,NYJ,L 14-19,7,58,8.29,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
78,1976,1976-11-07,9,27.197,BUF,@,NWE,L 10-20,7,104,14.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
79,1976,1976-11-15,10,27.205,BUF,@,DAL,L 10-17,5,63,12.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
80,1976,1976-11-21,11,27.211,BUF,,SDG,L 13-34,3,40,13.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
81,1976,1976-11-25,12,27.215,BUF,@,DET,L 14-27,3,22,7.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
82,1976,1976-12-05,13,27.225,BUF,@,MIA,L 27-45,4,68,17.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
83,1976,1976-12-12,14,27.232,BUF,@,BAL,L 20-58,5,67,13.40,1,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
84,1977,1977-09-18,1,28.147,BUF,,MIA,L 0-13,5,72,14.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
85,1977,1977-09-25,2,28.154,BUF,@,DEN,L 6-26,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
86,1977,1977-10-02,3,28.161,BUF,@,BAL,L 14-17,7,78,11.14,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
87,1977,1977-10-09,4,28.168,BUF,,NYJ,L 19-24,7,98,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
88,1977,1977-10-16,5,28.175,BUF,,ATL,W 3-0,,,,,,,,,,,,,,,,,,,,,,,,,
89,1977,1977-10-23,6,28.182,BUF,,CLE,L 16-27,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
90,1977,1977-10-30,7,28.189,BUF,@,SEA,L 17-56,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
91,1977,1977-11-06,8,28.196,BUF,@,NWE,W 24-14,3,25,8.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
92,1977,1977-11-13,9,28.203,BUF,,BAL,L 13-31,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
93,1977,1977-11-20,10,28.210,BUF,,NWE,L 7-20,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
94,1977,1977-11-28,11,28.218,BUF,@,OAK,L 13-34,9,120,13.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
95,1977,1977-12-04,12,28.224,BUF,,WAS,L 0-10,5,49,9.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
96,1977,1977-12-11,13,28.231,BUF,@,NYJ,W 14-10,7,108,15.43,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
97,1977,1977-12-17,14,28.237,BUF,@,MIA,L 14-31,7,59,8.43,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
98,1978,1978-09-03,1,29.132,BUF,,PIT,L 17-28,,,,,,,,,,,,,,,,,,,,,,,,,
99,1978,1978-09-10,2,29.139,BUF,,NYJ,L 20-21,,,,,,,,,,,,,,,,,,,,,,,,,
100,1978,1978-09-17,3,29.146,BUF,@,MIA,L 24-31,,,,,,,,,,,,,,,,,,,,,,,,,
101,1978,1978-09-24,4,29.153,BUF,,BAL,W 24-17,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
102,1978,1978-10-01,5,29.160,BUF,,KAN,W 28-13,7,116,16.57,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
103,1978,1978-10-08,6,29.167,BUF,@,NYJ,L 14-45,1,15,15.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
104,1978,1978-10-15,7,29.174,BUF,@,HOU,L 10-17,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
105,1978,1978-10-22,8,29.181,BUF,,CIN,W 5-0,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
106,1978,1978-10-29,9,29.188,BUF,@,CLE,L 20-41,7,114,16.29,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
107,1978,1978-11-05,10,29.195,BUF,,NWE,L 10-14,4,35,8.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
108,1978,1978-11-12,11,29.202,BUF,,MIA,L 24-25,5,52,10.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
109,1978,1978-11-19,12,29.209,BUF,@,TAM,L 10-31,6,60,10.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
110,1978,1978-11-26,13,29.216,BUF,,NYG,W 41-17,5,75,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
111,1978,1978-12-03,14,29.223,BUF,@,KAN,L 10-14,2,48,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
112,1978,1978-12-10,15,29.230,BUF,@,NWE,L 24-26,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
113,1978,1978-12-17,16,29.237,BUF,@,BAL,W 21-14,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
114,1979,1979-10-14,7,30.173,BUF,@,MIA,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,,
115,1979,1979-10-21,8,30.180,BUF,,BAL,L 13-14,,,,,,,,,,,,,,,,,,,,,,,,,
116,1979,1979-10-28,9,30.187,BUF,@,DET,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,,
117,1980,1980-09-07,1,31.136,OAK,@,KAN,W 27-14,5,85,17.00,2,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,12
118,1980,1980-09-14,2,31.143,OAK,@,SDG,L 24-30,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
119,1980,1980-09-21,3,31.150,OAK,,WAS,W 24-21,1,5,5.00,1,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
120,1980,1980-09-28,4,31.157,OAK,@,BUF,L 7-24,3,87,29.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
121,1980,1980-10-05,5,31.164,OAK,,KAN,L 17-31,7,73,10.43,1,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
122,1980,1980-10-12,6,31.171,OAK,,SDG,W 38-24,4,54,13.50,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
123,1980,1980-10-20,7,31.179,OAK,@,PIT,W 45-34,1,37,37.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
124,1980,1980-10-26,8,31.185,OAK,,SEA,W 33-14,5,75,15.00,3,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,18
125,1980,1980-11-02,9,31.192,OAK,,MIA,W 16-10,2,31,15.50,1,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,6
126,1980,1980-11-09,10,31.199,OAK,,CIN,W 28-17,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
127,1980,1980-11-17,11,31.207,OAK,@,SEA,W 19-17,1,30,30.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
128,1980,1980-11-23,12,31.213,OAK,@,PHI,L 7-10,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
129,1980,1980-12-01,13,31.221,OAK,,DEN,W 9-3,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
130,1980,1980-12-07,14,31.227,OAK,,DAL,L 13-19,5,80,16.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
131,1980,1980-12-14,15,31.234,OAK,@,DEN,W 24-21,3,69,23.00,2,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,12
132,1980,1980-12-21,16,31.241,OAK,@,NYG,W 33-17,6,72,12.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,0,0
133,1981,1981-09-06,1,32.135,OAK,@,DEN,L 7-9,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
134,1981,1981-10-18,7,32.177,OAK,,TAM,W 18-16,0,0,,0,,,,,,,,,,,,,,,,,,,,,
135,1981,1981-10-25,8,32.184,OAK,,KAN,L 17-28,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
136,1981,1981-11-01,9,32.191,OAK,,NWE,W 27-17,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
137,1981,1981-11-08,10,32.198,OAK,@,HOU,L 16-17,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
138,1981,1981-11-15,11,32.205,OAK,@,MIA,W 33-17,2,45,22.50,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
139,1981,1981-11-22,12,32.212,OAK,,SDG,L 21-55,3,56,18.67,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
140,1981,1981-11-29,13,32.219,OAK,@,SEA,W 32-31,1,8,8.00,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
141,1981,1981-12-07,14,32.227,OAK,,PIT,W 30-27,4,83,20.75,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
142,1981,1981-12-13,15,32.233,OAK,,CHI,L 6-23,4,73,18.25,1,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
143,1981,1981-12-21,16,32.241,OAK,@,SDG,L 10-23,6,128,21.33,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
144,1982,1982-12-05,5,33.225,RAI,,SEA,W 28-23,,,,,,,,,,,,,,,,,,,,,,,,,
145,1982,1982-12-12,6,33.232,RAI,@,KAN,W 21-16,,,,,,,,,,,,,,,,,,,,,,,,,
