ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks
36,1997,1997-09-14,3,26.031,OAK,@,ATL,W 36-31,,,,,,,0.0%,,
37,1997,1997-09-21,4,26.038,OAK,@,NYJ,L 22-23,,,,,,,0.0%,,
38,1997,1997-09-28,5,26.045,OAK,,STL,W 35-17,,,,,,,0.0%,,
39,1997,1997-10-05,6,26.052,OAK,,SDG,L 10-25,,,,,,,0.0%,,
40,1997,1997-10-19,7,26.066,OAK,,DEN,W 28-25,,,,,,,0.0%,,
41,1997,1997-10-26,8,26.073,OAK,@,SEA,L 34-45,,,,,,,0.0%,,
42,1997,1997-11-02,9,26.080,OAK,@,CAR,L 14-38,,,,,,,0.0%,,
43,1997,1997-11-09,10,26.087,OAK,,NOR,L 10-13,,,,,,,0.0%,,
44,1997,1997-11-16,11,26.094,OAK,@,SDG,W 38-13,,,,,,,0.0%,,
45,1997,1997-11-24,12,26.102,OAK,@,DEN,L 3-31,,,,,,,0.0%,,
46,1997,1997-11-30,13,26.108,OAK,,MIA,L 16-34,,,,,,,0.0%,,
47,1997,1997-12-07,14,26.115,OAK,@,KAN,L 0-30,,,,,,,0.0%,,
48,1997,1997-12-14,15,26.122,OAK,,SEA,L 21-22,,,,,,,0.0%,,
49,1997,1997-12-21,16,26.129,OAK,,JAX,L 9-20,,,,,,,0.0%,,
50,1998,1998-09-06,1,27.023,OAK,@,KAN,L 8-28,,,,,,,0.0%,,
51,1998,1998-09-13,2,27.030,OAK,,NYG,W 20-17,,,,,,,0.0%,,
52,1998,1998-09-20,3,27.037,OAK,,DEN,L 17-34,,,,,,,0.0%,,
53,1998,1998-09-27,4,27.044,OAK,@,DAL,W 13-12,,,,,,,0.0%,,
54,1998,1998-10-04,5,27.051,OAK,@,ARI,W 23-20,,0,0,0,,0,0.0%,,1.0
55,1998,1998-10-11,6,27.058,OAK,,SDG,W 7-6,,,,,,,0.0%,,
56,1998,1998-10-25,7,27.072,OAK,,CIN,W 27-10,,,,,,,0.0%,,
57,1998,1998-11-01,8,27.079,OAK,@,SEA,W 31-18,,1,1,-1,-1.00,0,100.0%,-1.00,0.0
58,1998,1998-11-15,10,27.093,OAK,,SEA,W 20-17,,,,,,,0.0%,,
59,1998,1998-11-22,11,27.100,OAK,@,DEN,L 14-40,,,,,,,0.0%,,
60,1998,1998-11-29,12,27.107,OAK,,WAS,L 19-29,,,,,,,0.0%,,
61,1998,1998-12-06,13,27.114,OAK,,MIA,L 17-27,,,,,,,0.0%,,
62,1998,1998-12-13,14,27.121,OAK,@,BUF,L 21-44,,,,,,,0.0%,,
63,1998,1998-12-20,15,27.128,OAK,@,SDG,W 17-10,,,,,,,0.0%,,
64,1998,1998-12-26,16,27.134,OAK,,KAN,L 24-31,,,,,,,0.0%,,
65,1999,1999-11-21,10,28.099,ARI,,DAL,W 13-9,,,,,,,0.0%,,
66,1999,1999-11-28,11,28.106,ARI,@,NYG,W 34-24,,,,,,,0.0%,,
67,1999,1999-12-05,12,28.113,ARI,,PHI,W 21-17,,0,,,,,0.0%,,
68,1999,1999-12-12,13,28.120,ARI,@,WAS,L 3-28,,,,,,,0.0%,,
69,1999,1999-12-26,15,28.134,ARI,@,ATL,L 14-37,,0,,,,,0.0%,,
70,1999,2000-01-02,16,28.141,ARI,@,GNB,L 24-49,,,,,,,0.0%,,
71,2000,2000-09-03,1,29.020,ARI,@,NYG,L 16-21,,,,,,,0.0%,,
72,2000,2000-09-10,2,29.027,ARI,,DAL,W 32-31,,,,,,,0.0%,,
73,2000,2000-10-01,4,29.048,ARI,@,SFO,L 20-27,,,,,,,0.0%,,
74,2000,2000-10-08,5,29.055,ARI,,CLE,W 29-21,,0,,,,,0.0%,,
75,2000,2000-10-15,6,29.062,ARI,,PHI,L 14-33,,0,0,0,,0,0.0%,,2.0
76,2000,2000-10-22,7,29.069,ARI,@,DAL,L 7-48,,,,,,,0.0%,,
77,2000,2000-11-12,10,29.090,ARI,@,MIN,L 14-31,,,,,,,0.0%,,
78,2000,2000-11-19,11,29.097,ARI,@,PHI,L 9-34,,0,,,,,0.0%,,
79,2000,2000-11-26,12,29.104,ARI,,NYG,L 7-31,,0,,,,,0.0%,,
80,2000,2000-12-03,13,29.111,ARI,@,CIN,L 13-24,,0,,,,,0.0%,,
81,2000,2000-12-10,14,29.118,ARI,@,JAX,L 10-44,*,0,,,,,0.0%,,
82,2000,2000-12-17,15,29.125,ARI,,BAL,L 7-13,,0,,,,,0.0%,,
83,2000,2000-12-24,16,29.132,ARI,@,WAS,L 3-20,,0,,,,,0.0%,,
