ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
11,2005,2005-11-27,11,23.109,JAX,@,ARI,W 24-17,,1,6,6.00,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,2,9,4.50,0,0,0,0.0,,
12,2005,2005-12-04,12,23.116,JAX,@,CLE,W 20-14,,1,3,3.00,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,3,21,7.00,0,0,0,0.0,,
13,2005,2005-12-11,13,23.123,JAX,,IND,L 18-26,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,3,45,15.00,0,0,0,0.0,,
14,2005,2005-12-18,14,23.130,JAX,,SFO,W 10-9,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,7,45,6.43,0,0,0,0.0,,
15,2005,2005-12-24,15,23.136,JAX,@,HOU,W 38-20,,1,2,2.00,0,6,5,44,8.80,0,83.3%,7.33,0,0,,0,0,0,,0,0,0,0.0,,
16,2005,2006-01-01,16,23.144,JAX,,TEN,W 40-13,,6,13,2.17,1,3,2,16,8.00,0,66.7%,5.33,0,0,,0,3,31,10.33,0,1,6,0.0,,
17,2006,2006-09-18,2,24.039,JAX,,PIT,W 9-0,,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,,0,3,19,6.33,0,0,0,0.0,,
18,2006,2006-09-24,3,24.045,JAX,@,IND,L 14-21,,0,0,,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,4,58,14.50,0,0,0,0.0,,
19,2006,2006-10-01,4,24.052,JAX,@,WAS,L 30-36,,0,0,,0,0,0,0,,0,0.0%,,2,38,19.00,0,1,1,1.00,0,0,0,0.0,,
20,2006,2006-10-29,7,24.080,JAX,@,PHI,W 13-6,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,4,56,14.00,0,0,0,0.0,,
21,2006,2006-11-05,8,24.087,JAX,,TEN,W 37-7,,3,9,3.00,0,0,0,0,,0,0.0%,,1,18,18.00,0,4,43,10.75,0,0,0,0.0,,
22,2006,2006-11-12,9,24.094,JAX,,HOU,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0,0,0.0,,
23,2006,2006-11-20,10,24.102,JAX,,NYG,W 26-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,27,6.75,0,0,0,0.0,,
24,2006,2006-11-26,11,24.108,JAX,@,BUF,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,5,39,7.80,0,0,0,0.0,,
25,2006,2006-12-03,12,24.115,JAX,@,MIA,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,-2,-2.00,0,0,0,0.0,,
26,2006,2006-12-10,13,24.122,JAX,,IND,W 44-17,,13,71,5.46,1,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,1,6,0.0,,
27,2006,2006-12-17,14,24.129,JAX,@,TEN,L 17-24,,1,-1,-1.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,1,-2,-2.00,0,0,0,0.0,,
28,2006,2006-12-24,15,24.136,JAX,,NWE,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,,
29,2006,2006-12-31,16,24.143,JAX,@,KAN,L 30-35,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,0,0,0.0,,
30,2007,2007-09-16,2,25.037,SEA,@,ARI,L 20-23,,0,0,,0,1,1,1,1.00,0,100.0%,1.00,2,38,19.00,0,0,0,,0,0,0,0.0,,
31,2007,2007-09-23,3,25.044,SEA,,CIN,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,1,33,33.00,0,0,0,,0,0,0,0.0,,
32,2007,2007-09-30,4,25.051,SEA,@,SFO,W 23-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
33,2008,2008-12-28,16,26.140,JAX,@,BAL,L 7-27,,0,0,,0,1,1,23,23.00,1,100.0%,23.00,0,0,,0,0,0,,0,1,6,0.0,0,0
34,2009,2009-11-08,8,27.090,TEN,@,SFO,W 34-27,,0,0,,0,0,0,0,,0,0.0%,,4,93,23.25,0,1,10,10.00,0,0,0,0.0,0,1
35,2009,2009-11-15,9,27.097,TEN,,BUF,W 41-17,,0,0,,0,0,0,0,,0,0.0%,,4,81,20.25,0,2,30,15.00,0,0,0,0.0,0,0
36,2009,2009-12-13,13,27.125,TEN,,STL,W 47-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,25,6.25,0,0,0,0.0,0,0
37,2009,2009-12-20,14,27.132,TEN,,MIA,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,0,0,0.0,0,0
38,2009,2010-01-03,16,27.146,TEN,@,SEA,W 17-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,24,12.00,0,0,0,0.0,0,0
