ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
12,1992,1992-09-20,3,24.050,NYJ,,SFO,L 14-31,3,2,15,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
13,1992,1992-09-27,4,24.057,NYJ,@,RAM,L 10-18,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,3,28,9.33,0,0,0
14,1992,1992-10-04,5,24.064,NYJ,,NWE,W 30-21,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,3,19,6.33,0,0,0
15,1992,1992-10-11,6,24.071,NYJ,@,IND,L 3-6,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,2,10,5.00,0,0,0
16,1992,1992-10-26,7,24.086,NYJ,,BUF,L 20-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
17,1992,1992-11-01,8,24.092,NYJ,,MIA,W 26-14,1,0,0,,0,0.0%,0.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,33,6.60,0,0,0
18,1992,1992-11-08,9,24.099,NYJ,@,DEN,L 16-27,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,,,3,37,12.33,0,0,0
19,1992,1992-11-15,10,24.106,NYJ,,CIN,W 17-14,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,2,16,8.00,0,0,0
20,1992,1992-11-22,11,24.113,NYJ,@,NWE,L 3-24,5,1,12,12.00,0,20.0%,2.40,0,0,,0,0,0,,0,0,0,,0,,,,2,17,8.50,0,0,0
21,1992,1992-11-29,12,24.120,NYJ,,KAN,L 7-23,2,2,8,4.00,0,100.0%,4.00,1,2,2.00,0,0,0,,0,0,0,,0,,,,1,12,12.00,0,0,0
22,1992,1992-12-06,13,24.127,NYJ,@,BUF,W 24-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
23,1992,1992-12-13,14,24.134,NYJ,,IND,L 6-10,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,2,8,4.00,0,0,0
24,1992,1992-12-20,15,24.141,NYJ,@,MIA,L 17-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
25,1992,1992-12-26,16,24.147,NYJ,,NOR,L 0-20,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
26,1993,1993-09-05,1,25.035,NYJ,,DEN,L 20-26,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,1993,1993-09-12,2,25.042,NYJ,@,MIA,W 24-14,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
28,1993,1993-09-26,3,25.056,NYJ,,NWE,W 45-7,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
29,1993,1993-10-03,4,25.063,NYJ,,PHI,L 30-35,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
30,1993,1993-10-10,5,25.070,NYJ,@,RAI,L 20-24,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
31,1993,1993-10-24,6,25.084,NYJ,,BUF,L 10-19,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
32,1993,1993-10-31,7,25.091,NYJ,@,NYG,W 10-6,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
33,1993,1993-11-07,8,25.098,NYJ,,MIA,W 27-10,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
34,1993,1993-11-14,9,25.105,NYJ,@,IND,W 31-17,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,1993,1993-11-21,10,25.112,NYJ,,CIN,W 17-12,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
36,1993,1993-11-28,11,25.119,NYJ,@,NWE,W 6-0,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
37,1993,1993-12-05,12,25.126,NYJ,,IND,L 6-9,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
38,1993,1993-12-11,13,25.132,NYJ,@,WAS,W 3-0,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
39,1993,1993-12-18,14,25.139,NYJ,,DAL,L 7-28,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,1993,1993-12-26,15,25.147,NYJ,@,BUF,L 14-16,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
41,1993,1994-01-02,16,25.154,NYJ,@,HOU,L 0-24,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
42,1994,1994-09-04,1,26.034,NYJ,@,BUF,W 23-3,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
43,1994,1994-09-11,2,26.041,NYJ,,DEN,W 25-22,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
44,1994,1994-09-18,3,26.048,NYJ,@,MIA,L 14-28,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
45,1995,1995-09-03,1,27.033,PHI,,TAM,L 6-21,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
46,1995,1995-09-10,2,27.040,PHI,@,ARI,W 31-19,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
47,1995,1995-09-17,3,27.047,PHI,,SDG,L 21-27,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
48,1995,1995-09-24,4,27.054,PHI,@,OAK,L 17-48,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
49,1995,1995-10-01,5,27.061,PHI,@,NOR,W 15-10,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
50,1995,1995-10-08,6,27.068,PHI,,WAS,W 37-34,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,
51,1995,1995-10-15,7,27.075,PHI,@,NYG,W 17-14,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
52,1995,1995-10-29,8,27.089,PHI,,STL,W 20-9,8,5,41,8.20,0,62.5%,5.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
53,1995,1995-11-06,9,27.097,PHI,@,DAL,L 12-34,5,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,
54,1995,1995-11-12,10,27.103,PHI,,DEN,W 31-13,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,1,3,3.00,0,0,0
55,1995,1995-11-19,11,27.110,PHI,,NYG,W 28-19,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,1,5,5.00,0,0,0
56,1995,1995-11-26,12,27.117,PHI,@,WAS,W 14-7,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,0,0.00,0,0,0
57,1995,1995-12-03,13,27.124,PHI,@,SEA,L 14-26,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,,0,0,0,,,,,,3,45,15.00,0,0,0
58,1995,1995-12-10,14,27.131,PHI,,DAL,W 20-17,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,3,21,7.00,0,0,0
59,1995,1995-12-17,15,27.138,PHI,,ARI,W 21-20,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,2,2,1.00,0,0,0
60,1995,1995-12-24,16,27.145,PHI,@,CHI,L 14-20,11,6,66,11.00,0,54.5%,6.00,0,0,,0,0,0,,0,0,0,,,,,,1,3,3.00,0,0,0
