ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
24,1971,1971-11-21,10,24.162,NWE,@,CLE,L 7-27,,,,,,,,,,,
25,1971,1971-11-28,11,24.169,NWE,@,BUF,L 20-27,,,,,,,,,,,
26,1971,1971-12-05,12,24.176,NWE,,MIA,W 34-13,,,,,,,,,,,
27,1971,1971-12-12,13,24.183,NWE,@,NYJ,L 6-13,0,0,,0,0,0,,0,1,0,0
28,1971,1971-12-19,14,24.190,NWE,@,BAL,W 21-17,0,0,,0,0,0,,0,1,0,0
29,1973,1973-09-16,1,26.096,NWE,,BUF,L 13-31,,,,,,,,,,,
30,1973,1973-09-23,2,26.103,NWE,,KAN,L 7-10,,,,,,,,,,,
31,1973,1973-09-30,3,26.110,NWE,@,MIA,L 23-44,,,,,,,,,,,
32,1973,1973-10-07,4,26.117,NWE,,BAL,W 24-16,,,,,,,,,,,
33,1973,1973-10-14,5,26.124,NWE,,NYJ,L 7-9,,,,,,,,,,,
34,1973,1973-10-21,6,26.131,NWE,@,CHI,W 13-10,,,,,,,,,,,
35,1973,1973-10-28,7,26.138,NWE,,MIA,L 14-30,,,,,,,,,,,
36,1973,1973-11-04,8,26.145,NWE,@,PHI,L 23-24,,,,,,,,,,,
37,1973,1973-11-11,9,26.152,NWE,@,NYJ,L 13-33,,,,,,,,,,,
38,1973,1973-11-18,10,26.159,NWE,,GNB,W 33-24,,,,,,,,,,,
39,1973,1973-11-25,11,26.166,NWE,@,HOU,W 32-0,,,,,,,,,,,
40,1973,1973-12-02,12,26.173,NWE,,SDG,W 30-14,,,,,,,,,,,
41,1973,1973-12-09,13,26.180,NWE,@,BUF,L 13-37,,,,,,,,,,,
42,1973,1973-12-16,14,26.187,NWE,@,BAL,L 13-18,,,,,,,,,,,
43,1974,1974-09-15,1,27.095,HOU,,SDG,W 21-14,0,0,,0,0,0,,0,1,34,0
44,1974,1974-09-22,2,27.102,HOU,@,CLE,L 7-20,,,,,,,,,,,
45,1974,1974-09-29,3,27.109,HOU,,KAN,L 7-17,,,,,,,,,,,
46,1974,1974-10-06,4,27.116,HOU,,PIT,L 7-13,,,,,,,,,,,
47,1974,1974-10-13,5,27.123,HOU,@,MIN,L 10-51,,,,,,,,,,,
48,1974,1974-10-20,6,27.130,HOU,,STL,L 27-31,,,,,,,,,,,
49,1974,1974-10-27,7,27.137,HOU,@,CIN,W 34-21,,,,,,,,,,,
50,1974,1974-11-03,8,27.144,HOU,@,NYJ,W 27-22,,,,,,,,,,,
51,1974,1974-11-10,9,27.151,HOU,@,BUF,W 21-9,,,,,,,,,,,
52,1974,1974-11-17,10,27.158,HOU,,CIN,W 20-3,,,,,,,,,,,
53,1974,1974-11-24,11,27.165,HOU,,DAL,L 0-10,,,,,,,,,,,
54,1974,1974-12-01,12,27.172,HOU,@,PIT,W 13-10,,,,,,,,,,,
55,1974,1974-12-08,13,27.179,HOU,@,DEN,L 14-37,,,,,,,,,,,
56,1974,1974-12-15,14,27.186,HOU,,CLE,W 28-24,,,,,,,,,,,
57,1975,1975-09-21,1,28.101,HOU,@,NWE,W 7-0,,,,,,,,,,,
58,1975,1975-09-28,2,28.108,HOU,,SDG,W 33-17,0,0,,0,0,0,,0,1,0,0
59,1975,1975-10-05,3,28.115,HOU,,CIN,L 19-21,,,,,,,,,,,
60,1975,1975-10-12,4,28.122,HOU,@,CLE,W 40-10,,,,,,,,,,,
61,1975,1975-10-19,5,28.129,HOU,,WAS,W 13-10,,,,,,,,,,,
62,1975,1975-10-26,6,28.136,HOU,,DET,W 24-8,,,,,,,,,,,
63,1975,1975-11-02,7,28.143,HOU,@,KAN,W 17-13,,,,,,,,,,,
64,1975,1975-11-09,8,28.150,HOU,@,PIT,L 17-24,,,,,,,,,,,
65,1975,1975-11-16,9,28.157,HOU,,MIA,W 20-19,,,,,,,,,,,
66,1975,1975-11-24,10,28.165,HOU,,PIT,L 9-32,,,,,,,,,,,
67,1975,1975-11-30,11,28.171,HOU,@,CIN,L 19-23,,,,,,,,,,,
68,1975,1975-12-07,12,28.178,HOU,@,SFO,W 27-13,,,,,,,,,,,
69,1975,1975-12-14,13,28.185,HOU,@,OAK,W 27-26,0,0,,0,0,0,,0,1,7,0
70,1975,1975-12-21,14,28.192,HOU,,CLE,W 21-10,,,,,,,,,,,
71,1976,1976-09-12,1,29.092,HOU,,TAM,W 20-0,,,,,,,,,,,
72,1976,1976-09-19,2,29.099,HOU,@,BUF,W 13-3,,,,,,,,,,,
73,1976,1976-09-26,3,29.106,HOU,,OAK,L 13-14,,,,,,,,,,,
74,1976,1976-10-03,4,29.113,HOU,@,NOR,W 31-26,,,,,,,,,,,
75,1976,1976-10-10,5,29.120,HOU,,DEN,W 17-3,,,,,,,,,,,
76,1976,1976-10-17,6,29.127,HOU,@,SDG,L 27-30,,,,,,,,,,,
77,1976,1976-10-24,7,29.134,HOU,,CIN,L 7-27,,,,,,,,,,,
78,1976,1976-11-01,8,29.142,HOU,@,BAL,L 14-38,,,,,,,,,,,
79,1976,1976-11-07,9,29.148,HOU,,CLE,L 7-21,,,,,,,,,,,
80,1976,1976-11-14,10,29.155,HOU,@,CIN,L 27-31,,,,,,,,,,,
81,1976,1976-11-21,11,29.162,HOU,@,PIT,L 16-32,,,,,,,,,,,
82,1976,1976-11-28,12,29.169,HOU,,ATL,W 20-14,,,,,,,,,,,
83,1976,1976-12-05,13,29.176,HOU,@,CLE,L 10-13,,,,,,,,,,,
84,1976,1976-12-11,14,29.182,HOU,,PIT,L 0-21,,,,,,,,,,,
85,1977,1977-09-18,1,30.098,HOU,,NYJ,W 20-0,,,,,,,,,,,
86,1977,1977-09-25,2,30.105,HOU,@,GNB,W 16-10,,,,,,,,,,,
87,1977,1977-10-02,3,30.112,HOU,@,MIA,L 7-27,,,,,,,,,,,
88,1977,1977-10-09,4,30.119,HOU,,PIT,W 27-10,,,,,,,,,,,
89,1977,1977-10-16,5,30.126,HOU,,CLE,L 23-24,,,,,,,,,,,
90,1977,1977-10-23,6,30.133,HOU,@,PIT,L 10-27,,,,,,,,,,,
91,1977,1977-10-30,7,30.140,HOU,@,CIN,L 10-13,0,0,,0,0,0,,0,1,17,0
92,1977,1977-11-06,8,30.147,HOU,,CHI,W 47-0,,,,,,,,,,,
93,1977,1977-11-13,9,30.154,HOU,@,OAK,L 29-34,,,,,,,,,,,
94,1977,1977-11-20,10,30.161,HOU,@,SEA,W 22-10,,,,,,,,,,,
95,1977,1977-11-27,11,30.168,HOU,,KAN,W 34-20,,,,,,,,,,,
96,1977,1977-12-04,12,30.175,HOU,,DEN,L 14-24,,,,,,,,,,,
97,1977,1977-12-11,13,30.182,HOU,@,CLE,W 19-15,,,,,,,,,,,
98,1977,1977-12-18,14,30.189,HOU,,CIN,W 21-16,,,,,,,,,,,
99,1978,1978-09-03,1,31.083,HOU,@,ATL,L 14-20,,,,,,,,,,,
100,1978,1978-09-10,2,31.090,HOU,@,KAN,W 20-17,,,,,,,,,,,
101,1978,1978-09-17,3,31.097,HOU,,SFO,W 20-19,,,,,,,,,,,
102,1978,1978-09-24,4,31.104,HOU,,RAM,L 6-10,,,,,,,,,,,
103,1978,1978-10-01,5,31.111,HOU,@,CLE,W 16-13,,,,,,,,,,,
104,1978,1978-10-08,6,31.118,HOU,@,OAK,L 17-21,,,,,,,,,,,
105,1978,1978-10-15,7,31.125,HOU,,BUF,W 17-10,,,,,,,,,,,
106,1978,1978-10-23,8,31.133,HOU,@,PIT,W 24-17,,,,,,,,,,,
107,1978,1978-10-29,9,31.139,HOU,@,CIN,L 13-28,,,,,,,,,,,
108,1978,1978-11-05,10,31.146,HOU,,CLE,W 14-10,,,,,,,,,,,
109,1978,1978-11-12,11,31.153,HOU,@,NWE,W 26-23,,,,,,,,,,,
110,1978,1978-11-20,12,31.161,HOU,,MIA,W 35-30,0,0,,0,0,0,,0,1,3,0
111,1978,1978-11-26,13,31.167,HOU,,CIN,W 17-10,,,,,,,,,,,
112,1978,1978-12-03,14,31.174,HOU,,PIT,L 3-13,,,,,,,,,,,
113,1978,1978-12-10,15,31.181,HOU,@,NOR,W 17-12,,,,,,,,,,,
114,1978,1978-12-17,16,31.188,HOU,,SDG,L 24-45,,,,,,,,,,,
