ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
26,1983,1983-11-06,10,25.179,CLE,@,GNB,L 21-35,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1983,1983-11-13,11,25.186,CLE,,TAM,W 20-0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1983,1983-11-20,12,25.193,CLE,@,NWE,W 30-0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1983,1983-11-27,13,25.200,CLE,,BAL,W 41-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1983,1983-12-04,14,25.207,CLE,@,DEN,L 6-27,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0,0,,0
31,1983,1983-12-11,15,25.214,CLE,@,HOU,L 27-34,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1983,1983-12-18,16,25.221,CLE,,PIT,W 30-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1984,1984-09-03,1,26.115,CLE,@,SEA,L 0-33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,273,39.00,1
34,1984,1984-09-09,2,26.121,CLE,@,RAM,L 17-20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,255,42.50,0
35,1984,1984-09-16,3,26.128,CLE,,DEN,L 14-24,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,257,42.83,0
36,1984,1984-09-23,4,26.135,CLE,,PIT,W 20-10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,247,41.17,0
37,1984,1984-09-30,5,26.142,CLE,@,KAN,L 6-10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,306,43.71,0
38,1984,1984-10-07,6,26.149,CLE,,NWE,L 16-17,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,2,85,42.50,0
39,1984,1984-10-14,7,26.156,CLE,,NYJ,L 20-24,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,124,41.33,0
40,1984,1984-10-21,8,26.163,CLE,@,CIN,L 9-12,0,0,,0,0,0,,0,0,0,,0,,,,,,,1,2,50.0,0,3,5,235,47.00,0
41,1984,1984-10-28,9,26.170,CLE,,NOR,L 14-16,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,210,42.00,0
42,1984,1984-11-04,10,26.177,CLE,@,BUF,W 13-10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,121,40.33,0
43,1984,1984-11-11,11,26.184,CLE,,SFO,L 7-41,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,6,222,37.00,0
44,1984,1984-11-18,12,26.191,CLE,@,ATL,W 23-7,0,0,,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,,,,,,,0,0,3,138,46.00,0
45,1984,1984-11-25,13,26.198,CLE,,HOU,W 27-10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,2,86,43.00,0
46,1984,1984-12-02,14,26.205,CLE,,CIN,L 17-20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,0.0,0,0,4,193,48.25,1
47,1984,1984-12-09,15,26.212,CLE,@,PIT,L 20-23,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,249,49.80,0
48,1984,1984-12-16,16,26.219,CLE,@,HOU,W 27-20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,212,53.00,0
49,1985,1985-09-09,1,27.121,WAS,@,DAL,L 14-44,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1985,1985-09-15,2,27.127,WAS,,HOU,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1985,1985-09-22,3,27.134,WAS,,PHI,L 6-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1985,1985-09-29,4,27.141,WAS,@,CHI,L 10-45,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1985,1985-10-07,5,27.149,WAS,,STL,W 27-10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,189,47.25,0
54,1985,1985-10-13,6,27.155,WAS,,DET,W 24-3,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,165,41.25,0
55,1985,1985-10-20,7,27.162,WAS,@,NYG,L 3-17,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,149,37.25,0
56,1985,1985-10-27,8,27.169,WAS,@,CLE,W 14-7,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,7,266,38.00,0
57,1985,1985-11-03,9,27.176,WAS,@,ATL,W 44-10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,1,53,53.00,0
58,1985,1985-11-10,10,27.183,WAS,,DAL,L 7-13,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,191,47.75,0
59,1985,1985-11-18,11,27.191,WAS,,NYG,W 23-21,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,,,,,,,0,0,6,232,38.67,0
60,1985,1985-11-24,12,27.197,WAS,@,PIT,W 30-23,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,5,200,40.00,0
61,1985,1985-12-01,13,27.204,WAS,,SFO,L 8-35,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,4,173,43.25,0
62,1985,1985-12-08,14,27.211,WAS,@,PHI,W 17-12,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,0.0,0,0,7,317,45.29,0
63,1985,1985-12-15,15,27.218,WAS,,CIN,W 27-24,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,117,39.00,0
64,1985,1985-12-21,16,27.224,WAS,@,STL,W 27-16,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,3,123,41.00,0
65,1986,1986-09-07,1,28.119,WAS,,PHI,W 41-14,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,5,214,42.80,0
66,1986,1986-09-14,2,28.126,WAS,,RAI,W 10-6,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,254,42.33,0
67,1986,1986-09-21,3,28.133,WAS,@,SDG,W 30-27,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,127,42.33,0
68,1986,1986-09-28,4,28.140,WAS,,SEA,W 19-14,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,4,179,44.75,0
69,1986,1986-10-05,5,28.147,WAS,@,NOR,W 14-6,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,189,47.25,0
70,1986,1986-10-12,6,28.154,WAS,@,DAL,L 6-30,0,0,,0,0,0,,0,0,0,,,,,,,,,,2,0.0,0,0,4,194,48.50,0
71,1986,1986-10-19,7,28.161,WAS,,STL,W 28-21,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,82,41.00,0
72,1986,1986-10-27,8,28.169,WAS,@,NYG,L 20-27,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,200,50.00,0
73,1986,1986-11-02,9,28.175,WAS,,MIN,W 44-38,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,8,329,41.13,0
74,1986,1986-11-09,10,28.182,WAS,@,GNB,W 16-7,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,151,37.75,0
75,1986,1986-11-17,11,28.190,WAS,,SFO,W 14-6,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,10,420,42.00,0
76,1986,1986-11-23,12,28.196,WAS,,DAL,W 41-14,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,5,254,50.80,0
77,1986,1986-11-30,13,28.203,WAS,@,STL,W 20-17,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,196,49.00,0
78,1986,1986-12-07,14,28.210,WAS,,NYG,L 14-24,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,106,35.33,0
79,1986,1986-12-13,15,28.216,WAS,@,DEN,L 30-31,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,4,193,48.25,0
80,1986,1986-12-21,16,28.224,WAS,@,PHI,W 21-14,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,183,36.60,0
81,1987,1987-09-13,1,29.125,WAS,,PHI,W 34-24,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,5,246,49.20,0
82,1987,1987-09-20,2,29.132,WAS,@,ATL,L 20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1987,1987-10-25,6,29.167,WAS,,NYJ,W 17-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1987,1987-11-01,7,29.174,WAS,@,BUF,W 27-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1987,1987-11-08,8,29.181,WAS,@,PHI,L 27-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1987,1987-11-15,9,29.188,WAS,,DET,W 20-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1987,1987-11-23,10,29.196,WAS,,RAM,L 26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1987,1987-11-29,11,29.202,WAS,,NYG,W 23-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1987,1987-12-06,12,29.209,WAS,@,STL,W 34-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1987,1987-12-13,13,29.216,WAS,,DAL,W 24-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1987,1987-12-20,14,29.223,WAS,@,MIA,L 21-23,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,6,242,40.33,0
92,1987,1987-12-26,15,29.229,WAS,@,MIN,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1988,1988-09-05,1,30.117,WAS,@,NYG,L 20-27,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,221,36.83,1
