ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
38,2006,2006-12-07,13,24.280,PIT,,CLE,W 27-7,*,11,21,52.38,225,1,0,106.2,0,0,10.71,11.67,3,4,1.33,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
39,2006,2006-12-17,14,24.290,PIT,@,CAR,W 37-3,*,10,17,58.82,125,1,0,101.3,3,22,7.35,8.53,5,12,2.40,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
40,2006,2006-12-24,15,24.297,PIT,,BAL,L 7-31,*,15,31,48.39,156,1,2,47.2,5,17,5.03,2.77,4,33,8.25,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
41,2006,2006-12-31,16,24.304,PIT,@,CIN,W 23-17,*,19,28,67.86,280,1,1,97.3,1,5,10.00,9.11,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
42,2007,2007-09-09,1,25.191,PIT,@,CLE,W 34-7,*,12,23,52.17,161,4,0,114.3,1,2,7.00,10.48,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
43,2007,2007-09-16,2,25.198,PIT,,BUF,W 26-3,*,21,34,61.76,242,1,1,80.8,1,6,7.12,6.38,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
44,2007,2007-09-23,3,25.205,PIT,,SFO,W 37-16,*,13,20,65.00,160,1,0,106.2,2,15,8.00,9.00,1,18,18.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
45,2007,2007-09-30,4,25.212,PIT,@,ARI,L 14-21,*,17,32,53.13,244,2,2,72.9,4,39,7.63,6.06,4,26,6.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
46,2007,2007-10-07,5,25.219,PIT,,SEA,W 21-0,*,18,22,81.82,206,1,0,120.8,3,27,9.36,10.27,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
47,2007,2007-10-21,6,25.233,PIT,@,DEN,L 28-31,*,24,35,68.57,290,4,2,108.0,4,30,8.29,8.00,3,20,6.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
48,2007,2007-10-28,7,25.240,PIT,@,CIN,W 24-13,*,19,26,73.08,230,2,1,109.5,1,0,8.85,8.65,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
49,2007,2007-11-05,8,25.248,PIT,,BAL,W 38-7,*,13,16,81.25,209,5,0,158.3,3,22,13.06,19.31,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
50,2007,2007-11-11,9,25.254,PIT,,CLE,W 31-28,*,23,34,67.65,278,2,1,99.9,4,36,8.18,8.03,5,49,9.80,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
51,2007,2007-11-18,10,25.261,PIT,@,NYJ,L 16-19,*,15,25,60.00,195,1,1,81.2,7,44,7.80,6.80,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
52,2007,2007-11-26,11,25.269,PIT,,MIA,W 3-0,*,18,21,85.71,165,0,1,79.6,5,33,7.86,5.71,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
53,2007,2007-12-02,12,25.275,PIT,,CIN,W 24-10,*,21,32,65.63,184,2,2,75.5,0,0,5.75,4.19,6,13,2.17,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
54,2007,2007-12-09,13,25.282,PIT,@,NWE,L 13-34,*,19,32,59.38,187,1,0,86.3,3,19,5.84,6.47,4,24,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
55,2007,2007-12-16,14,25.289,PIT,,JAX,L 22-29,*,15,32,46.88,142,3,0,90.9,5,40,4.44,6.31,2,15,7.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
56,2007,2007-12-20,15,25.293,PIT,@,STL,W 41-24,*,16,20,80.00,261,3,0,158.3,4,34,13.05,16.05,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
57,2008,2008-09-07,1,26.189,PIT,,HOU,W 38-17,*,13,14,92.86,137,2,0,147.0,2,15,9.79,12.64,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
58,2008,2008-09-14,2,26.196,PIT,@,CLE,W 10-6,*,13,20,65.00,179,1,0,110.2,2,15,8.95,9.95,1,0,0.00,0,1,1,-7,-7.00,0,100.0%,-7.00,0,0,0.0,0,0,0,0,,0
59,2008,2008-09-21,3,26.203,PIT,@,PHI,L 6-15,*,13,25,52.00,131,0,1,50.6,8,35,5.24,3.44,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,0,0,,0
60,2008,2008-09-29,4,26.211,PIT,,BAL,W 23-20,*,14,24,58.33,191,1,1,80.4,3,23,7.96,6.92,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
61,2008,2008-10-05,5,26.217,PIT,@,JAX,W 26-21,*,26,41,63.41,309,3,1,100.6,3,23,7.54,7.90,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
62,2008,2008-10-19,6,26.231,PIT,@,CIN,W 38-10,*,17,28,60.71,216,2,0,108.6,0,0,7.71,9.14,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
63,2008,2008-10-26,7,26.238,PIT,,NYG,L 14-21,*,13,29,44.83,189,1,4,38.5,5,35,6.52,1.00,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
64,2008,2008-11-03,8,26.246,PIT,@,WAS,W 23-6,*,5,17,29.41,50,0,1,15.1,3,6,2.94,0.29,1,1,1.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
65,2008,2008-11-09,9,26.252,PIT,,IND,L 20-24,*,29,41,70.73,280,0,3,59.0,2,13,6.83,3.54,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,0,0,,0
66,2008,2008-11-16,10,26.259,PIT,,SDG,W 11-10,*,31,41,75.61,308,0,0,96.4,4,22,7.51,7.51,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
67,2008,2008-11-20,11,26.263,PIT,,CIN,W 27-10,*,17,30,56.67,243,1,0,94.2,0,0,8.10,8.77,3,13,4.33,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
68,2008,2008-11-30,12,26.273,PIT,@,NWE,W 33-10,*,17,33,51.52,179,2,1,75.2,1,7,5.42,5.27,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
69,2008,2008-12-07,13,26.280,PIT,,DAL,W 20-13,*,17,33,51.52,204,1,0,80.9,5,36,6.18,6.79,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
70,2008,2008-12-14,14,26.287,PIT,@,BAL,W 13-9,*,22,40,55.00,246,1,0,81.9,3,26,6.15,6.65,4,21,5.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
71,2008,2008-12-21,15,26.294,PIT,@,TEN,L 14-31,*,25,39,64.10,329,2,2,86.4,5,28,8.44,7.15,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
72,2008,2008-12-28,16,26.301,PIT,,CLE,W 31-0,*,9,14,64.29,110,0,1,58.6,0,0,7.86,4.64,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
73,2009,2009-09-10,1,27.192,PIT,,TEN,W 13-10,*,33,43,76.74,363,1,2,89.6,4,42,8.44,6.81,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
74,2009,2009-09-20,2,27.202,PIT,@,CHI,L 14-17,*,23,35,65.71,221,1,1,80.8,2,18,6.31,5.60,3,6,2.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
75,2009,2009-09-27,3,27.209,PIT,@,CIN,L 20-23,*,22,31,70.97,276,1,1,95.6,1,5,8.90,8.10,2,3,1.50,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
76,2009,2009-10-04,4,27.216,PIT,,SDG,W 38-28,*,26,33,78.79,333,2,0,128.9,3,19,10.09,11.30,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
77,2009,2009-10-11,5,27.223,PIT,@,DET,W 28-20,*,23,30,76.67,277,3,1,123.9,3,15,9.23,9.73,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
78,2009,2009-10-18,6,27.230,PIT,,CLE,W 27-14,*,23,35,65.71,417,2,1,113.6,3,14,11.91,11.77,6,11,1.83,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
79,2009,2009-10-25,7,27.237,PIT,,MIN,W 27-17,*,14,26,53.85,175,1,0,87.8,4,23,6.73,7.50,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
80,2009,2009-11-09,8,27.252,PIT,@,DEN,W 28-10,*,21,29,72.41,233,3,1,116.0,3,31,8.03,8.55,2,-3,-1.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
81,2009,2009-11-15,9,27.258,PIT,,CIN,L 12-18,*,20,40,50.00,174,0,1,51.5,4,28,4.35,3.23,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
82,2009,2009-11-22,10,27.265,PIT,@,KAN,L 24-27,*,32,42,76.19,398,3,2,109.0,2,13,9.48,8.76,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
83,2009,2009-12-06,12,27.279,PIT,,OAK,L 24-27,*,18,24,75.00,278,2,1,123.3,1,9,11.58,11.38,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
84,2009,2009-12-10,13,27.283,PIT,@,CLE,L 6-13,*,18,32,56.25,201,0,0,75.1,8,60,6.28,6.28,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
85,2009,2009-12-20,14,27.293,PIT,,GNB,W 37-36,*,29,46,63.04,503,3,0,121.9,5,31,10.93,12.24,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
86,2009,2009-12-27,15,27.300,PIT,,BAL,W 23-20,*,17,33,51.52,259,1,1,75.2,4,21,7.85,7.09,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
87,2009,2010-01-03,16,27.307,PIT,@,MIA,W 30-24,*,18,27,66.67,220,3,0,128.6,3,19,8.15,10.37,4,17,4.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
88,2010,2010-10-17,5,28.229,PIT,,CLE,W 28-10,*,16,27,59.26,257,3,1,112.7,0,0,9.52,10.07,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
89,2010,2010-10-24,6,28.236,PIT,@,MIA,W 23-22,*,19,27,70.37,302,2,0,132.0,3,12,11.19,12.67,5,1,0.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
90,2010,2010-10-31,7,28.243,PIT,@,NOR,L 10-20,*,17,28,60.71,195,0,1,66.8,3,24,6.96,5.36,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
91,2010,2010-11-08,8,28.251,PIT,@,CIN,W 27-21,*,17,27,62.96,163,1,1,76.6,1,9,6.04,5.11,5,13,2.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
92,2010,2010-11-14,9,28.257,PIT,,NWE,L 26-39,*,30,49,61.22,387,3,1,97.9,5,38,7.90,8.20,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
93,2010,2010-11-21,10,28.264,PIT,,OAK,W 35-3,*,18,29,62.07,275,3,0,127.8,2,6,9.48,11.55,3,55,18.33,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
94,2010,2010-11-28,11,28.271,PIT,@,BUF,W 19-16,*,20,33,60.61,246,0,0,83.6,5,26,7.45,7.45,1,18,18.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,1,35,35.00,0
95,2010,2010-12-05,12,28.278,PIT,@,BAL,W 13-10,*,22,38,57.89,253,1,1,75.9,3,19,6.66,6.00,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
96,2010,2010-12-12,13,28.285,PIT,,CIN,W 23-7,*,21,33,63.64,258,0,0,87.7,4,27,7.82,7.82,3,23,7.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
97,2010,2010-12-19,14,28.292,PIT,,NYJ,L 17-22,*,23,44,52.27,264,1,0,78.2,3,32,6.00,6.45,2,25,12.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
98,2010,2010-12-23,15,28.296,PIT,,CAR,W 27-3,*,22,32,68.75,320,1,0,111.5,3,27,10.00,10.63,7,2,0.29,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,,0
99,2010,2011-01-02,16,28.306,PIT,@,CLE,W 41-9,*,15,22,68.18,280,2,0,141.3,0,0,12.73,14.55,4,24,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
100,2011,2011-09-11,1,29.193,PIT,@,BAL,L 7-35,*,22,41,53.66,280,1,3,52.9,4,34,6.83,4.02,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,,0
101,2011,2011-09-18,2,29.200,PIT,,SEA,W 24-0,*,22,30,73.33,298,1,0,115.7,2,16,9.93,10.60,5,8,1.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
102,2011,2011-09-25,3,29.207,PIT,@,IND,W 23-20,*,25,37,67.57,364,1,1,97.1,3,23,9.84,9.16,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
103,2011,2011-10-02,4,29.214,PIT,@,HOU,L 10-17,*,16,30,53.33,206,0,1,61.3,5,28,6.87,5.37,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
104,2011,2011-10-09,5,29.221,PIT,,TEN,W 38-17,*,24,34,70.59,228,5,1,116.2,1,4,6.71,8.32,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
105,2011,2011-10-16,6,29.228,PIT,,JAX,W 17-13,*,12,23,52.17,200,1,0,96.3,3,15,8.70,9.57,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
106,2011,2011-10-23,7,29.235,PIT,@,ARI,W 32-20,*,26,39,66.67,361,3,0,121.8,2,7,9.26,10.79,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
107,2011,2011-10-30,8,29.242,PIT,,NWE,W 25-17,*,36,50,72.00,365,2,1,97.5,5,36,7.30,7.20,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
108,2011,2011-11-06,9,29.249,PIT,,BAL,L 20-23,*,20,37,54.05,330,1,1,82.0,1,8,8.92,8.24,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
109,2011,2011-11-13,10,29.256,PIT,@,CIN,W 24-17,*,21,33,63.64,245,1,1,83.5,5,22,7.42,6.67,3,-2,-0.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
110,2011,2011-11-27,11,29.270,PIT,@,KAN,W 13-9,*,21,31,67.74,193,1,1,81.8,1,11,6.23,5.42,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
111,2011,2011-12-04,12,29.277,PIT,,CIN,W 35-7,*,15,23,65.22,176,2,0,117.3,2,13,7.65,9.39,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
112,2011,2011-12-08,13,29.281,PIT,,CLE,W 14-3,*,16,21,76.19,280,2,1,129.6,1,5,13.33,13.10,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
113,2011,2011-12-19,14,29.292,PIT,@,SFO,L 3-20,*,25,44,56.82,330,0,3,52.3,3,25,7.50,4.43,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
114,2011,2012-01-01,16,29.305,PIT,@,CLE,W 13-9,*,23,40,57.50,221,0,0,73.0,2,22,5.53,5.53,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
115,2012,2012-09-09,1,30.191,PIT,@,DEN,L 19-31,*,22,40,55.00,245,2,1,79.7,5,36,6.13,6.00,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
116,2012,2012-09-16,2,30.198,PIT,,NYJ,W 27-10,*,24,31,77.42,275,2,0,125.1,3,10,8.87,10.16,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
117,2012,2012-09-23,3,30.205,PIT,@,OAK,L 31-34,*,36,49,73.47,384,4,0,123.2,1,5,7.84,9.47,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
118,2012,2012-10-07,4,30.219,PIT,,PHI,W 16-14,*,22,38,57.89,220,1,0,83.2,0,0,5.79,6.32,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
119,2012,2012-10-11,5,30.223,PIT,@,TEN,L 23-26,*,24,40,60.00,363,1,1,87.8,1,7,9.08,8.45,1,14,14.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
120,2012,2012-10-21,6,30.233,PIT,@,CIN,W 24-17,*,27,37,72.97,278,1,1,91.9,3,14,7.51,6.84,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,1,26,26.00,0
121,2012,2012-10-28,7,30.240,PIT,,WAS,W 27-12,*,24,33,72.73,222,3,0,121.0,0,0,6.73,8.55,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
122,2012,2012-11-04,8,30.247,PIT,@,NYG,W 24-20,*,21,30,70.00,216,2,1,98.7,4,25,7.20,7.03,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
123,2012,2012-11-12,9,30.255,PIT,,KAN,W 16-13,*,9,18,50.00,84,1,0,81.7,1,3,4.67,5.78,1,14,14.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
124,2012,2012-12-09,13,30.282,PIT,,SDG,L 24-34,*,22,42,52.38,285,3,1,87.9,2,14,6.79,7.14,5,31,6.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,,0
