ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
25,2004,2004-11-21,10,22.199,DAL,@,BAL,L 10-30,*,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,,,,,,0,0,0.0,,
26,2004,2004-11-25,11,22.203,DAL,,CHI,W 21-7,*,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,,,,,,0,0,0.0,,
27,2004,2004-12-06,12,22.214,DAL,@,SEA,W 43-39,*,6,5,61,12.20,0,83.3%,10.17,0,0,,0,0,0,,,,,,,0,0,0.0,,
28,2004,2004-12-12,13,22.220,DAL,,NOR,L 13-27,*,11,4,59,14.75,0,36.4%,5.36,0,0,,0,0,0,,,,,,,0,0,0.0,,
29,2004,2004-12-19,14,22.227,DAL,@,PHI,L 7-12,*,11,6,66,11.00,0,54.5%,6.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
30,2004,2004-12-26,15,22.234,DAL,,WAS,W 13-10,*,8,6,50,8.33,0,75.0%,6.25,0,0,,0,0,0,,,,,,,0,0,0.0,,
31,2004,2005-01-02,16,22.241,DAL,@,NYG,L 24-28,*,12,8,77,9.63,1,66.7%,6.42,0,0,,0,0,0,,,,,,,1,6,0.0,,
32,2005,2005-09-11,1,23.128,DAL,@,SDG,W 28-24,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
33,2005,2005-09-19,2,23.136,DAL,,WAS,L 13-14,*,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,,,,,,0,0,0.0,,
34,2005,2005-09-25,3,23.142,DAL,@,SFO,W 34-31,*,8,6,85,14.17,1,75.0%,10.63,0,0,,0,0,0,,,,,,,1,6,0.0,,
35,2005,2005-10-02,4,23.149,DAL,@,OAK,L 13-19,*,5,5,49,9.80,0,100.0%,9.80,0,0,,0,0,0,,,,,,,0,0,0.0,,
36,2005,2005-10-09,5,23.156,DAL,,PHI,W 33-10,*,9,7,80,11.43,0,77.8%,8.89,0,0,,0,0,0,,,,,,,0,0,0.0,,
37,2005,2005-10-16,6,23.163,DAL,,NYG,W 16-13,*,5,5,56,11.20,1,100.0%,11.20,0,0,,0,0,0,,,,,,,1,6,0.0,,
38,2005,2005-10-23,7,23.170,DAL,@,SEA,L 10-13,*,4,2,47,23.50,0,50.0%,11.75,0,0,,0,0,0,,,,,,,0,0,0.0,,
39,2005,2005-10-30,8,23.177,DAL,,ARI,W 34-13,*,5,5,71,14.20,0,100.0%,14.20,0,0,,0,0,0,,,,,,,0,0,0.0,,
40,2005,2005-11-14,9,23.192,DAL,@,PHI,W 21-20,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,,,,,,0,0,0.0,,
41,2005,2005-11-20,10,23.198,DAL,,DET,W 20-7,*,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
42,2005,2005-11-24,11,23.202,DAL,,DEN,L 21-24,*,9,9,82,9.11,1,100.0%,9.11,0,0,,0,0,0,,,,,,,1,6,0.0,,
43,2005,2005-12-04,12,23.212,DAL,@,NYG,L 10-17,*,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
44,2005,2005-12-11,13,23.219,DAL,,KAN,W 31-28,*,9,7,93,13.29,1,77.8%,10.33,0,0,,0,0,0,,,,,,,1,6,0.0,,
45,2005,2005-12-18,14,23.226,DAL,@,WAS,L 7-35,*,4,4,41,10.25,1,100.0%,10.25,0,0,,0,0,0,,,,,,,1,6,0.0,,
46,2005,2005-12-24,15,23.232,DAL,@,CAR,W 24-20,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
47,2005,2006-01-01,16,23.240,DAL,,STL,L 10-20,*,8,4,50,12.50,1,50.0%,6.25,0,0,,0,0,0,,,,,,,1,6,0.0,,
48,2006,2006-09-10,1,24.127,DAL,@,JAX,L 17-24,*,8,3,33,11.00,0,37.5%,4.13,0,0,,0,0,0,,,,,,,0,0,0.0,,
49,2006,2006-09-17,2,24.134,DAL,,WAS,W 27-10,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,,,,,,0,0,0.0,,
50,2006,2006-10-01,3,24.148,DAL,@,TEN,W 45-14,*,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,,,,,,0,0,0.0,,
51,2006,2006-10-08,4,24.155,DAL,@,PHI,L 24-38,*,5,4,51,12.75,0,80.0%,10.20,0,0,,0,0,0,,,,,,,0,0,0.0,,
52,2006,2006-10-15,5,24.162,DAL,,HOU,W 34-6,*,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,,,,,,0,0,0.0,,
53,2006,2006-10-23,6,24.170,DAL,,NYG,L 22-36,*,5,4,72,18.00,0,80.0%,14.40,0,0,,0,0,0,,,,,,,0,0,0.0,,
54,2006,2006-10-29,7,24.176,DAL,@,CAR,W 35-14,*,9,6,80,13.33,1,66.7%,8.89,0,0,,0,0,0,,,,,,,1,6,0.0,,
55,2006,2006-11-05,8,24.183,DAL,@,WAS,L 19-22,*,8,5,50,10.00,0,62.5%,6.25,0,0,,0,0,0,,,,,,,0,0,0.0,,
56,2006,2006-11-12,9,24.190,DAL,@,ARI,W 27-10,*,6,5,58,11.60,0,83.3%,9.67,0,0,,0,0,0,,,,,,,0,0,0.0,,
57,2006,2006-11-19,10,24.197,DAL,,IND,W 21-14,*,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,,,,,,0,0,0.0,,
58,2006,2006-11-23,11,24.201,DAL,,TAM,W 38-10,*,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
59,2006,2006-12-03,12,24.211,DAL,@,NYG,W 23-20,*,4,3,73,24.33,0,75.0%,18.25,0,0,,0,0,0,,,,,,,0,0,0.0,,
60,2006,2006-12-10,13,24.218,DAL,,NOR,L 17-42,,7,4,33,8.25,0,57.1%,4.71,0,0,,0,0,0,,,,,,,0,0,0.0,,
61,2006,2006-12-16,14,24.224,DAL,@,ATL,W 38-28,*,6,5,56,11.20,0,83.3%,9.33,0,0,,0,0,0,,,,,,,0,0,0.0,,
62,2006,2006-12-25,15,24.233,DAL,,PHI,L 7-23,*,7,6,50,8.33,0,85.7%,7.14,0,0,,0,0,0,,,,,,,0,0,0.0,,
63,2006,2006-12-31,16,24.239,DAL,,DET,L 31-39,*,5,4,62,15.50,0,80.0%,12.40,0,0,,0,0,0,,,,,,,0,0,0.0,,
64,2007,2007-09-09,1,25.126,DAL,,NYG,W 45-35,*,6,6,116,19.33,1,100.0%,19.33,0,0,,0,0,0,,,,,,,1,6,0.0,,
65,2007,2007-09-16,2,25.133,DAL,@,MIA,W 37-20,*,6,2,27,13.50,0,33.3%,4.50,0,0,,0,0,0,,,,,,,0,0,0.0,,
66,2007,2007-09-23,3,25.140,DAL,@,CHI,W 34-10,*,9,6,90,15.00,1,66.7%,10.00,0,0,,0,0,0,,,,,,,1,6,0.0,,
67,2007,2007-09-30,4,25.147,DAL,,STL,W 35-7,*,8,6,71,11.83,1,75.0%,8.88,0,0,,0,0,0,,,,,,,1,6,0.0,,
68,2007,2007-10-08,5,25.155,DAL,@,BUF,W 25-24,*,15,9,103,11.44,1,60.0%,6.87,0,0,,0,0,0,,,,,,,1,6,0.0,,
69,2007,2007-10-14,6,25.161,DAL,,NWE,L 27-48,*,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,,,,,,0,0,0.0,,
70,2007,2007-10-21,7,25.168,DAL,,MIN,W 24-14,*,13,10,86,8.60,0,76.9%,6.62,0,0,,0,0,0,,,,,,,0,0,0.0,,
71,2007,2007-11-04,8,25.182,DAL,@,PHI,W 38-17,*,5,3,77,25.67,1,60.0%,15.40,0,0,,0,0,0,,,,,,,1,6,0.0,,
72,2007,2007-11-11,9,25.189,DAL,@,NYG,W 31-20,*,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
73,2007,2007-11-18,10,25.196,DAL,,WAS,W 28-23,*,11,8,67,8.38,0,72.7%,6.09,0,0,,0,0,0,,,,,,,0,0,0.0,,
74,2007,2007-11-22,11,25.200,DAL,,NYJ,W 34-3,*,8,4,54,13.50,1,50.0%,6.75,0,0,,0,0,0,,,,,,,1,6,0.0,,
75,2007,2007-11-29,12,25.207,DAL,,GNB,W 37-27,*,8,6,67,11.17,0,75.0%,8.38,0,0,,0,0,0,,,,,,,0,0,0.0,,
76,2007,2007-12-09,13,25.217,DAL,@,DET,W 28-27,*,18,15,138,9.20,1,83.3%,7.67,0,0,,0,0,0,,,,,,,1,6,0.0,,
77,2007,2007-12-16,14,25.224,DAL,,PHI,L 6-10,*,10,8,113,14.13,0,80.0%,11.30,0,0,,0,0,0,,,,,,,0,0,0.0,,
78,2007,2007-12-22,15,25.230,DAL,@,CAR,W 20-13,*,11,6,53,8.83,0,54.5%,4.82,0,0,,0,0,0,,,,,,,0,0,0.0,,
79,2007,2007-12-30,16,25.238,DAL,@,WAS,L 6-27,*,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,,,,,,0,0,0.0,,
80,2008,2008-09-07,1,26.124,DAL,@,CLE,W 28-10,*,9,6,96,16.00,0,66.7%,10.67,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
81,2008,2008-09-15,2,26.132,DAL,,PHI,W 41-37,*,9,7,110,15.71,0,77.8%,12.22,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
82,2008,2008-09-21,3,26.138,DAL,@,GNB,W 27-16,*,9,7,67,9.57,0,77.8%,7.44,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
83,2008,2008-09-28,4,26.145,DAL,,WAS,L 24-26,*,10,7,90,12.86,1,70.0%,9.00,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
84,2008,2008-10-05,5,26.152,DAL,,CIN,W 31-22,*,11,8,79,9.88,1,72.7%,7.18,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
85,2008,2008-10-12,6,26.159,DAL,@,ARI,L 24-30,*,5,4,55,13.75,0,80.0%,11.00,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
86,2008,2008-10-19,7,26.166,DAL,@,STL,L 14-34,*,11,6,44,7.33,0,54.5%,4.00,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
87,2008,2008-10-26,8,26.173,DAL,,TAM,W 13-9,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
88,2008,2008-11-02,9,26.180,DAL,@,NYG,L 14-35,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,0,0,0.0,1,0
89,2008,2008-11-16,10,26.194,DAL,@,WAS,W 14-10,*,3,2,34,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
90,2008,2008-11-23,11,26.201,DAL,,SFO,W 35-22,*,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
91,2008,2008-11-27,12,26.205,DAL,,SEA,W 34-9,*,10,9,115,12.78,1,90.0%,11.50,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
92,2008,2008-12-07,13,26.215,DAL,@,PIT,L 13-20,*,10,6,62,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
93,2008,2008-12-14,14,26.222,DAL,,NYG,W 20-8,*,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,,,,,0,0,0.0,0,0
94,2008,2008-12-20,15,26.228,DAL,,BAL,L 24-33,*,6,5,87,17.40,1,83.3%,14.50,0,0,,0,0,0,,0,,,,,1,6,0.0,0,0
95,2008,2008-12-28,16,26.236,DAL,@,PHI,L 6-44,*,11,7,50,7.14,0,63.6%,4.55,1,1,100.00,42,0,0,118.7,0,0,42.00,42.00,,0,0,0.0,0,0
96,2009,2009-09-13,1,27.130,DAL,@,TAM,W 34-21,*,7,5,71,14.20,0,71.4%,10.14,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
97,2009,2009-09-20,2,27.137,DAL,,NYG,L 31-33,*,7,5,33,6.60,1,71.4%,4.71,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
98,2009,2009-09-28,3,27.145,DAL,,CAR,W 21-7,*,9,9,77,8.56,0,100.0%,8.56,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
99,2009,2009-10-04,4,27.151,DAL,@,DEN,L 10-17,*,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
100,2009,2009-10-11,5,27.158,DAL,@,KAN,W 26-20,*,6,5,47,9.40,0,83.3%,7.83,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
101,2009,2009-10-25,6,27.172,DAL,,ATL,W 37-21,*,7,5,53,10.60,0,71.4%,7.57,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
102,2009,2009-11-01,7,27.179,DAL,,SEA,W 38-17,*,8,4,36,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
103,2009,2009-11-08,8,27.186,DAL,@,PHI,W 20-16,*,8,7,43,6.14,0,87.5%,5.38,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
104,2009,2009-11-15,9,27.193,DAL,@,GNB,L 7-17,*,8,5,47,9.40,0,62.5%,5.88,0,0,,0,0,0,,,,,,,0,0,0.0,2,0
105,2009,2009-11-22,10,27.200,DAL,,WAS,W 7-6,*,7,5,43,8.60,0,71.4%,6.14,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
106,2009,2009-11-26,11,27.204,DAL,,OAK,W 24-7,*,8,5,107,21.40,0,62.5%,13.38,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
107,2009,2009-12-06,12,27.214,DAL,@,NYG,L 24-31,*,16,14,156,11.14,0,87.5%,9.75,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
108,2009,2009-12-13,13,27.221,DAL,,SDG,L 17-20,*,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
109,2009,2009-12-19,14,27.227,DAL,@,NOR,W 24-17,*,8,5,44,8.80,0,62.5%,5.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
110,2009,2009-12-27,15,27.235,DAL,@,WAS,W 17-0,*,7,6,117,19.50,0,85.7%,16.71,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
111,2009,2010-01-03,16,27.242,DAL,,PHI,W 24-0,*,7,6,76,12.67,1,85.7%,10.86,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
112,2010,2010-09-12,1,28.129,DAL,@,WAS,L 7-13,*,8,3,27,9.00,0,37.5%,3.38,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
113,2010,2010-09-19,2,28.136,DAL,,CHI,L 20-27,*,8,5,51,10.20,0,62.5%,6.38,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
114,2010,2010-09-26,3,28.143,DAL,@,HOU,W 27-13,*,8,7,56,8.00,0,87.5%,7.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
115,2010,2010-10-10,4,28.157,DAL,,TEN,L 27-34,*,9,5,84,16.80,1,55.6%,9.33,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
116,2010,2010-10-17,5,28.164,DAL,@,MIN,L 21-24,*,5,3,52,17.33,0,60.0%,10.40,0,0,,0,0,0,,,,,,,0,0,0.0,1,0
117,2010,2010-10-25,6,28.172,DAL,,NYG,L 35-41,*,13,9,95,10.56,1,69.2%,7.31,0,0,,0,0,0,,,,,,1,1,8,0.0,0,0
118,2010,2010-10-31,7,28.178,DAL,,JAX,L 17-35,*,12,10,97,9.70,1,83.3%,8.08,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
119,2010,2010-11-07,8,28.185,DAL,@,GNB,L 7-45,*,4,3,44,14.67,0,75.0%,11.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
120,2010,2010-11-14,9,28.192,DAL,@,NYG,W 33-20,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
121,2010,2010-11-21,10,28.199,DAL,,DET,W 35-19,*,5,4,48,12.00,0,80.0%,9.60,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
122,2010,2010-11-25,11,28.203,DAL,,NOR,L 27-30,*,10,10,99,9.90,0,100.0%,9.90,0,0,,0,0,0,,,,,,,0,0,0.0,0,0
123,2010,2010-12-05,12,28.213,DAL,@,IND,W 38-35,*,5,5,42,8.40,1,100.0%,8.40,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
124,2010,2010-12-12,13,28.220,DAL,,PHI,L 27-30,*,7,7,69,9.86,2,100.0%,9.86,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
125,2010,2010-12-19,14,28.227,DAL,,WAS,W 33-30,*,12,10,140,14.00,1,83.3%,11.67,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
126,2010,2010-12-25,15,28.233,DAL,@,ARI,L 26-27,*,11,8,45,5.63,1,72.7%,4.09,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
127,2010,2011-01-02,16,28.241,DAL,@,PHI,W 14-13,*,9,4,46,11.50,1,44.4%,5.11,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
128,2011,2011-09-11,1,29.128,DAL,@,NYJ,L 24-27,*,9,6,110,18.33,0,66.7%,12.22,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
129,2011,2011-09-18,2,29.135,DAL,@,SFO,W 27-24,*,14,7,102,14.57,0,50.0%,7.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
130,2011,2011-09-26,3,29.143,DAL,,WAS,W 18-16,*,9,6,60,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
131,2011,2011-10-02,4,29.149,DAL,,DET,L 30-34,*,10,8,94,11.75,1,80.0%,9.40,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
132,2011,2011-10-16,5,29.163,DAL,@,NWE,L 16-20,*,4,4,48,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
133,2011,2011-10-23,6,29.170,DAL,,STL,W 34-7,*,6,5,35,7.00,1,83.3%,5.83,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
134,2011,2011-10-30,7,29.177,DAL,@,PHI,L 7-34,*,12,4,28,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
135,2011,2011-11-06,8,29.184,DAL,,SEA,W 23-13,*,7,4,71,17.75,1,57.1%,10.14,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
136,2011,2011-11-13,9,29.191,DAL,,BUF,W 44-7,*,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
137,2011,2011-11-20,10,29.198,DAL,@,WAS,W 27-24,*,3,3,85,28.33,1,100.0%,28.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
138,2011,2011-11-24,11,29.202,DAL,,MIA,W 20-19,*,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
139,2011,2011-12-04,12,29.212,DAL,@,ARI,L 13-19,*,6,5,47,9.40,0,83.3%,7.83,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
140,2011,2011-12-11,13,29.219,DAL,,NYG,L 34-37,*,5,3,12,4.00,0,60.0%,2.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
141,2011,2011-12-17,14,29.225,DAL,@,TAM,W 31-15,*,5,4,77,19.25,0,80.0%,15.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
142,2011,2011-12-24,15,29.232,DAL,,PHI,L 7-20,*,7,4,24,6.00,0,57.1%,3.43,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
143,2011,2012-01-01,16,29.240,DAL,@,NYG,L 14-31,*,8,7,69,9.86,0,87.5%,8.63,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
144,2012,2012-09-05,1,30.122,DAL,@,NYG,W 24-17,*,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
145,2012,2012-09-16,2,30.133,DAL,@,SEA,L 7-27,*,10,4,58,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
146,2012,2012-09-23,3,30.140,DAL,,TAM,W 16-10,*,6,2,8,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
147,2012,2012-10-01,4,30.148,DAL,,CHI,L 18-34,*,14,13,112,8.62,1,92.9%,8.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
148,2012,2012-10-14,5,30.161,DAL,@,BAL,L 29-31,*,7,6,88,14.67,0,85.7%,12.57,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
149,2012,2012-10-21,6,30.168,DAL,@,CAR,W 19-14,*,8,6,44,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
150,2012,2012-10-28,7,30.175,DAL,,NYG,L 24-29,*,22,18,167,9.28,0,81.8%,7.59,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
151,2012,2012-11-04,8,30.182,DAL,@,ATL,L 13-19,*,8,7,51,7.29,0,87.5%,6.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
152,2012,2012-11-11,9,30.189,DAL,@,PHI,W 38-23,*,10,8,47,5.88,0,80.0%,4.70,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
153,2012,2012-11-18,10,30.196,DAL,,CLE,W 23-20,*,8,7,51,7.29,0,87.5%,6.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
154,2012,2012-11-22,11,30.200,DAL,,WAS,L 31-38,*,15,9,74,8.22,0,60.0%,4.93,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
155,2012,2012-12-02,12,30.210,DAL,,PHI,W 38-33,*,8,6,108,18.00,0,75.0%,13.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
156,2012,2012-12-09,13,30.217,DAL,@,CIN,W 20-19,*,4,4,62,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
157,2012,2012-12-16,14,30.224,DAL,,PIT,W 27-24,*,8,5,43,8.60,1,62.5%,5.38,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
158,2012,2012-12-23,15,30.231,DAL,,NOR,L 31-34,*,8,6,60,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
159,2012,2012-12-30,16,30.238,DAL,@,WAS,L 18-28,*,8,7,56,8.00,1,87.5%,7.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
160,2013,2013-09-08,1,31.125,DAL,,NYG,W 36-31,*,9,8,70,8.75,2,88.9%,7.78,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
