ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
43,1978,1978-12-16,16,25.035,DEN,,PIT,L 17-21,,,,,,,,,,,,,
44,1979,1979-09-02,1,25.295,DEN,,CIN,W 10-0,,,,,,,,,,,,,
45,1979,1979-09-06,2,25.299,DEN,,RAM,L 9-13,,,,,,,,,,,,,
46,1979,1979-09-16,3,25.309,DEN,@,ATL,W 20-17,,,,,,,,,,,,,
47,1979,1979-09-23,4,25.316,DEN,,SEA,W 37-34,0,0,,0,0,0,,0,0,0,1,1,0
48,1979,1979-09-30,5,25.323,DEN,@,OAK,L 3-27,,,,,,,,,,,,,
49,1979,1979-10-07,6,25.330,DEN,,SDG,W 7-0,,,,,,,,,,,,,
50,1979,1979-10-14,7,25.337,DEN,@,KAN,W 24-10,,,,,,,,,,,,,
51,1979,1979-10-22,8,25.345,DEN,@,PIT,L 7-42,,,,,,,,,,,,,
52,1979,1979-10-28,9,25.351,DEN,,KAN,W 20-3,,,,,,,,,,,,,
53,1979,1979-11-04,10,25.358,DEN,,NOR,W 10-3,,,,,,,,,,,,,
54,1979,1979-11-11,11,26.000,DEN,,NWE,W 45-10,0,0,,0,0,0,,0,0,0,1,6,0
55,1979,1979-11-18,12,26.007,DEN,@,SFO,W 38-28,,,,,,,,,,,,,
56,1979,1979-11-25,13,26.014,DEN,,OAK,L 10-14,,,,,,,,,,,,,
57,1979,1979-12-02,14,26.021,DEN,@,BUF,W 19-16,,,,,,,,,,,,,
58,1979,1979-12-08,15,26.027,DEN,@,SEA,L 23-28,0,0,,0,0,0,,0,0,0,2,7,0
59,1979,1979-12-17,16,26.036,DEN,@,SDG,L 7-17,0,0,,0,0,0,,0,0,0,2,0,0
60,1980,1980-09-07,1,26.301,DEN,@,PHI,L 6-27,,,,,,,,,,,,,
61,1980,1980-09-14,2,26.308,DEN,,DAL,W 41-20,0,0,,0,0,0,,0,0,0,1,36,0
62,1980,1980-09-21,3,26.315,DEN,,SDG,L 13-30,0,0,,0,0,0,,0,0,0,1,31,0
63,1980,1980-09-29,4,26.323,DEN,@,NWE,L 14-23,,,,,,,,,,,,,
64,1980,1980-10-05,5,26.329,DEN,@,CLE,W 19-16,,,,,,,,,,,,,
65,1980,1980-10-13,6,26.337,DEN,,WAS,W 20-17,,,,,,,,,,,,,
66,1980,1980-10-19,7,26.343,DEN,,KAN,L 17-23,,,,,,,,,,,,,
67,1980,1980-10-26,8,26.350,DEN,@,NYG,W 14-9,,,,,,,,,,,,,
68,1980,1980-11-02,9,26.357,DEN,,HOU,L 16-20,,,,,,,,,,,,,
69,1980,1980-11-09,10,26.364,DEN,@,SDG,W 20-13,0,0,,0,0,0,,0,0,0,1,30,0
70,1980,1980-11-16,11,27.005,DEN,,NYJ,W 31-24,0,0,,0,0,0,,0,0,0,1,18,0
71,1980,1980-11-23,12,27.012,DEN,,SEA,W 36-20,,,,,,,,,,,,,
72,1980,1980-12-01,13,27.020,DEN,@,OAK,L 3-9,,,,,,,,,,,,,
73,1980,1980-12-07,14,27.026,DEN,@,KAN,L 14-31,,,,,,,,,,,,,
74,1980,1980-12-14,15,27.033,DEN,,OAK,L 21-24,,,,,,,,,,,,,
75,1980,1980-12-21,16,27.040,DEN,@,SEA,W 25-17,,,,,,,,,,,,,
76,1981,1981-09-06,1,27.299,DEN,,OAK,W 9-7,,,,,,,,,,,,,
77,1981,1981-09-13,2,27.306,DEN,@,SEA,L 10-13,,,,,,,,,,,,,
78,1981,1981-09-20,3,27.313,DEN,,BAL,W 28-10,,,,,,,,,,,,,
79,1981,1981-09-27,4,27.320,DEN,,SDG,W 42-24,0,0,,0,0,0,,0,0,0,3,42,0
80,1981,1981-10-04,5,27.327,DEN,@,OAK,W 17-0,,,,,,,,,,,,,
81,1981,1981-10-11,6,27.334,DEN,,DET,W 27-21,,,,,,,,,,,,,
82,1981,1981-10-18,7,27.341,DEN,@,KAN,L 14-28,,,,,,,,,,,,,
83,1981,1981-10-25,8,27.348,DEN,@,BUF,L 7-9,0,0,,0,0,0,,0,0,0,1,15,0
84,1981,1981-11-02,9,27.356,DEN,,MIN,W 19-17,,,,,,,,,,,,,
85,1981,1981-11-08,10,27.362,DEN,,CLE,W 23-20,,,,,,,,,,,,,
86,1981,1981-11-15,11,28.004,DEN,@,TAM,W 24-7,,,,,,,,,,,,,
87,1981,1981-11-22,12,28.011,DEN,@,CIN,L 21-38,,,,,,,,,,,,,
88,1981,1981-11-29,13,28.018,DEN,@,SDG,L 17-34,0,0,,0,0,0,,0,0,0,1,24,0
89,1981,1981-12-06,14,28.025,DEN,,KAN,W 16-13,,,,,,,,,,,,,
90,1981,1981-12-13,15,28.032,DEN,,SEA,W 23-13,,,,,,,,,,,,,
91,1981,1981-12-20,16,28.039,DEN,@,CHI,L 24-35,,,,,,,,,,,,,
92,1982,1982-09-12,1,28.305,DEN,,SDG,L 3-23,,,,,,,,,,,,,
93,1983,1983-09-04,1,29.297,DEN,@,PIT,W 14-10,,,,,,,,,,,,,
94,1983,1983-09-11,2,29.304,DEN,@,BAL,W 17-10,0,0,,0,0,0,,0,0,0,1,1,0
95,1983,1983-09-18,3,29.311,DEN,,PHI,L 10-13,,,,,,,,,,,,,
96,1983,1983-09-25,4,29.318,DEN,,RAI,L 7-22,0,0,,0,0,0,,0,0,0,1,16,0
97,1983,1983-10-02,5,29.325,DEN,@,CHI,L 14-31,0,0,,0,0,0,,0,0,0,2,11,0
98,1983,1983-10-09,6,29.332,DEN,@,HOU,W 26-14,,,,,,,,,,,,,
99,1983,1983-10-16,7,29.339,DEN,,CIN,W 24-17,,,,,,,,,,,,,
100,1983,1983-10-23,8,29.346,DEN,,SDG,W 14-6,,,,,,,,,,,,,
101,1983,1983-10-30,9,29.353,DEN,,KAN,W 27-24,,,,,,,,,,,,,
102,1983,1983-11-06,10,29.360,DEN,@,SEA,L 19-27,,,,,,,,,,,,,
103,1983,1983-11-13,11,30.002,DEN,@,RAI,L 20-22,,,,,,,,,,,,,
104,1983,1983-12-04,14,30.023,DEN,,CLE,W 27-6,0,0,,0,0,0,,0,0,0,1,0,0
105,1983,1983-12-11,15,30.030,DEN,,BAL,W 21-19,,,,,,,,,,,,,
106,1983,1983-12-18,16,30.037,DEN,@,KAN,L 17-48,,,,,,,,,,,,,
107,1984,1984-09-02,1,30.296,DEN,,CIN,W 20-17,,,,,,,,,,,,,
108,1984,1984-09-09,2,30.303,DEN,@,CHI,L 0-27,0,0,,0,0,0,,0,0,0,1,0,0
109,1984,1984-09-16,3,30.310,DEN,@,CLE,W 24-14,,,,,,,,,,,,,
110,1984,1984-09-23,4,30.317,DEN,,KAN,W 21-0,0,0,,0,0,0,,0,0,0,1,0,0
111,1984,1984-09-30,5,30.324,DEN,,RAI,W 16-13,,,,,,,,,,,,,
112,1984,1984-10-07,6,30.331,DEN,@,DET,W 28-7,,,,,,,,,,,,,
113,1984,1984-10-15,7,30.339,DEN,,GNB,W 17-14,0,0,,0,0,0,,0,0,0,1,20,0
114,1984,1984-10-21,8,30.345,DEN,@,BUF,W 37-7,0,0,,0,0,0,,0,0,0,1,24,0
115,1984,1984-10-28,9,30.352,DEN,@,RAI,W 22-19,,,,,,,,,,,,,
116,1984,1984-11-04,10,30.359,DEN,,NWE,W 26-19,0,0,,0,0,0,,0,0,0,1,13,0
117,1984,1984-11-11,11,31.000,DEN,@,SDG,W 16-13,,,,,,,,,,,,,
118,1984,1984-11-18,12,31.007,DEN,,MIN,W 42-21,,,,,,,,,,,,,
119,1984,1984-11-25,13,31.014,DEN,,SEA,L 24-27,,,,,,,,,,,,,
120,1984,1984-12-02,14,31.021,DEN,@,KAN,L 13-16,,,,,,,,,,,,,
121,1984,1984-12-09,15,31.028,DEN,,SDG,W 16-13,,,,,,,,,,,,,
122,1984,1984-12-15,16,31.034,DEN,@,SEA,W 31-14,0,0,,0,0,0,,0,1,6,1,40,1
123,1985,1985-09-08,1,31.301,DEN,@,RAM,L 16-20,0,0,,0,0,0,,0,0,0,2,29,0
124,1985,1985-09-15,2,31.308,DEN,,NOR,W 34-23,,,,,,,,,,,,,
125,1985,1985-09-22,3,31.315,DEN,@,ATL,W 44-28,,,,,,,,,,,,,
126,1985,1985-09-29,4,31.322,DEN,,MIA,L 26-30,,,,,,,,,,,,,
127,1985,1985-10-06,5,31.329,DEN,,HOU,W 31-20,,,,,,,,,,,,,
128,1985,1985-11-11,10,32.000,DEN,,SFO,W 17-16,,,,,,,,,,,,,
129,1985,1985-11-17,11,32.006,DEN,,SDG,W 30-24,,,,,,,,,,,,,
130,1985,1985-11-24,12,32.013,DEN,@,RAI,L 28-31,0,0,,0,0,0,,0,0,0,1,18,0
131,1985,1985-12-01,13,32.020,DEN,@,PIT,W 31-23,,,,,,,,,,,,,
132,1985,1985-12-08,14,32.027,DEN,,RAI,L 14-17,,,,,,,,,,,,,
133,1985,1985-12-14,15,32.033,DEN,,KAN,W 14-13,,,,,,,,,,,,,
134,1985,1985-12-20,16,32.039,DEN,@,SEA,W 27-24,,,,,,,,,,,,,
135,1986,1986-09-07,1,32.300,DEN,,RAI,W 38-36,,,,,,,,,,,,,
136,1986,1986-09-15,2,32.308,DEN,@,PIT,W 21-10,0,0,,0,0,0,,0,0,0,1,24,0
137,1986,1986-09-21,3,32.314,DEN,@,PHI,W 33-7,,,,,,,,,,,,,
138,1986,1986-09-28,4,32.321,DEN,,NWE,W 27-20,0,0,,0,0,0,,0,0,0,1,15,0
139,1986,1986-10-05,5,32.328,DEN,,DAL,W 29-14,,,,,,,,,,,,,
140,1986,1986-10-12,6,32.335,DEN,@,SDG,W 31-14,,,,,,,,,,,,,
141,1986,1986-10-20,7,32.343,DEN,@,NYJ,L 10-22,,,,,,,,,,,,,
142,1986,1986-10-26,8,32.349,DEN,,SEA,W 20-13,,,,,,,,,,,,,
143,1986,1986-11-02,9,32.356,DEN,@,RAI,W 21-10,,,,,,,,,,,,,
144,1986,1986-11-09,10,32.363,DEN,,SDG,L 3-9,,,,,,,,,,,,,
145,1986,1986-11-16,11,33.005,DEN,,KAN,W 38-17,,,,,,,,,,,,,
146,1986,1986-11-23,12,33.012,DEN,@,NYG,L 16-19,,,,,,,,,,,,,
147,1986,1986-11-30,13,33.019,DEN,,CIN,W 34-28,,,,,,,,,,,,,
148,1986,1986-12-07,14,33.026,DEN,@,KAN,L 10-37,,,,,,,,,,,,,
149,1986,1986-12-13,15,33.032,DEN,,WAS,W 31-30,,,,,,,,,,,,,
150,1986,1986-12-20,16,33.039,DEN,@,SEA,L 16-41,,,,,,,,,,,,,
