ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
21,1982,1982-09-12,1,25.176,HOU,@,CIN,L 6-27,,,,,,,,,0,0,,0,,,,,,
22,1982,1982-09-19,2,25.183,HOU,,SEA,W 23-21,,,,,,,,,0,0,,0,,,,,,
23,1982,1982-11-21,3,25.246,HOU,,PIT,L 10-24,,,,,,,,,0,0,,0,,,,,,
24,1982,1982-11-28,4,25.253,HOU,@,NWE,L 21-29,,,,,,,,,0,7,,0,,,,,,
25,1982,1982-12-05,5,25.260,HOU,@,NYG,L 14-17,,,,,,,,,0,0,,0,,,,,,
26,1982,1982-12-13,6,25.268,HOU,,DAL,L 7-37,,,,,,,,,0,0,,0,,,,,,
27,1982,1982-12-19,7,25.274,HOU,@,PHI,L 14-35,,,,,,,,,0,0,,0,,,,,,
28,1982,1982-12-26,8,25.281,HOU,,CLE,L 14-20,,,,,,,,,0,0,,0,,,,,,
29,1982,1983-01-02,9,25.288,HOU,,CIN,L 27-35,,,,,,,,,0,0,,0,,,,,,
30,1983,1983-09-04,1,26.168,HOU,,GNB,L 38-41,8,197,24.63,1,0,0,,0,0,0,,0,1,6,0,0,,0
31,1983,1983-09-11,2,26.175,HOU,@,RAI,L 6-20,0,0,,0,0,0,,0,,,,,0,,,,,
32,1983,1983-09-18,3,26.182,HOU,,PIT,L 28-40,4,81,20.25,0,0,0,,0,0,0,,0,0,0,0,0,,0
33,1983,1983-09-25,4,26.189,HOU,@,BUF,L 13-30,11,147,13.36,0,0,0,,0,0,0,,0,0,0,0,0,,0
34,1983,1983-10-02,5,26.196,HOU,@,PIT,L 10-17,5,57,11.40,0,0,0,,0,0,0,,0,0,0,0,0,,0
35,1983,1983-10-09,6,26.203,HOU,,DEN,L 14-26,4,86,21.50,1,0,0,,0,0,0,,0,1,6,0,0,,0
36,1983,1983-10-16,7,26.210,HOU,@,MIN,L 14-34,4,26,6.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
37,1983,1983-10-23,8,26.217,HOU,,KAN,L 10-13,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0,0,,0
38,1983,1983-10-30,9,26.224,HOU,@,CLE,L 19-25,4,44,11.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
39,1983,1983-11-06,10,26.231,HOU,,CIN,L 14-55,8,94,11.75,1,0,0,,0,0,0,,0,1,6,0,0,,0
40,1983,1983-11-13,11,26.238,HOU,,DET,W 27-17,2,28,14.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
41,1983,1983-11-20,12,26.245,HOU,@,CIN,L 10-38,5,64,12.80,0,0,0,,0,0,0,,0,0,0,0,0,,0
42,1983,1983-11-27,13,26.252,HOU,@,TAM,L 24-33,8,97,12.13,0,0,0,,0,0,0,,0,0,0,0,0,,0
43,1983,1983-12-04,14,26.259,HOU,,MIA,L 17-24,5,36,7.20,1,0,0,,0,0,0,,0,1,6,0,0,,0
44,1983,1983-12-11,15,26.266,HOU,,CLE,W 34-27,7,150,21.43,2,1,7,7.00,0,0,0,,0,2,12,0,0,,0
45,1983,1983-12-18,16,26.273,HOU,@,BAL,L 10-20,8,69,8.63,0,0,0,,0,0,0,,0,0,0,0,0,,0
46,1984,1984-09-02,1,27.166,HOU,,RAI,L 14-24,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
47,1984,1984-09-09,2,27.173,HOU,,IND,L 21-35,6,102,17.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
48,1984,1984-09-16,3,27.180,HOU,@,SDG,L 14-31,5,159,31.80,1,0,0,,0,0,0,,0,1,6,0,0,,0
49,1984,1984-09-23,4,27.187,HOU,@,ATL,L 10-42,5,52,10.40,0,0,0,,0,0,0,,0,0,0,0,0,,0
50,1984,1984-09-30,5,27.194,HOU,,NOR,L 10-27,3,59,19.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
51,1984,1984-10-07,6,27.201,HOU,@,CIN,L 3-13,2,22,11.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
52,1984,1984-10-14,7,27.208,HOU,@,MIA,L 10-28,0,0,,0,,,,,,,,,,,,,,
53,1984,1984-10-21,8,27.215,HOU,,SFO,L 21-34,6,101,16.83,1,0,0,,0,0,0,,0,1,6,0,0,,0
54,1984,1984-10-28,9,27.222,HOU,,CIN,L 13-31,4,51,12.75,0,0,0,,0,0,0,,0,0,0,0,0,,0
55,1984,1984-11-04,10,27.229,HOU,@,PIT,L 7-35,5,78,15.60,0,0,0,,0,0,0,,0,0,0,0,0,,0
56,1984,1984-11-11,11,27.236,HOU,@,KAN,W 17-16,8,107,13.38,0,0,0,,0,0,0,,0,0,0,0,0,,0
57,1984,1984-11-18,12,27.243,HOU,,NYJ,W 31-20,4,46,11.50,2,0,0,,0,0,0,,0,2,12,0,0,,0
58,1984,1984-11-25,13,27.250,HOU,@,CLE,L 10-27,0,0,,0,,,,,,,,,,,,,,
59,1984,1984-12-02,14,27.257,HOU,,PIT,W 23-20,7,108,15.43,0,0,0,,0,0,0,,0,0,0,0,0,,0
60,1984,1984-12-09,15,27.264,HOU,@,RAM,L 16-27,6,69,11.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
61,1984,1984-12-16,16,27.271,HOU,,CLE,L 20-27,7,167,23.86,0,0,0,,0,0,0,,0,0,0,0,0,,0
62,1985,1985-09-08,1,28.172,HOU,,MIA,W 26-23,4,46,11.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
63,1985,1985-09-15,2,28.179,HOU,@,WAS,L 13-16,3,37,12.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
64,1985,1985-09-22,3,28.186,HOU,@,PIT,L 0-20,2,26,13.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
65,1985,1985-09-29,4,28.193,HOU,,DAL,L 10-17,3,59,19.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
66,1985,1985-10-06,5,28.200,HOU,@,DEN,L 20-31,0,0,,0,,,,,,,,,,,0,0,,
67,1985,1985-10-13,6,28.207,HOU,,CLE,L 6-21,0,0,,0,,,,,,,,,,,0,0,,
68,1985,1985-10-20,7,28.214,HOU,,CIN,W 44-27,2,17,8.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
69,1985,1985-10-27,8,28.221,HOU,@,STL,W 20-10,1,10,10.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
70,1985,1985-11-03,9,28.228,HOU,,KAN,W 23-20,5,59,11.80,0,0,0,,0,0,0,,0,0,0,0,0,,0
71,1985,1985-11-10,10,28.235,HOU,@,BUF,L 0-20,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
72,1985,1985-11-17,11,28.242,HOU,,PIT,L 7-30,0,0,,0,,,,,,,,,,,0,0,,
73,1985,1985-11-24,12,28.249,HOU,,SDG,W 37-35,5,77,15.40,0,0,0,,0,0,0,,0,0,0,0,0,,0
74,1985,1985-12-01,13,28.256,HOU,@,CIN,L 27-45,2,13,6.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
75,1985,1985-12-08,14,28.263,HOU,,NYG,L 14-35,7,120,17.14,1,0,0,,0,0,0,,0,1,6,0,0,,0
76,1985,1985-12-15,15,28.270,HOU,@,CLE,L 21-28,7,125,17.86,1,0,0,,0,0,0,,0,1,6,0,0,,0
77,1985,1985-12-22,16,28.277,HOU,@,IND,L 16-34,4,65,16.25,0,0,0,,0,0,0,,0,0,0,1,26,26.00,0
78,1986,1986-09-14,2,29.178,HOU,,CLE,L 20-23,0,0,,0,,,,,,,,,,,,,,
79,1986,1986-09-21,3,29.185,HOU,@,KAN,L 13-27,0,0,,0,,,,,,,,,,,,,,
80,1986,1986-09-28,4,29.192,HOU,,PIT,L 16-22,0,0,,0,,,,,,,,,,,,,,
81,1986,1986-10-05,5,29.199,HOU,@,DET,L 13-24,0,0,,0,,,,,,,,,,,,,,
82,1986,1986-10-19,7,29.213,HOU,@,CIN,L 28-31,0,0,,0,,,,,,,,,,,,,,
83,1986,1986-10-26,8,29.220,HOU,,RAI,L 17-28,1,21,21.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
84,1986,1986-11-02,9,29.227,HOU,@,MIA,L 7-28,2,38,19.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
85,1986,1986-11-09,10,29.234,HOU,,CIN,W 32-28,0,0,,0,,,,,,,,,,,,,,
86,1986,1986-11-23,12,29.248,HOU,,IND,W 31-17,0,0,,0,,,,,,,,,,,,,,
87,1986,1986-11-30,13,29.255,HOU,@,CLE,L 10-13,0,0,,0,,,,,,,,,,,,,,
88,1986,1986-12-07,14,29.262,HOU,@,SDG,L 0-27,0,0,,0,,,,,,,,,,,,,,
89,1986,1986-12-14,15,29.269,HOU,,MIN,W 23-10,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
90,1986,1986-12-21,16,29.276,HOU,,BUF,W 16-7,0,0,,0,,,,,,,,,,,,,,
