ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
44,1997,1997-11-09,10,27.213,ARI,@,DAL,L 6-24,,,,,,,,,,,,,
45,1997,1997-11-16,11,27.220,ARI,@,NYG,L 10-19,,,,,,,,,,,,,
46,1997,1997-11-23,12,27.227,DET,,IND,W 32-10,,,,,,,,,,,,,
47,1997,1997-11-30,13,27.234,ARI,,PIT,L 20-26,,0,0,,0,0,0,,0,1.0,0,0,0
48,1997,1997-12-07,14,27.241,ARI,,WAS,L 28-38,,,,,,,,,,,,,
49,1997,1997-12-14,15,27.248,ARI,@,NOR,L 10-27,,,,,,,,,,,,,
50,1997,1997-12-21,16,27.255,ARI,,ATL,W 29-26,,,,,,,,,,,,,
51,1998,1998-09-06,1,28.149,ARI,@,DAL,L 10-38,,,,,,,,,,,,,
52,1998,1998-09-13,2,28.156,ARI,@,SEA,L 14-33,,,,,,,,,,,,,
53,1998,1998-09-20,3,28.163,ARI,,PHI,W 17-3,,,,,,,,,,,,,
54,1998,1998-11-01,8,28.205,ARI,@,DET,W 17-15,,,,,,,,,,,,,
55,1998,1998-11-08,9,28.212,ARI,,WAS,W 29-27,,,,,,,,,,,,,
56,1998,1998-11-15,10,28.219,ARI,,DAL,L 28-35,,,,,,,,,,,,,
57,1998,1998-11-22,11,28.226,ARI,@,WAS,W 45-42,,,,,,,,,,,,,
58,1998,1998-11-29,12,28.233,ARI,@,KAN,L 24-34,,,,,,,,,,,,,
59,1998,1998-12-06,13,28.240,ARI,,NYG,L 19-23,,0,0,,0,0,0,,0,0.0,1,1,0
60,1998,1998-12-13,14,28.247,ARI,@,PHI,W 20-17,,,,,,,,,,,,,
61,1998,1998-12-20,15,28.254,ARI,,NOR,W 19-17,,,,,,,,,,,,,
62,1998,1998-12-27,16,28.261,ARI,,SDG,W 16-13,,,,,,,,,,,,,
63,1999,1999-09-12,1,29.155,ARI,@,PHI,W 25-24,,,,,,,,,,,,,
64,1999,1999-09-19,2,29.162,ARI,@,MIA,L 16-19,,,,,,,,,,,,,
65,1999,1999-09-27,3,29.170,ARI,,SFO,L 10-24,,,,,,,,,,,,,
66,1999,1999-10-03,4,29.176,ARI,@,DAL,L 7-35,,,,,,,,,,,,,
67,1999,1999-10-10,5,29.183,ARI,,NYG,W 14-3,,,,,,,,,,,,,
68,1999,1999-10-17,6,29.190,ARI,,WAS,L 10-24,*,0,0,,0,1,0,0.00,0,0.0,1,2,0
69,1999,1999-10-31,7,29.204,ARI,,NWE,L 3-27,,,,,,,,,,,,,
70,1999,1999-11-07,8,29.211,ARI,@,NYJ,L 7-12,,,,,,,,,,,,,
71,1999,1999-11-14,9,29.218,ARI,,DET,W 23-19,,,,,,,,,,,,,
72,1999,1999-11-21,10,29.225,ARI,,DAL,W 13-9,,,,,,,,,,,,,
73,1999,1999-11-28,11,29.232,ARI,@,NYG,W 34-24,,,,,,,,,,,,,
74,1999,1999-12-05,12,29.239,ARI,,PHI,W 21-17,,,,,,,,,,,,,
75,1999,1999-12-12,13,29.246,ARI,@,WAS,L 3-28,,,,,,,,,,,,,
76,1999,1999-12-19,14,29.253,ARI,,BUF,L 21-31,,,,,,,,,,,,,
77,1999,1999-12-26,15,29.260,ARI,@,ATL,L 14-37,,,,,,,,,,,,,
78,1999,2000-01-02,16,29.267,ARI,@,GNB,L 24-49,,,,,,,,,,,,,
