ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
25,2014,2014-11-30,12,24.003,STL,,OAK,W 52-0,,0,0,,0,0,0,0.0,2,0
26,2014,2014-12-07,13,24.010,STL,@,WAS,W 24-0,,0,0,,0,0,0,0.0,3,0
27,2014,2014-12-11,14,24.014,STL,,ARI,L 6-12,,0,0,,0,0,0,0.0,2,0
28,2014,2014-12-21,15,24.024,STL,,NYG,L 27-37,,0,0,,0,0,0,0.0,1,0
29,2014,2014-12-28,16,24.031,STL,@,SEA,L 6-20,,,,,,,,,,
30,2015,2015-09-20,2,24.297,STL,@,WAS,L 10-24,,0,0,,0,0,0,0.0,0,0
31,2015,2015-09-27,3,24.304,STL,,PIT,L 6-12,,0,0,,0,0,0,0.0,0,0
32,2015,2015-10-04,4,24.311,STL,@,ARI,W 24-22,,0,0,,0,0,0,0.0,1,1
33,2015,2015-10-11,5,24.318,STL,@,GNB,L 10-24,,0,0,,0,0,0,0.0,1,0
34,2015,2015-10-25,6,24.332,STL,,CLE,W 24-6,,0,0,,0,0,0,0.0,0,0
35,2015,2015-11-01,7,24.339,STL,,SFO,W 27-6,,0,0,,0,0,0,0.0,0,0
36,2015,2015-11-08,8,24.346,STL,@,MIN,L 18-21,,0,0,,0,0,0,0.0,0,0
37,2015,2015-11-15,9,24.353,STL,,CHI,L 13-37,,0,0,,0,0,0,0.0,0,0
38,2015,2015-11-22,10,24.360,STL,@,BAL,L 13-16,,0,0,,0,0,0,0.0,0,0
39,2015,2015-11-29,11,25.002,STL,@,CIN,L 7-31,,0,0,,0,0,0,0.0,0,0
40,2015,2015-12-06,12,25.009,STL,,ARI,L 3-27,,1,0,0.00,0,0,0,0.0,0,0
41,2015,2015-12-13,13,25.016,STL,,DET,W 21-14,,0,0,,0,0,0,0.0,0,0
42,2015,2015-12-17,14,25.020,STL,,TAM,W 31-23,,0,0,,0,0,0,0.0,0,0
43,2015,2015-12-27,15,25.030,STL,@,SEA,W 23-17,,0,0,,0,0,0,0.0,0,0
44,2015,2016-01-03,16,25.037,STL,@,SFO,L 16-19,,0,0,,0,0,0,0.0,0,0
45,2016,2016-09-11,1,25.289,OAK,@,NOR,W 35-34,,0,0,,0,0,0,0.0,0,0
46,2016,2016-09-18,2,25.296,OAK,,ATL,L 28-35,,0,0,,0,0,0,0.0,0,0
47,2016,2016-09-25,3,25.303,OAK,@,TEN,W 17-10,,0,0,,0,0,0,0.0,0,0
48,2016,2016-10-02,4,25.310,OAK,@,BAL,W 28-27,,0,0,,0,0,0,0.0,1,1
49,2016,2016-10-09,5,25.317,OAK,,SDG,W 34-31,,0,0,,0,0,0,0.0,0,0
50,2016,2016-10-16,6,25.324,OAK,,KAN,L 10-26,,0,0,,0,0,0,0.0,0,0
51,2016,2016-10-23,7,25.331,OAK,@,JAX,W 33-16,,0,0,,0,0,0,0.0,0,0
52,2016,2016-10-30,8,25.338,OAK,@,TAM,W 30-24,,0,0,,0,0,0,0.0,0,0
53,2016,2016-11-06,9,25.345,OAK,,DEN,W 30-20,,0,0,,0,0,0,0.0,0,0
54,2016,2016-11-21,10,25.360,OAK,,HOU,W 27-20,,0,0,,0,0,0,0.0,0,0
55,2016,2016-11-27,11,26.000,OAK,,CAR,W 35-32,,0,0,,0,0,0,0.0,1,0
56,2016,2016-12-04,12,26.007,OAK,,BUF,W 38-24,,0,0,,0,0,0,0.0,0,0
57,2016,2016-12-08,13,26.011,OAK,@,KAN,L 13-21,,0,0,,0,0,0,0.0,0,0
58,2016,2016-12-18,14,26.021,OAK,@,SDG,W 19-16,,0,0,,0,0,0,0.0,0,0
59,2016,2016-12-24,15,26.027,OAK,,IND,W 33-25,,0,0,,0,0,0,0.0,1,0
60,2016,2017-01-01,16,26.035,OAK,@,DEN,L 6-24,,0,0,,0,0,0,0.0,0,0
61,2017,2017-09-10,1,26.287,TEN,,OAK,L 16-26,,0,0,,0,0,0,0.0,0,0
62,2017,2017-09-17,2,26.294,TEN,@,JAX,W 37-16,,0,0,,0,0,0,0.0,0,0
63,2017,2017-09-24,3,26.301,TEN,,SEA,W 33-27,,0,0,,0,0,0,0.0,0,0
64,2017,2017-10-01,4,26.308,TEN,@,HOU,L 14-57,,0,0,,0,0,0,0.0,0,0
65,2017,2017-10-08,5,26.315,TEN,@,MIA,L 10-16,,0,0,,0,0,0,0.0,0,0
66,2017,2017-10-16,6,26.323,TEN,,IND,W 36-22,,0,0,,0,0,0,0.0,0,0
67,2017,2017-10-22,7,26.329,TEN,@,CLE,W 12-9,,0,0,,0,0,0,0.0,0,0
68,2017,2017-11-05,8,26.343,TEN,,BAL,W 23-20,,0,0,,0,0,0,0.0,0,0
69,2017,2017-11-12,9,26.350,TEN,,CIN,W 24-20,,0,0,,0,0,0,0.0,0,0
70,2017,2017-11-16,10,26.354,TEN,@,PIT,L 17-40,,0,0,,0,0,0,0.0,0,0
71,2017,2017-11-26,11,26.364,TEN,@,IND,W 20-16,,0,0,,0,0,0,0.0,0,0
72,2017,2017-12-03,12,27.006,TEN,,HOU,W 24-13,,0,0,,0,0,0,0.0,0,0
73,2017,2017-12-10,13,27.013,TEN,@,ARI,L 7-12,,0,0,,0,0,0,0.0,0,0
74,2017,2017-12-17,14,27.020,TEN,@,SFO,L 23-25,,0,0,,0,0,0,0.0,0,0
75,2017,2017-12-24,15,27.027,TEN,,LAR,L 23-27,,0,0,,0,0,0,0.0,0,0
76,2017,2017-12-31,16,27.034,TEN,,JAX,W 15-10,,0,0,,0,0,0,0.0,0,0
77,2018,2018-09-09,1,27.286,TEN,@,MIA,L 20-27,,0,0,,0,0,0,0.0,0,0
78,2018,2018-09-16,2,27.293,TEN,,HOU,W 20-17,,0,0,,0,0,0,0.0,0,0
79,2018,2018-09-23,3,27.300,TEN,@,JAX,W 9-6,,0,0,,0,0,0,0.0,0,0
