ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
19,2008,2008-10-05,4,26.141,NWE,@,SFO,W 30-21,*,22,32,68.75,259,1,2,77.5,5,26,8.09,5.91,4,5,1.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
20,2008,2008-10-12,5,26.148,NWE,@,SDG,L 10-30,*,22,38,57.89,203,0,1,61.6,4,10,5.34,4.16,7,29,4.14,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
21,2008,2008-10-20,6,26.156,NWE,,DEN,W 41-7,*,18,24,75.00,185,3,0,136.3,6,38,7.71,10.21,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
22,2008,2008-10-26,7,26.162,NWE,,STL,W 23-16,*,21,33,63.64,267,1,2,73.7,3,17,8.09,5.97,7,22,3.14,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
23,2008,2008-11-02,8,26.169,NWE,@,IND,L 15-18,*,25,34,73.53,204,0,1,76.1,0,0,6.00,4.68,5,20,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
24,2008,2008-11-09,9,26.176,NWE,,BUF,W 20-10,*,22,32,68.75,234,0,0,89.8,1,8,7.31,7.31,9,22,2.44,1,0,0,0,,0,0.0%,,,1,6,0.0,1,0,0,0,,0
25,2008,2008-11-13,10,26.180,NWE,,NYJ,L 31-34,*,30,51,58.82,400,3,0,103.4,3,14,7.84,9.02,8,62,7.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
26,2008,2008-11-23,11,26.190,NWE,@,MIA,W 48-28,*,30,43,69.77,415,3,1,114.0,2,7,9.65,10.00,2,14,7.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,0
27,2008,2008-11-30,12,26.197,NWE,,PIT,L 10-33,*,19,39,48.72,169,0,2,39.4,5,24,4.33,2.03,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,,0
28,2008,2008-12-07,13,26.204,NWE,@,SEA,W 24-21,*,26,44,59.09,268,1,0,84.3,3,8,6.09,6.55,7,14,2.00,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,,0
29,2008,2008-12-14,14,26.211,NWE,@,OAK,W 49-26,*,18,30,60.00,218,4,1,108.1,3,8,7.27,8.43,6,18,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
30,2008,2008-12-21,15,26.218,NWE,,ARI,W 47-7,*,20,36,55.56,345,3,0,116.1,1,12,9.58,11.25,2,19,9.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
31,2008,2008-12-28,16,26.225,NWE,@,BUF,W 13-0,*,6,8,75.00,78,0,0,105.2,1,5,9.75,9.75,3,19,6.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,1,57,57.00,0
32,2009,2009-09-20,2,27.126,KAN,,OAK,L 10-13,*,24,39,61.54,241,1,2,66.3,2,5,6.18,4.38,5,34,6.80,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,,0
33,2009,2009-09-27,3,27.133,KAN,@,PHI,L 14-34,*,14,18,77.78,90,2,0,124.5,3,19,5.00,7.22,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
34,2009,2009-10-04,4,27.140,KAN,,NYG,L 16-27,*,15,32,46.88,127,2,0,78.5,5,39,3.97,5.22,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
35,2009,2009-10-11,5,27.147,KAN,,DAL,L 20-26,*,23,41,56.10,253,2,0,90.8,4,21,6.17,7.15,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
36,2009,2009-10-18,6,27.154,KAN,@,WAS,W 14-6,*,16,31,51.61,186,0,0,70.1,5,28,6.00,6.00,6,16,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
37,2009,2009-10-25,7,27.161,KAN,,SDG,L 7-37,*,10,25,40.00,97,1,3,25.3,5,18,3.88,-0.72,5,24,4.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
38,2009,2009-11-08,8,27.175,KAN,@,JAX,L 21-24,*,23,39,58.97,262,2,0,96.3,3,21,6.72,7.74,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
39,2009,2009-11-15,9,27.182,KAN,@,OAK,W 16-10,*,19,34,55.88,216,0,1,62.9,2,10,6.35,5.03,4,-3,-0.75,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,,0
40,2009,2009-11-22,10,27.189,KAN,,PIT,W 27-24,*,15,30,50.00,248,2,0,100.4,5,34,8.27,9.60,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
41,2009,2009-11-29,11,27.196,KAN,@,SDG,L 14-43,*,19,31,61.29,178,1,1,74.4,1,11,5.74,4.94,6,22,3.67,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,,0
42,2009,2009-12-06,12,27.203,KAN,,DEN,L 13-44,*,10,29,34.48,84,0,2,14.6,2,6,2.90,-0.21,3,17,5.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
43,2009,2009-12-13,13,27.210,KAN,,BUF,L 10-16,*,26,43,60.47,224,0,4,35.4,3,15,5.21,1.02,2,-6,-3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
44,2009,2009-12-20,14,27.217,KAN,,CLE,L 34-41,*,22,40,55.00,331,2,0,99.1,1,8,8.28,9.28,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
45,2009,2009-12-27,15,27.224,KAN,@,CIN,L 10-17,*,22,37,59.46,180,1,2,58.4,1,8,4.86,2.97,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
46,2009,2010-01-03,16,27.231,KAN,@,DEN,W 44-24,*,13,24,54.17,207,0,1,65.8,0,0,8.63,6.75,1,0,0.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0,0,0,,0
47,2010,2010-09-13,1,28.119,KAN,,SDG,W 21-14,*,10,22,45.45,68,1,0,68.0,1,6,3.09,4.00,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
48,2010,2010-09-19,2,28.125,KAN,@,CLE,W 16-14,*,16,28,57.14,176,0,2,46.1,1,4,6.29,3.07,4,5,1.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
49,2010,2010-09-26,3,28.132,KAN,,SFO,W 31-10,*,16,27,59.26,250,3,1,111.7,0,0,9.26,9.81,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
50,2010,2010-10-10,4,28.146,KAN,@,IND,L 9-19,*,16,29,55.17,156,0,0,70.5,1,8,5.38,5.38,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
51,2010,2010-10-17,5,28.153,KAN,@,HOU,L 31-35,*,20,29,68.97,201,3,0,122.9,1,12,6.93,9.00,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
52,2010,2010-10-24,6,28.160,KAN,,JAX,W 42-20,*,13,18,72.22,193,2,0,144.0,1,3,10.72,12.94,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
53,2010,2010-10-31,7,28.167,KAN,,BUF,W 13-10,*,14,26,53.85,152,1,0,84.1,3,12,5.85,6.62,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
54,2010,2010-11-07,8,28.174,KAN,@,OAK,L 20-23,*,20,35,57.14,216,2,1,82.6,3,16,6.17,6.03,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
55,2010,2010-11-14,9,28.181,KAN,@,DEN,L 29-49,*,33,53,62.26,469,4,0,116.0,4,36,8.85,10.36,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
56,2010,2010-11-21,10,28.188,KAN,,ARI,W 31-13,*,15,24,62.50,193,2,0,115.5,0,0,8.04,9.71,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
57,2010,2010-11-28,11,28.195,KAN,@,SEA,W 42-24,*,22,32,68.75,233,4,0,129.3,0,0,7.28,9.78,5,28,5.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
58,2010,2010-12-05,12,28.202,KAN,,DEN,W 10-6,*,17,31,54.84,196,1,0,84.9,2,22,6.32,6.97,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
59,2010,2010-12-19,14,28.216,KAN,@,STL,W 27-13,*,15,29,51.72,184,1,1,68.8,3,11,6.34,5.48,6,17,2.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
60,2010,2010-12-26,15,28.223,KAN,,TEN,W 34-14,*,24,34,70.59,314,3,0,128.8,1,6,9.24,11.00,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
61,2010,2011-01-02,16,28.230,KAN,,OAK,L 10-31,*,11,33,33.33,115,0,2,19.1,5,46,3.48,0.76,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
62,2011,2011-09-11,1,29.117,KAN,,BUF,L 7-41,*,22,36,61.11,119,1,1,64.5,2,14,3.31,2.61,0,0,,0,1,1,-4,-4.00,0,100.0%,-4.00,,0,0,0.0,0,0,0,0,,0
63,2011,2011-09-18,2,29.124,KAN,@,DET,L 3-48,*,15,22,68.18,133,0,3,44.5,2,17,6.05,-0.09,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
64,2011,2011-09-25,3,29.131,KAN,@,SDG,L 17-20,*,17,24,70.83,176,2,1,102.1,1,5,7.33,7.13,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
65,2011,2011-10-02,4,29.138,KAN,,MIN,W 22-17,*,18,29,62.07,260,1,0,102.7,3,13,8.97,9.66,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
66,2011,2011-10-09,5,29.145,KAN,@,IND,W 28-24,*,21,29,72.41,257,4,0,138.9,2,15,8.86,11.62,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
67,2011,2011-10-23,6,29.159,KAN,@,OAK,W 28-0,*,15,30,50.00,161,0,2,38.3,0,0,5.37,2.37,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
68,2011,2011-10-31,7,29.167,KAN,,SDG,W 23-20,*,19,32,59.38,261,1,2,69.9,3,14,8.16,5.97,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
69,2011,2011-11-06,8,29.173,KAN,,MIA,L 3-31,*,20,39,51.28,253,0,0,71.8,5,26,6.49,6.49,9,38,4.22,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
70,2011,2011-11-13,9,29.180,KAN,,DEN,L 10-17,*,13,28,46.43,93,1,0,66.5,4,16,3.32,4.04,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
71,2012,2012-09-09,1,30.115,KAN,,ATL,L 24-40,*,21,33,63.64,258,1,2,72.5,3,17,7.82,5.70,4,20,5.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,0
72,2012,2012-09-16,2,30.122,KAN,@,BUF,L 17-35,*,23,42,54.76,301,2,1,83.5,5,29,7.17,7.05,2,25,12.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
73,2012,2012-09-23,3,30.129,KAN,@,NOR,W 27-24,*,26,44,59.09,248,0,1,65.3,3,11,5.64,4.61,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
74,2012,2012-09-30,4,30.136,KAN,,SDG,L 20-37,*,24,42,57.14,251,2,3,60.7,2,17,5.98,3.71,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
75,2012,2012-10-07,5,30.143,KAN,,BAL,L 6-9,*,9,15,60.00,92,0,2,38.1,0,0,6.13,0.13,4,14,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
76,2012,2012-10-28,7,30.164,KAN,,OAK,L 16-26,,20,30,66.67,218,1,1,85.1,2,15,7.27,6.43,7,35,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
77,2012,2012-11-01,8,30.168,KAN,@,SDG,L 13-31,*,19,29,65.52,181,0,1,68.3,1,5,6.24,4.69,6,37,6.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
78,2012,2012-11-12,9,30.179,KAN,@,PIT,L 13-16,*,11,26,42.31,154,0,1,46.0,2,6,5.92,4.19,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
79,2012,2012-11-18,10,30.185,KAN,,CIN,L 6-28,*,8,16,50.00,93,0,0,68.0,1,1,5.81,5.81,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
80,2013,2013-09-29,4,31.135,MIN,,PIT,W 34-27,*,16,25,64.00,248,2,0,123.4,1,0,9.92,11.52,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
81,2013,2013-10-13,5,31.149,MIN,,CAR,L 10-35,*,32,44,72.73,241,1,2,74.1,3,26,5.48,3.89,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
82,2013,2013-11-07,9,31.174,MIN,,WAS,W 34-27,,4,6,66.67,47,0,0,90.3,0,0,7.83,7.83,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
83,2013,2013-11-17,10,31.184,MIN,@,SEA,L 20-41,,5,13,38.46,78,1,1,52.7,0,0,6.00,4.08,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
84,2013,2013-12-01,12,31.198,MIN,,CHI,W 23-20,,20,33,60.61,243,1,1,80.7,2,9,7.36,6.61,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,,0
85,2013,2013-12-08,13,31.205,MIN,@,BAL,L 26-29,*,17,38,44.74,265,2,0,86.0,0,0,6.97,8.03,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
86,2013,2013-12-15,14,31.212,MIN,,PHI,W 48-30,*,26,35,74.29,382,2,1,116.6,3,12,10.91,10.77,3,19,6.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,0
87,2013,2013-12-22,15,31.219,MIN,@,CIN,L 14-42,*,13,27,48.15,114,1,3,32.6,4,20,4.22,-0.04,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
88,2013,2013-12-29,16,31.226,MIN,,DET,W 14-13,*,20,33,60.61,189,1,1,73.9,3,18,5.73,4.97,4,5,1.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
89,2014,2014-09-07,1,32.113,MIN,@,STL,W 34-6,*,17,25,68.00,170,2,0,113.7,0,0,6.80,8.40,5,-3,-0.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
90,2014,2014-09-14,2,32.120,MIN,,NWE,L 7-30,*,19,36,52.78,202,1,4,39.1,6,39,5.61,1.17,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
91,2014,2014-09-21,3,32.127,MIN,@,NOR,L 9-20,*,5,10,50.00,53,0,0,65.8,0,0,5.30,5.30,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
92,2015,2015-09-13,1,33.119,BUF,,IND,W 27-14,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
93,2015,2015-10-25,6,33.161,DAL,@,NYG,L 20-27,*,17,27,62.96,227,1,3,62.3,1,0,8.41,4.15,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
94,2015,2015-11-01,7,33.168,DAL,,SEA,L 12-13,*,13,25,52.00,97,0,0,61.6,1,6,3.88,3.88,4,43,10.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
95,2015,2015-11-08,8,33.175,DAL,,PHI,L 27-33,*,25,38,65.79,299,3,1,105.0,4,22,7.87,8.26,2,17,8.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
96,2015,2015-11-15,9,33.182,DAL,@,TAM,L 6-10,*,19,29,65.52,186,0,1,69.0,3,12,6.41,4.86,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
97,2015,2015-11-26,11,33.193,DAL,,CAR,L 14-33,,13,19,68.42,93,1,0,97.0,1,10,4.89,5.95,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
98,2015,2015-12-07,12,33.204,DAL,@,WAS,W 19-16,*,16,29,55.17,223,0,0,80.1,1,2,7.69,7.69,2,-3,-1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
99,2015,2015-12-13,13,33.210,DAL,@,GNB,L 7-28,*,13,29,44.83,114,0,1,41.5,2,15,3.93,2.38,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
100,2015,2015-12-19,14,33.216,DAL,,NYJ,L 16-19,*,3,8,37.50,37,0,1,13.0,1,19,4.63,-1.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
101,2015,2016-01-03,16,33.231,DAL,,WAS,L 23-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
102,2016,2016-09-18,2,34.124,TEN,@,DET,W 16-15,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
103,2016,2016-10-27,8,34.163,TEN,,JAX,W 36-22,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
104,2016,2016-12-24,15,34.221,TEN,@,JAX,L 17-38,,13,24,54.17,124,1,1,65.3,1,6,5.17,4.13,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
105,2016,2017-01-01,16,34.229,TEN,,HOU,W 24-17,*,16,26,61.54,150,1,1,74.2,4,17,5.77,4.81,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
106,2017,2017-10-01,4,35.137,TEN,@,HOU,L 14-57,,4,10,40.00,21,0,2,8.3,2,8,2.10,-6.90,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
107,2017,2017-10-08,5,35.144,TEN,@,MIA,L 10-16,*,21,32,65.63,141,1,0,85.5,6,22,4.41,5.03,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
108,2018,2018-09-10,1,36.116,DET,,NYJ,L 17-48,,2,6,33.33,14,0,1,2.8,0,0,2.33,-5.17,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
