ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
13,2011,2012-01-01,16,24.064,MIA,,NYJ,W 19-17,*,12,28,2.33,0,2,2,12,6.00,0,100.0%,6.00,,0,0,0.0,0,0
14,2012,2012-09-09,1,24.316,MIA,@,HOU,L 10-30,,3,11,3.67,0,3,1,32,32.00,0,33.3%,10.67,,0,0,0.0,0,0
15,2012,2012-09-23,3,24.330,MIA,,NYJ,L 20-23,,19,69,3.63,1,2,1,11,11.00,0,50.0%,5.50,,1,6,0.0,0,0
16,2012,2012-09-30,4,24.337,MIA,@,ARI,L 21-24,,4,4,1.00,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0
17,2012,2012-10-07,5,24.344,MIA,@,CIN,W 17-13,,10,29,2.90,1,1,1,8,8.00,0,100.0%,8.00,,1,6,0.0,0,0
18,2012,2012-10-28,7,24.365,MIA,@,NYJ,W 30-9,,15,42,2.80,1,2,1,3,3.00,0,50.0%,1.50,,1,6,0.0,0,0
19,2012,2012-11-04,8,25.006,MIA,@,IND,L 20-23,,6,37,6.17,0,4,2,25,12.50,0,50.0%,6.25,,0,0,0.0,0,0
20,2012,2012-11-11,9,25.013,MIA,,TEN,L 3-37,,5,21,4.20,0,6,5,34,6.80,0,83.3%,5.67,,0,0,0.0,0,0
21,2012,2012-11-15,10,25.017,MIA,@,BUF,L 14-19,,12,33,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
22,2012,2012-11-25,11,25.027,MIA,,SEA,W 24-21,,9,60,6.67,1,1,1,18,18.00,0,100.0%,18.00,,1,6,0.0,0,0
23,2012,2012-12-02,12,25.034,MIA,,NWE,L 16-23,,5,10,2.00,0,2,2,19,9.50,0,100.0%,9.50,,0,0,0.0,0,0
24,2012,2012-12-09,13,25.041,MIA,@,SFO,L 13-27,,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
25,2012,2012-12-16,14,25.048,MIA,,JAX,W 24-3,,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
26,2013,2013-09-08,1,25.314,MIA,@,CLE,W 23-10,,8,14,1.75,1,1,1,5,5.00,0,100.0%,5.00,,1,6,0.0,0,0
27,2013,2013-09-15,2,25.321,MIA,@,IND,W 24-20,,8,30,3.75,0,1,1,10,10.00,0,100.0%,10.00,,0,0,0.0,0,0
28,2013,2013-09-22,3,25.328,MIA,,ATL,W 27-23,,5,21,4.20,1,1,1,16,16.00,0,100.0%,16.00,,1,6,0.0,0,0
29,2013,2013-09-30,4,25.336,MIA,@,NOR,L 17-38,,4,5,1.25,0,1,1,1,1.00,0,100.0%,1.00,,0,0,0.0,0,0
30,2013,2013-10-06,5,25.342,MIA,,BAL,L 23-26,,2,1,0.50,0,2,2,11,5.50,0,100.0%,5.50,,0,0,0.0,0,0
31,2013,2013-10-20,6,25.356,MIA,,BUF,L 21-23,*,12,60,5.00,0,1,1,-2,-2.00,0,100.0%,-2.00,,0,0,0.0,0,0
32,2013,2013-10-27,7,25.363,MIA,@,NWE,L 17-27,,9,47,5.22,0,1,1,5,5.00,1,100.0%,5.00,,1,6,0.0,1,0
33,2013,2013-10-31,8,26.002,MIA,,CIN,W 22-20,,12,38,3.17,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,0,0
34,2013,2013-11-11,9,26.013,MIA,@,TAM,L 19-22,,4,-2,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
35,2013,2013-11-17,10,26.019,MIA,,SDG,W 20-16,,10,57,5.70,1,1,1,2,2.00,0,100.0%,2.00,,1,6,0.0,1,0
36,2013,2013-11-24,11,26.026,MIA,,CAR,L 16-20,,3,8,2.67,0,2,2,2,1.00,0,100.0%,1.00,,0,0,0.0,0,0
37,2013,2013-12-08,13,26.040,MIA,@,PIT,W 34-28,,16,105,6.56,1,1,1,4,4.00,0,100.0%,4.00,,1,6,0.0,0,0
38,2013,2013-12-15,14,26.047,MIA,,NWE,W 24-20,,5,16,3.20,0,1,1,2,2.00,1,100.0%,2.00,,1,6,0.0,0,0
39,2013,2013-12-22,15,26.054,MIA,@,BUF,L 0-19,,9,6,0.67,0,2,1,3,3.00,0,50.0%,1.50,,0,0,0.0,0,0
40,2013,2013-12-29,16,26.061,MIA,,NYJ,L 7-20,,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
41,2014,2014-09-21,3,26.327,MIA,,KAN,L 15-34,,2,15,7.50,0,2,1,21,21.00,0,50.0%,10.50,,0,0,0.0,0,0
42,2014,2014-09-28,4,26.334,MIA,@,OAK,W 38-14,,5,35,7.00,0,2,1,25,25.00,0,50.0%,12.50,,0,0,0.0,0,0
43,2014,2014-10-19,6,26.355,MIA,@,CHI,W 27-14,,7,25,3.57,0,3,3,25,8.33,0,100.0%,8.33,,0,0,0.0,0,0
44,2014,2014-10-26,7,26.362,MIA,@,JAX,W 27-13,,4,18,4.50,0,2,2,12,6.00,0,100.0%,6.00,,0,0,0.0,0,0
45,2014,2014-11-02,8,27.004,MIA,,SDG,W 37-0,,9,8,0.89,0,2,2,14,7.00,0,100.0%,7.00,,0,0,0.0,0,0
46,2014,2014-11-09,9,27.011,MIA,@,DET,L 16-20,,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
47,2014,2014-11-13,10,27.015,MIA,,BUF,W 22-9,,5,23,4.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
48,2014,2014-11-23,11,27.025,MIA,@,DEN,L 36-39,,3,19,6.33,1,0,0,0,,0,0.0%,,1,1,8,0.0,0,0
49,2014,2014-12-01,12,27.033,MIA,@,NYJ,W 16-13,,1,5,5.00,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,0,0
50,2014,2014-12-07,13,27.039,MIA,,BAL,L 13-28,,0,0,,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
51,2014,2014-12-14,14,27.046,MIA,@,NWE,L 13-41,,2,5,2.50,0,4,2,20,10.00,0,50.0%,5.00,,0,0,0.0,0,0
52,2014,2014-12-28,16,27.060,MIA,,NYJ,L 24-37,,1,1,1.00,1,2,1,1,1.00,0,50.0%,0.50,,1,6,0.0,0,0
