ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
11,1963,1963-12-01,11,22.058,KAN,@,NYJ,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,288,41.14,0
12,1963,1963-12-08,12,22.065,KAN,,DEN,W 52-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,34,34.00,0
13,1963,1963-12-14,13,22.071,KAN,,BOS,W 35-3,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,182,45.50,0
14,1963,1963-12-22,14,22.079,KAN,,NYJ,W 48-0,3,6,2.00,0,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,127,42.33,0
15,1964,1964-09-13,1,22.345,KAN,@,BUF,L 17-34,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,308,44.00,0
16,1964,1964-09-27,2,22.359,KAN,@,OAK,W 21-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,333,41.63,0
17,1964,1964-10-04,3,23.000,KAN,,HOU,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,155,51.67,0
18,1964,1964-10-11,4,23.007,KAN,@,DEN,L 27-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,197,49.25,0
19,1964,1964-10-18,5,23.014,KAN,,BUF,L 22-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,254,50.80,0
20,1964,1964-10-23,6,23.019,KAN,@,BOS,L 7-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,398,44.22,0
21,1964,1964-11-01,7,23.028,KAN,,DEN,W 49-39,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,151,50.33,0
22,1964,1964-11-08,8,23.035,KAN,,OAK,W 42-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,131,32.75,0
23,1964,1964-11-15,9,23.042,KAN,,SDG,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,194,38.80,0
24,1964,1964-11-22,10,23.049,KAN,@,HOU,W 28-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,155,38.75,0
25,1964,1964-11-29,11,23.056,KAN,@,NYJ,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,242,40.33,0
26,1964,1964-12-06,12,23.063,KAN,,BOS,L 24-31,1,-10,-10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,360,40.00,0
27,1964,1964-12-13,13,23.070,KAN,@,SDG,W 49-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,142,35.50,0
28,1964,1964-12-20,14,23.077,KAN,,NYJ,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,308,44.00,0
29,1965,1965-09-12,1,23.343,KAN,@,OAK,L 10-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,313,44.71,0
30,1965,1965-09-18,2,23.349,KAN,@,NYJ,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,10,399,39.90,0
31,1965,1965-09-26,3,23.357,KAN,@,SDG,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,391,48.88,0
32,1965,1965-10-03,4,23.364,KAN,,BOS,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,219,54.75,0
33,1965,1965-10-10,5,24.006,KAN,@,DEN,W 31-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,195,48.75,0
34,1965,1965-10-17,6,24.013,KAN,,BUF,L 7-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,262,43.67,0
35,1965,1965-10-24,7,24.020,KAN,@,HOU,L 36-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,112,37.33,0
36,1965,1965-10-31,8,24.027,KAN,,OAK,W 14-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,268,44.67,0
37,1965,1965-11-07,9,24.034,KAN,,NYJ,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,197,49.25,0
38,1965,1965-11-14,10,24.041,KAN,,SDG,W 31-7,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,223,44.60,0
39,1965,1965-11-21,11,24.048,KAN,@,BOS,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,124,41.33,0
40,1965,1965-11-28,12,24.055,KAN,,HOU,W 52-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,113,37.67,1
41,1965,1965-12-12,13,24.069,KAN,@,BUF,L 25-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,45,45.00,0
42,1965,1965-12-19,14,24.076,KAN,,DEN,W 45-35,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,271,54.20,0
43,1966,1966-09-11,1,24.342,KAN,@,BUF,W 42-20,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,199,39.80,0
44,1966,1966-09-18,2,24.349,KAN,@,OAK,W 32-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,315,39.38,0
45,1966,1966-09-25,3,24.356,KAN,@,BOS,W 43-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,245,40.83,0
46,1966,1966-10-02,4,24.363,KAN,,BUF,L 14-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,353,50.43,0
47,1966,1966-10-08,5,25.004,KAN,,DEN,W 37-10,2,2,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,197,49.25,0
48,1966,1966-10-16,6,25.012,KAN,,OAK,L 13-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,291,41.57,0
49,1966,1966-10-23,7,25.019,KAN,@,DEN,W 56-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,152,50.67,0
50,1966,1966-10-30,8,25.026,KAN,,HOU,W 48-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,158,52.67,0
51,1966,1966-11-06,9,25.033,KAN,,SDG,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,156,52.00,0
52,1966,1966-11-13,10,25.040,KAN,,MIA,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,184,46.00,0
53,1966,1966-11-20,11,25.047,KAN,,BOS,T 27-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,63,31.50,1
54,1966,1966-11-27,12,25.054,KAN,@,NYJ,W 32-24,0,0,,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,32,16.00,0
55,1966,1966-12-11,13,25.068,KAN,@,MIA,W 19-18,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,289,48.17,0
56,1966,1966-12-18,14,25.075,KAN,@,SDG,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,82,41.00,0
57,1967,1967-10-15,5,26.011,KAN,@,SDG,L 31-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,188,47.00,0
58,1967,1967-10-22,6,26.018,KAN,,HOU,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,250,50.00,0
59,1967,1967-10-29,7,26.025,KAN,,DEN,W 52-9,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,130,43.33,0
60,1967,1967-11-05,8,26.032,KAN,,NYJ,W 42-18,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,74,37.00,0
61,1967,1967-11-12,9,26.039,KAN,@,BOS,W 33-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,176,44.00,0
62,1967,1967-11-19,10,26.046,KAN,,SDG,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,126,42.00,0
63,1967,1967-11-23,11,26.050,KAN,,OAK,L 22-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,290,41.43,0
64,1967,1967-12-03,12,26.060,KAN,,BUF,W 23-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,236,39.33,0
65,1967,1967-12-10,13,26.067,KAN,@,NYJ,W 21-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,154,38.50,0
66,1967,1967-12-17,14,26.074,KAN,@,DEN,W 38-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,115,38.33,1
67,1968,1968-09-09,1,26.341,KAN,@,HOU,W 26-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,339,48.43,0
68,1968,1968-09-15,2,26.347,KAN,,NYJ,L 19-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,215,43.00,0
69,1968,1968-09-22,3,26.354,KAN,,DEN,W 34-2,5,1,0.20,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,202,50.50,0
70,1968,1968-09-28,4,26.360,KAN,@,MIA,W 48-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,172,57.33,0
71,1968,1968-10-05,5,27.001,KAN,@,BUF,W 18-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,109,54.50,0
72,1968,1968-10-13,6,27.009,KAN,,CIN,W 13-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,286,47.67,0
73,1968,1968-10-20,7,27.016,KAN,,OAK,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,186,37.20,0
74,1968,1968-10-27,8,27.023,KAN,,SDG,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,39,39.00,0
75,1968,1968-11-03,9,27.030,KAN,@,OAK,L 21-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,278,39.71,0
76,1968,1968-11-10,10,27.037,KAN,@,CIN,W 16-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,180,45.00,0
77,1968,1968-11-17,11,27.044,KAN,,BOS,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,344,43.00,0
78,1968,1968-11-28,12,27.055,KAN,,HOU,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,233,46.60,0
79,1968,1968-12-08,13,27.065,KAN,@,SDG,W 40-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,35,35.00,0
80,1968,1968-12-14,14,27.071,KAN,@,DEN,W 30-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,223,44.60,0
81,1969,1969-09-14,1,27.345,KAN,@,SDG,W 27-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,298,42.57,0
82,1969,1969-09-21,2,27.352,KAN,@,BOS,W 31-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,155,51.67,0
83,1969,1969-09-28,3,27.359,KAN,@,CIN,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,231,38.50,0
84,1969,1969-10-05,4,28.001,KAN,@,DEN,W 26-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,221,44.20,0
85,1969,1969-10-12,5,28.008,KAN,,HOU,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,230,46.00,0
86,1969,1969-10-19,6,28.015,KAN,,MIA,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,360,51.43,0
87,1969,1969-10-26,7,28.022,KAN,,CIN,W 42-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,160,40.00,0
88,1969,1969-11-02,8,28.029,KAN,@,BUF,W 29-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,138,46.00,0
89,1969,1969-11-09,9,28.036,KAN,,SDG,W 27-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,215,43.00,0
90,1969,1969-11-16,10,28.043,KAN,@,NYJ,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,207,41.40,0
91,1969,1969-11-23,11,28.050,KAN,,OAK,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,73,36.50,0
92,1969,1969-11-27,12,28.054,KAN,,DEN,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,214,42.80,0
93,1969,1969-12-07,13,28.064,KAN,,BUF,W 22-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,203,50.75,0
94,1969,1969-12-13,14,28.070,KAN,@,OAK,L 6-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,315,45.00,0
95,1970,1970-09-20,1,28.351,KAN,@,MIN,L 10-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,268,44.67,0
96,1970,1970-09-28,2,28.359,KAN,@,BAL,W 44-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,228,45.60,0
97,1970,1970-10-04,3,29.000,KAN,@,DEN,L 13-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,250,50.00,0
98,1970,1970-10-11,4,29.007,KAN,,BOS,W 23-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,282,56.40,0
99,1970,1970-10-18,5,29.014,KAN,@,CIN,W 27-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,368,40.89,0
100,1970,1970-10-25,6,29.021,KAN,,DAL,L 16-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,282,47.00,0
101,1970,1970-11-01,7,29.028,KAN,,OAK,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,234,46.80,0
102,1970,1970-11-08,8,29.035,KAN,,HOU,W 24-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,277,46.17,0
103,1970,1970-11-15,9,29.042,KAN,@,PIT,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,131,43.67,0
104,1970,1970-11-22,10,29.049,KAN,,STL,T 6-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,153,38.25,0
105,1970,1970-11-29,11,29.056,KAN,,SDG,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,198,49.50,0
106,1970,1970-12-06,12,29.063,KAN,,DEN,W 16-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,289,41.29,0
107,1970,1970-12-12,13,29.069,KAN,@,OAK,L 6-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,194,38.80,0
108,1970,1970-12-20,14,29.077,KAN,@,SDG,L 13-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,261,43.50,0
109,1971,1971-09-19,1,29.350,KAN,@,SDG,L 14-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,367,45.88,0
110,1971,1971-09-26,2,29.357,KAN,@,HOU,W 20-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,153,51.00,0
111,1971,1971-10-03,3,29.364,KAN,@,DEN,W 16-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,218,54.50,0
112,1971,1971-10-10,4,30.006,KAN,,SDG,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,192,48.00,0
113,1971,1971-10-18,5,30.014,KAN,,PIT,W 38-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,279,46.50,0
114,1971,1971-10-24,6,30.020,KAN,,WAS,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,239,47.80,0
115,1971,1971-10-31,7,30.027,KAN,@,OAK,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,186,46.50,0
116,1971,1971-11-07,8,30.034,KAN,@,NYJ,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,225,45.00,0
117,1971,1971-11-14,9,30.041,KAN,,CLE,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,304,50.67,0
118,1971,1971-11-21,10,30.048,KAN,,DEN,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,182,45.50,0
119,1971,1971-11-25,11,30.052,KAN,@,DET,L 21-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,50,25.00,1
120,1971,1971-12-06,12,30.063,KAN,@,SFO,W 26-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,136,45.33,0
121,1971,1971-12-12,13,30.069,KAN,,OAK,W 16-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,152,30.40,0
122,1971,1971-12-19,14,30.076,KAN,,BUF,W 22-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,181,36.20,0
123,1972,1972-09-17,1,30.349,KAN,,MIA,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,203,50.75,0
124,1972,1972-09-25,2,30.357,KAN,@,NOR,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,175,43.75,0
125,1972,1972-10-01,3,30.363,KAN,@,DEN,W 45-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,450,50.00,0
126,1972,1972-10-08,4,31.004,KAN,@,CLE,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,336,48.00,0
127,1972,1972-10-15,5,31.011,KAN,,CIN,L 16-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,169,42.25,0
128,1972,1972-10-22,6,31.018,KAN,,PHI,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,239,47.80,0
129,1972,1972-10-29,7,31.025,KAN,@,SDG,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,120,40.00,0
130,1972,1972-11-05,8,31.032,KAN,,OAK,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,117,39.00,0
131,1972,1972-11-12,9,31.039,KAN,@,PIT,L 7-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,318,45.43,0
132,1972,1972-11-19,10,31.046,KAN,,SDG,L 17-27,0,0,,0,0,0,,0,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,0,0,,0,3,131,43.67,0
133,1972,1972-11-26,11,31.053,KAN,@,OAK,L 3-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,193,48.25,0
134,1972,1972-12-03,12,31.060,KAN,,DEN,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,226,45.20,0
135,1972,1972-12-10,13,31.067,KAN,,BAL,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,127,31.75,1
136,1972,1972-12-17,14,31.074,KAN,@,ATL,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,156,39.00,0
137,1973,1973-09-16,1,31.347,KAN,,RAM,L 13-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,203,40.60,0
138,1973,1973-09-23,2,31.354,KAN,@,NWE,W 10-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,178,44.50,0
139,1973,1973-09-30,3,31.361,KAN,,OAK,W 16-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,264,52.80,0
140,1973,1973-10-07,4,32.003,KAN,,DEN,W 16-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,305,50.83,0
141,1973,1973-10-14,5,32.010,KAN,@,GNB,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,289,41.29,0
142,1973,1973-10-21,6,32.017,KAN,@,CIN,L 6-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,211,42.20,0
143,1973,1973-10-29,7,32.025,KAN,@,BUF,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,370,41.11,0
144,1973,1973-11-04,8,32.031,KAN,@,SDG,W 19-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,337,48.14,0
145,1973,1973-11-12,9,32.039,KAN,,CHI,W 19-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,143,47.67,0
146,1973,1973-11-18,10,32.045,KAN,,HOU,W 38-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,248,41.33,1
147,1973,1973-11-25,11,32.052,KAN,@,DEN,L 10-14,0,0,,0,0,0,,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,7,344,49.14,0
148,1973,1973-12-02,12,32.059,KAN,,CLE,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,239,47.80,0
149,1973,1973-12-08,13,32.065,KAN,@,OAK,L 7-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,333,47.57,0
150,1973,1973-12-16,14,32.073,KAN,,SDG,W 33-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,178,44.50,0
151,1974,1974-09-15,1,32.346,KAN,,NYJ,W 24-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,245,40.83,0
152,1974,1974-09-22,2,32.353,KAN,@,OAK,L 7-27,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,8,363,45.38,0
153,1974,1974-09-29,3,32.360,KAN,@,HOU,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,159,39.75,0
154,1974,1974-10-06,4,33.002,KAN,,DEN,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,10,465,46.50,0
155,1974,1974-10-13,5,33.009,KAN,,PIT,L 24-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,184,46.00,0
156,1974,1974-10-20,6,33.016,KAN,@,MIA,L 3-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,130,26.00,1
157,1974,1974-10-27,7,33.023,KAN,@,SDG,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,129,32.25,0
158,1974,1974-11-03,8,33.030,KAN,,NYG,L 27-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,265,44.17,0
159,1974,1974-11-10,9,33.037,KAN,,SDG,L 7-14,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,8,319,39.88,0
160,1974,1974-11-18,10,33.045,KAN,@,DEN,W 42-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,214,42.80,0
161,1974,1974-11-24,11,33.051,KAN,@,CIN,L 6-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,380,42.22,0
162,1974,1974-12-01,12,33.058,KAN,@,STL,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,8,340,42.50,1
