ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
23,1963,1963-10-13,5,24.279,DEN,,HOU,L 24-33,4,134,33.50,2,0,0,,0,0,0,,0,0,0,,0,2,12,0,0,,0
24,1963,1963-10-18,6,24.284,DEN,@,BOS,L 21-40,6,96,16.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
25,1963,1963-10-26,7,24.292,DEN,@,NYJ,T 35-35,2,72,36.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
26,1963,1963-11-03,8,24.300,DEN,,BUF,L 28-30,1,43,43.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
27,1963,1963-11-09,9,24.306,DEN,@,BUF,L 17-27,2,11,5.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
28,1963,1963-11-17,10,24.314,DEN,,NYJ,L 9-14,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
29,1964,1964-09-12,1,25.249,DEN,@,NYJ,L 6-30,3,21,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
30,1964,1964-09-20,2,25.257,DEN,@,BUF,L 13-30,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
31,1964,1964-09-27,3,25.264,DEN,,HOU,L 17-38,3,26,8.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
32,1964,1964-10-04,4,25.271,DEN,,BOS,L 10-39,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
33,1964,1964-10-11,5,25.278,DEN,,KAN,W 33-27,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
34,1964,1964-10-18,6,25.285,DEN,@,SDG,L 14-42,5,37,7.40,2,0,0,,0,0,0,,0,0,0,,0,2,12,0,0,,0
35,1964,1964-10-25,7,25.292,DEN,@,OAK,L 7-40,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
36,1964,1964-11-08,9,25.306,DEN,,SDG,L 20-31,2,49,24.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
37,1964,1964-11-20,11,25.318,DEN,@,BOS,L 7-12,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
38,1964,1964-12-13,13,25.341,DEN,,BUF,L 19-30,3,59,19.67,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
39,1964,1964-12-20,14,25.348,DEN,@,HOU,L 15-34,11,111,10.09,1,1,5,5.00,0,0,0,,0,0,0,,0,1,6,0,0,,0
40,1965,1965-09-11,1,26.247,DEN,@,SDG,L 31-34,5,108,21.60,2,0,0,,0,0,0,,0,0,0,,0,2,12,4,170,42.50,0
41,1965,1965-09-19,2,26.255,DEN,,BUF,L 15-30,4,74,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,197,49.25,0
42,1965,1965-09-24,3,26.260,DEN,@,BOS,W 27-10,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,177,44.25,0
43,1965,1965-10-03,4,26.269,DEN,,NYJ,W 16-13,2,51,25.50,0,1,44,44.00,0,0,0,,0,0,0,,0,0,0,4,186,46.50,0
44,1965,1965-10-10,5,26.276,DEN,,KAN,L 23-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,173,57.67,0
45,1965,1965-10-17,6,26.283,DEN,,HOU,W 28-17,2,98,49.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,5,186,37.20,0
46,1965,1965-10-24,7,26.290,DEN,@,BUF,L 13-31,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,147,36.75,0
47,1965,1965-10-31,8,26.297,DEN,@,NYJ,L 10-45,4,80,20.00,0,1,-8,-8.00,0,0,0,,0,0,0,,0,0,0,6,207,34.50,0
48,1965,1965-11-07,9,26.304,DEN,,SDG,L 21-35,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,209,41.80,0
49,1965,1965-11-14,10,26.311,DEN,@,HOU,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,357,44.63,0
50,1965,1965-11-21,11,26.318,DEN,,OAK,L 20-28,2,29,14.50,0,1,27,27.00,0,0,0,,0,0,0,,0,0,0,5,218,43.60,0
51,1965,1965-12-05,12,26.332,DEN,@,OAK,L 13-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,175,35.00,0
52,1965,1965-12-12,13,26.339,DEN,,BOS,L 20-28,4,70,17.50,2,0,0,,0,0,0,,0,0,0,,0,2,12,4,170,42.50,0
53,1965,1965-12-19,14,26.346,DEN,@,KAN,L 35-45,2,8,4.00,0,1,31,31.00,0,0,0,,0,0,0,,0,0,0,6,261,43.50,0
54,1966,1966-09-03,1,27.239,DEN,@,HOU,L 7-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,417,41.70,0
55,1966,1966-09-18,2,27.254,DEN,,BOS,L 10-24,3,34,11.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,8,358,44.75,0
56,1966,1966-09-25,3,27.261,DEN,,NYJ,L 7-16,0,0,,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0,9,431,47.89,0
57,1966,1966-10-02,4,27.268,DEN,,HOU,W 40-38,1,12,12.00,0,1,31,31.00,0,0,0,,0,0,0,,0,0,0,3,127,42.33,0
58,1966,1966-10-08,5,27.274,DEN,@,KAN,L 10-37,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,6,285,47.50,0
59,1966,1966-10-16,6,27.282,DEN,@,MIA,L 7-24,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,394,49.25,0
60,1966,1966-10-23,7,27.289,DEN,,KAN,L 10-56,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,139,46.33,0
61,1966,1966-10-30,8,27.296,DEN,@,SDG,L 17-24,1,4,4.00,0,2,73,36.50,1,0,0,,0,0,0,,0,1,6,4,188,47.00,0
62,1966,1966-11-06,9,27.303,DEN,@,BOS,W 17-10,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,108,27.00,1
63,1966,1966-11-20,10,27.317,DEN,,OAK,L 3-17,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,9,456,50.67,0
64,1966,1966-11-27,11,27.324,DEN,,SDG,W 20-17,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,45,45.00,0
65,1966,1966-12-04,12,27.331,DEN,,MIA,W 17-7,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,147,49.00,0
66,1966,1966-12-11,13,27.338,DEN,@,OAK,L 10-28,2,70,35.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,202,50.50,0
67,1966,1966-12-18,14,27.345,DEN,@,BUF,L 21-38,5,123,24.60,3,0,0,,0,0,0,,0,0,0,,0,3,18,5,179,35.80,0
68,1967,1967-09-03,1,28.239,DEN,,BOS,W 26-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7,363,51.86,0
69,1967,1967-09-10,2,28.246,DEN,@,OAK,L 0-51,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,12,565,47.08,0
70,1967,1967-09-17,3,28.253,DEN,@,MIA,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,354,44.25,0
71,1967,1967-09-24,4,28.260,DEN,,NYJ,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,251,50.20,0
72,1967,1967-10-01,5,28.267,DEN,@,HOU,L 6-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,122,40.67,0
73,1967,1967-10-08,6,28.274,DEN,,BUF,L 16-17,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,0,0,0,5,242,48.40,0
74,1967,1967-10-22,7,28.288,DEN,,SDG,L 21-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,430,53.75,0
75,1967,1967-10-29,8,28.295,DEN,@,KAN,L 9-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,344,43.00,0
76,1967,1967-11-05,9,28.302,DEN,,OAK,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,11,417,37.91,0
77,1967,1967-11-12,10,28.309,DEN,,HOU,L 18-20,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,393,39.30,1
78,1967,1967-11-19,11,28.316,DEN,@,BUF,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,418,41.80,0
79,1967,1967-11-23,12,28.320,DEN,@,SDG,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,186,46.50,0
80,1967,1967-12-03,13,28.330,DEN,@,NYJ,W 33-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,11,483,43.91,0
81,1967,1967-12-17,14,28.344,DEN,,KAN,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,145,48.33,0
82,1968,1968-09-08,1,29.245,BOS,@,BUF,W 16-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,8,342,42.75,0
83,1968,1968-09-22,2,29.259,BOS,,NYJ,L 31-47,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7,257,36.71,0
84,1968,1968-09-29,3,29.266,BOS,@,DEN,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,9,347,38.56,1
85,1968,1968-10-06,4,29.273,BOS,@,OAK,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,436,43.60,1
86,1968,1968-10-13,5,29.280,BOS,,HOU,L 0-16,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
87,1968,1968-10-27,7,29.294,BOS,@,NYJ,L 14-48,1,33,33.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
