ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
37,2002,2002-10-20,6,26.208,SFO,@,NOR,L 27-35,*,,,,,,,,,
38,2002,2002-10-27,7,26.215,SFO,,ARI,W 38-28,*,,,,,,,,,
39,2002,2002-11-03,8,26.222,SFO,@,OAK,W 23-20,*,,,,,,,,,
40,2002,2002-11-10,9,26.229,SFO,,KAN,W 17-13,*,,,,,,,,,
41,2002,2002-11-17,10,26.236,SFO,@,SDG,L 17-20,*,,,,,,,,,
42,2002,2002-11-25,11,26.244,SFO,,PHI,L 17-38,*,,,,,,,,,
43,2002,2002-12-01,12,26.250,SFO,,SEA,W 31-24,*,,,,,,,,,
44,2002,2002-12-08,13,26.257,SFO,@,DAL,W 31-27,*,,,,,,,,,
45,2002,2002-12-21,15,26.270,SFO,@,ARI,W 17-14,*,,,,,,,,,
46,2002,2002-12-30,16,26.279,SFO,@,STL,L 20-31,*,,,,,,,,,
47,2003,2003-09-07,1,27.165,SFO,,CHI,W 49-7,*,0,0,,0,1,6,2,81,1
48,2003,2003-09-14,2,27.172,SFO,@,STL,L 24-27,*,,,,,,,,,
49,2003,2003-09-21,3,27.179,SFO,,CLE,L 12-13,*,,,,,,,,,
50,2003,2003-09-28,4,27.186,SFO,@,MIN,L 7-35,*,,,,,,,,,
51,2003,2003-10-05,5,27.193,SFO,,DET,W 24-17,*,0,0,,0,0,0,1,4,0
52,2003,2003-10-12,6,27.200,SFO,@,SEA,L 19-20,*,,,,,,,,,
53,2003,2003-10-19,7,27.207,SFO,,TAM,W 24-7,*,0,0,,0,0,0,1,0,0
54,2003,2003-10-26,8,27.214,SFO,@,ARI,L 13-16,*,,,,,,,,,
55,2003,2003-11-02,9,27.221,SFO,,STL,W 30-10,*,,,,,,,,,
56,2003,2003-11-17,10,27.236,SFO,,PIT,W 30-14,*,,,,,,,,,
57,2003,2003-11-23,11,27.242,SFO,@,GNB,L 10-20,*,,,,,,,,,
58,2003,2003-11-30,12,27.249,SFO,@,BAL,L 6-44,*,,,,,,,,,
59,2003,2003-12-07,13,27.256,SFO,,ARI,W 50-14,*,,,,,,,,,
60,2003,2003-12-14,14,27.263,SFO,@,CIN,L 38-41,*,,,,,,,,,
61,2003,2003-12-27,16,27.276,SFO,,SEA,L 17-24,*,,,,,,,,,
62,2004,2004-09-12,1,28.170,SFO,,ATL,L 19-21,*,,,,,,,,,
63,2004,2004-09-19,2,28.177,SFO,@,NOR,L 27-30,*,,,,,,,,,
64,2004,2004-09-26,3,28.184,SFO,@,SEA,L 0-34,*,,,,,,,,,
65,2004,2004-10-03,4,28.191,SFO,,STL,L 14-24,*,,,,,,,,,
66,2004,2004-10-10,5,28.198,SFO,,ARI,W 31-28,*,,,,,,,,,
67,2004,2004-10-17,6,28.205,SFO,@,NYJ,L 14-22,*,,,,,,,,,
68,2005,2005-09-11,1,29.169,SFO,,STL,W 28-25,*,,,,,,,,,
69,2005,2005-09-18,2,29.176,SFO,@,PHI,L 3-42,*,,,,,,,,,
70,2005,2005-09-25,3,29.183,SFO,,DAL,L 31-34,*,,,,,,,,,
