ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
57,2010,2010-11-15,9,36.360,PHI,@,WAS,W 59-28,,0.0,0,0,4,159,39.75,0
58,2010,2010-11-21,10,37.001,PHI,,NYG,W 27-17,,0.0,0,0,3,134,44.67,0
59,2010,2010-11-28,11,37.008,PHI,@,CHI,L 26-31,,0.0,0,0,3,135,45.00,0
60,2010,2010-12-02,12,37.012,PHI,,HOU,W 34-24,,0.0,0,0,3,107,35.67,0
61,2010,2010-12-12,13,37.022,PHI,@,DAL,W 30-27,,0.0,0,0,3,136,45.33,0
62,2010,2010-12-19,14,37.029,PHI,@,NYG,W 38-31,,0.0,0,1,6,247,41.17,0
63,2010,2010-12-28,15,37.038,PHI,,MIN,L 14-24,,0.0,0,0,5,214,42.80,0
64,2010,2011-01-02,16,37.043,PHI,,DAL,L 13-14,,0.0,0,0,7,268,38.29,0
65,2011,2011-09-11,1,37.295,WAS,,NYG,W 28-14,,0.0,0,0,6,258,43.00,0
66,2011,2011-09-18,2,37.302,WAS,,ARI,W 22-21,,0.0,0,0,3,118,39.33,0
67,2011,2011-09-26,3,37.310,WAS,@,DAL,L 16-18,,0.0,0,0,5,232,46.40,0
68,2011,2011-10-02,4,37.316,WAS,@,STL,W 17-10,,0.0,0,0,7,321,45.86,0
69,2011,2011-10-16,5,37.330,WAS,,PHI,L 13-20,,0.0,0,0,4,170,42.50,0
70,2011,2011-10-23,6,37.337,WAS,@,CAR,L 20-33,,0.0,0,0,1,37,37.00,0
71,2011,2011-10-30,7,37.344,WAS,@,BUF,L 0-23,,0.0,0,0,6,284,47.33,0
72,2011,2011-11-06,8,37.351,WAS,,SFO,L 11-19,,0.0,0,0,5,244,48.80,0
73,2011,2011-11-13,9,37.358,WAS,@,MIA,L 9-20,,0.0,0,0,2,93,46.50,0
74,2011,2011-11-20,10,38.000,WAS,,DAL,L 24-27,,0.0,0,0,5,243,48.60,0
75,2011,2011-11-27,11,38.007,WAS,@,SEA,W 23-17,,0.0,0,0,4,178,44.50,0
76,2011,2011-12-04,12,38.014,WAS,,NYJ,L 19-34,,0.0,0,0,6,224,37.33,0
77,2011,2011-12-11,13,38.021,WAS,,NWE,L 27-34,,0.0,0,0,3,112,37.33,0
78,2011,2011-12-18,14,38.028,WAS,@,NYG,W 23-10,,0.0,0,0,2,66,33.00,0
79,2011,2011-12-24,15,38.034,WAS,,MIN,L 26-33,,0.0,0,0,2,79,39.50,0
80,2011,2012-01-01,16,38.042,WAS,@,PHI,L 10-34,,0.0,0,0,5,183,36.60,0
81,2012,2012-09-09,1,38.294,WAS,@,NOR,W 40-32,,0.0,0,0,3,139,46.33,1
82,2012,2012-09-16,2,38.301,WAS,@,STL,L 28-31,,0.0,0,0,5,240,48.00,1
83,2012,2012-09-23,3,38.308,WAS,,CIN,L 31-38,,0.0,0,0,7,310,44.29,0
84,2012,2012-09-30,4,38.315,WAS,@,TAM,W 24-22,,0.0,0,0,6,280,46.67,0
85,2012,2012-10-07,5,38.322,WAS,,ATL,L 17-24,,0.0,0,0,6,254,42.33,0
86,2012,2012-10-14,6,38.329,WAS,,MIN,W 38-26,,0.0,0,0,3,115,38.33,0
87,2012,2012-10-21,7,38.336,WAS,@,NYG,L 23-27,,0.0,0,0,1,33,33.00,0
88,2012,2012-10-28,8,38.343,WAS,@,PIT,L 12-27,,0.0,0,0,4,151,37.75,0
89,2012,2012-11-04,9,38.350,WAS,,CAR,L 13-21,,0.0,0,0,3,137,45.67,0
90,2012,2012-11-18,10,38.364,WAS,,PHI,W 31-6,,0.0,0,0,5,227,45.40,0
91,2012,2012-11-22,11,39.002,WAS,@,DAL,W 38-31,,0.0,0,0,5,226,45.20,0
92,2012,2012-12-03,12,39.013,WAS,,NYG,W 17-16,,0.0,0,0,3,126,42.00,0
93,2012,2012-12-09,13,39.019,WAS,,BAL,W 31-28,,0.0,0,0,5,240,48.00,0
94,2012,2012-12-16,14,39.026,WAS,@,CLE,W 38-21,,0.0,0,0,5,213,42.60,0
95,2012,2012-12-23,15,39.033,WAS,@,PHI,W 27-20,,0.0,0,0,2,86,43.00,0
96,2012,2012-12-30,16,39.040,WAS,,DAL,W 28-18,,0.0,0,0,5,207,41.40,0
97,2013,2013-09-09,1,39.293,WAS,,PHI,L 27-33,,0.0,0,0,3,126,42.00,0
98,2013,2013-09-15,2,39.299,WAS,@,GNB,L 20-38,,0.0,0,0,5,184,36.80,0
99,2013,2013-09-22,3,39.306,WAS,,DET,L 20-27,,0.0,0,0,5,231,46.20,0
100,2013,2013-09-29,4,39.313,WAS,@,OAK,W 24-14,,0.0,0,0,7,280,40.00,1
101,2013,2013-10-13,5,39.327,WAS,@,DAL,L 16-31,,0.0,0,0,3,141,47.00,0
102,2013,2013-10-20,6,39.334,WAS,,CHI,W 45-41,,0.0,0,0,5,218,43.60,0
103,2013,2013-10-27,7,39.341,WAS,@,DEN,L 21-45,,0.0,0,0,7,274,39.14,0
104,2013,2013-11-03,8,39.348,WAS,,SDG,W 30-24,,0.0,0,0,3,123,41.00,0
105,2013,2013-11-07,9,39.352,WAS,@,MIN,L 27-34,,0.0,0,0,3,135,45.00,0
106,2013,2013-11-17,10,39.362,WAS,@,PHI,L 16-24,,0.0,0,0,6,223,37.17,0
107,2013,2013-11-25,11,40.005,WAS,,SFO,L 6-27,,0.0,1,0,7,315,45.00,0
108,2013,2013-12-01,12,40.011,WAS,,NYG,L 17-24,,0.0,0,0,7,285,40.71,0
109,2013,2013-12-08,13,40.018,WAS,,KAN,L 10-45,,0.0,0,0,8,338,42.25,0
110,2013,2013-12-15,14,40.025,WAS,@,ATL,L 26-27,,0.0,0,0,3,158,52.67,0
111,2013,2013-12-22,15,40.032,WAS,,DAL,L 23-24,,0.0,0,0,3,131,43.67,0
112,2013,2013-12-29,16,40.039,WAS,@,NYG,L 6-20,,0.0,0,0,9,364,40.44,0
