ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
23,1961,1961-09-17,1,32.354,BAL,,RAM,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0
24,1961,1961-09-24,2,32.361,BAL,,DET,L 15-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,15,0
25,1961,1961-10-01,3,33.003,BAL,,MIN,W 34-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0,0
26,1961,1961-10-15,5,33.017,BAL,@,CHI,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,0
27,1961,1961-10-22,6,33.024,BAL,@,DET,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,23,23.00,0,0,0,0
28,1962,1962-09-09,1,33.346,BUF,,HOU,L 23-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,17,0
29,1962,1962-09-15,2,33.352,BUF,,DEN,L 20-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,1,4,0
30,1962,1962-09-30,4,34.002,BUF,@,DTX,L 21-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0
31,1962,1962-10-07,5,34.009,BUF,@,HOU,L 14-17,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,0,0.00,0,0,0,0
32,1962,1962-11-03,9,34.036,BUF,,BOS,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0
