ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
34,2006,2006-10-08,5,23.078,STL,@,GNB,W 23-20,*,23,98,4.26,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
35,2006,2006-10-15,6,23.085,STL,,SEA,L 28-30,*,20,56,2.80,1,8,7,40,5.71,0,87.5%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
36,2006,2006-10-29,7,23.099,STL,@,SDG,L 24-38,*,18,84,4.67,1,5,3,55,18.33,0,60.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
37,2006,2006-11-05,8,23.106,STL,,KAN,L 17-31,*,19,86,4.53,1,14,13,133,10.23,0,92.9%,9.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
38,2006,2006-11-12,9,23.113,STL,@,SEA,L 22-24,*,18,93,5.17,1,8,6,40,6.67,0,75.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
39,2006,2006-11-19,10,23.120,STL,@,CAR,L 0-15,*,7,27,3.86,0,8,7,30,4.29,0,87.5%,3.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
40,2006,2006-11-26,11,23.127,STL,,SFO,W 20-17,*,23,121,5.26,1,12,9,71,7.89,0,75.0%,5.92,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
41,2006,2006-12-03,12,23.134,STL,,ARI,L 20-34,*,21,96,4.57,0,11,9,69,7.67,0,81.8%,6.27,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
42,2006,2006-12-11,13,23.142,STL,,CHI,L 27-42,*,18,81,4.50,1,13,10,58,5.80,1,76.9%,4.46,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,,
43,2006,2006-12-17,14,23.148,STL,@,OAK,W 20-0,*,31,127,4.10,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,,
44,2006,2006-12-24,15,23.155,STL,,WAS,W 37-31,*,33,150,4.55,1,8,6,102,17.00,1,75.0%,12.75,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,,
45,2006,2006-12-31,16,23.162,STL,@,MIN,W 41-21,*,25,142,5.68,3,2,2,24,12.00,1,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,,4,24,0.0,,
46,2007,2007-09-09,1,24.049,STL,,CAR,L 13-27,*,18,58,3.22,0,7,1,3,3.00,0,14.3%,0.43,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,
47,2007,2007-09-16,2,24.056,STL,,SFO,L 16-17,*,21,60,2.86,0,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,
48,2007,2007-09-23,3,24.063,STL,@,TAM,L 3-24,*,30,115,3.83,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,
49,2007,2007-10-28,8,24.098,STL,,CLE,L 20-27,*,8,41,5.13,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,,
50,2007,2007-11-11,9,24.112,STL,@,NOR,W 37-29,*,22,76,3.45,1,5,5,24,4.80,0,100.0%,4.80,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00,0,0,,0,,1,6,0.0,,
51,2007,2007-11-18,10,24.119,STL,@,SFO,W 13-9,*,23,92,4.00,0,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,
52,2007,2007-11-25,11,24.126,STL,,SEA,L 19-24,*,23,90,3.91,1,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,,
53,2007,2007-12-02,12,24.133,STL,,ATL,W 28-16,*,20,96,4.80,1,6,4,71,17.75,0,66.7%,11.83,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,,
54,2007,2007-12-09,13,24.140,STL,@,CIN,L 10-19,*,18,91,5.06,0,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,
55,2007,2007-12-16,14,24.147,STL,,GNB,L 14-33,*,24,143,5.96,1,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,,
56,2007,2007-12-20,15,24.151,STL,,PIT,L 24-41,*,12,85,7.08,0,4,3,21,7.00,1,75.0%,5.25,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,,
57,2007,2007-12-30,16,24.161,STL,@,ARI,L 19-48,*,18,55,3.06,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,
58,2008,2008-09-07,1,25.047,STL,@,PHI,L 3-38,*,14,40,2.86,0,7,3,34,11.33,0,42.9%,4.86,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
59,2008,2008-09-14,2,25.054,STL,,NYG,L 13-41,*,13,53,4.08,0,7,7,37,5.29,0,100.0%,5.29,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
60,2008,2008-09-21,3,25.061,STL,@,SEA,L 13-37,*,23,66,2.87,0,5,5,62,12.40,0,100.0%,12.40,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
61,2008,2008-09-28,4,25.068,STL,,BUF,L 14-31,*,24,110,4.58,1,6,5,78,15.60,0,83.3%,13.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
62,2008,2008-10-12,5,25.082,STL,@,WAS,W 19-17,*,22,79,3.59,0,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
63,2008,2008-10-19,6,25.089,STL,,DAL,W 34-14,*,25,160,6.40,3,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,,,,,0,0,,0,,3,18,0.0,0,0
64,2008,2008-11-02,8,25.103,STL,,ARI,L 13-34,,7,17,2.43,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
65,2008,2008-11-30,12,25.131,STL,,MIA,L 12-16,*,21,94,4.48,0,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
66,2008,2008-12-07,13,25.138,STL,@,ARI,L 10-34,*,18,63,3.50,0,5,4,3,0.75,1,80.0%,0.60,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,1,0
67,2008,2008-12-14,14,25.145,STL,,SEA,L 20-23,*,24,91,3.79,1,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
68,2008,2008-12-21,15,25.152,STL,,SFO,L 16-17,*,32,108,3.38,0,8,2,11,5.50,0,25.0%,1.38,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
69,2008,2008-12-28,16,25.159,STL,@,ATL,L 27-31,*,30,161,5.37,2,6,4,54,13.50,0,66.7%,9.00,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0
70,2009,2009-09-13,1,26.053,STL,@,SEA,L 0-28,*,16,67,4.19,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
71,2009,2009-09-20,2,26.060,STL,@,WAS,L 7-9,*,17,104,6.12,0,6,4,15,3.75,0,66.7%,2.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
72,2009,2009-09-27,3,26.067,STL,,GNB,L 17-36,*,27,117,4.33,0,8,5,46,9.20,0,62.5%,5.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
73,2009,2009-10-04,4,26.074,STL,@,SFO,L 0-35,*,23,79,3.43,0,4,3,6,2.00,0,75.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
74,2009,2009-10-11,5,26.081,STL,,MIN,L 10-38,*,21,84,4.00,0,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
75,2009,2009-10-18,6,26.088,STL,@,JAX,L 20-23,*,16,50,3.13,0,8,6,78,13.00,0,75.0%,9.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
76,2009,2009-10-25,7,26.095,STL,,IND,L 6-42,*,23,134,5.83,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
77,2009,2009-11-01,8,26.102,STL,@,DET,W 17-10,*,22,149,6.77,1,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
78,2009,2009-11-15,9,26.116,STL,,NOR,L 23-28,*,26,131,5.04,1,13,9,45,5.00,0,69.2%,3.46,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
79,2009,2009-11-22,10,26.123,STL,,ARI,L 13-21,*,24,116,4.83,1,2,2,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
80,2009,2009-11-29,11,26.130,STL,,SEA,L 17-27,*,23,89,3.87,1,5,5,27,5.40,0,100.0%,5.40,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
81,2009,2009-12-06,12,26.137,STL,@,CHI,L 9-17,*,28,112,4.00,0,6,4,9,2.25,0,66.7%,1.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
82,2009,2009-12-13,13,26.144,STL,@,TEN,L 7-47,*,18,39,2.17,0,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
83,2009,2009-12-20,14,26.151,STL,,HOU,L 13-16,*,20,82,4.10,0,4,4,41,10.25,0,100.0%,10.25,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
84,2009,2010-01-03,16,26.165,STL,,SFO,L 6-28,*,20,63,3.15,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
85,2010,2010-09-12,1,27.052,STL,,ARI,L 13-17,*,22,81,3.68,0,8,4,6,1.50,0,50.0%,0.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
86,2010,2010-09-19,2,27.059,STL,@,OAK,L 14-16,*,19,75,3.95,0,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
87,2010,2010-09-26,3,27.066,STL,,WAS,W 30-16,*,10,58,5.80,1,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
88,2010,2010-10-03,4,27.073,STL,,SEA,W 20-3,*,22,70,3.18,0,3,3,54,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
89,2010,2010-10-10,5,27.080,STL,@,DET,L 6-44,*,25,114,4.56,0,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
90,2010,2010-10-17,6,27.087,STL,,SDG,W 20-17,*,29,109,3.76,1,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
91,2010,2010-10-24,7,27.094,STL,@,TAM,L 17-18,*,22,110,5.00,0,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
92,2010,2010-10-31,8,27.101,STL,,CAR,W 20-10,*,23,59,2.57,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
93,2010,2010-11-14,9,27.115,STL,@,SFO,L 20-23,*,20,81,4.05,1,9,8,67,8.38,0,88.9%,7.44,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
94,2010,2010-11-21,10,27.122,STL,,ATL,L 17-34,*,11,54,4.91,0,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
