ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
23,1971,1971-11-14,9,23.065,DAL,,PHI,W 20-7,,,,,,,,,,,,,,,,,
24,1971,1971-11-21,10,23.072,DAL,@,WAS,W 13-0,,,,,,,,,,,,,,,,,
25,1971,1971-11-25,11,23.076,DAL,,RAM,W 28-21,,,,,,,,,,,,,,,,,
26,1971,1971-12-04,12,23.085,DAL,,NYJ,W 52-10,,,,,,,,,,,,,,,,,
27,1971,1971-12-12,13,23.093,DAL,@,NYG,W 42-14,0,0,,0,0,0,,0,3,28,9.33,0,0,0,0,0,0
28,1971,1971-12-18,14,23.099,DAL,,STL,W 31-12,,,,,,,,,,,,,,,,,
29,1972,1972-09-17,1,24.007,DAL,,PHI,W 28-6,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,0
30,1972,1972-09-24,2,24.014,DAL,@,NYG,W 23-14,0,0,,0,0,0,,0,1,17,17.00,0,0,0,0,0,0
31,1972,1972-10-01,3,24.021,DAL,@,GNB,L 13-16,0,0,,0,0,0,,0,2,15,7.50,0,0,0,0,0,0
32,1972,1972-10-08,4,24.028,DAL,,PIT,W 17-13,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
33,1972,1972-10-15,5,24.035,DAL,@,BAL,W 21-0,,,,,,,,,,,,,,,,,
34,1972,1972-10-22,6,24.042,DAL,@,WAS,L 20-24,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0,0,0
35,1972,1972-10-30,7,24.050,DAL,,DET,W 28-24,0,0,,0,1,0,0.00,0,1,5,5.00,0,0,0,0,0,0
36,1972,1972-11-05,8,24.056,DAL,@,SDG,W 34-28,,,,,,,,,,,,,,,,,
37,1972,1972-11-12,9,24.063,DAL,,STL,W 33-24,0,0,,0,0,0,,0,1,8,8.00,0,1,6,2,36,1
38,1972,1972-11-19,10,24.070,DAL,@,PHI,W 28-7,0,0,,0,1,18,18.00,0,0,0,,0,0,0,1,30,0
39,1972,1972-11-23,11,24.074,DAL,,SFO,L 10-31,,,,,,,,,,,,,,,,,
40,1972,1972-12-03,12,24.084,DAL,@,STL,W 27-6,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
41,1972,1972-12-09,13,24.090,DAL,,WAS,W 34-24,0,0,,0,0,0,,0,1,6,6.00,0,0,0,1,10,0
42,1972,1972-12-17,14,24.098,DAL,,NYG,L 3-23,0,0,,0,0,0,,0,0,0,,0,0,0,1,56,0
43,1973,1973-09-16,1,25.006,DAL,@,CHI,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,44,0
44,1973,1973-09-24,2,25.014,DAL,,NOR,W 40-3,,,,,,,,,,,,,,,,,
45,1973,1973-09-30,3,25.020,DAL,,STL,W 45-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
46,1973,1973-10-08,4,25.028,DAL,@,WAS,L 7-14,,,,,,,,,,,,,,,,,
47,1973,1973-10-14,5,25.034,DAL,@,RAM,L 31-37,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0
48,1973,1973-10-21,6,25.041,DAL,,NYG,W 45-28,,,,,,,,,,,,,,,,,
49,1973,1973-10-28,7,25.048,DAL,@,PHI,L 16-30,,,,,,,,,,,,,,,,,
50,1973,1973-11-04,8,25.055,DAL,,CIN,W 38-10,,,,,,,,,,,,,,,,,
51,1973,1973-11-11,9,25.062,DAL,@,NYG,W 23-10,0,0,,0,0,0,,0,0,0,,0,0,0,2,44,0
52,1973,1973-11-18,10,25.069,DAL,,PHI,W 31-10,,,,,,,,,,,,,,,,,
53,1973,1973-11-22,11,25.073,DAL,,MIA,L 7-14,,,,,,,,,,,,,,,,,
54,1973,1973-12-02,12,25.083,DAL,@,DEN,W 22-10,,,,,,,,,,,,,,,,,
55,1973,1973-12-09,13,25.090,DAL,,WAS,W 27-7,,,,,,,,,,,,,,,,,
56,1973,1973-12-16,14,25.097,DAL,@,STL,W 30-3,,,,,,,,,,,,,,,,,
57,1974,1974-09-15,1,26.005,DAL,@,ATL,W 24-0,,,,,,,,,,,,,,,,,
58,1974,1974-09-23,2,26.013,DAL,@,PHI,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0
59,1974,1974-09-29,3,26.019,DAL,,NYG,L 6-14,,,,,,,,,,,,,,,,,
60,1974,1974-10-06,4,26.026,DAL,,MIN,L 21-23,,,,,,,,,,,,,,,,,
61,1974,1974-10-13,5,26.033,DAL,@,STL,L 28-31,,,,,,,,,,,,,,,,,
62,1974,1974-10-20,6,26.040,DAL,,PHI,W 31-24,,,,,,,,,,,,,,,,,
63,1974,1974-10-27,7,26.047,DAL,@,NYG,W 21-7,,,,,,,,,,,,,,,,,
64,1974,1974-11-03,8,26.054,DAL,,STL,W 17-14,,,,,,,,,,,,,,,,,
65,1974,1974-11-10,9,26.061,DAL,,SFO,W 20-14,,,,,,,,,,,,,,,,,
66,1974,1974-11-17,10,26.068,DAL,@,WAS,L 21-28,,,,,,,,,,,,,,,,,
67,1974,1974-11-24,11,26.075,DAL,@,HOU,W 10-0,1,6,6.00,0,0,0,,0,1,8,8.00,0,0,0,0,0,0
68,1974,1974-11-28,12,26.079,DAL,,WAS,W 24-23,,,,,,,,,,,,,,,,,
69,1974,1974-12-07,13,26.088,DAL,,CLE,W 41-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
70,1974,1974-12-14,14,26.095,DAL,@,OAK,L 23-27,,,,,,,,,,,,,,,,,
71,1975,1975-09-21,1,27.011,DAL,,RAM,W 18-7,,,,,,,,,,,,,,,,,
72,1975,1975-09-28,2,27.018,DAL,,STL,W 37-31,,,,,,,,,,,,,,,,,
73,1975,1975-10-06,3,27.026,DAL,@,DET,W 36-10,,,,,,,,,,,,,,,,,
74,1975,1975-10-12,4,27.032,DAL,@,NYG,W 13-7,,,,,,,,,,,,,,,,,
75,1975,1975-10-19,5,27.039,DAL,,GNB,L 17-19,,,,,,,,,,,,,,,,,
76,1975,1975-10-26,6,27.046,DAL,@,PHI,W 20-17,,,,,,,,,,,,,,,,,
77,1975,1975-11-02,7,27.053,DAL,@,WAS,L 24-30,,,,,,,,,,,,,,,,,
78,1975,1975-11-10,8,27.061,DAL,,KAN,L 31-34,,,,,,,,,,,,,,,,,
79,1975,1975-11-16,9,27.067,DAL,@,NWE,W 34-31,0,0,,0,1,0,0.00,0,0,0,,0,0,0,1,35,0
80,1975,1975-11-23,10,27.074,DAL,,PHI,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
81,1975,1975-11-30,11,27.081,DAL,,NYG,W 14-3,,,,,,,,,,,,,,,,,
82,1975,1975-12-07,12,27.088,DAL,@,STL,L 17-31,,,,,,,,,,,,,,,,,
83,1975,1975-12-13,13,27.094,DAL,,WAS,W 31-10,0,0,,0,0,0,,0,0,0,,0,1,6,1,20,1
84,1975,1975-12-21,14,27.102,DAL,@,NYJ,W 31-21,,,,,,,,,,,,,,,,,
85,1976,1976-09-12,1,28.002,DAL,,PHI,W 27-7,,,,,,,,,,,,,,,,,
86,1976,1976-09-19,2,28.009,DAL,@,NOR,W 24-6,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0
87,1976,1976-09-26,3,28.016,DAL,,BAL,W 30-27,,,,,,,,,,,,,,,,,
88,1976,1976-10-03,4,28.023,DAL,@,SEA,W 28-13,,,,,,,,,,,,,,,,,
89,1976,1976-10-10,5,28.030,DAL,@,NYG,W 24-14,,,,,,,,,,,,,,,,,
90,1976,1976-10-17,6,28.037,DAL,@,STL,L 17-21,,,,,,,,,,,,,,,,,
91,1976,1976-10-24,7,28.044,DAL,,CHI,W 31-21,,,,,,,,,,,,,,,,,
92,1976,1976-10-31,8,28.051,DAL,@,WAS,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
93,1976,1976-11-07,9,28.058,DAL,,NYG,W 9-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
94,1976,1976-11-15,10,28.066,DAL,,BUF,W 17-10,,,,,,,,,,,,,,,,,
95,1976,1976-11-21,11,28.072,DAL,@,ATL,L 10-17,,,,,,,,,,,,,,,,,
96,1976,1976-11-25,12,28.076,DAL,,STL,W 19-14,,,,,,,,,,,,,,,,,
97,1976,1976-12-05,13,28.086,DAL,@,PHI,W 26-7,,,,,,,,,,,,,,,,,
98,1976,1976-12-12,14,28.093,DAL,,WAS,L 14-27,,,,,,,,,,,,,,,,,
99,1977,1977-09-18,1,29.008,DAL,@,MIN,W 16-10,,,,,,,,,,,,,,,,,
100,1977,1977-09-25,2,29.015,DAL,,NYG,W 41-21,,,,,,,,,,,,,,,,,
101,1977,1977-10-02,3,29.022,DAL,,TAM,W 23-7,,,,,,,,,,,,,,,,,
102,1977,1977-10-09,4,29.029,DAL,@,STL,W 30-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
103,1977,1977-10-16,5,29.036,DAL,,WAS,W 34-16,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
104,1977,1977-10-23,6,29.043,DAL,@,PHI,W 16-10,0,0,,0,,,,,,,,,0,,,,
105,1977,1977-10-30,7,29.050,DAL,,DET,W 37-0,,,,,,,,,,,,,,,,,
106,1977,1977-11-06,8,29.057,DAL,@,NYG,W 24-10,,,,,,,,,,,,,,,,,
107,1977,1977-11-14,9,29.065,DAL,,STL,L 17-24,,,,,,,,,,,,,,,,,
108,1977,1977-11-20,10,29.071,DAL,@,PIT,L 13-28,,,,,,,,,,,,,,,,,
109,1977,1977-11-27,11,29.078,DAL,@,WAS,W 14-7,,,,,,,,,,,,,,,,,
110,1977,1977-12-04,12,29.085,DAL,,PHI,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
111,1977,1977-12-12,13,29.093,DAL,@,SFO,W 42-35,,,,,,,,,,,,,,,,,
112,1977,1977-12-18,14,29.099,DAL,,DEN,W 14-6,,,,,,,,,,,,,,,,,
113,1978,1978-09-04,1,29.359,DAL,,BAL,W 38-0,,,,,,,,,,,,,,,,,
114,1978,1978-09-10,2,30.000,DAL,@,NYG,W 34-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,22,0
115,1978,1978-09-17,3,30.007,DAL,@,RAM,L 14-27,,,,,,,,,,,,,,,,,
116,1978,1978-09-24,4,30.014,DAL,,STL,W 21-12,,,,,,,,,,,,,,,,,
117,1978,1978-10-02,5,30.022,DAL,@,WAS,L 5-9,,,,,,,,,,,,,,,,,
118,1978,1978-10-08,6,30.028,DAL,,NYG,W 24-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,21,0
119,1978,1978-10-15,7,30.035,DAL,@,STL,W 24-21,,,,,,,,,,,,,,,,,
120,1978,1978-10-22,8,30.042,DAL,,PHI,W 14-7,,,,,,,,,,,,,,,,,
121,1978,1978-10-26,9,30.046,DAL,,MIN,L 10-21,,,,,,,,,,,,,,,,,
122,1978,1978-11-05,10,30.056,DAL,@,MIA,L 16-23,,,,,,,,,,,,,,,,,
123,1978,1978-11-12,11,30.063,DAL,@,GNB,W 42-14,,,,,,,,,,,,,,,,,
124,1978,1978-11-19,12,30.070,DAL,,NOR,W 27-7,,,,,,,,,,,,,,,,,
125,1978,1978-11-23,13,30.074,DAL,,WAS,W 37-10,,,,,,,,,,,,,,,,,
126,1978,1978-12-03,14,30.084,DAL,,NWE,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,18,0
127,1978,1978-12-10,15,30.091,DAL,@,PHI,W 31-13,,,,,,,,,,,,,,,,,
128,1978,1978-12-17,16,30.098,DAL,@,NYJ,W 30-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
129,1980,1980-09-08,1,31.364,DAL,@,WAS,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,29,0
130,1980,1980-09-14,2,32.004,DAL,@,DEN,L 20-41,,,,,,,,,,,,,,,,,
131,1980,1980-09-21,3,32.011,DAL,,TAM,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
132,1980,1980-09-28,4,32.018,DAL,@,GNB,W 28-7,,,,,,,,,,,,,,,,,
133,1980,1980-10-05,5,32.025,DAL,,NYG,W 24-3,,,,,,,,,,,,,,,,,
134,1980,1980-10-12,6,32.032,DAL,,SFO,W 59-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,19,0
135,1980,1980-10-19,7,32.039,DAL,@,PHI,L 10-17,,,,,,,,,,,,,,,,,
136,1980,1980-10-26,8,32.046,DAL,,SDG,W 42-31,,,,,,,,,,,,,,,,,
137,1980,1980-11-02,9,32.053,DAL,@,STL,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,16,0
138,1980,1980-11-09,10,32.060,DAL,@,NYG,L 35-38,,,,,,,,,,,,,,,,,
139,1980,1980-11-16,11,32.067,DAL,,STL,W 31-21,,,,,,,,,,,,,,,,,
140,1980,1980-11-23,12,32.074,DAL,,WAS,W 14-10,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
141,1980,1980-11-27,13,32.078,DAL,,SEA,W 51-7,,,,,,,,,,,,,,,,,
142,1980,1980-12-07,14,32.088,DAL,@,OAK,W 19-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0
143,1980,1980-12-15,15,32.096,DAL,@,RAM,L 14-38,,,,,,,,,,,,,,,,,
144,1980,1980-12-21,16,32.102,DAL,,PHI,W 35-27,,,,,,,,,,,,,,,,,
145,1981,1981-09-06,1,32.361,DAL,@,WAS,W 26-10,,,,,,,,,,,,,,,,,
146,1981,1981-09-13,2,33.003,DAL,,STL,W 30-17,0,0,,0,0,0,,0,0,0,,0,0,0,2,21,0
147,1981,1981-09-21,3,33.011,DAL,@,NWE,W 35-21,,,,,,,,,,,,,,,,,
148,1981,1981-09-27,4,33.017,DAL,,NYG,W 18-10,,,,,,,,,,,,,,,,,
149,1981,1981-10-04,5,33.024,DAL,@,STL,L 17-20,,,,,,,,,,,,,,,,,
150,1981,1981-10-11,6,33.031,DAL,@,SFO,L 14-45,,,,,,,,,,,,,,,,,
151,1981,1981-10-18,7,33.038,DAL,,RAM,W 29-17,,,,,,,,,,,,,,,,,
152,1981,1981-10-25,8,33.045,DAL,,MIA,W 28-27,,,,,,,,,,,,,,,,,
153,1981,1981-11-01,9,33.052,DAL,@,PHI,W 17-14,,,,,,,,,,,,,,,,,
154,1981,1981-11-09,10,33.060,DAL,,BUF,W 27-14,,,,,,,,,,,,,,,,,
155,1981,1981-11-15,11,33.066,DAL,@,DET,L 24-27,,,,,,,,,,,,,,,,,
156,1981,1981-11-22,12,33.073,DAL,,WAS,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
157,1981,1981-11-26,13,33.077,DAL,,CHI,W 10-9,,,,,,,,,,,,,,,,,
158,1981,1981-12-06,14,33.087,DAL,@,BAL,W 37-13,,,,,,,,,,,,,,,,,
159,1981,1981-12-13,15,33.094,DAL,,PHI,W 21-10,,,,,,,,,,,,,,,,,
160,1981,1981-12-19,16,33.100,DAL,@,NYG,L 10-13,,,,,,,,,,,,,,,,,
