ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
37,2008,2008-12-07,13,23.280,NOR,,ATL,W 29-25,*,10,80,8.00,0,5,3,26,8.67,1,60.0%,5.20,0,0,,0,0,0,,,,,,0,0,,0,3,0,0.00,0,,1,6,0.0,0,0
38,2008,2008-12-11,14,23.284,NOR,@,CHI,L 24-27,,6,30,5.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,2,1,0.50,0,,0,0,0.0,0,0
39,2009,2009-09-13,1,24.195,NOR,,DET,W 45-27,*,7,14,2.00,0,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,,,,,0,0,,0,3,11,3.67,0,,0,0,0.0,0,0
40,2009,2009-09-20,2,24.202,NOR,@,PHI,W 48-22,*,10,33,3.30,1,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,,,,,0,0,,0,2,-3,-1.50,0,,1,6,0.0,1,0
41,2009,2009-09-27,3,24.209,NOR,@,BUF,W 27-7,*,13,64,4.92,0,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,,,,,0,0,,0,4,17,4.25,0,,0,0,0.0,0,0
42,2009,2009-10-04,4,24.216,NOR,,NYJ,W 24-10,,6,37,6.17,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,,,,,0,0,,0,1,22,22.00,0,,0,0,0.0,0,0
43,2009,2009-10-18,5,24.230,NOR,,NYG,W 48-27,*,6,17,2.83,1,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,,1,6,0.0,0,0
44,2009,2009-10-25,6,24.237,NOR,@,MIA,W 46-34,*,3,10,3.33,1,6,3,16,5.33,0,50.0%,2.67,0,0,,0,0,0,,,,,,0,0,,0,5,23,4.60,0,,1,6,0.0,0,0
45,2009,2009-11-02,7,24.245,NOR,,ATL,W 35-27,,2,3,1.50,1,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,1,1,1.00,0,,1,6,0.0,0,0
46,2009,2009-11-08,8,24.251,NOR,,CAR,W 30-20,*,2,16,8.00,0,9,7,37,5.29,0,77.8%,4.11,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
47,2009,2009-11-15,9,24.258,NOR,@,STL,W 28-23,,6,83,13.83,1,2,2,15,7.50,1,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,,2,12,0.0,0,0
48,2009,2009-12-06,12,24.279,NOR,@,WAS,W 33-30,,1,0,0.00,0,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,0,0,,0,1,-2,-2.00,0,,0,0,0.0,0,0
49,2009,2009-12-13,13,24.286,NOR,@,ATL,W 26-23,*,6,33,5.50,0,6,6,46,7.67,2,100.0%,7.67,0,0,,0,0,0,,,,,,0,0,,0,1,23,23.00,0,,2,12,0.0,0,0
50,2009,2009-12-19,14,24.292,NOR,,DAL,L 17-24,*,1,29,29.00,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
51,2009,2009-12-27,15,24.300,NOR,,TAM,L 17-20,,2,16,8.00,0,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,,,,,0,0,,0,1,14,14.00,0,,0,0,0.0,0,0
52,2009,2010-01-03,16,24.307,NOR,@,CAR,L 10-23,,5,35,7.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0.0,0,0
53,2010,2010-09-09,1,25.191,NOR,,MIN,W 14-9,*,2,14,7.00,0,6,5,33,6.60,0,83.3%,5.50,0,0,,0,0,0,,,,,,0,0,,0,3,7,2.33,0,,0,0,0.0,0,0
54,2010,2010-09-20,2,25.202,NOR,@,SFO,W 25-22,*,5,4,0.80,0,5,4,30,7.50,1,80.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,3,43,14.33,0,,1,6,0.0,0,0
55,2010,2010-11-25,11,25.268,NOR,@,DAL,W 30-27,*,1,1,1.00,0,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0
56,2010,2010-12-05,12,25.278,NOR,@,CIN,W 34-30,*,5,26,5.20,0,3,3,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2010,2010-12-12,13,25.285,NOR,,STL,W 31-13,*,9,39,4.33,0,5,5,22,4.40,0,100.0%,4.40,0,0,,0,0,0,,,,,,0,0,,0,2,16,8.00,0,,0,0,0.0,0,0
58,2010,2010-12-19,14,25.292,NOR,@,BAL,L 24-30,,4,-4,-1.00,0,7,7,36,5.14,0,100.0%,5.14,0,0,,0,0,0,,,,,,1,32,32.00,0,1,9,9.00,0,,0,0,0.0,0,0
59,2010,2010-12-27,15,25.300,NOR,@,ATL,W 17-14,,1,0,0.00,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0
60,2010,2011-01-02,16,25.306,NOR,,TAM,L 13-23,*,9,70,7.78,0,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0
61,2011,2011-09-12,1,26.194,MIA,,NWE,L 24-38,*,11,38,3.45,0,10,9,56,6.22,1,90.0%,5.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
62,2011,2011-09-18,2,26.200,MIA,,HOU,L 13-23,*,6,18,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
63,2011,2011-09-25,3,26.207,MIA,@,CLE,L 16-17,*,10,13,1.30,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
64,2011,2011-10-02,4,26.214,MIA,@,SDG,L 16-26,*,13,50,3.85,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
65,2011,2011-10-17,5,26.229,MIA,@,NYJ,L 6-24,*,10,71,7.10,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0
66,2011,2011-10-23,6,26.235,MIA,,DEN,L 15-18,*,10,42,4.20,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,30,15.00,0,,0,0,0.0,0,0
67,2011,2011-10-30,7,26.242,MIA,@,NYG,L 17-20,*,15,103,6.87,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,1,-4,-4.00,0,,0,0,0.0,0,0
68,2011,2011-11-06,8,26.249,MIA,@,KAN,W 31-3,*,13,92,7.08,1,3,3,50,16.67,0,100.0%,16.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
69,2011,2011-11-13,9,26.256,MIA,,WAS,W 20-9,*,14,47,3.36,2,5,4,4,1.00,0,80.0%,0.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
70,2011,2011-11-20,10,26.263,MIA,,BUF,W 35-8,*,15,32,2.13,1,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
71,2011,2011-11-24,11,26.267,MIA,@,DAL,L 19-20,*,16,61,3.81,0,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
72,2011,2011-12-04,12,26.277,MIA,,OAK,W 34-14,*,22,100,4.55,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
73,2011,2011-12-11,13,26.284,MIA,,PHI,L 10-26,*,14,103,7.36,0,6,5,27,5.40,0,83.3%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,,0,0,0.0,1,0
74,2011,2011-12-18,14,26.291,MIA,@,BUF,W 30-23,*,25,203,8.12,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
75,2011,2011-12-24,15,26.297,MIA,@,NWE,L 24-27,*,22,113,5.14,0,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
76,2012,2012-09-09,1,27.191,MIA,@,HOU,L 10-30,*,14,69,4.93,0,6,6,46,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
77,2012,2012-09-16,2,27.198,MIA,,OAK,W 35-13,*,26,172,6.62,2,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
78,2012,2012-09-23,3,27.205,MIA,,NYJ,L 20-23,*,10,61,6.10,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
79,2012,2012-09-30,4,27.212,MIA,@,ARI,L 21-24,*,17,67,3.94,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
80,2012,2012-10-07,5,27.219,MIA,@,CIN,W 17-13,*,19,48,2.53,1,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
81,2012,2012-10-14,6,27.226,MIA,,STL,W 17-14,*,12,17,1.42,0,7,5,44,8.80,0,71.4%,6.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
82,2012,2012-10-28,7,27.240,MIA,@,NYJ,W 30-9,*,14,59,4.21,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
83,2012,2012-11-04,8,27.247,MIA,@,IND,L 20-23,*,10,41,4.10,1,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
84,2012,2012-11-11,9,27.254,MIA,,TEN,L 3-37,*,4,21,5.25,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
85,2012,2012-11-15,10,27.258,MIA,@,BUF,L 14-19,*,10,20,2.00,0,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2012,2012-11-25,11,27.268,MIA,,SEA,W 24-21,*,14,87,6.21,1,3,1,-5,-5.00,0,33.3%,-1.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
87,2012,2012-12-02,12,27.275,MIA,,NWE,L 16-23,*,15,64,4.27,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
88,2012,2012-12-09,13,27.282,MIA,@,SFO,L 13-27,*,14,65,4.64,0,7,5,38,7.60,0,71.4%,5.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
89,2012,2012-12-16,14,27.289,MIA,,JAX,W 24-3,*,21,104,4.95,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
90,2012,2012-12-23,15,27.296,MIA,,BUF,W 24-10,*,19,65,3.42,1,4,4,42,10.50,2,100.0%,10.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,0,0
91,2012,2012-12-30,16,27.303,MIA,@,NWE,L 0-28,*,8,26,3.25,0,5,2,23,11.50,0,40.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
92,2013,2013-09-08,1,28.190,DET,,MIN,W 34-24,*,21,90,4.29,0,8,4,101,25.25,1,50.0%,12.63,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
93,2013,2013-09-15,2,28.197,DET,@,ARI,L 21-25,*,9,25,2.78,0,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
94,2013,2013-09-29,4,28.211,DET,,CHI,W 40-32,*,18,139,7.72,1,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
95,2013,2013-10-06,5,28.218,DET,@,GNB,L 9-22,*,13,44,3.38,0,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
96,2013,2013-10-13,6,28.225,DET,@,CLE,W 31-17,*,17,78,4.59,0,6,5,57,11.40,1,83.3%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
97,2013,2013-10-20,7,28.232,DET,,CIN,L 24-27,*,20,50,2.50,0,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
98,2013,2013-10-27,8,28.239,DET,,DAL,W 31-30,*,21,92,4.38,1,9,8,30,3.75,0,88.9%,3.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
99,2013,2013-11-10,9,28.253,DET,@,CHI,W 21-19,*,14,105,7.50,0,6,3,8,2.67,0,50.0%,1.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
100,2013,2013-11-17,10,28.260,DET,@,PIT,L 27-37,*,12,31,2.58,0,5,2,23,11.50,0,40.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
101,2013,2013-11-24,11,28.267,DET,,TAM,L 21-24,*,15,83,5.53,0,7,4,17,4.25,0,57.1%,2.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
102,2013,2013-11-28,12,28.271,DET,,GNB,W 40-10,*,20,117,5.85,1,5,5,65,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
103,2013,2013-12-16,14,28.289,DET,,BAL,L 16-18,*,17,86,5.06,1,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,1,0
104,2013,2013-12-22,15,28.295,DET,,NYG,L 20-23,*,12,34,2.83,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
105,2013,2013-12-29,16,28.302,DET,@,MIN,L 13-14,*,14,32,2.29,0,6,5,33,6.60,1,83.3%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
106,2014,2014-09-08,1,29.190,DET,,NYG,W 35-14,*,9,15,1.67,0,6,6,49,8.17,0,100.0%,8.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
107,2014,2014-09-14,2,29.196,DET,@,CAR,L 7-24,*,6,26,4.33,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
108,2014,2014-09-21,3,29.203,DET,,GNB,W 19-7,*,12,61,5.08,1,8,6,38,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
109,2014,2014-09-28,4,29.210,DET,@,NYJ,W 24-17,*,12,46,3.83,0,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
110,2014,2014-10-05,5,29.217,DET,,BUF,L 14-17,*,6,13,2.17,0,5,2,30,15.00,0,40.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
111,2014,2014-10-19,7,29.231,DET,,NOR,W 24-23,*,4,10,2.50,0,6,5,22,4.40,0,83.3%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
112,2014,2014-11-09,9,29.252,DET,,MIA,W 20-16,*,4,20,5.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
113,2014,2014-12-07,13,29.280,DET,,TAM,W 34-17,,8,26,3.25,0,6,4,8,2.00,0,66.7%,1.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
114,2014,2014-12-14,14,29.287,DET,,MIN,W 16-14,,3,7,2.33,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
115,2014,2014-12-21,15,29.294,DET,@,CHI,W 20-14,*,7,54,7.71,1,7,6,44,7.33,0,85.7%,6.29,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
116,2014,2014-12-28,16,29.301,DET,@,GNB,L 20-30,*,5,19,3.80,0,6,3,22,7.33,0,50.0%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
117,2015,2015-09-14,1,30.196,SFO,,MIN,W 20-3,,2,8,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
118,2015,2015-10-04,4,30.216,SFO,,GNB,L 3-17,,1,0,0.00,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
119,2015,2015-10-11,5,30.223,SFO,@,NYG,L 27-30,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
120,2015,2015-10-22,7,30.234,SFO,,SEA,L 3-20,,4,21,5.25,0,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0
