ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
61,1985,1985-09-29,4,26.298,IND,@,NYJ,L 20-25,,,,,,,,,,,,,,,,,,
62,1985,1985-10-06,5,26.305,IND,,BUF,W 49-17,,,,,,,,,,,,,,,,,,
63,1985,1985-10-13,6,26.312,IND,,DEN,L 10-15,,,,,,,,,,,,,,,,,,
64,1985,1985-10-20,7,26.319,IND,@,BUF,L 9-21,,,,,,,,,,,,,,,,,,
65,1985,1985-10-27,8,26.326,IND,,GNB,W 37-10,,,,,,,,,,,,,,,,,,
66,1985,1985-11-03,9,26.333,IND,,NYJ,L 17-35,,,,,,,,,,,,,,,,,,
67,1985,1985-11-10,10,26.340,IND,@,NWE,L 15-34,,,,,,,,,,,,,,,,,,
68,1985,1985-11-17,11,26.347,IND,,MIA,L 20-34,,,,,,,,,,,,,,,,,,
69,1985,1985-11-24,12,26.354,IND,@,KAN,L 7-20,,,,,,,,,,,,,,,,,,
70,1985,1985-12-01,13,26.361,IND,,NWE,L 31-38,,,,,,,,,,,,,,,,,,
71,1985,1985-12-08,14,27.003,IND,@,CHI,L 10-17,,,,,,,,,,,,,,,,,,
72,1985,1985-12-15,15,27.010,IND,@,TAM,W 31-23,,,,,,,,,,,,,,,,,,
73,1985,1985-12-22,16,27.017,IND,,HOU,W 34-16,,,,,,,,,,,,,,,,,,
74,1986,1986-09-07,1,27.276,IND,@,NWE,L 3-33,,,,,,,,,,,,,,,,,,
75,1986,1986-09-14,2,27.283,IND,@,MIA,L 10-30,,,,,,,,,,,,,,,,,,
76,1986,1986-09-21,3,27.290,IND,,RAM,L 7-24,,,,,,,,,,,,,,,,,,
77,1986,1986-09-28,4,27.297,IND,,NYJ,L 7-26,,,,,,,,,,,,,,,,,,
78,1986,1986-10-05,5,27.304,IND,@,SFO,L 14-35,,,,,,,,,,,,,,,,,,
79,1986,1986-10-12,6,27.311,IND,,NOR,L 14-17,,,,,,,,,,,,,,,,,,
80,1986,1986-10-19,7,27.318,IND,@,BUF,L 13-24,,,,,,,,,,,,,,,,,,
81,1986,1986-10-26,8,27.325,IND,,MIA,L 13-17,,,,,,,,,,,,,,,,,,
82,1986,1986-11-02,9,27.332,IND,,CLE,L 9-24,,,,,,,,,,,,,,,,,,
83,1986,1986-11-09,10,27.339,IND,,NWE,L 21-30,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
84,1986,1986-11-16,11,27.346,IND,@,NYJ,L 16-31,,,,,,,,,,,,,,,,,,
85,1986,1986-11-23,12,27.353,IND,@,HOU,L 17-31,,,,,,,,,,,,,,,,,,
86,1986,1986-11-30,13,27.360,IND,,SDG,L 3-17,,,,,,,,,,,,,,,,,,
87,1986,1986-12-07,14,28.002,IND,@,ATL,W 28-23,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
88,1986,1986-12-14,15,28.009,IND,,BUF,W 24-14,,,,,,,,,,,,,,,,,,
89,1986,1986-12-21,16,28.016,IND,@,RAI,W 30-24,,,,,,,,,,,,,,,,,,
90,1987,1987-09-13,1,28.282,IND,,CIN,L 21-23,,,,,,,,,0,0,,0,,,,,,
91,1987,1987-09-20,2,28.289,IND,,MIA,L 10-23,,,,,,,,,0,0,,0,,,,,,
92,1987,1987-10-25,6,28.324,IND,,NWE,W 30-16,,,,,,,,,0,0,,0,,,,,,
93,1987,1987-11-01,7,28.331,IND,@,NYJ,W 19-14,,,,,,,,,0,0,,0,,,,,,
94,1987,1987-11-08,8,28.338,IND,,SDG,L 13-16,,,,,,,,,0,0,,0,,,,,,
95,1987,1987-11-15,9,28.345,IND,@,MIA,W 40-21,,,,,,,,,0,0,,0,,,,,,
96,1987,1987-11-22,10,28.352,IND,@,NWE,L 0-24,,,,,,,,,0,0,,0,,,,,,
97,1987,1987-11-29,11,28.359,IND,,HOU,W 51-27,,,,,,,,,0,0,,0,,,,,,
98,1987,1987-12-06,12,29.001,IND,@,CLE,W 9-7,,,,,,,,,0,0,,0,,,,,,
99,1987,1987-12-13,13,29.008,IND,,BUF,L 3-27,,,,,,,,,0,0,,0,,,,,,
100,1987,1987-12-20,14,29.015,IND,@,SDG,W 20-7,,,,,,,,,0,0,,0,,,,,,
101,1987,1987-12-27,15,29.022,IND,,TAM,W 24-6,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
102,1988,1988-10-30,9,29.330,DET,,NYG,L 10-13,,,,,,,,,,,,,,,,,,
103,1988,1988-11-06,10,29.337,DET,@,MIN,L 17-44,,,,,,,,,,,,,,,,,,
104,1988,1988-11-13,11,29.344,DET,,TAM,L 20-23,,,,,,,,,,,,,,,,,,
105,1988,1988-11-20,12,29.351,DET,@,GNB,W 19-9,,,,,,,,,,,,,,,,,,
106,1988,1988-11-24,13,29.355,DET,,MIN,L 0-23,,,,,,,,,,,,,,,,,,
107,1988,1988-12-04,14,29.365,DET,,GNB,W 30-14,,,,,,,,,,,,,,,,,,
108,1988,1988-12-11,15,30.006,DET,@,CHI,L 12-13,,,,,,,,,,,,,,,,,,
109,1988,1988-12-18,16,30.013,DET,@,TAM,L 10-21,,,,,,,,,,,,,,,,,,
110,1989,1989-09-10,1,30.279,MIA,,BUF,L 24-27,,,,,0,0,,0,,,,,,,,,,
111,1989,1989-09-17,2,30.286,MIA,@,NWE,W 24-10,,,,,0,0,,0,,,,,,,,,,
112,1989,1989-09-24,3,30.293,MIA,,NYJ,L 33-40,,,,,0,0,,0,,,,,,,,,,
113,1989,1989-10-01,4,30.300,MIA,@,HOU,L 7-39,,,,,0,0,,0,,,,,,,,,,
114,1989,1989-10-08,5,30.307,MIA,,CLE,W 13-10,,,,,0,0,,0,,,,,,,,,,
115,1989,1989-10-15,6,30.314,MIA,@,CIN,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
116,1989,1989-10-22,7,30.321,MIA,,GNB,W 23-20,,,,,0,0,,0,,,,,,,,,,
117,1989,1989-10-29,8,30.328,MIA,@,BUF,L 17-31,,,,,0,0,,0,,,,,,,,,,
118,1989,1989-11-05,9,30.335,MIA,,IND,W 19-13,,,,,0,0,,0,,,,,,,,,,
119,1989,1989-11-12,10,30.342,MIA,@,NYJ,W 31-23,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0.0,0,0,0
120,1989,1989-11-19,11,30.349,MIA,@,DAL,W 17-14,,,,,0,0,,0,,,,,,,,,,
121,1990,1990-10-14,6,31.313,SEA,@,RAI,L 17-24,,,,,,,,,,,,,,,,,,
122,1990,1990-10-21,7,31.320,SEA,,KAN,W 19-7,,,,,,,,,,,,,,,,,,
123,1990,1990-11-04,8,31.334,SEA,,SDG,L 14-31,,,,,,,,,,,,,,,,,,
124,1990,1990-11-11,9,31.341,SEA,@,KAN,W 17-16,,,,,,,,,,,,,,,,,,
125,1990,1990-11-18,10,31.348,SEA,,MIN,L 21-24,,,,,,,,,,,,,,,,,,
126,1990,1990-11-25,11,31.355,SEA,@,SDG,W 13-10,,,,,,,,,,,,,,,,,,
127,1990,1990-12-02,12,31.362,SEA,,HOU,W 13-10,,,,,,,,,,,,,,,,,,
128,1990,1990-12-09,13,32.004,SEA,@,GNB,W 20-14,,,,,,,,,,,,,,,,,,
129,1990,1990-12-16,14,32.011,SEA,@,MIA,L 17-24,,,,,,,,,,,,,,,,,,
130,1990,1990-12-23,15,32.018,SEA,,DEN,W 17-12,,,,,,,,,,,,,,,,,,
