ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
11,1966,1966-12-04,12,23.282,PHI,,PIT,W 27-23,*,13,25,52.00,131,0,0,67.2,0,0,5.24,5.24,15,129,8.60,1,0,0,,0,0,0,,0,1,6
12,1966,1966-12-11,13,23.289,PHI,,CLE,W 33-21,*,7,23,30.43,120,1,4,24.1,0,0,5.22,-1.74,7,40,5.71,1,0,0,,0,0,0,,0,1,6
13,1966,1966-12-18,14,23.296,PHI,@,WAS,W 37-28,,1,3,33.33,11,0,0,45.1,0,0,3.67,3.67,1,20,20.00,0,0,0,,0,0,0,,0,0,0
14,1967,1967-09-24,2,24.211,CHI,@,GNB,L 10-13,,2,5,40.00,7,0,0,47.9,0,0,1.40,1.40,5,22,4.40,0,0,0,,0,0,0,,0,0,0
15,1967,1967-10-01,3,24.218,CHI,@,MIN,W 17-7,*,7,9,77.78,42,0,0,86.1,0,0,4.67,4.67,9,21,2.33,0,0,0,,0,0,0,,0,0,0
16,1967,1967-10-08,4,24.225,CHI,,BAL,L 3-24,*,4,9,44.44,57,0,3,25.9,0,0,6.33,-8.67,2,15,7.50,0,0,0,,0,0,0,,0,0,0
17,1967,1967-10-15,5,24.232,CHI,,DET,W 14-3,*,3,4,75.00,37,0,1,63.5,0,0,9.25,-2.00,11,39,3.55,0,0,0,,0,0,0,,0,0,0
18,1967,1967-10-22,6,24.239,CHI,@,CLE,L 0-24,*,12,19,63.16,141,0,1,63.7,0,0,7.42,5.05,7,3,0.43,0,0,0,,0,0,0,,0,0,0
19,1967,1967-10-29,7,24.246,CHI,,RAM,L 17-28,*,8,28,28.57,116,1,3,16.7,0,0,4.14,0.04,11,77,7.00,1,0,0,,0,0,0,,0,1,6
20,1967,1967-11-05,8,24.253,CHI,@,DET,W 27-13,*,7,17,41.18,75,0,1,30.3,0,0,4.41,1.76,3,-1,-0.33,1,0,0,,0,0,0,,0,1,6
21,1967,1967-11-12,9,24.260,CHI,,NYG,W 34-7,*,6,8,75.00,42,0,0,86.5,0,0,5.25,5.25,2,19,9.50,0,0,0,,0,0,0,,0,0,0
22,1967,1967-11-19,10,24.267,CHI,,STL,W 30-3,*,11,24,45.83,336,3,2,97.2,0,0,14.00,12.75,3,20,6.67,1,0,0,,0,0,0,,0,1,6
23,1967,1967-11-26,11,24.274,CHI,,GNB,L 13-17,*,7,14,50.00,56,0,2,20.8,0,0,4.00,-2.43,4,24,6.00,0,0,0,,0,0,0,,0,0,0
24,1967,1967-12-03,12,24.281,CHI,@,SFO,W 28-14,*,11,15,73.33,142,1,1,97.1,0,0,9.47,7.80,2,6,3.00,0,0,0,,0,0,0,,0,0,0
25,1967,1967-12-10,13,24.288,CHI,,MIN,T 10-10,*,10,25,40.00,126,0,0,56.4,0,0,5.04,5.04,4,5,1.25,0,0,0,,0,0,0,,0,0,0
26,1967,1967-12-17,14,24.295,CHI,@,ATL,W 23-14,*,4,9,44.44,83,1,0,114.6,0,0,9.22,11.44,4,29,7.25,0,0,0,,0,0,0,,0,0,0
27,1968,1968-09-15,1,25.203,CHI,,WAS,L 28-38,*,14,26,53.85,126,0,2,35.1,0,0,4.85,1.38,3,12,4.00,1,0,0,,0,0,0,,0,1,6
28,1968,1968-09-22,2,25.210,CHI,@,DET,L 0-42,*,4,14,28.57,40,0,3,0.0,0,0,2.86,-6.79,0,0,,0,0,0,,0,0,0,,0,0,0
29,1968,1968-09-29,3,25.217,CHI,@,MIN,W 27-17,*,9,12,75.00,103,1,0,128.1,0,0,8.58,10.25,4,25,6.25,0,0,0,,0,0,0,,0,0,0
30,1968,1968-11-24,11,25.273,CHI,,DAL,L 3-34,*,17,27,62.96,106,0,1,55.5,0,0,3.93,2.26,4,13,3.25,0,0,0,,0,0,0,,0,0,0
31,1968,1968-12-01,12,25.280,CHI,@,NOR,W 23-17,*,5,19,26.32,60,2,0,75.3,0,0,3.16,5.26,6,16,2.67,0,0,0,,0,0,0,,0,0,0
32,1968,1968-12-08,13,25.287,CHI,@,RAM,W 17-16,*,12,19,63.16,109,0,1,56.7,0,0,5.74,3.37,7,28,4.00,1,0,0,,0,0,0,,0,1,6
33,1968,1968-12-15,14,25.294,CHI,,GNB,L 27-28,*,10,26,38.46,171,2,2,55.1,0,0,6.58,4.65,4,10,2.50,0,0,0,,0,0,0,,0,0,0
34,1969,1969-09-21,1,26.208,CHI,@,GNB,L 0-17,*,13,26,50.00,123,0,2,31.4,0,0,4.73,1.27,5,10,2.00,0,0,0,,0,0,0,,0,0,0
35,1969,1969-09-28,2,26.215,CHI,@,STL,L 17-20,*,27,41,65.85,268,2,1,90.3,0,0,6.54,6.41,5,20,4.00,0,0,0,,0,0,0,,0,0,0
36,1969,1969-10-05,3,26.222,CHI,@,NYG,L 24-28,*,20,35,57.14,203,2,1,81.0,0,0,5.80,5.66,6,27,4.50,1,0,0,,0,0,0,,0,1,6
37,1969,1969-10-12,4,26.229,CHI,,MIN,L 0-31,*,11,15,73.33,71,0,1,55.1,0,0,4.73,1.73,1,9,9.00,0,0,0,,0,0,0,,0,0,0
38,1969,1969-10-19,5,26.236,CHI,@,DET,L 7-13,,4,8,50.00,39,0,0,64.1,0,0,4.88,4.88,2,4,2.00,0,0,0,,0,0,0,,0,0,0
39,1969,1969-11-02,7,26.250,CHI,@,MIN,L 14-31,,0,0,,0,0,0,,0,0,,,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
40,1969,1969-12-06,12,26.284,CHI,@,SFO,L 21-42,,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,,0,0,0,,0,0,0
41,1969,1969-12-21,14,26.299,CHI,,DET,L 3-20,*,12,35,34.29,79,0,3,7.4,0,0,2.26,-1.60,1,-7,-7.00,0,0,0,,0,0,0,,0,0,0
42,1970,1970-09-19,1,27.206,CHI,@,NYG,W 24-16,*,15,29,51.72,148,1,1,63.6,0,0,5.10,4.24,4,15,3.75,1,0,0,,0,0,0,,0,1,6
43,1970,1970-09-27,2,27.214,CHI,,PHI,W 20-16,*,17,27,62.96,105,0,0,70.8,0,0,3.89,3.89,4,6,1.50,0,0,0,,0,0,0,,0,0,0
44,1970,1970-10-05,3,27.222,CHI,@,DET,L 14-28,*,10,18,55.56,140,2,2,78.2,0,0,7.78,5.00,3,1,0.33,0,0,0,,0,0,0,,0,0,0
45,1970,1970-10-11,4,27.228,CHI,,MIN,L 0-24,*,19,35,54.29,112,0,3,24.9,0,0,3.20,-0.66,2,9,4.50,0,0,0,,0,0,0,,0,0,0
46,1970,1970-10-18,5,27.235,CHI,,SDG,L 7-20,*,17,34,50.00,117,1,1,55.6,0,0,3.44,2.71,3,6,2.00,0,0,0,,0,0,0,,0,0,0
47,1970,1970-10-25,6,27.242,CHI,,DET,L 10-16,*,13,27,48.15,243,1,3,52.5,0,0,9.00,4.74,3,9,3.00,0,0,0,,0,0,0,,0,0,0
48,1970,1970-11-01,7,27.249,CHI,@,ATL,W 23-14,*,6,20,30.00,84,0,1,23.7,0,0,4.20,1.95,5,5,1.00,0,0,0,,0,0,0,,0,0,0
49,1970,1970-11-08,8,27.256,CHI,,SFO,L 16-37,*,10,19,52.63,104,1,0,86.3,0,0,5.47,6.53,7,14,2.00,0,0,0,,0,0,0,,0,0,0
50,1970,1970-11-15,9,27.263,CHI,@,GNB,L 19-20,*,9,26,34.62,201,1,0,76.0,0,0,7.73,8.50,1,5,5.00,0,0,0,,0,0,0,,0,0,0
51,1970,1970-11-22,10,27.270,CHI,,BUF,W 31-13,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1970,1970-11-29,11,27.277,CHI,@,BAL,L 20-21,*,21,37,56.76,155,2,0,84.9,0,0,4.19,5.27,4,20,5.00,0,0,0,,0,0,0,,0,0,0
53,1970,1970-12-05,12,27.283,CHI,@,MIN,L 13-16,*,10,29,34.48,103,0,3,6.0,0,0,3.55,-1.10,1,2,2.00,0,0,0,,0,0,0,,0,0,0
54,1970,1970-12-13,13,27.291,CHI,,GNB,W 35-17,*,21,34,61.76,338,4,1,121.9,0,0,9.94,10.97,4,31,7.75,1,0,0,,0,0,0,,0,1,6
55,1970,1970-12-20,14,27.298,CHI,@,NOR,W 24-3,*,26,50,52.00,280,3,3,63.7,0,0,5.60,4.10,1,13,13.00,0,0,0,,0,0,0,,0,0,0
56,1971,1971-09-19,1,28.206,CHI,,PIT,W 17-15,*,15,26,57.69,116,0,1,52.7,0,0,4.46,2.73,1,0,0.00,0,0,0,,0,0,0,,0,0,0
57,1971,1971-09-26,2,28.213,CHI,@,MIN,W 20-17,*,23,37,62.16,187,0,1,63.7,0,0,5.05,3.84,2,2,1.00,0,0,0,,0,0,0,,0,0,0
58,1971,1971-10-03,3,28.220,CHI,@,RAM,L 3-17,*,4,14,28.57,31,0,1,9.8,0,0,2.21,-1.00,2,3,1.50,0,0,0,,0,0,0,,0,0,0
59,1974,1974-09-15,1,31.202,GNB,,MIN,L 17-32,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1974,1974-09-22,2,31.209,GNB,@,BAL,W 20-13,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1974,1974-09-29,3,31.216,GNB,,DET,W 21-19,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1974,1974-10-06,4,31.223,GNB,,BUF,L 7-27,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1974,1974-10-13,5,31.230,GNB,,RAM,W 17-6,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1974,1974-10-21,6,31.238,GNB,@,CHI,L 9-10,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1974,1974-10-27,7,31.244,GNB,@,DET,L 17-19,*,17,30,56.67,237,0,1,68.3,0,0,7.90,6.40,2,1,0.50,1,0,0,,0,0,0,,0,1,6
66,1974,1974-11-03,8,31.251,GNB,,WAS,L 6-17,*,8,20,40.00,67,0,2,9.8,0,0,3.35,-1.15,1,6,6.00,0,0,0,,0,0,0,,0,0,0
67,1974,1974-11-10,9,31.258,GNB,,CHI,W 20-3,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1974,1974-11-17,10,31.265,GNB,@,MIN,W 19-7,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1974,1974-11-24,11,31.272,GNB,,SDG,W 34-0,,3,4,75.00,77,1,0,156.2,0,0,19.25,24.25,0,0,,0,0,0,,0,0,0,,0,0,0
70,1974,1974-12-01,12,31.279,GNB,@,PHI,L 14-36,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1974,1974-12-08,13,31.286,GNB,@,SFO,L 6-7,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1974,1974-12-15,14,31.293,GNB,@,ATL,L 3-10,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1975,1975-11-02,7,32.250,DET,@,SFO,W 28-17,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1975,1975-11-09,8,32.257,DET,,CLE,W 21-10,,1,2,50.00,30,0,0,95.8,0,0,15.00,15.00,0,0,,0,0,0,,0,0,0,,0,0,0
75,1975,1975-11-16,9,32.264,DET,,GNB,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1975,1975-11-23,10,32.271,DET,@,KAN,L 21-24,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1975,1975-12-07,12,32.285,DET,@,CHI,L 21-25,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1975,1975-12-14,13,32.292,DET,,MIN,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1975,1975-12-21,14,32.299,DET,,STL,L 13-24,,,,,,,,,,,,,,,,,,,,,,,,,,
