ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
28,1984,1984-09-16,3,25.062,PIT,,RAM,W 24-14,,0,0,,0,3,3,100.0,1,2,50.0,0,6
29,1984,1984-09-23,4,25.069,PIT,@,CLE,L 10-20,,0,0,,0,1,1,100.0,1,1,100.0,0,4
30,1984,1984-10-01,5,25.077,PIT,,CIN,W 38-17,,0,0,,0,5,5,100.0,1,1,100.0,0,8
31,1984,1984-10-07,6,25.083,PIT,,MIA,L 7-31,,0,0,,0,1,1,100.0,,1,0.0,0,1
32,1984,1984-10-14,7,25.090,PIT,@,SFO,W 20-17,,0,0,,0,2,2,100.0,2,2,100.0,0,8
33,1984,1984-10-21,8,25.097,PIT,@,IND,L 16-17,,0,0,,0,1,1,100.0,3,3,100.0,0,10
34,1984,1984-10-28,9,25.104,PIT,,ATL,W 35-10,,0,0,,0,5,5,100.0,,,,0,5
35,1984,1984-11-04,10,25.111,PIT,,HOU,W 35-7,,0,0,,0,5,5,100.0,,,,0,5
36,1984,1984-11-11,11,25.118,PIT,@,CIN,L 20-22,,0,0,,0,2,2,100.0,2,2,100.0,0,8
37,1984,1984-11-19,12,25.126,PIT,@,NOR,L 24-27,,0,0,,0,3,3,100.0,1,2,50.0,0,6
38,1984,1984-11-25,13,25.132,PIT,,SDG,W 52-24,,0,0,,0,7,7,100.0,1,1,100.0,0,10
39,1984,1984-12-02,14,25.139,PIT,@,HOU,L 20-23,,0,0,,0,2,2,100.0,2,2,100.0,0,8
40,1984,1984-12-09,15,25.146,PIT,,CLE,W 23-20,,0,0,,0,2,2,100.0,3,3,100.0,0,11
41,1984,1984-12-16,16,25.153,PIT,@,RAI,W 13-7,,0,0,,0,1,1,100.0,2,3,66.7,0,7
42,1985,1985-09-08,1,26.054,PIT,,IND,W 45-3,,0,0,,0,6,6,100.0,1,2,50.0,0,9
43,1985,1985-09-16,2,26.062,PIT,@,CLE,L 7-17,,0,0,,0,1,1,100.0,,,,0,1
44,1985,1985-09-22,3,26.068,PIT,,HOU,W 20-0,,0,0,,0,2,2,100.0,2,3,66.7,0,8
45,1985,1985-09-30,4,26.076,PIT,,CIN,L 24-37,,0,0,,0,3,3,100.0,1,2,50.0,0,6
46,1985,1985-10-06,5,26.082,PIT,@,MIA,L 20-24,,0,0,,0,2,2,100.0,2,3,66.7,0,8
47,1985,1985-10-13,6,26.089,PIT,@,DAL,L 13-27,,0,0,,0,1,1,100.0,2,3,66.7,0,7
48,1985,1985-10-20,7,26.096,PIT,,STL,W 23-10,,0,0,,0,2,2,100.0,3,5,60.0,0,11
49,1985,1985-10-27,8,26.103,PIT,@,CIN,L 21-26,,0,0,,0,3,3,100.0,,1,0.0,0,3
50,1985,1985-11-03,9,26.110,PIT,,CLE,W 10-9,,0,0,,0,1,1,100.0,1,1,100.0,0,4
51,1985,1985-11-10,10,26.117,PIT,@,KAN,W 36-28,,0,0,,0,3,3,100.0,5,5,100.0,0,18
52,1985,1985-11-17,11,26.124,PIT,@,HOU,W 30-7,,0,0,,0,3,3,100.0,3,3,100.0,0,12
53,1985,1985-11-24,12,26.131,PIT,,WAS,L 23-30,,0,0,,0,2,2,100.0,3,3,100.0,0,11
54,1985,1985-12-01,13,26.138,PIT,,DEN,L 23-31,,0,0,,0,2,2,100.0,3,3,100.0,0,11
55,1985,1985-12-08,14,26.145,PIT,@,SDG,L 44-54,,0,0,,0,5,5,100.0,3,3,100.0,0,14
56,1985,1985-12-15,15,26.152,PIT,,BUF,W 30-24,,0,0,,0,3,3,100.0,3,4,75.0,0,12
57,1985,1985-12-21,16,26.158,PIT,@,NYG,L 10-28,,0,0,,0,1,1,100.0,1,1,100.0,0,4
58,1986,1986-09-07,1,27.053,PIT,@,SEA,L 0-30,,,,,,,,,,,,,
59,1986,1986-09-15,2,27.061,PIT,,DEN,L 10-21,,0,0,,0,1,1,100.0,1,2,50.0,0,4
60,1986,1986-09-21,3,27.067,PIT,@,MIN,L 7-31,,0,0,,0,1,1,100.0,,,,0,1
61,1986,1986-09-28,4,27.074,PIT,@,HOU,W 22-16,,0,0,,0,1,1,100.0,3,4,75.0,0,10
62,1986,1986-10-05,5,27.081,PIT,,CLE,L 24-27,,0,0,,0,3,3,100.0,1,2,50.0,0,6
63,1986,1986-10-13,6,27.089,PIT,@,CIN,L 22-24,,0,0,,0,2,2,100.0,2,3,66.7,0,8
64,1986,1986-10-19,7,27.095,PIT,,NWE,L 0-34,,,,,,,,,,,,,
65,1986,1986-10-26,8,27.102,PIT,,CIN,W 30-9,,0,0,,0,3,3,100.0,3,3,100.0,0,12
66,1986,1986-11-02,9,27.109,PIT,,GNB,W 27-3,,0,0,,0,3,3,100.0,2,3,66.7,0,9
67,1986,1986-11-09,10,27.116,PIT,@,BUF,L 12-16,,,,,,,,,,,,,
68,1986,1986-11-16,11,27.123,PIT,,HOU,W 21-10,,0,0,,0,3,3,100.0,,,,0,3
69,1986,1986-11-23,12,27.130,PIT,@,CLE,L 31-37,,0,0,,0,4,4,100.0,1,2,50.0,0,7
70,1986,1986-11-30,13,27.137,PIT,@,CHI,L 10-13,,0,0,,0,1,1,100.0,1,2,50.0,0,4
71,1986,1986-12-07,14,27.144,PIT,,DET,W 27-17,,0,0,,0,3,3,100.0,2,5,40.0,0,9
72,1986,1986-12-13,15,27.150,PIT,@,NYJ,W 45-24,,0,0,,0,6,6,100.0,1,1,100.0,0,9
73,1986,1986-12-21,16,27.158,PIT,,KAN,L 19-24,,0,0,,0,1,1,100.0,4,5,80.0,0,13
74,1987,1987-09-13,1,28.059,PIT,,SFO,W 30-17,,0,0,,0,3,3,100.0,3,4,75.0,0,12
75,1987,1987-09-20,2,28.066,PIT,@,CLE,L 10-34,,0,0,,0,1,1,100.0,1,2,50.0,0,4
76,1987,1987-10-25,6,28.101,PIT,,CIN,W 23-20,,0,0,,0,2,2,100.0,3,3,100.0,0,11
77,1987,1987-11-01,7,28.108,PIT,@,MIA,L 24-35,,0,0,,0,3,3,100.0,1,1,100.0,0,6
78,1987,1987-11-08,8,28.115,PIT,@,KAN,W 17-16,,0,0,,0,2,2,100.0,1,2,50.0,0,5
79,1987,1987-11-15,9,28.122,PIT,,HOU,L 3-23,,0,0,,0,,,,1,1,100.0,0,3
80,1987,1987-11-22,10,28.129,PIT,@,CIN,W 30-16,,0,0,,0,3,3,100.0,3,3,100.0,0,12
81,1987,1987-11-29,11,28.136,PIT,,NOR,L 16-20,,0,0,,0,2,2,100.0,,,,0,2
82,1987,1987-12-06,12,28.143,PIT,,SEA,W 13-9,,0,0,,0,1,1,100.0,2,2,100.0,0,7
83,1987,1987-12-13,13,28.150,PIT,@,SDG,W 20-16,,0,0,,0,2,2,100.0,2,3,66.7,0,8
84,1987,1987-12-20,14,28.157,PIT,@,HOU,L 16-24,,0,0,,0,1,1,100.0,3,3,100.0,0,10
85,1987,1987-12-26,15,28.163,PIT,,CLE,L 13-19,,0,0,,0,1,1,100.0,2,3,66.7,0,7
86,1988,1988-09-04,1,29.050,PIT,,DAL,W 24-21,,0,0,,0,3,3,100.0,1,2,50.0,0,6
87,1988,1988-09-11,2,29.057,PIT,@,WAS,L 29-30,,0,0,,0,2,2,100.0,3,3,100.0,0,11
88,1988,1988-09-18,3,29.064,PIT,,CIN,L 12-17,,0,0,,0,1,1,100.0,1,2,50.0,0,4
89,1988,1988-09-25,4,29.071,PIT,@,BUF,L 28-36,,0,0,,0,4,4,100.0,,1,0.0,0,4
90,1988,1988-10-02,5,29.078,PIT,,CLE,L 9-23,,0,0,,0,,,,3,3,100.0,0,9
91,1988,1988-10-09,6,29.085,PIT,@,PHO,L 14-31,,0,0,,0,2,2,100.0,,1,0.0,0,2
92,1988,1988-10-16,7,29.092,PIT,,HOU,L 14-34,,0,0,,0,2,2,100.0,,,,0,2
93,1988,1988-10-23,8,29.099,PIT,,DEN,W 39-21,,0,0,,0,3,3,100.0,6,6,100.0,0,21
94,1988,1988-10-30,9,29.106,PIT,@,NYJ,L 20-24,,0,0,,0,2,2,100.0,2,2,100.0,0,8
95,1988,1988-11-06,10,29.113,PIT,@,CIN,L 7-42,,0,0,,0,1,1,100.0,,,,0,1
96,1988,1988-11-13,11,29.120,PIT,,PHI,L 26-27,,0,0,,0,2,2,100.0,4,5,80.0,0,14
97,1988,1988-11-20,12,29.127,PIT,@,CLE,L 7-27,,0,0,,0,1,1,100.0,,,,0,1
98,1988,1988-11-27,13,29.134,PIT,,KAN,W 16-10,,0,0,,0,1,1,100.0,3,4,75.0,0,10
99,1988,1988-12-04,14,29.141,PIT,@,HOU,W 37-34,,0,0,,0,4,5,80.0,1,3,33.3,0,7
100,1988,1988-12-11,15,29.148,PIT,@,SDG,L 14-20,,0,0,,0,2,2,100.0,,,,0,2
101,1988,1988-12-18,16,29.155,PIT,,MIA,W 40-24,,0,0,,0,4,4,100.0,4,4,100.0,0,16
102,1989,1989-09-10,1,30.056,PIT,,CLE,L 0-51,,,,,,,,,,,,,
103,1989,1989-09-17,2,30.063,PIT,@,CIN,L 10-41,,0,0,,0,1,1,100.0,1,1,100.0,0,4
104,1989,1989-09-24,3,30.070,PIT,,MIN,W 27-14,,0,0,,0,3,3,100.0,2,3,66.7,0,9
105,1989,1989-10-01,4,30.077,PIT,@,DET,W 23-3,,0,0,,0,2,2,100.0,1,1,100.0,0,5
106,1989,1989-10-08,5,30.084,PIT,,CIN,L 16-26,,0,0,,0,1,1,100.0,3,4,75.0,0,10
107,1989,1989-10-15,6,30.091,PIT,@,CLE,W 17-7,,0,0,,0,2,2,100.0,1,2,50.0,0,5
108,1989,1989-10-22,7,30.098,PIT,@,HOU,L 0-27,,,,,,,,,,,,,
109,1989,1989-10-29,8,30.105,PIT,,KAN,W 23-17,,0,0,,0,2,2,100.0,3,4,75.0,0,11
110,1989,1989-11-05,9,30.112,PIT,@,DEN,L 7-34,,0,0,,0,1,1,100.0,,,,0,1
111,1989,1989-11-12,10,30.119,PIT,,CHI,L 0-20,,0,0,,0,,,,,2,0.0,0,0
112,1989,1989-11-19,11,30.126,PIT,,SDG,W 20-17,,0,0,,0,2,2,100.0,2,2,100.0,0,8
113,1989,1989-11-26,12,30.133,PIT,@,MIA,W 34-14,,0,0,,0,4,4,100.0,2,4,50.0,0,10
114,1989,1989-12-03,13,30.140,PIT,,HOU,L 16-23,,0,0,,0,1,1,100.0,3,3,100.0,0,10
115,1989,1989-12-10,14,30.147,PIT,@,NYJ,W 13-0,,0,0,,0,1,1,100.0,2,3,66.7,0,7
116,1989,1989-12-17,15,30.154,PIT,,NWE,W 28-10,,0,0,,0,4,4,100.0,,,,0,4
117,1989,1989-12-24,16,30.161,PIT,@,TAM,W 31-22,,0,0,,0,4,4,100.0,1,1,100.0,0,7
118,1990,1990-09-09,1,31.055,PIT,@,CLE,L 3-13,,0,0,,0,,,,1,2,50.0,0,3
119,1990,1990-09-16,2,31.062,PIT,,HOU,W 20-9,,0,0,,0,2,2,100.0,2,2,100.0,0,8
120,1990,1990-09-23,3,31.069,PIT,@,RAI,L 3-20,,0,0,,0,,,,1,1,100.0,0,3
121,1990,1990-09-30,4,31.076,PIT,,MIA,L 6-28,,0,0,,0,,,,2,2,100.0,0,6
122,1990,1990-10-07,5,31.083,PIT,,SDG,W 36-14,,0,0,,0,4,4,100.0,2,2,100.0,0,10
123,1990,1990-10-14,6,31.090,PIT,@,DEN,W 34-17,,0,0,,0,4,4,100.0,,,,0,4
124,1990,1990-10-21,7,31.097,PIT,@,SFO,L 7-27,,0,0,,0,1,1,100.0,,1,0.0,0,1
125,1990,1990-10-29,8,31.105,PIT,,RAM,W 41-10,,0,0,,0,5,5,100.0,2,2,100.0,0,11
126,1990,1990-11-04,9,31.111,PIT,,ATL,W 21-9,,0,0,,0,3,3,100.0,,,,0,3
127,1990,1990-11-18,10,31.125,PIT,@,CIN,L 3-27,,0,0,,0,,,,1,1,100.0,0,3
128,1990,1990-11-25,11,31.132,PIT,@,NYJ,W 24-7,,0,0,,0,3,3,100.0,1,1,100.0,0,6
129,1990,1990-12-02,12,31.139,PIT,,CIN,L 12-16,,0,0,,0,,,,4,4,100.0,0,12
130,1990,1990-12-09,13,31.146,PIT,,NWE,W 24-3,,0,0,,0,3,3,100.0,1,1,100.0,0,6
131,1990,1990-12-16,14,31.153,PIT,@,NOR,W 9-6,,0,0,,0,,,,3,4,75.0,0,9
132,1990,1990-12-23,15,31.160,PIT,,CLE,W 35-0,,0,0,,0,5,5,100.0,,1,0.0,0,5
133,1990,1990-12-30,16,31.167,PIT,@,HOU,L 14-34,,0,0,,0,2,2,100.0,,1,0.0,0,2
134,1991,1991-09-01,1,32.047,PIT,,SDG,W 26-20,,0,0,,0,2,2,100.0,4,4,100.0,0,14
135,1991,1991-09-08,2,32.054,PIT,@,BUF,L 34-52,,0,0,,0,4,4,100.0,2,3,66.7,0,10
136,1991,1991-09-15,3,32.061,PIT,,NWE,W 20-6,,0,0,,0,2,2,100.0,2,2,100.0,0,8
137,1991,1991-09-22,4,32.068,PIT,@,PHI,L 14-23,,0,0,,0,2,2,100.0,,,,0,2
138,1991,1991-10-06,5,32.082,PIT,@,IND,W 21-3,,0,0,,0,3,3,100.0,,,,0,3
139,1991,1991-10-14,6,32.090,PIT,,NYG,L 20-23,,0,0,,0,2,2,100.0,2,2,100.0,0,8
140,1991,1991-10-20,7,32.096,PIT,,SEA,L 7-27,,0,0,,0,1,1,100.0,,,,0,1
141,1991,1991-10-27,8,32.103,PIT,@,CLE,L 14-17,,0,0,,0,2,2,100.0,,2,0.0,0,2
142,1991,1991-11-03,9,32.110,PIT,@,DEN,L 13-20,,0,0,,0,1,1,100.0,2,3,66.7,0,7
143,1991,1991-11-10,10,32.117,PIT,@,CIN,W 33-27,,0,0,,0,3,3,100.0,2,3,66.7,0,9
144,1991,1991-11-17,11,32.124,PIT,,WAS,L 14-41,,0,0,,0,2,2,100.0,,,,0,2
145,1991,1991-11-24,12,32.131,PIT,,HOU,W 26-14,,0,0,,0,2,2,100.0,4,4,100.0,0,14
146,1991,1991-11-28,13,32.135,PIT,@,DAL,L 10-20,,0,0,,0,1,1,100.0,1,2,50.0,0,4
147,1991,1991-12-08,14,32.145,PIT,@,HOU,L 6-31,,0,0,,0,,,,2,2,100.0,0,6
148,1991,1991-12-15,15,32.152,PIT,,CIN,W 17-10,,0,0,,0,2,2,100.0,1,2,50.0,0,5
149,1991,1991-12-22,16,32.159,PIT,,CLE,W 17-10,,0,0,,0,2,2,100.0,1,4,25.0,0,5
150,1992,1992-09-06,1,33.052,PIT,@,HOU,W 29-24,,0,0,,0,2,3,66.7,3,3,100.0,0,11
151,1992,1992-09-13,2,33.059,PIT,,NYJ,W 27-10,,0,0,,0,3,3,100.0,2,3,66.7,0,9
152,1992,1992-09-20,3,33.066,PIT,@,SDG,W 23-6,,0,0,,0,2,3,66.7,1,1,100.0,0,5
153,1992,1992-09-27,4,33.073,PIT,@,GNB,L 3-17,,0,0,,0,,,,1,2,50.0,0,3
154,1992,1992-10-11,5,33.087,PIT,@,CLE,L 9-17,,0,0,,0,,,,3,4,75.0,0,9
155,1992,1992-10-19,6,33.095,PIT,,CIN,W 20-0,,0,0,,0,2,2,100.0,2,3,66.7,0,8
156,1992,1992-10-25,7,33.101,PIT,@,KAN,W 27-3,,0,0,,0,3,3,100.0,2,2,100.0,0,9
157,1992,1992-11-01,8,33.108,PIT,,HOU,W 21-20,,0,0,,0,3,3,100.0,,,,0,3
158,1992,1992-11-08,9,33.115,PIT,@,BUF,L 20-28,,0,0,,0,2,2,100.0,2,2,100.0,0,8
159,1992,1992-11-15,10,33.122,PIT,,DET,W 17-14,,0,0,,0,2,2,100.0,1,3,33.3,0,5
160,1992,1992-11-22,11,33.129,PIT,,IND,W 30-14,,0,0,,0,3,3,100.0,3,3,100.0,0,12
161,1992,1992-11-29,12,33.136,PIT,@,CIN,W 21-9,,0,0,,0,3,3,100.0,,1,0.0,0,3
162,1992,1992-12-06,13,33.143,PIT,,SEA,W 20-14,,0,0,,0,2,2,100.0,2,2,100.0,0,8
163,1992,1992-12-13,14,33.150,PIT,@,CHI,L 6-30,,0,0,,0,,,,2,2,100.0,0,6
164,1992,1992-12-20,15,33.157,PIT,,MIN,L 3-6,,0,0,,0,,,,1,2,50.0,0,3
165,1992,1992-12-27,16,33.164,PIT,,CLE,W 23-13,,0,0,,0,2,2,100.0,3,3,100.0,0,11
166,1993,1993-09-05,1,34.051,PIT,,SFO,L 13-24,,0,0,,0,1,1,100.0,2,2,100.0,0,7
167,1993,1993-09-12,2,34.058,PIT,@,RAM,L 0-27,,,,,,,,,,,,,
168,1993,1993-09-19,3,34.065,PIT,,CIN,W 34-7,,0,0,,0,4,4,100.0,2,2,100.0,0,10
169,1993,1993-09-27,4,34.073,PIT,@,ATL,W 45-17,,0,0,,0,6,6,100.0,1,1,100.0,0,9
170,1993,1993-10-10,5,34.086,PIT,,SDG,W 16-3,,0,0,,0,1,1,100.0,3,3,100.0,0,10
171,1993,1993-10-17,6,34.093,PIT,,NOR,W 37-14,,0,0,,0,4,4,100.0,3,3,100.0,0,13
172,1993,1993-10-24,7,34.100,PIT,@,CLE,L 23-28,,0,0,,0,2,2,100.0,3,4,75.0,0,11
173,1993,1993-11-07,8,34.114,PIT,@,CIN,W 24-16,,0,0,,0,3,3,100.0,1,1,100.0,0,6
174,1993,1993-11-15,9,34.122,PIT,,BUF,W 23-0,,0,0,,0,2,2,100.0,3,3,100.0,0,11
175,1993,1993-11-21,10,34.128,PIT,@,DEN,L 13-37,,0,0,,0,1,1,100.0,2,2,100.0,0,7
176,1993,1993-11-28,11,34.135,PIT,@,HOU,L 3-23,,0,0,,0,,,,1,1,100.0,0,3
177,1993,1993-12-05,12,34.142,PIT,,NWE,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5
178,1993,1993-12-13,13,34.150,PIT,@,MIA,W 21-20,,0,0,,0,3,3,100.0,,1,0.0,0,3
179,1993,1993-12-19,14,34.156,PIT,,HOU,L 17-26,,0,0,,0,2,2,100.0,1,1,100.0,0,5
180,1993,1993-12-26,15,34.163,PIT,@,SEA,L 6-16,,0,0,,0,,,,2,2,100.0,0,6
181,1993,1994-01-02,16,34.170,PIT,,CLE,W 16-9,,0,0,,0,1,1,100.0,3,3,100.0,0,10
182,1994,1994-09-04,1,35.050,PIT,,DAL,L 9-26,,0,0,,0,,,,1,1,100.0,0,3
183,1994,1994-09-11,2,35.057,PIT,@,CLE,W 17-10,,0,0,,0,2,2,100.0,1,2,50.0,0,5
184,1994,1994-09-18,3,35.064,PIT,,IND,W 31-21,,0,0,,0,4,4,100.0,1,1,100.0,0,7
185,1994,1994-09-25,4,35.071,PIT,@,SEA,L 13-30,,0,0,,0,1,1,100.0,2,2,100.0,0,7
186,1994,1994-10-03,5,35.079,PIT,,HOU,W 30-14,,0,0,,0,3,3,100.0,3,3,100.0,0,12
187,1994,1994-10-16,6,35.092,PIT,,CIN,W 14-10,,0,0,,0,2,2,100.0,,,,0,2
188,1994,1994-10-23,7,35.099,PIT,@,NYG,W 10-6,,0,0,,0,1,1,100.0,1,1,100.0,0,4
189,1994,1994-10-30,8,35.106,PIT,@,ARI,L 17-20,,1,3,3.00,0,2,2,100.0,1,1,100.0,0,5
190,1994,1994-11-06,9,35.113,PIT,@,HOU,W 12-9,,0,0,,0,,,,4,4,100.0,0,12
191,1994,1994-11-14,10,35.121,PIT,,BUF,W 23-10,,0,0,,0,2,2,100.0,3,3,100.0,0,11
192,1994,1994-11-20,11,35.127,PIT,,MIA,W 16-13,,0,0,,0,1,1,100.0,3,3,100.0,0,10
193,1994,1994-11-27,12,35.134,PIT,@,RAI,W 21-3,,0,0,,0,3,3,100.0,,3,0.0,0,3
194,1994,1994-12-04,13,35.141,PIT,@,CIN,W 38-15,,0,0,,0,5,5,100.0,1,1,100.0,0,8
195,1994,1994-12-11,14,35.148,PIT,,PHI,W 14-3,,0,0,,0,2,2,100.0,,,,0,2
196,1994,1994-12-18,15,35.155,PIT,,CLE,W 17-7,,0,0,,0,2,2,100.0,1,2,50.0,0,5
197,1994,1994-12-24,16,35.161,PIT,@,SDG,L 34-37,,0,0,,0,2,2,100.0,2,2,100.0,0,8
198,1995,1995-09-03,1,36.049,PHI,,TAM,L 6-21,,0,0,,0,,,,2,2,100.0,0,6
199,1995,1995-09-10,2,36.056,PHI,@,ARI,W 31-19,,0,0,,0,4,4,100.0,1,2,50.0,0,7
200,1995,1995-09-17,3,36.063,PHI,,SDG,L 21-27,,0,0,,0,3,3,100.0,,1,0.0,0,3
201,1995,1995-09-24,4,36.070,PHI,@,OAK,L 17-48,,0,0,,0,2,2,100.0,1,2,50.0,0,5
202,1995,1995-10-01,5,36.077,PHI,@,NOR,W 15-10,,0,0,,0,,,,5,5,100.0,0,15
203,1995,1995-10-08,6,36.084,PHI,,WAS,W 37-34,,0,0,,0,4,4,100.0,3,3,100.0,0,13
204,1995,1995-10-15,7,36.091,PHI,@,NYG,W 17-14,,0,0,,0,2,2,100.0,1,2,50.0,0,5
205,1995,1995-10-29,8,36.105,PHI,,STL,W 20-9,,0,0,,0,2,2,100.0,2,2,100.0,0,8
206,1995,1995-11-06,9,36.113,PHI,@,DAL,L 12-34,,0,0,,0,,,,2,2,100.0,0,6
207,1995,1995-11-12,10,36.119,PHI,,DEN,W 31-13,,0,0,,0,4,4,100.0,1,2,50.0,0,7
208,1995,1995-11-19,11,36.126,PHI,,NYG,W 28-19,,0,0,,0,4,4,100.0,,,,0,4
209,1995,1995-11-26,12,36.133,PHI,@,WAS,W 14-7,,0,0,,0,,1,0.0,,1,0.0,0,0
210,1995,1995-12-03,13,36.140,PHI,@,SEA,L 14-26,,0,0,,0,2,2,100.0,,1,0.0,0,2
211,1995,1995-12-10,14,36.147,PHI,,DAL,W 20-17,,0,0,,0,,,,4,4,100.0,0,12
212,1995,1995-12-17,15,36.154,PHI,,ARI,W 21-20,,0,0,,0,3,3,100.0,,1,0.0,0,3
213,1995,1995-12-24,16,36.161,PHI,@,CHI,L 14-20,,0,0,,0,2,2,100.0,,,,0,2
214,1996,1996-09-01,1,37.047,PHI,@,WAS,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5
215,1996,1996-09-09,2,37.055,PHI,@,GNB,L 13-39,,0,0,,0,1,1,100.0,,,,0,1
216,1996,1996-09-15,3,37.061,PHI,,DET,W 24-17,,0,0,,0,3,3,100.0,1,2,50.0,0,6
217,1996,1996-09-22,4,37.068,PHI,@,ATL,W 33-18,,0,0,,0,3,3,100.0,4,4,100.0,0,15
218,1996,1996-09-30,5,37.076,PHI,,DAL,L 19-23,,0,0,,0,2,2,100.0,1,2,50.0,0,5
219,1996,1996-10-13,6,37.089,PHI,@,NYG,W 19-10,,0,0,,0,1,1,100.0,4,4,100.0,0,13
220,1996,1996-10-20,7,37.096,PHI,,MIA,W 35-28,,0,0,,0,5,5,100.0,,,,0,5
221,1996,1996-10-27,8,37.103,PHI,,CAR,W 20-9,,0,0,,0,2,2,100.0,2,2,100.0,0,8
222,1996,1996-11-03,9,37.110,PHI,@,DAL,W 31-21,,0,0,,0,4,4,100.0,1,1,100.0,0,7
223,1996,1996-11-10,10,37.117,PHI,,BUF,L 17-24,,0,0,,0,2,2,100.0,1,1,100.0,0,5
224,1996,1996-11-17,11,37.124,PHI,,WAS,L 21-26,,0,0,,0,3,3,100.0,,,,0,3
225,1996,1996-11-24,12,37.131,PHI,@,ARI,L 30-36,,0,0,,0,3,3,100.0,3,3,100.0,0,12
226,1996,1996-12-01,13,37.138,PHI,,NYG,W 24-0,,0,0,,0,3,3,100.0,1,2,50.0,0,6
227,1996,1996-12-05,14,37.142,PHI,@,IND,L 10-37,,0,0,,0,1,1,100.0,1,1,100.0,0,4
228,1996,1996-12-14,15,37.151,PHI,@,NYJ,W 21-20,,0,0,,0,3,3,100.0,,1,0.0,0,3
229,1996,1996-12-22,16,37.159,PHI,,ARI,W 29-19,,0,0,,0,2,2,100.0,5,5,100.0,0,17
230,1997,1997-08-31,1,38.046,SFO,@,TAM,L 6-13,,0,0,,0,,,,2,3,66.7,0,6
231,1997,1997-09-07,2,38.053,SFO,@,STL,W 15-12,,0,0,,0,1,1,100.0,,1,0.0,0,1
