ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
16,2015,2015-12-13,13,26.176,CLE,,SFO,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,0,,0,0.0%,,0,0,,0,,0,0
17,2015,2015-12-20,14,26.183,CLE,@,SEA,L 13-30,*,0,0,,0,0,0,,0,0,,,2,0,0,,0,0.0%,0.00,1,-1,-1.00,0,,0,0
18,2015,2016-01-03,16,26.197,CLE,,PIT,L 12-28,*,0,0,,0,0,0,,0,0,,,6,1,42,42.00,0,16.7%,7.00,0,0,,0,,0,0
19,2016,2016-09-11,1,27.083,CLE,@,PHI,L 10-29,*,0,0,,0,0,0,,0,0,,,7,3,68,22.67,0,42.9%,9.71,0,0,,0,,0,0
20,2016,2016-09-18,2,27.090,CLE,,BAL,L 20-25,*,0,0,,0,0,0,,0,0,,,10,3,32,10.67,0,30.0%,3.20,0,0,,0,,0,0
21,2016,2016-09-25,3,27.097,CLE,@,MIA,L 24-30,*,3,5,60.00,35,0,0,81.2,1,1,7.00,7.00,14,8,144,18.00,0,57.1%,10.29,4,21,5.25,1,,1,6
22,2016,2016-10-02,4,27.104,CLE,@,WAS,L 20-31,*,0,0,,0,0,0,,0,0,,,9,5,46,9.20,1,55.6%,5.11,1,-6,-6.00,0,,1,6
23,2016,2016-10-09,5,27.111,CLE,,NWE,L 13-33,*,1,3,33.33,5,0,0,42.4,0,0,1.67,1.67,6,5,48,9.60,0,83.3%,8.00,2,3,1.50,0,,0,0
24,2016,2016-10-16,6,27.118,CLE,@,TEN,L 26-28,*,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,13,9,75,8.33,2,69.2%,5.77,1,3,3.00,0,,2,12
25,2016,2016-10-23,7,27.125,CLE,@,CIN,L 17-31,*,0,0,,0,0,0,,0,0,,,4,2,18,9.00,0,50.0%,4.50,0,0,,0,,0,0
26,2016,2016-10-30,8,27.132,CLE,,NYJ,L 28-31,*,0,0,,0,0,0,,0,0,,,12,6,101,16.83,0,50.0%,8.42,0,0,,0,1,0,2
27,2016,2016-11-06,9,27.139,CLE,,DAL,L 10-35,*,0,0,,0,0,0,,0,0,,,7,5,47,9.40,1,71.4%,6.71,0,0,,0,,1,6
28,2016,2016-11-10,10,27.143,CLE,@,BAL,L 7-28,*,0,0,,0,0,0,,0,0,,,9,5,48,9.60,0,55.6%,5.33,0,0,,0,,0,0
29,2016,2016-11-20,11,27.153,CLE,,PIT,L 9-24,*,0,0,,0,0,0,,0,0,,,10,5,97,19.40,0,50.0%,9.70,0,0,,0,,0,0
30,2016,2016-11-27,12,27.160,CLE,,NYG,L 13-27,*,0,0,,0,0,0,,0,0,,,12,6,131,21.83,0,50.0%,10.92,0,0,,0,,0,0
31,2016,2016-12-11,13,27.174,CLE,,CIN,L 10-23,,0,0,,0,0,0,,0,0,,,3,1,3,3.00,0,33.3%,1.00,0,0,,0,,0,0
32,2016,2016-12-18,14,27.181,CLE,@,BUF,L 13-33,*,0,0,,0,0,0,,0,0,,,8,4,19,4.75,0,50.0%,2.38,0,0,,0,,0,0
33,2016,2016-12-24,15,27.187,CLE,,SDG,W 20-17,*,0,0,,0,0,0,,0,0,,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,,0,0
34,2016,2017-01-01,16,27.195,CLE,@,PIT,L 24-27,*,0,0,,0,0,0,,0,0,,,11,7,94,13.43,0,63.6%,8.55,0,0,,0,,0,0
35,2017,2017-09-10,1,28.082,WAS,,PHI,L 17-30,*,0,0,,0,0,0,,0,0,,,11,6,66,11.00,0,54.5%,6.00,0,0,,0,,0,0
36,2017,2017-09-17,2,28.089,WAS,@,LAR,W 27-20,,0,0,,0,0,0,,0,0,,,4,2,31,15.50,0,50.0%,7.75,0,0,,0,,0,0
37,2017,2017-09-24,3,28.096,WAS,,OAK,W 27-10,,0,0,,0,0,0,,0,0,,,4,2,19,9.50,0,50.0%,4.75,0,0,,0,,0,0
38,2017,2017-10-02,4,28.104,WAS,@,KAN,L 20-29,,0,0,,0,0,0,,0,0,,,5,3,70,23.33,1,60.0%,14.00,0,0,,0,,1,6
39,2017,2017-10-15,5,28.117,WAS,,SFO,W 26-24,*,0,0,,0,0,0,,0,0,,,5,3,23,7.67,0,60.0%,4.60,0,0,,0,,0,0
40,2017,2017-10-23,6,28.125,WAS,@,PHI,L 24-34,,0,0,,0,0,0,,0,0,,,4,2,14,7.00,0,50.0%,3.50,0,0,,0,,0,0
41,2017,2017-10-29,7,28.131,WAS,,DAL,L 19-33,,0,0,,0,0,0,,0,0,,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
42,2017,2017-11-05,8,28.138,WAS,@,SEA,W 17-14,,0,0,,0,0,0,,0,0,,,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0
43,2017,2017-11-12,9,28.145,WAS,,MIN,L 30-38,,0,0,,0,0,0,,0,0,,,0,0,0,,0,0.0%,,0,0,,0,,0,0
44,2018,2018-09-10,1,29.082,NYJ,@,DET,W 48-17,,0,0,,0,0,0,,0,0,,,3,3,49,16.33,0,100.0%,16.33,0,0,,0,,0,0
45,2018,2018-09-16,2,29.088,NYJ,,MIA,L 12-20,,0,0,,0,0,0,,0,0,,,8,4,84,21.00,0,50.0%,10.50,0,0,,0,,0,0
46,2018,2018-09-20,3,29.092,NYJ,@,CLE,L 17-21,,0,0,,0,0,0,,0,0,,,3,1,25,25.00,0,33.3%,8.33,0,0,,0,,0,0
