ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
13,2011,2011-12-11,13,21.153,ARI,,SFO,W 21-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,44,8.80,0,0,0,1.0,5,0,0,0,0
14,2011,2011-12-18,14,21.160,ARI,,CLE,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,33,11.00,0,0,0,0.0,2,0,0,0,0
15,2011,2011-12-24,15,21.166,ARI,@,CIN,L 16-23,*,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
16,2011,2012-01-01,16,21.174,ARI,,SEA,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,63,15.75,0,0,0,0.0,4,0,0,0,0
17,2012,2012-09-09,1,22.060,ARI,,SEA,W 20-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,37,9.25,0,0,0,0.0,2,0,0,18,0
18,2012,2012-09-16,2,22.067,ARI,@,NWE,W 20-18,*,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0.0,3,0,1,0,0
19,2012,2012-09-23,3,22.074,ARI,,PHI,W 27-6,*,0,0,0,,0,0.0%,,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,52,10.40,0,0,0,0.0,1,0,0,0,0
20,2012,2012-09-30,4,22.081,ARI,,MIA,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,18,4.50,0,0,0,0.0,5,0,0,0,0
21,2012,2012-10-04,5,22.085,ARI,@,STL,L 3-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,76,15.20,0,0,0,0.0,4,0,1,0,0
22,2012,2012-10-14,6,22.095,ARI,,BUF,L 16-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,36,12.00,0,0,0,0.0,4,0,1,15,0
23,2012,2012-10-21,7,22.102,ARI,@,MIN,L 14-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,7,1.75,0,0,0,0.0,1,1,0,0,0
24,2012,2012-10-29,8,22.110,ARI,,SFO,L 3-24,*,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,15,3.75,0,0,0,0.0,3,0,0,0,0
25,2012,2012-11-04,9,22.116,ARI,@,GNB,L 17-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,19,4.75,0,0,0,0.0,3,1,0,0,0
26,2012,2012-11-18,10,22.130,ARI,@,ATL,L 19-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,4,0,0,0,0
27,2012,2012-11-25,11,22.137,ARI,,STL,L 17-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,59,14.75,0,0,0,0.0,2,1,1,0,0
28,2012,2012-12-02,12,22.144,ARI,@,NYJ,L 6-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0,0.0,4,0,1,0,0
29,2012,2012-12-09,13,22.151,ARI,@,SEA,L 0-58,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0,0.0,1,0,1,0,0
30,2012,2012-12-16,14,22.158,ARI,,DET,W 38-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,54,10.80,0,0,0,0.0,7,0,1,31,0
31,2012,2012-12-23,15,22.165,ARI,,CHI,L 13-28,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0,0.0,6,0,0,0,0
32,2012,2012-12-30,16,22.172,ARI,@,SFO,L 13-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,6.00,0,0,0,0.0,2,0,0,0,0
33,2013,2013-09-08,1,23.059,ARI,@,STL,L 24-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0.0,2,0,0,0,0
34,2013,2013-09-15,2,23.066,ARI,,DET,W 25-21,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0,3,10,3.33,0,0,0,0.0,4,0,0,0,0
35,2013,2013-09-22,3,23.073,ARI,@,NOR,L 7-31,*,2,1,-2,-2.00,0,50.0%,-1.00,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,15,7.50,0,0,0,0.0,2,0,0,0,0
36,2013,2013-09-29,4,23.080,ARI,@,TAM,W 13-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,0.0,2,0,2,16,0
37,2013,2013-10-06,5,23.087,ARI,,CAR,W 22-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,2,20,10.00,0,0,0,0.0,1,0,1,43,0
38,2013,2013-10-13,6,23.094,ARI,@,SFO,L 20-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,6.00,0,0,0,0.0,3,0,0,0,0
39,2013,2013-10-17,7,23.098,ARI,,SEA,L 22-34,*,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
40,2013,2013-10-27,8,23.108,ARI,,ATL,W 27-13,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,-4,-2.00,0,0,0,0.0,2,0,0,0,0
41,2013,2013-11-10,9,23.122,ARI,,HOU,W 27-24,*,0,0,0,,0,0.0%,,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,74,12.33,0,0,0,0.0,4,0,0,0,0
42,2013,2013-11-17,10,23.129,ARI,@,JAX,W 27-14,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,22,5.50,0,0,0,0.0,1,0,0,0,0
43,2013,2013-11-24,11,23.136,ARI,,IND,W 40-11,*,1,1,-4,-4.00,0,100.0%,-4.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,23,7.67,0,0,0,0.0,3,0,0,0,0
44,2013,2013-12-01,12,23.143,ARI,@,PHI,L 21-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0.0,2,0,0,0,0
45,2013,2013-12-08,13,23.150,ARI,,STL,W 30-10,*,0,0,0,,0,0.0%,,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,0,0,0.0,0,0,0,0,0
46,2013,2013-12-15,14,23.157,ARI,@,TEN,W 37-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
47,2013,2013-12-22,15,23.164,ARI,@,SEA,W 17-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,0,0,0.0,2,0,0,0,0
48,2013,2013-12-29,16,23.171,ARI,,SFO,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0.0,1,1,0,0,0
49,2014,2014-09-08,1,24.059,ARI,,SDG,W 18-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
50,2014,2014-09-14,2,24.065,ARI,@,NYG,W 25-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
51,2014,2014-09-21,3,24.072,ARI,,SFO,W 23-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
52,2014,2014-10-05,4,24.086,ARI,@,DEN,L 20-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
53,2014,2014-10-12,5,24.093,ARI,,WAS,W 30-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
54,2014,2014-10-19,6,24.100,ARI,@,OAK,W 24-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
55,2014,2014-10-26,7,24.107,ARI,,PHI,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
56,2014,2014-11-02,8,24.114,ARI,@,DAL,W 28-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
57,2014,2014-11-09,9,24.121,ARI,,STL,W 31-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,6,0.0,2,0,2,30,1
58,2014,2014-11-16,10,24.128,ARI,,DET,W 14-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
59,2014,2014-11-23,11,24.135,ARI,@,SEA,L 3-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
60,2014,2014-11-30,12,24.142,ARI,@,ATL,L 18-29,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
61,2014,2014-12-07,13,24.149,ARI,,KAN,W 17-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1.0,8,0,0,0,0
62,2014,2014-12-11,14,24.153,ARI,@,STL,W 12-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,2,0,1,0,0
63,2014,2014-12-21,15,24.163,ARI,,SEA,L 6-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
64,2014,2014-12-28,16,24.170,ARI,@,SFO,L 17-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
65,2015,2015-09-13,1,25.064,ARI,,NOR,W 31-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
66,2015,2015-09-20,2,25.071,ARI,@,CHI,W 48-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0.0,3,0,1,1,0
67,2015,2015-09-27,3,25.078,ARI,,SFO,W 47-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,2,4,2.00,0,0,0,0.0,0,0,0,0,0
68,2015,2015-10-04,4,25.085,ARI,,STL,L 22-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,32,6.40,0,0,0,0.0,2,0,0,0,0
69,2015,2015-10-11,5,25.092,ARI,@,DET,W 42-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,0,0,0.0,4,0,1,40,0
70,2015,2015-10-18,6,25.099,ARI,@,PIT,L 13-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,0,0,0.0,5,0,0,0,0
71,2015,2015-10-26,7,25.107,ARI,,BAL,W 26-18,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,19,6.33,0,0,0,0.0,1,0,0,0,0
72,2015,2015-11-01,8,25.113,ARI,@,CLE,W 34-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,50,12.50,0,0,0,0.0,3,0,0,0,0
73,2015,2015-11-15,9,25.127,ARI,@,SEA,W 39-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,3,29,9.67,0,0,0,0.0,1,0,0,0,0
74,2015,2015-11-22,10,25.134,ARI,,CIN,W 34-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,23,7.67,0,0,0,0.0,2,0,0,0,0
75,2015,2015-11-29,11,25.141,ARI,@,SFO,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,0,0,0.0,0,0,0,0,0
76,2015,2015-12-06,12,25.148,ARI,@,STL,W 27-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,30,10.00,0,0,0,0.0,5,0,0,0,0
77,2015,2015-12-10,13,25.152,ARI,,MIN,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0.0,1,0,0,0,0
78,2015,2015-12-20,14,25.162,ARI,@,PHI,W 40-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0.0,1,0,0,0,0
79,2015,2015-12-27,15,25.169,ARI,,GNB,W 38-8,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,9,4.50,0,0,0,0.0,3,0,0,0,0
80,2015,2016-01-03,16,25.176,ARI,,SEA,L 6-36,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
81,2016,2016-09-11,1,26.062,ARI,,NWE,L 21-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,0,0,0.0,4,0,0,0,0
82,2016,2016-09-18,2,26.069,ARI,,TAM,W 40-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,25,0
83,2016,2016-09-25,3,26.076,ARI,@,BUF,L 18-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,4,1,1,0,0
84,2016,2016-10-02,4,26.083,ARI,,LAR,L 13-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
85,2016,2016-10-06,5,26.087,ARI,@,SFO,W 33-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
86,2016,2016-10-17,6,26.098,ARI,,NYJ,W 28-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0.0,1,0,0,0,0
87,2016,2016-10-23,7,26.104,ARI,,SEA,T 6-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,0,0,0.0,2,0,0,0,0
88,2016,2016-10-30,8,26.111,ARI,@,CAR,L 20-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0.0,3,1,0,0,0
89,2016,2016-11-13,9,26.125,ARI,,SFO,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
90,2016,2016-11-20,10,26.132,ARI,@,MIN,L 24-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
91,2016,2016-11-27,11,26.139,ARI,@,ATL,L 19-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,0.0,4,1,0,0,0
92,2016,2016-12-04,12,26.146,ARI,,WAS,W 31-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,0,0,0.0,2,1,1,2,0
93,2016,2016-12-11,13,26.153,ARI,@,MIA,L 23-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,12,4.00,0,0,0,0.0,1,0,0,0,0
94,2016,2016-12-18,14,26.160,ARI,,NOR,L 41-48,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
95,2016,2016-12-24,15,26.166,ARI,@,SEA,W 34-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0,,0,0,0,0.0,6,1,0,0,0
96,2016,2017-01-01,16,26.174,ARI,@,LAR,W 44-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,26,6.50,0,0,0,0.0,1,0,0,0,0
97,2017,2017-09-10,1,27.061,ARI,@,DET,L 23-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
98,2017,2017-09-17,2,27.068,ARI,@,IND,W 16-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
99,2017,2017-09-25,3,27.076,ARI,,DAL,L 17-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,2,0,0,0,0
100,2017,2017-10-01,4,27.082,ARI,,SFO,W 18-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0,0.0,3,1,0,0,0
101,2017,2017-10-08,5,27.089,ARI,@,PHI,L 7-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
102,2017,2017-10-15,6,27.096,ARI,,TAM,W 38-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,1,0,0,0,0
103,2017,2017-10-22,7,27.103,ARI,@,LAR,L 0-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
104,2017,2017-11-05,8,27.117,ARI,@,SFO,W 20-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0,0,0
105,2017,2017-11-09,9,27.121,ARI,,SEA,L 16-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
106,2017,2017-11-19,10,27.131,ARI,@,HOU,L 21-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,2,0,1,22,0
107,2017,2017-11-26,11,27.138,ARI,,JAX,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,31,15.50,0,0,0,0.0,3,1,0,0,0
108,2017,2017-12-03,12,27.145,ARI,,LAR,L 16-32,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,6.00,0,0,0,0.0,1,0,0,0,0
109,2017,2017-12-10,13,27.152,ARI,,TEN,W 12-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,0,0,0.0,4,0,0,0,0
110,2017,2017-12-17,14,27.159,ARI,@,WAS,L 15-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
111,2017,2017-12-24,15,27.166,ARI,,NYG,W 23-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0,0.0,1,0,0,0,0
112,2017,2017-12-31,16,27.173,ARI,@,SEA,W 26-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,0,0,0.0,4,0,0,0,0
113,2018,2018-09-09,1,28.060,ARI,,WAS,L 6-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1.0,1,0,0,0,0
114,2018,2018-09-16,2,28.067,ARI,@,LAR,L 0-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,6,2,1,0,0
115,2018,2018-09-23,3,28.074,ARI,,CHI,L 14-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,3,0,0,0,0
