ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
46,2001,2001-10-07,4,26.276,CLE,,SDG,W 20-16,,,,,,,,,,,,,
47,2001,2001-10-14,5,26.283,CLE,@,CIN,L 14-24,,,,,,,,,,,,,
48,2001,2001-10-21,6,26.290,CLE,,BAL,W 24-14,,,,,,,,,,,,,
49,2001,2001-11-04,7,26.304,CLE,@,CHI,L 21-27,,,,,,,,,,,,,
50,2001,2001-11-11,8,26.311,CLE,,PIT,L 12-15,,,,,,,,,,,,,
51,2001,2001-11-18,9,26.318,CLE,@,BAL,W 27-17,,,,,,,,,,,,,
52,2001,2001-11-25,10,26.325,CLE,,CIN,W 18-0,,,,,,,,,,,,,
53,2001,2001-12-02,11,26.332,CLE,,TEN,L 15-31,,1,1,1.00,0,0,0,,0,0.0,0,0,0
54,2001,2001-12-09,12,26.339,CLE,@,NWE,L 16-27,,,,,,,,,,,,,
55,2003,2003-12-07,13,28.337,TAM,@,NOR,W 14-7,,,,,,,,,,,,,
56,2003,2003-12-14,14,28.344,TAM,,HOU,W 16-3,,,,,,,,,,,,,
57,2003,2003-12-20,15,28.350,TAM,,ATL,L 28-30,,,,,,,,,,,,,
58,2003,2003-12-28,16,28.358,TAM,@,TEN,L 13-33,,,,,,,,,,,,,
