ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
20,1990,1990-10-28,7,24.152,NOR,,DET,L 10-27,,2,19,9.50,0,,,0,0,,0,0,0,,0,0,0
21,1990,1990-11-04,8,24.159,NOR,@,CIN,W 21-7,,0,0,,0,,,,,,,,,,,,
22,1990,1990-11-11,9,24.166,NOR,,TAM,W 35-7,,0,0,,0,,,,,,,,,,,,
23,1990,1990-11-18,10,24.173,NOR,@,WAS,L 17-31,,2,13,6.50,1,,,0,0,,0,0,0,,0,1,6
24,1990,1990-11-25,11,24.180,NOR,,ATL,W 10-7,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0
25,1990,1990-12-02,12,24.187,NOR,@,DAL,L 13-17,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0
26,1990,1990-12-09,13,24.194,NOR,@,RAM,W 24-20,,0,0,,0,,,,,,,,,,,,
27,1990,1990-12-16,14,24.201,NOR,,PIT,L 6-9,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
28,1990,1990-12-23,15,24.208,NOR,@,SFO,W 13-10,,1,19,19.00,0,,,0,0,,0,0,0,,0,0,0
29,1990,1990-12-31,16,24.216,NOR,,RAM,W 20-17,,1,26,26.00,1,,,0,0,,0,0,0,,0,1,6
30,1991,1991-09-01,1,25.095,NOR,,SEA,W 27-24,,4,37,9.25,1,,,0,0,,0,0,0,,0,1,6
31,1991,1991-09-08,2,25.102,NOR,@,KAN,W 17-10,,2,21,10.50,0,,,0,0,,0,0,0,,0,0,0
32,1991,1991-09-15,3,25.109,NOR,,RAM,W 24-7,,2,15,7.50,0,,,0,0,,0,0,0,,0,0,0
33,1991,1991-09-22,4,25.116,NOR,,MIN,W 26-0,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0
34,1991,1991-09-29,5,25.123,NOR,@,ATL,W 27-6,,4,90,22.50,2,,,0,0,,0,0,0,,0,2,12
35,1991,1991-10-13,6,25.137,NOR,@,PHI,W 13-6,,4,45,11.25,0,,,0,0,,0,0,0,,0,0,0
36,1991,1991-10-20,7,25.144,NOR,,TAM,W 23-7,,3,51,17.00,0,,,0,0,,0,0,0,,0,0,0
37,1991,1991-10-27,8,25.151,NOR,,CHI,L 17-20,,9,179,19.89,2,,,0,0,,0,0,0,,0,2,12
38,1991,1991-11-03,9,25.158,NOR,@,RAM,W 24-17,,5,71,14.20,0,,,0,0,,0,0,0,,0,0,0
39,1991,1991-11-10,10,25.165,NOR,,SFO,W 10-3,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0
40,1991,1991-11-17,11,25.172,NOR,@,SDG,L 21-24,,3,43,14.33,0,,,0,0,,0,0,0,,0,0,0
41,1991,1991-11-24,12,25.179,NOR,,ATL,L 20-23,,5,115,23.00,0,,,0,0,,0,0,0,,0,0,0
42,1991,1991-12-01,13,25.186,NOR,@,SFO,L 24-38,,10,132,13.20,2,,,0,0,,0,0,0,,0,2,12
43,1991,1991-12-08,14,25.193,NOR,@,DAL,L 14-23,,2,10,5.00,0,,,0,0,,0,0,0,,0,0,0
44,1991,1991-12-16,15,25.201,NOR,,RAI,W 27-0,,3,22,7.33,0,,,0,0,,0,0,0,,0,0,0
45,1991,1991-12-22,16,25.207,NOR,@,PHO,W 27-3,,4,47,11.75,1,,,0,0,,0,0,0,,0,1,6
46,1992,1992-09-06,1,26.100,NOR,@,PHI,L 13-15,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,0,0
47,1992,1992-09-13,2,26.107,NOR,,CHI,W 28-6,5,1,11,11.00,0,20.0%,2.20,0,0,,0,3,10,3.33,0,0,0
48,1993,1993-09-05,1,27.099,NOR,,HOU,W 33-21,1,0,0,,0,0.0%,0.00,,,,,,,,,,
49,1993,1993-10-17,6,27.141,NOR,@,PIT,L 14-37,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0
50,1993,1993-11-14,9,27.169,NOR,,GNB,L 17-19,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0
51,1993,1993-11-22,10,27.177,NOR,@,SFO,L 7-42,6,5,47,9.40,1,83.3%,7.83,0,0,,0,0,0,,0,1,6
52,1993,1993-11-28,11,27.183,NOR,@,MIN,W 17-14,2,0,0,,0,0.0%,0.00,,,,,,,,,,
53,1993,1993-12-05,12,27.190,NOR,@,CLE,L 13-17,1,0,0,,0,0.0%,0.00,,,,,,,,,,
54,1993,1993-12-12,13,27.197,NOR,,RAM,L 20-23,8,4,47,11.75,0,50.0%,5.88,0,0,,0,0,0,,0,0,0
55,1993,1993-12-20,14,27.205,NOR,,NYG,L 14-24,2,0,0,,0,0.0%,0.00,,,,,,,,,,
56,1993,1993-12-26,15,27.211,NOR,@,PHI,L 26-37,1,1,52,52.00,0,100.0%,52.00,0,0,,0,0,0,,0,0,0
57,1993,1994-01-02,16,27.218,NOR,,CIN,W 20-13,2,0,0,,0,0.0%,0.00,,,,,,,,,,
58,1994,1994-09-04,1,28.098,IND,,HOU,W 45-21,4,3,29,9.67,2,75.0%,7.25,0,0,,0,0,0,,0,2,12
59,1994,1994-09-11,2,28.105,IND,@,TAM,L 10-24,3,3,37,12.33,0,100.0%,12.33,1,-12,-12.00,0,0,0,,0,0,0
60,1994,1994-09-18,3,28.112,IND,@,PIT,L 21-31,5,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
61,1994,1994-09-25,4,28.119,IND,,CLE,L 14-21,3,2,14,7.00,0,66.7%,4.67,1,5,5.00,0,0,0,,0,0,0
62,1994,1994-10-02,5,28.126,IND,,SEA,W 17-15,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0
63,1994,1994-10-09,6,28.133,IND,@,NYJ,L 6-16,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,0,0
64,1994,1994-10-16,7,28.140,IND,@,BUF,W 27-17,7,4,45,11.25,2,57.1%,6.43,0,0,,0,0,0,,0,2,12
65,1994,1994-10-23,8,28.147,IND,,WAS,L 27-41,6,4,67,16.75,0,66.7%,11.17,0,0,,0,0,0,,0,0,0
66,1994,1994-10-30,9,28.154,IND,,NYJ,W 28-25,7,7,72,10.29,1,100.0%,10.29,0,0,,0,0,0,,0,1,6
67,1994,1994-11-06,10,28.161,IND,@,MIA,L 21-22,6,4,49,12.25,0,66.7%,8.17,0,0,,0,0,0,,0,0,0
68,1994,1994-11-20,11,28.175,IND,@,CIN,W 17-13,7,6,50,8.33,0,85.7%,7.14,0,0,,0,0,0,,0,0,0
69,1994,1994-11-27,12,28.182,IND,,NWE,L 10-12,6,3,51,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0
70,1994,1994-12-04,13,28.189,IND,@,SEA,W 31-19,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,0,,0,0,0
71,1994,1994-12-11,14,28.196,IND,@,NWE,L 13-28,8,3,61,20.33,0,37.5%,7.63,0,0,,0,0,0,,0,0,0
72,1994,1994-12-18,15,28.203,IND,,MIA,W 10-6,3,1,8,8.00,0,33.3%,2.67,1,4,4.00,0,0,0,,0,0,0
73,1994,1994-12-24,16,28.209,IND,,BUF,W 10-9,6,3,29,9.67,1,50.0%,4.83,0,0,,0,0,0,,0,1,6
74,1995,1995-09-03,1,29.097,IND,,CIN,L 21-24,7,5,44,8.80,0,71.4%,6.29,0,0,,0,0,0,,0,0,0
75,1995,1995-09-10,2,29.104,IND,@,NYJ,W 27-24,6,4,41,10.25,0,66.7%,6.83,0,0,,0,0,0,,0,0,0
76,1995,1995-09-17,3,29.111,IND,@,BUF,L 14-20,6,1,20,20.00,0,16.7%,3.33,0,0,,0,0,0,,0,0,0
77,1995,1995-10-01,4,29.125,IND,,STL,W 21-18,1,0,0,,0,0.0%,0.00,,,,,,,,,,
78,1995,1995-10-08,5,29.132,IND,@,MIA,W 27-24,7,6,82,13.67,2,85.7%,11.71,0,0,,0,0,0,,0,2,12
79,1995,1995-10-15,6,29.139,IND,,SFO,W 18-17,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0,,0,0,0
80,1995,1995-11-05,9,29.160,IND,,BUF,L 10-16,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
81,1995,1995-11-12,10,29.167,IND,@,NOR,L 14-17,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,0
82,1995,1995-11-19,11,29.174,IND,@,NWE,W 24-10,4,2,22,11.00,1,50.0%,5.50,0,0,,0,0,0,,0,1,6
83,1995,1995-11-26,12,29.181,IND,,MIA,W 36-28,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0
84,1995,1995-12-03,13,29.188,IND,@,CAR,L 10-13,8,3,36,12.00,0,37.5%,4.50,0,0,,0,0,0,,0,0,0
85,1995,1995-12-10,14,29.195,IND,@,JAX,W 41-31,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0
86,1995,1995-12-17,15,29.202,IND,,SDG,L 24-27,7,2,29,14.50,0,28.6%,4.14,0,0,,0,0,0,,0,0,0
87,1995,1995-12-23,16,29.208,IND,,NWE,W 10-7,6,3,33,11.00,1,50.0%,5.50,0,0,,0,0,0,,0,1,6
88,1996,1996-09-29,4,30.123,BAL,,NOR,W 17-10,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0
89,1996,1996-10-13,6,30.137,BAL,@,IND,L 21-26,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
90,1996,1996-10-20,7,30.144,BAL,@,DEN,L 34-45,11,7,57,8.14,1,63.6%,5.18,0,0,,0,0,0,,0,1,6
91,1996,1996-10-27,8,30.151,BAL,,STL,W 37-31,10,6,108,18.00,1,60.0%,10.80,0,0,,0,0,0,,0,1,6
92,1996,1996-11-03,9,30.158,BAL,,CIN,L 21-24,9,6,104,17.33,0,66.7%,11.56,0,0,,0,0,0,,0,0,0
93,1996,1996-11-10,10,30.165,BAL,@,JAX,L 27-30,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,
94,1996,1996-11-17,11,30.172,BAL,@,SFO,L 20-38,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0
95,1996,1996-11-24,12,30.179,BAL,,JAX,L 25-28,7,4,40,10.00,0,57.1%,5.71,1,6,6.00,0,0,0,,0,0,0
96,1996,1996-12-01,13,30.186,BAL,,PIT,W 31-17,2,2,13,6.50,0,100.0%,6.50,1,6,6.00,0,0,0,,0,0,0
97,1996,1996-12-15,15,30.200,BAL,@,CAR,L 16-27,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,0
98,1996,1996-12-22,16,30.207,BAL,,HOU,L 21-24,7,4,55,13.75,0,57.1%,7.86,0,0,,0,0,0,,0,0,0
99,1998,1998-09-06,1,32.100,BAL,,PIT,L 13-20,1,1,45,45.00,0,100.0%,45.00,0,0,,0,0,0,,0,0,0
100,1998,1998-09-13,2,32.107,BAL,@,NYJ,W 24-10,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,0,0
101,1998,1998-09-20,3,32.114,BAL,@,JAX,L 10-24,3,,,,,0.0%,,,,,,,,,,,
102,1998,1998-09-27,4,32.121,BAL,,CIN,W 31-24,,,,,,0.0%,,,,,,,,,,,
103,1998,1998-10-11,5,32.135,BAL,,TEN,L 8-12,,,,,,0.0%,,,,,,,,,,,
104,1998,1998-10-18,6,32.142,BAL,@,PIT,L 6-16,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0
105,1998,1998-10-25,7,32.149,BAL,@,GNB,L 10-28,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0
106,1998,1998-11-01,8,32.156,BAL,,JAX,L 19-45,3,3,41,13.67,1,100.0%,13.67,0,0,,0,0,0,,0,1,6
107,1998,1998-11-08,9,32.163,BAL,,OAK,W 13-10,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0
108,1998,1998-11-15,10,32.170,BAL,@,SDG,L 13-14,1,,,,,0.0%,,,,,,,,,,,
109,1998,1998-11-22,11,32.177,BAL,@,CIN,W 20-13,1,,,,,0.0%,,,,,,,,,,,
110,1998,1998-11-29,12,32.184,BAL,,IND,W 38-31,5,3,42,14.00,1,60.0%,8.40,0,0,,0,0,0,,0,1,6
111,1998,1998-12-06,13,32.191,BAL,@,TEN,L 14-16,6,4,108,27.00,2,66.7%,18.00,0,0,,0,0,0,,0,2,12
112,1998,1998-12-13,14,32.198,BAL,,MIN,L 28-38,13,10,147,14.70,1,76.9%,11.31,0,0,,0,0,0,,0,1,6
113,1998,1998-12-20,15,32.205,BAL,@,CHI,L 3-24,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,0,0
114,1998,1998-12-27,16,32.212,BAL,,DET,W 19-10,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0
