ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
42,1978,1978-12-11,15,24.356,CIN,@,RAM,W 20-19,,,,,,
43,1978,1978-12-17,16,24.362,CIN,,CLE,W 48-16,,,,,,
44,1979,1979-09-02,1,25.256,CIN,@,DEN,L 0-10,,,,,,
45,1979,1979-09-09,2,25.263,CIN,@,BUF,L 24-51,,,,,,
46,1979,1979-09-16,3,25.270,CIN,,NWE,L 14-20,,,,,,
47,1979,1979-09-23,4,25.277,CIN,,HOU,L 27-30,,,,,,
48,1979,1979-10-07,6,25.291,CIN,,KAN,L 7-10,,,,,,
49,1979,1979-10-14,7,25.298,CIN,,PIT,W 34-10,,,,,,
50,1979,1979-10-21,8,25.305,CIN,@,CLE,L 27-28,,,,,,
51,1979,1979-10-28,9,25.312,CIN,,PHI,W 37-13,,,,,,
52,1979,1979-11-04,10,25.319,CIN,@,BAL,L 28-38,,,,,,
53,1979,1979-11-11,11,25.326,CIN,,SDG,L 24-26,,,,,,
54,1979,1979-11-18,12,25.333,CIN,@,HOU,L 21-42,,,,,,
55,1979,1979-11-25,13,25.340,CIN,,STL,W 34-28,,,,,,
56,1979,1979-12-02,14,25.347,CIN,@,PIT,L 17-37,,,,,,
57,1979,1979-12-09,15,25.354,CIN,@,WAS,L 14-28,,,,,,
58,1979,1979-12-16,16,25.361,CIN,,CLE,W 16-12,,,,,,
59,1980,1980-09-07,1,26.262,CIN,,TAM,L 12-17,,,,,,
60,1980,1980-09-14,2,26.269,CIN,@,MIA,L 16-17,,,,,,
61,1980,1980-09-21,3,26.276,CIN,,PIT,W 30-28,,,,,,
62,1980,1980-09-28,4,26.283,CIN,,HOU,L 10-13,,,,,,
63,1980,1980-10-05,5,26.290,CIN,@,GNB,L 9-14,,,,,,
64,1980,1980-10-12,6,26.297,CIN,@,PIT,W 17-16,,,,,,
65,1980,1980-10-19,7,26.304,CIN,,MIN,W 14-0,,,,,,
66,1980,1980-10-26,8,26.311,CIN,@,HOU,L 3-23,,,,,,
67,1980,1980-11-02,9,26.318,CIN,,SDG,L 14-31,,,,,,
68,1980,1980-11-09,10,26.325,CIN,@,OAK,L 17-28,,,,,,
69,1980,1980-11-16,11,26.332,CIN,,BUF,L 0-14,,,,,,
70,1980,1980-11-23,12,26.339,CIN,@,CLE,L 7-31,,,,,,
71,1980,1980-11-30,13,26.346,CIN,@,KAN,W 20-6,,,,,,
72,1980,1980-12-07,14,26.353,CIN,,BAL,W 34-33,,,,,,
73,1980,1980-12-14,15,26.360,CIN,@,CHI,W 17-14,,,,,,
74,1980,1980-12-21,16,27.001,CIN,,CLE,L 24-27,,,,,,
75,1981,1981-09-06,1,27.260,CIN,,SEA,W 27-21,,,,,,
76,1981,1981-09-13,2,27.267,CIN,@,NYJ,W 31-30,,,,,,
77,1981,1981-09-20,3,27.274,CIN,,CLE,L 17-20,,,,,,
78,1981,1981-10-04,5,27.288,CIN,@,HOU,L 10-17,,,,,,
79,1981,1981-10-11,6,27.295,CIN,@,BAL,W 41-19,,,,,,
80,1981,1981-10-18,7,27.302,CIN,,PIT,W 34-7,,,,,,
81,1982,1982-09-12,1,28.266,CIN,,HOU,W 27-6,,,,,,
82,1982,1982-09-19,2,28.273,CIN,@,PIT,L 20-26,,,,,,
83,1982,1982-11-21,3,28.336,CIN,@,PHI,W 18-14,,,,,,
84,1982,1982-11-28,4,28.343,CIN,,RAI,W 31-17,,,,,,
85,1982,1982-12-05,5,28.350,CIN,@,BAL,W 20-17,,,,,,
86,1982,1982-12-12,6,28.357,CIN,,CLE,W 23-10,,,,,,
87,1982,1982-12-20,7,29.000,CIN,@,SDG,L 34-50,,,,,,
88,1982,1982-12-26,8,29.006,CIN,,SEA,W 24-10,,,,,,
89,1982,1983-01-02,9,29.013,CIN,@,HOU,W 35-27,,,,,,
90,1983,1983-10-23,8,29.307,TAM,,NOR,L 21-24,,,,,,
91,1983,1983-10-30,9,29.314,TAM,@,PIT,L 12-17,,,,,,
92,1983,1983-11-06,10,29.321,TAM,@,MIN,W 17-12,,,,,,
93,1983,1983-11-13,11,29.328,TAM,@,CLE,L 0-20,,,,,,
94,1983,1983-11-20,12,29.335,TAM,,CHI,L 0-27,,,,,,
95,1983,1983-12-18,16,29.363,TAM,@,DET,L 20-23,,,,,,
96,1984,1984-10-28,9,30.313,TAM,@,KAN,L 20-24,,,,,,
97,1984,1984-11-04,10,30.320,TAM,@,MIN,L 24-27,,,,,,
98,1984,1984-11-11,11,30.327,TAM,,NYG,W 20-17,,,,,,
99,1984,1984-11-18,12,30.334,TAM,@,SFO,L 17-24,,,,,,
100,1984,1984-11-25,13,30.341,TAM,,RAM,L 33-34,,,,,,
101,1984,1984-12-02,14,30.348,TAM,@,GNB,L 14-27,,,,,,
102,1984,1984-12-09,15,30.355,TAM,,ATL,W 23-6,,,,,,
103,1984,1984-12-16,16,30.362,TAM,,NYJ,W 41-21,,,,,,
