ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
88,1978,1978-10-01,5,28.094,CHI,,OAK,L 19-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,215,43.00,0
89,1978,1978-10-08,6,28.101,CHI,@,GNB,L 14-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,245,40.83,0
90,1978,1978-10-16,7,28.109,CHI,@,DEN,L 7-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,206,41.20,0
91,1978,1978-10-22,8,28.115,CHI,@,TAM,L 19-33,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,218,43.60,0
92,1978,1978-10-29,9,28.122,CHI,,DET,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,107,35.67,0
93,1978,1978-11-05,10,28.129,CHI,,SEA,L 29-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,173,34.60,0
94,1978,1978-11-12,11,28.136,CHI,@,MIN,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,154,38.50,0
95,1978,1978-11-19,12,28.143,CHI,,ATL,W 13-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,204,29.14,0
96,1978,1978-11-26,13,28.150,CHI,,TAM,W 14-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,244,34.86,0
97,1978,1978-12-04,14,28.158,CHI,@,SDG,L 7-40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,304,33.78,0
98,1978,1978-12-10,15,28.164,CHI,,GNB,W 14-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,297,33.00,0
99,1978,1978-12-16,16,28.170,CHI,@,WAS,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,204,34.00,0
100,1979,1979-09-02,1,29.065,CHI,,GNB,W 6-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,164,41.00,0
101,1979,1979-09-09,2,29.072,CHI,,MIN,W 26-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,213,35.50,0
102,1979,1979-09-16,3,29.079,CHI,@,DAL,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,283,40.43,0
103,1979,1979-09-23,4,29.086,CHI,@,MIA,L 16-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,70,35.00,0
104,1979,1979-09-30,5,29.093,CHI,,TAM,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,278,39.71,0
105,1979,1979-10-07,6,29.100,CHI,@,BUF,W 7-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,310,38.75,0
106,1979,1979-10-14,7,29.107,CHI,,NWE,L 7-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,268,38.29,0
107,1979,1979-10-21,8,29.114,CHI,@,MIN,L 27-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,254,42.33,0
108,1979,1979-10-28,9,29.121,CHI,@,SFO,W 28-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,75,37.50,0
109,1979,1979-11-04,10,29.128,CHI,,DET,W 35-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,228,38.00,0
110,1979,1979-11-11,11,29.135,CHI,,RAM,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,256,36.57,1
111,1979,1979-11-18,12,29.142,CHI,,NYJ,W 23-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,167,41.75,0
112,1979,1979-11-22,13,29.146,CHI,@,DET,L 0-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,258,36.86,0
113,1979,1979-12-02,14,29.156,CHI,@,TAM,W 14-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,10,355,35.50,0
114,1979,1979-12-09,15,29.163,CHI,@,GNB,W 15-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,163,32.60,0
115,1979,1979-12-16,16,29.170,CHI,,STL,W 42-6,0,0,,0,0,0,,0,1,2,50.00,22,0,0,89.6,0,0,11.00,11.00,0,0,,0,0,0,4,144,36.00,0
116,1980,1980-09-07,1,30.070,CHI,@,GNB,L 6-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,178,35.60,0
117,1980,1980-09-14,2,30.077,CHI,,NOR,W 22-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,215,35.83,0
118,1980,1980-09-21,3,30.084,CHI,,MIN,L 14-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,362,40.22,0
119,1980,1980-09-28,4,30.091,CHI,@,PIT,L 3-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,154,38.50,0
120,1980,1980-10-06,5,30.099,CHI,,TAM,W 23-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,274,45.67,0
121,1980,1980-10-12,6,30.105,CHI,@,MIN,L 7-13,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,209,41.80,0
122,1980,1980-10-19,7,30.112,CHI,,DET,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,153,38.25,0
123,1980,1980-10-26,8,30.119,CHI,@,PHI,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,134,44.67,0
124,1980,1980-11-03,9,30.127,CHI,@,CLE,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,201,40.20,0
125,1980,1980-11-09,10,30.133,CHI,,WAS,W 35-21,0,0,,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,178,44.50,0
126,1980,1980-11-16,11,30.140,CHI,,HOU,L 6-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,48,48.00,0
127,1980,1980-11-23,12,30.147,CHI,@,ATL,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,305,43.57,0
128,1980,1980-11-27,13,30.151,CHI,@,DET,W 23-17,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,6,264,44.00,0
129,1980,1980-12-07,14,30.161,CHI,,GNB,W 61-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,66,33.00,0
130,1980,1980-12-14,15,30.168,CHI,,CIN,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,139,34.75,0
131,1980,1980-12-20,16,30.174,CHI,@,TAM,W 14-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,327,40.88,0
132,1981,1981-09-06,1,31.069,CHI,,GNB,L 9-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,6,264,44.00,0
133,1981,1981-09-13,2,31.076,CHI,@,SFO,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,6,249,41.50,0
134,1981,1981-09-20,3,31.083,CHI,,TAM,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,7,300,42.86,0
135,1981,1981-09-28,4,31.091,CHI,,RAM,L 7-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,9,355,39.44,0
136,1981,1981-10-04,5,31.097,CHI,@,MIN,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,8,318,39.75,0
137,1981,1981-10-11,6,31.104,CHI,,WAS,L 7-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,10,402,40.20,0
138,1981,1981-10-19,7,31.112,CHI,@,DET,L 17-48,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,3,141,47.00,0
139,1981,1981-10-25,8,31.118,CHI,,SDG,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,7,288,41.14,0
140,1981,1981-11-01,9,31.125,CHI,@,TAM,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,5,184,36.80,0
141,1981,1981-11-08,10,31.132,CHI,@,KAN,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,9,333,37.00,0
142,1981,1981-11-15,11,31.139,CHI,@,GNB,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,7,278,39.71,0
143,1981,1981-11-22,12,31.146,CHI,,DET,L 7-23,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,11,418,38.00,0
144,1981,1981-11-26,13,31.150,CHI,@,DAL,L 9-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,7,264,37.71,0
145,1981,1981-12-06,14,31.160,CHI,,MIN,W 10-9,0,0,,0,1,-6,-6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,6,238,39.67,0
146,1981,1981-12-13,15,31.167,CHI,@,OAK,W 23-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,7,289,41.29,0
147,1981,1981-12-20,16,31.174,CHI,,DEN,W 35-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,6,210,35.00,0
148,1982,1982-09-12,1,32.075,CHI,@,DET,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,7,296,42.29,0
149,1982,1982-09-19,2,32.082,CHI,,NOR,L 0-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,9,352,39.11,0
150,1982,1982-11-21,3,32.145,CHI,,DET,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,3,103,34.33,0
151,1982,1982-11-28,4,32.152,CHI,@,MIN,L 7-35,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,8,328,41.00,0
152,1982,1982-12-05,5,32.159,CHI,,NWE,W 26-13,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,6,288,48.00,0
153,1982,1982-12-12,6,32.166,CHI,@,SEA,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,7,293,41.86,0
154,1982,1982-12-19,7,32.173,CHI,,STL,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,7,284,40.57,0
155,1982,1982-12-26,8,32.180,CHI,@,RAM,W 34-26,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,4,153,38.25,0
156,1982,1983-01-02,9,32.187,CHI,@,TAM,L 23-26,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,7,297,42.43,0
157,1983,1983-09-04,1,33.067,CHI,,ATL,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,5,184,36.80,0
158,1983,1983-09-11,2,33.074,CHI,,TAM,W 17-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,6,240,40.00,0
159,1983,1983-09-18,3,33.081,CHI,@,NOR,L 31-34,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,8,316,39.50,0
160,1983,1983-09-25,4,33.088,CHI,@,BAL,L 19-22,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,7,286,40.86,0
