ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
11,1993,1993-11-28,11,22.149,NWE,,NYJ,L 0-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,15,7.50,0,0,0,0,0,0
12,1993,1993-12-05,12,22.156,NWE,@,PIT,L 14-17,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
13,1994,1994-10-30,8,23.120,NWE,,MIA,L 3-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,29,14.50,0,0,0,0,0,0
14,1994,1994-11-06,9,23.127,NWE,@,CLE,L 6-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,14,14.00,0,3,8,2.67,0,0,0,0,0,0
15,1994,1994-11-13,10,23.134,NWE,,MIN,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,24,8.00,0,0,0,0,0,0
16,1994,1994-11-20,11,23.141,NWE,,SDG,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,10,5.00,0,0,0,0,0,0
17,1994,1994-11-27,12,23.148,NWE,@,IND,W 12-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,19,6.33,0,0,0,0,0,0
18,1994,1994-12-04,13,23.155,NWE,,NYJ,W 24-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,36,7.20,0,0,0,0,0,0
19,1994,1994-12-11,14,23.162,NWE,,IND,W 28-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,62,15.50,0,0,0,0,0,0
20,1994,1994-12-18,15,23.169,NWE,@,BUF,W 41-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,14,7.00,0,0,0,0,0,0
21,1994,1994-12-24,16,23.175,NWE,@,CHI,W 13-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
22,1995,1995-09-03,1,24.063,NWE,,CLE,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,39,13.00,0,0,0,,0,0,0,0,0,0
23,1995,1995-09-10,2,24.070,NWE,,MIA,L 3-20,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,
24,1995,1995-09-17,3,24.077,NWE,@,SFO,L 3-28,,5,5,72,14.40,0,100.0%,14.40,0,0,,0,0,0,,0,0,0,,,,,,2,61,30.50,0,0,0,,0,0,0,0,0,0
25,1995,1995-10-01,4,24.091,NWE,@,ATL,L 17-30,,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
26,1995,1995-10-08,5,24.098,NWE,,DEN,L 3-37,,7,3,25,8.33,0,42.9%,3.57,0,0,,0,0,0,,0,0,0,,,,,,3,65,21.67,0,0,0,,0,0,0,0,0,0
27,1995,1995-10-15,6,24.105,NWE,@,KAN,L 26-31,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,4,107,26.75,0,0,0,,0,0,0,0,0,0
28,1995,1995-10-23,7,24.113,NWE,,BUF,W 27-14,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,2,41,20.50,0,0,0,,0,0,0,0,0,0
29,1995,1995-10-29,8,24.119,NWE,,CAR,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,2,2.00,0,0,0,,0,0,0,0,0,0
30,1995,1995-11-05,9,24.126,NWE,@,NYJ,W 20-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,31,31.00,0,0,0,,0,0,0,0,0,0
31,1995,1995-11-12,10,24.133,NWE,@,MIA,W 34-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,24,24.00,0,0,0,,0,0,0,0,0,0
32,1995,1995-11-19,11,24.140,NWE,,IND,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,33,16.50,0,0,0,,0,0,0,0,0,0
33,1995,1995-11-26,12,24.147,NWE,@,BUF,W 35-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,76,19.00,0,0,0,,0,0,0,0,0,0
34,1995,1995-12-03,13,24.154,NWE,,NOR,L 17-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,50,25.00,0,0,0,,0,0,0,0,0,0
35,1995,1995-12-10,14,24.161,NWE,,NYJ,W 31-28,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,
36,1995,1995-12-16,15,24.167,NWE,@,PIT,L 27-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,83,20.75,0,0,0,,0,0,0,0,0,0
37,1995,1995-12-23,16,24.174,NWE,@,IND,L 7-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,60,30.00,0,0,0,,0,0,0,0,0,0
38,1996,1996-09-01,1,25.061,NWE,@,MIA,L 10-24,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0,0,0,0
39,1996,1996-09-08,2,25.068,NWE,@,BUF,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,0,0,0,0,0
40,1996,1996-09-15,3,25.075,NWE,,ARI,W 31-0,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,
41,1996,1996-09-22,4,25.082,NWE,,JAX,W 28-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,80,20.00,0,0,0,,0,0,0,0,0,0
42,1996,1996-10-06,5,25.096,NWE,@,BAL,W 46-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,105,26.25,0,0,0,,0,0,0,0,0,0
43,1996,1996-10-13,6,25.103,NWE,,WAS,L 22-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,2,41,20.50,0,0,0,,0,0,0,0,0,0
44,1996,1996-10-20,7,25.110,NWE,@,IND,W 27-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,53,26.50,0,0,0,,0,0,0,0,0,0
45,1996,1996-10-27,8,25.117,NWE,,BUF,W 28-25,,3,3,43,14.33,0,100.0%,14.33,0,0,,0,0,0,,0,0,0,,,,,,3,56,18.67,0,0,0,,0,0,0,0,0,0
46,1996,1996-11-03,9,25.124,NWE,,MIA,W 42-23,,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
47,1996,1996-11-10,10,25.131,NWE,@,NYJ,W 31-27,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,1,28,28.00,0,0,0,,0,0,0,0,0,0
48,1996,1996-11-17,11,25.138,NWE,,DEN,L 8-34,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,,,,,4,83,20.75,0,0,0,,0,0,0,0,0,0
49,1996,1996-11-24,12,25.145,NWE,,IND,W 27-13,,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,,,,,2,56,28.00,0,0,0,,0,0,0,0,0,0
50,1996,1996-12-01,13,25.152,NWE,@,SDG,W 45-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0,,0,0,0,0,0,0
51,1996,1996-12-08,14,25.159,NWE,,NYJ,W 34-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0,,0,0,0,0,0,0
52,1996,1996-12-15,15,25.166,NWE,@,DAL,L 6-12,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
53,1996,1996-12-21,16,25.172,NWE,@,NYG,W 23-22,,7,7,75,10.71,0,100.0%,10.71,0,0,,0,0,0,,0,0,0,,,,,,2,42,21.00,0,0,0,,0,0,0,0,0,0
54,1997,1997-08-31,1,26.060,NWE,,SDG,W 41-7,,9,4,24,6.00,0,44.4%,2.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
55,1997,1997-09-07,2,26.067,NWE,@,IND,W 31-6,,5,3,35,11.67,1,60.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
56,1997,1997-09-14,3,26.074,NWE,,NYJ,W 27-24,,4,1,-6,-6.00,0,25.0%,-1.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
57,1997,1997-09-21,4,26.081,NWE,,CHI,W 31-3,,7,6,124,20.67,1,85.7%,17.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
58,1997,1997-10-06,5,26.096,NWE,@,DEN,L 13-34,,3,1,10,10.00,0,33.3%,3.33,1,-18,-18.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
59,1997,1997-10-12,6,26.102,NWE,,BUF,W 33-6,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,
60,1997,1997-10-19,7,26.109,NWE,@,NYJ,L 19-24,,5,5,125,25.00,1,100.0%,25.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
61,1997,1997-10-27,8,26.117,NWE,,GNB,L 10-28,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,
62,1997,1997-11-02,9,26.123,NWE,@,MIN,L 18-23,,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
63,1997,1997-11-09,10,26.130,NWE,@,BUF,W 31-10,,2,2,61,30.50,0,100.0%,30.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
64,1997,1997-11-16,11,26.137,NWE,@,TAM,L 7-27,,9,5,58,11.60,0,55.6%,6.44,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
65,1997,1997-11-23,12,26.144,NWE,,MIA,W 27-24,,6,3,46,15.33,1,50.0%,7.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
66,1997,1997-11-30,13,26.151,NWE,,IND,W 20-17,,4,3,35,11.67,1,75.0%,8.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
67,1997,1997-12-07,14,26.158,NWE,@,JAX,W 26-20,,6,3,26,8.67,1,50.0%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
68,1997,1997-12-13,15,26.164,NWE,,PIT,L 21-24,,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
69,1997,1997-12-22,16,26.173,NWE,@,MIA,W 14-12,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,
70,1998,1998-09-07,1,27.067,NWE,@,DEN,L 21-27,,6,5,97,19.40,1,83.3%,16.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,1,6,0,0,0
71,1998,1998-09-13,2,27.073,NWE,,IND,W 29-6,,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,38,38.00,0,0,0,0,0,0
72,1998,1998-09-20,3,27.080,NWE,,TEN,W 27-16,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0,0,0
73,1998,1998-10-04,4,27.094,NWE,@,NOR,W 30-27,,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,104,20.80,0,0,0,0,0,0
74,1998,1998-10-11,5,27.101,NWE,,KAN,W 40-10,,3,3,55,18.33,0,100.0%,18.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,31,10.33,0,0,0,0,0,0
75,1998,1998-10-19,6,27.109,NWE,,NYJ,L 14-24,,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0,0,0
76,1998,1998-12-06,13,27.157,NWE,@,PIT,W 23-9,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1998,1998-12-13,14,27.164,NWE,@,STL,L 18-32,,8,2,42,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
78,1998,1998-12-20,15,27.171,NWE,,SFO,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,0,0,0,0,0
79,1998,1998-12-27,16,27.178,NWE,@,NYJ,L 10-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,18,9.00,0,0,0,0,0,0
80,1999,1999-09-12,1,28.072,NWE,@,NYJ,W 30-28,,5,2,33,16.50,0,40.0%,6.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,33,16.50,0,0,0,0,0,0
81,1999,1999-09-19,2,28.079,NWE,,IND,W 31-28,,4,2,37,18.50,0,50.0%,9.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,5,2.50,0,0,0,0,0,0
82,1999,1999-09-26,3,28.086,NWE,,NYG,W 16-14,,4,4,50,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,18,9.00,0,0,0,0,0,0
83,1999,1999-10-03,4,28.093,NWE,@,CLE,W 19-7,,4,4,59,14.75,0,100.0%,14.75,0,0,,0,0,0,,0,0,0,,0,,,,1,16,16.00,0,6,35,5.83,0,0,0,0,0,0
84,1999,1999-10-10,5,28.100,NWE,@,KAN,L 14-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,1,28,28.00,0,0,0,,0,0,0,0,0,0
85,1999,1999-11-15,9,28.136,NWE,,NYJ,L 17-24,,4,2,41,20.50,1,50.0%,10.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,17,5.67,0,1,6,0,0,0
86,1999,1999-11-21,10,28.142,NWE,@,MIA,L 17-27,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,16,5.33,0,0,0,0,0,0
87,1999,1999-11-28,11,28.149,NWE,@,BUF,L 7-17,,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,34,11.33,0,0,0,0,0,0
88,1999,1999-12-05,12,28.156,NWE,,DAL,W 13-6,,4,4,40,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,32,10.67,0,0,0,0,0,0
89,1999,1999-12-12,13,28.163,NWE,@,IND,L 15-20,,5,3,53,17.67,0,60.0%,10.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,69,17.25,0,0,0,0,0,0
90,1999,1999-12-19,14,28.170,NWE,@,PHI,L 9-24,,10,5,105,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,45,11.25,0,0,0,0,0,0
91,1999,1999-12-26,15,28.177,NWE,,BUF,L 10-13,,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,0,0,,0,,,,4,124,31.00,0,2,31,15.50,0,0,0,0,0,0
92,1999,2000-01-02,16,28.184,NWE,,BAL,W 20-3,*,5,5,19,3.80,0,100.0%,3.80,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,103,51.50,0,4,70,17.50,0,0,0,0,0,0
93,2000,2000-09-03,1,29.063,NWE,,TAM,L 16-21,*,7,7,70,10.00,0,100.0%,10.00,2,33,16.50,0,0,0,,0,0,0,,,,,,0,0,,0,4,118,29.50,1,1,6,0,0,0
94,2000,2000-09-11,2,29.071,NWE,@,NYJ,L 19-20,*,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,93,23.25,0,0,0,0,0,0
95,2000,2000-09-17,3,29.077,NWE,,MIN,L 13-21,*,9,7,62,8.86,0,77.8%,6.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,13,13.00,0,0,0,0,0,0
96,2000,2000-09-24,4,29.084,NWE,@,MIA,L 3-10,,9,4,38,9.50,0,44.4%,4.22,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,25,8.33,0,0,0,0,0,0
97,2000,2000-10-01,5,29.091,NWE,@,DEN,W 28-19,,7,5,108,21.60,2,71.4%,15.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,22,7.33,0,2,12,0,0,0
98,2000,2000-10-08,6,29.098,NWE,,IND,W 24-16,*,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,15,15.00,0,0,0,0,0,0
99,2000,2000-10-15,7,29.105,NWE,,NYJ,L 17-34,*,8,5,73,14.60,0,62.5%,9.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,35,11.67,0,0,0,0,0,0
100,2000,2000-10-22,8,29.112,NWE,@,IND,L 23-30,,9,6,78,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
101,2000,2000-11-05,9,29.126,NWE,,BUF,L 13-16,*,7,3,49,16.33,0,42.9%,7.00,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,5,64,12.80,0,0,0,0,0,0
102,2000,2000-11-12,10,29.133,NWE,@,CLE,L 11-19,*,5,2,10,5.00,0,40.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,6.00,0,3,51,17.00,0,0,0,0,0,0
103,2000,2000-11-19,11,29.140,NWE,,CIN,W 16-13,*,12,8,110,13.75,0,66.7%,9.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,0,0,0,0,0
104,2000,2000-11-23,12,29.144,NWE,@,DET,L 9-34,*,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
105,2000,2000-12-04,13,29.155,NWE,,KAN,W 30-24,,13,12,119,9.92,1,92.3%,9.15,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
106,2000,2000-12-10,14,29.161,NWE,@,CHI,L 17-24,*,7,5,46,9.20,1,71.4%,6.57,0,0,,0,0,0,,0,0,0,,,,,,1,9,9.00,0,3,14,4.67,0,1,6,0,0,0
107,2000,2000-12-17,15,29.168,NWE,@,BUF,W 13-10,*,3,2,15,7.50,0,66.7%,5.00,2,23,11.50,0,0,0,,0,0,0,,,,,,0,0,,0,5,33,6.60,0,0,0,0,0,0
108,2000,2000-12-24,16,29.175,NWE,,MIA,L 24-27,,11,8,102,12.75,0,72.7%,9.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,10,5.00,0,0,0,0,0,0
109,2001,2001-09-09,1,30.069,NWE,@,CIN,L 17-23,,7,7,106,15.14,1,100.0%,15.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
110,2001,2001-09-23,2,30.083,NWE,,NYJ,L 3-10,*,8,5,82,16.40,0,62.5%,10.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,44,11.00,0,0,0,0,0,0
111,2001,2001-09-30,3,30.090,NWE,,IND,W 44-13,*,4,3,21,7.00,0,75.0%,5.25,2,11,5.50,0,0,0,,0,0,0,,,,,,1,13,13.00,0,2,22,11.00,0,0,0,0,0,0
112,2001,2001-10-07,4,30.097,NWE,@,MIA,L 10-30,*,11,5,47,9.40,0,45.5%,4.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,0,0,0,0,0
113,2001,2001-10-14,5,30.104,NWE,,SDG,W 29-26,*,15,11,117,10.64,0,73.3%,7.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,40,40.00,0,0,0,0,0,0
114,2001,2001-10-21,6,30.111,NWE,@,IND,W 38-17,,10,8,120,15.00,1,80.0%,12.00,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,1,6,0,0,0
115,2001,2001-10-28,7,30.118,NWE,@,DEN,L 20-31,*,15,9,86,9.56,1,60.0%,5.73,1,31,31.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,1,6,0,0,0
116,2001,2001-11-04,8,30.125,NWE,@,ATL,W 24-10,*,6,5,99,19.80,1,83.3%,16.50,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,10,5.00,0,1,6,0,0,0
117,2001,2001-11-11,9,30.132,NWE,,BUF,W 21-11,,4,2,25,12.50,0,50.0%,6.25,1,17,17.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,29,29.00,0,0,0,0,0,0
118,2001,2001-11-18,10,30.139,NWE,,STL,L 17-24,*,10,8,91,11.38,0,80.0%,9.10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,7,7.00,0,0,0,0,0,0
119,2001,2001-11-25,11,30.146,NWE,,NOR,W 34-17,*,8,7,91,13.00,1,87.5%,11.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
120,2001,2001-12-02,12,30.153,NWE,@,NYJ,W 17-16,*,8,8,59,7.38,0,100.0%,7.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,0,0,0,0,0
121,2001,2001-12-09,13,30.160,NWE,,CLE,W 27-16,*,8,7,89,12.71,0,87.5%,11.13,1,-2,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,4,125,31.25,1,1,6,0,0,0
122,2001,2001-12-16,14,30.167,NWE,@,BUF,W 12-9,*,8,5,62,12.40,0,62.5%,7.75,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,4,33,8.25,0,0,0,0,0,0
123,2001,2001-12-22,15,30.173,NWE,,MIA,W 20-13,*,8,5,59,11.80,0,62.5%,7.38,2,7,3.50,0,0,0,,0,0,0,,,,,,0,0,,0,2,17,8.50,0,0,0,0,0,0
124,2001,2002-01-06,16,30.188,NWE,@,CAR,W 38-6,*,12,6,45,7.50,0,50.0%,3.75,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,70,35.00,1,1,6,0,0,0
125,2002,2002-09-09,1,31.069,NWE,,PIT,W 30-14,*,7,6,22,3.67,0,85.7%,3.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,10,10.00,0,0,0,0,0,0
126,2002,2002-09-15,2,31.075,NWE,@,NYJ,W 44-7,*,11,9,94,10.44,0,81.8%,8.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,29,9.67,0,0,0,0,0,0
127,2002,2002-09-22,3,31.082,NWE,,KAN,W 41-38,,21,16,176,11.00,1,76.2%,8.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,18,9.00,0,1,6,0,0,0
128,2002,2002-10-13,6,31.103,NWE,,GNB,L 10-28,*,7,5,37,7.40,0,71.4%,5.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
129,2002,2002-10-27,7,31.117,NWE,,DEN,L 16-24,*,9,7,59,8.43,0,77.8%,6.56,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
130,2002,2002-11-03,8,31.124,NWE,@,BUF,W 38-7,*,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
