ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
90,1964,1964-09-13,1,30.220,CHI,@,GNB,L 12-23,3,-3,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
91,1964,1964-09-20,2,30.227,CHI,@,MIN,W 34-28,4,12,3.00,1,1,29,29.00,0,1,0,0.00,0,1,6,0,0,,0
92,1964,1964-09-27,3,30.234,CHI,@,BAL,L 0-52,2,3,1.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
93,1964,1964-10-11,5,30.248,CHI,,RAM,W 38-17,2,1,0.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
94,1964,1964-10-18,6,30.255,CHI,,DET,L 0-10,1,4,4.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
95,1964,1964-10-25,7,30.262,CHI,@,WAS,L 20-27,3,-5,-1.67,0,3,2,0.67,1,0,0,,0,1,6,0,0,,0
96,1964,1964-11-01,8,30.269,CHI,,DAL,L 10-24,3,0,0.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
97,1964,1964-11-08,9,30.276,CHI,,BAL,L 24-40,2,3,1.50,0,3,38,12.67,0,0,0,,0,0,0,0,0,,0
98,1964,1964-11-15,10,30.283,CHI,@,RAM,W 34-24,8,22,2.75,0,4,64,16.00,1,0,0,,0,1,6,0,0,,0
99,1964,1964-11-26,12,30.294,CHI,@,DET,W 27-24,8,30,3.75,0,5,53,10.60,1,0,0,,0,1,6,0,0,,0
100,1964,1964-12-05,13,30.303,CHI,,GNB,L 3-17,6,16,2.67,0,4,-5,-1.25,0,1,12,12.00,0,0,0,0,0,,0
101,1964,1964-12-13,14,30.311,CHI,,MIN,L 14-41,4,15,3.75,0,0,0,,0,0,0,,0,0,0,0,0,,0
102,1965,1965-09-19,1,31.225,CHI,@,SFO,L 24-52,2,4,2.00,0,2,6,3.00,0,0,0,,0,0,0,0,0,,0
103,1965,1965-09-25,2,31.231,CHI,@,RAM,L 28-30,4,4,1.00,0,1,8,8.00,0,0,0,,0,0,0,0,0,,0
104,1965,1965-10-03,3,31.239,CHI,@,GNB,L 14-23,3,18,6.00,0,1,29,29.00,0,0,0,,0,0,0,0,0,,0
105,1965,1965-10-10,4,31.246,CHI,,RAM,W 31-6,3,3,1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
106,1965,1965-11-28,11,31.295,CHI,@,NYG,W 35-14,7,18,2.57,0,0,0,,0,0,0,,0,0,0,0,0,,0
107,1966,1966-09-11,1,32.217,CHI,@,DET,L 3-14,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
108,1966,1966-10-02,3,32.238,CHI,@,MIN,W 13-10,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
109,1966,1966-10-16,5,32.252,CHI,,GNB,L 0-17,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
