ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
25,2013,2013-11-03,9,23.268,STL,,TEN,L 21-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,242,48.40,0
26,2013,2013-11-10,10,23.275,STL,@,IND,W 38-8,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,1,0,5,242,48.40,0
27,2013,2013-11-24,11,23.289,STL,,CHI,W 42-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,97,48.50,0
28,2013,2013-12-01,12,23.296,STL,@,SFO,L 13-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,244,48.80,0
29,2013,2013-12-08,13,23.303,STL,@,ARI,L 10-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,257,51.40,0
30,2013,2013-12-15,14,23.310,STL,,NOR,W 27-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,167,41.75,0
31,2013,2013-12-22,15,23.317,STL,,TAM,W 23-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,88,44.00,0
32,2013,2013-12-29,16,23.324,STL,@,SEA,L 9-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,337,48.14,0
33,2014,2014-09-07,1,24.211,STL,,MIN,L 6-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,279,46.50,0
34,2014,2014-09-14,2,24.218,STL,@,TAM,W 19-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,98,49.00,0
35,2014,2014-09-21,3,24.225,STL,,DAL,L 31-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,1,24,24.00,0
36,2014,2014-10-05,4,24.239,STL,@,PHI,L 28-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,166,41.50,1
37,2014,2014-10-13,5,24.247,STL,,SFO,L 17-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,351,43.88,0
38,2014,2014-10-19,6,24.253,STL,,SEA,W 28-26,,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,0,,0,,,,,,,0,0,0.0,0,0,3,153,51.00,0
39,2014,2014-10-26,7,24.260,STL,@,KAN,L 7-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,324,54.00,0
40,2014,2014-11-02,8,24.267,STL,@,SFO,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,281,46.83,0
41,2014,2014-11-09,9,24.274,STL,@,ARI,L 14-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,305,43.57,0
42,2014,2014-11-16,10,24.281,STL,,DEN,W 22-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,260,43.33,0
43,2014,2014-11-23,11,24.288,STL,@,SDG,L 24-27,,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,178,44.50,0
44,2014,2014-11-30,12,24.295,STL,,OAK,W 52-0,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,275,45.83,0
45,2014,2014-12-07,13,24.302,STL,@,WAS,W 24-0,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,174,43.50,0
46,2014,2014-12-11,14,24.306,STL,,ARI,L 6-12,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,404,50.50,0
47,2014,2014-12-21,15,24.316,STL,,NYG,L 27-37,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,202,50.50,0
48,2014,2014-12-28,16,24.323,STL,@,SEA,L 6-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,247,49.40,0
49,2015,2015-09-13,1,25.217,STL,,SEA,W 34-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,142,47.33,0
50,2015,2015-09-20,2,25.224,STL,@,WAS,L 10-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,381,47.63,0
51,2015,2015-09-27,3,25.231,STL,,PIT,L 6-12,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,170,42.50,0
52,2015,2015-10-04,4,25.238,STL,@,ARI,W 24-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,348,49.71,0
53,2015,2015-10-11,5,25.245,STL,@,GNB,L 10-24,,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,181,45.25,0
54,2015,2015-10-25,6,25.259,STL,,CLE,W 24-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,244,48.80,0
55,2015,2015-11-01,7,25.266,STL,,SFO,W 27-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,436,54.50,0
56,2015,2015-11-08,8,25.273,STL,@,MIN,L 18-21,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,372,46.50,0
57,2015,2015-11-15,9,25.280,STL,,CHI,L 13-37,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,6,296,49.33,0
58,2015,2015-11-22,10,25.287,STL,@,BAL,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,367,45.88,0
59,2015,2015-11-29,11,25.294,STL,@,CIN,L 7-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,225,45.00,0
60,2015,2015-12-06,12,25.301,STL,,ARI,L 3-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,436,54.50,0
61,2015,2015-12-13,13,25.308,STL,,DET,W 21-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,284,47.33,0
62,2015,2015-12-17,14,25.312,STL,,TAM,W 31-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,220,44.00,0
63,2015,2015-12-27,15,25.322,STL,@,SEA,W 23-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,240,40.00,0
64,2015,2016-01-03,16,25.329,STL,@,SFO,L 16-19,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,5,259,51.80,0
65,2016,2016-09-12,1,26.217,LAR,@,SFO,L 0-28,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,10,431,43.10,0
66,2016,2016-09-18,2,26.223,LAR,,SEA,W 9-3,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,237,39.50,0
67,2016,2016-09-25,3,26.230,LAR,@,TAM,W 37-32,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,256,51.20,0
68,2016,2016-10-02,4,26.237,LAR,@,ARI,W 17-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,277,46.17,0
69,2016,2016-10-09,5,26.244,LAR,,BUF,L 19-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,109,54.50,0
70,2016,2016-10-16,6,26.251,LAR,@,DET,L 28-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,94,47.00,0
71,2016,2016-10-23,7,26.258,LAR,,NYG,L 10-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,322,46.00,0
72,2016,2016-11-06,8,26.272,LAR,,CAR,L 10-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,243,48.60,0
73,2016,2016-11-13,9,26.279,LAR,@,NYJ,W 9-6,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,362,51.71,0
74,2016,2016-11-20,10,26.286,LAR,,MIA,L 10-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,364,45.50,0
75,2016,2016-11-27,11,26.293,LAR,@,NOR,L 21-49,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,294,49.00,0
76,2016,2016-12-04,12,26.300,LAR,@,NWE,L 10-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,430,53.75,0
77,2016,2016-12-11,13,26.307,LAR,,ATL,L 14-42,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,340,48.57,0
78,2016,2016-12-15,14,26.311,LAR,@,SEA,L 3-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,216,54.00,0
79,2016,2016-12-24,15,26.320,LAR,,SFO,L 21-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,8,368,46.00,0
80,2016,2017-01-01,16,26.328,LAR,,ARI,L 6-44,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,,0,,,,,,,0,0,0.0,0,0,7,337,48.14,0
81,2017,2017-09-10,1,27.214,LAR,,IND,W 46-9,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,218,43.60,0
82,2017,2017-09-17,2,27.221,LAR,,WAS,L 20-27,,1,1,100.00,28,0,0,118.7,0,0,28.00,28.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,182,45.50,0
83,2017,2017-09-21,3,27.225,LAR,@,SFO,W 41-39,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,113,56.50,0
84,2017,2017-10-01,4,27.235,LAR,@,DAL,W 35-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,108,54.00,0
85,2017,2017-10-08,5,27.242,LAR,,SEA,L 10-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,136,45.33,0
86,2017,2017-10-15,6,27.249,LAR,@,JAX,W 27-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,322,46.00,0
87,2017,2017-10-22,7,27.256,LAR,,ARI,W 33-0,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,119,59.50,0
88,2017,2017-11-05,8,27.270,LAR,@,NYG,W 51-17,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,75,37.50,0
89,2017,2017-11-12,9,27.277,LAR,,HOU,W 33-7,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,205,51.25,0
90,2017,2017-11-19,10,27.284,LAR,@,MIN,L 7-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,6,254,42.33,0
91,2017,2017-11-26,11,27.291,LAR,,NOR,W 26-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,3,138,46.00,0
92,2017,2017-12-03,12,27.298,LAR,@,ARI,W 32-16,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,4,207,51.75,0
93,2017,2017-12-10,13,27.305,LAR,,PHI,L 35-43,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,282,56.40,0
94,2017,2017-12-17,14,27.312,LAR,@,SEA,W 42-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,5,213,42.60,0
95,2017,2017-12-24,15,27.319,LAR,@,TEN,W 27-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,4,200,50.00,0
96,2017,2017-12-31,16,27.326,LAR,,SFO,L 13-34,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,7,341,48.71,0
97,2018,2018-09-10,1,28.214,LAR,@,OAK,W 33-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,2,117,58.50,0
98,2018,2018-09-16,2,28.220,LAR,,ARI,W 34-0,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,2,102,51.00,0
99,2018,2018-09-23,3,28.227,LAR,,LAC,W 35-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0.0,0,0,1,49,49.00,0
100,2018,2018-09-27,4,28.231,LAR,,MIN,W 38-31,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,0.0,0,0,2,71,35.50,0
