ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
32,2016,2016-10-23,6,24.103,KAN,,NOR,W 27-21,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
33,2016,2016-10-30,7,24.110,KAN,@,IND,W 30-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
34,2016,2016-11-06,8,24.117,KAN,,JAX,W 19-14,,8,3,42,14.00,1,37.5%,5.25,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
35,2016,2016-11-13,9,24.124,KAN,@,CAR,W 20-17,*,7,4,25,6.25,0,57.1%,3.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
36,2016,2016-11-20,10,24.131,KAN,,TAM,L 17-19,*,4,4,19,4.75,1,100.0%,4.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
37,2016,2016-11-27,11,24.138,KAN,@,DEN,W 30-27,,6,2,6,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
38,2016,2016-12-04,12,24.145,KAN,@,ATL,W 29-28,*,4,4,48,12.00,0,100.0%,12.00,1,55,55.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
39,2016,2016-12-08,13,24.149,KAN,,OAK,W 21-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
40,2016,2016-12-18,14,24.159,KAN,,TEN,L 17-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,0,0,0.0,0,0
41,2016,2016-12-25,15,24.166,KAN,,DEN,W 33-10,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
42,2016,2017-01-01,16,24.173,KAN,@,SDG,W 37-27,,1,1,42,42.00,0,100.0%,42.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
43,2017,2017-09-07,1,25.057,KAN,@,NWE,W 42-27,,5,5,37,7.40,0,100.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
44,2017,2017-09-17,2,25.067,KAN,,PHI,W 27-20,,3,2,22,11.00,0,66.7%,7.33,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
45,2017,2017-09-24,3,25.074,KAN,@,LAC,W 24-10,,4,3,18,6.00,1,75.0%,4.50,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
46,2017,2017-10-02,4,25.082,KAN,,WAS,W 29-20,*,4,4,63,15.75,0,100.0%,15.75,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
47,2017,2017-10-08,5,25.088,KAN,@,HOU,W 42-34,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
48,2017,2017-10-19,7,25.099,KAN,@,OAK,L 30-31,,2,1,63,63.00,1,50.0%,31.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
49,2017,2017-10-30,8,25.110,KAN,,DEN,W 29-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
50,2017,2017-11-26,11,25.137,KAN,,BUF,L 10-16,*,7,3,36,12.00,1,42.9%,5.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
51,2017,2017-12-03,12,25.144,KAN,@,NYJ,L 31-38,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
52,2017,2017-12-10,13,25.151,KAN,,OAK,W 26-15,*,7,5,72,14.40,0,71.4%,10.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
53,2017,2017-12-16,14,25.157,KAN,,LAC,W 30-13,*,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
54,2017,2017-12-24,15,25.165,KAN,,MIA,W 29-13,*,8,3,36,12.00,0,37.5%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
55,2017,2017-12-31,16,25.172,KAN,@,DEN,W 27-24,,11,10,147,14.70,0,90.9%,13.36,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,0.0,0,0
56,2018,2018-09-09,1,26.059,MIA,,TEN,W 27-20,,4,3,31,10.33,0,75.0%,7.75,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
57,2018,2018-09-16,2,26.066,MIA,@,NYJ,W 20-12,,5,3,37,12.33,1,60.0%,7.40,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0
58,2018,2018-09-23,3,26.073,MIA,,OAK,W 28-20,,2,2,74,37.00,1,100.0%,37.00,0,0,,0,1,1,100.00,52,1,0,158.3,0,0,52.00,72.00,0,0,,0,1,6,0.0,0,0
