ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
18,2013,2013-09-15,2,22.131,NYG,,DEN,L 23-41,,9,3,14,4.67,0,33.3%,1.56,2,13,6.50,0,0,0,0.0,0,0
19,2013,2013-09-22,3,22.138,NYG,@,CAR,L 0-38,,4,2,40,20.00,0,50.0%,10.00,1,0,0.00,0,0,0,0.0,0,0
20,2013,2013-09-29,4,22.145,NYG,@,KAN,L 7-31,*,4,1,7,7.00,0,25.0%,1.75,4,35,8.75,0,0,0,0.0,0,0
21,2013,2013-10-06,5,22.152,NYG,,PHI,L 21-36,,13,6,96,16.00,2,46.2%,7.38,1,8,8.00,0,2,12,0.0,0,0
22,2013,2013-10-10,6,22.156,NYG,@,CHI,L 21-27,,5,3,75,25.00,1,60.0%,15.00,0,0,,0,1,6,0.0,0,0
23,2013,2013-10-21,7,22.167,NYG,,MIN,W 23-7,,3,3,40,13.33,1,100.0%,13.33,3,25,8.33,0,1,6,0.0,0,0
24,2013,2013-10-27,8,22.173,NYG,@,PHI,W 15-7,,1,0,0,,0,0.0%,0.00,2,9,4.50,0,0,0,0.0,0,0
25,2013,2013-11-10,9,22.187,NYG,,OAK,W 24-20,,3,3,50,16.67,1,100.0%,16.67,3,30,10.00,0,1,6,0.0,0,0
26,2013,2013-11-17,10,22.194,NYG,,GNB,W 27-13,,3,3,37,12.33,1,100.0%,12.33,1,32,32.00,0,1,6,0.0,1,0
27,2013,2013-11-24,11,22.201,NYG,,DAL,L 21-24,*,7,3,64,21.33,0,42.9%,9.14,1,16,16.00,0,0,0,0.0,0,0
28,2013,2013-12-01,12,22.208,NYG,@,WAS,W 24-17,,4,3,20,6.67,0,75.0%,5.00,3,22,7.33,0,0,0,0.0,0,0
29,2013,2013-12-08,13,22.215,NYG,@,SDG,L 14-37,,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,0.0,0,0
30,2013,2013-12-15,14,22.222,NYG,,SEA,L 0-23,,2,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,0.0,0,0
31,2013,2013-12-22,15,22.229,NYG,@,DET,W 23-20,*,9,4,40,10.00,0,44.4%,4.44,3,23,7.67,0,0,0,0.0,0,0
32,2013,2013-12-29,16,22.236,NYG,,WAS,W 20-6,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
33,2014,2014-09-08,1,23.124,NYG,@,DET,L 14-35,*,3,2,1,0.50,0,66.7%,0.33,0,0,,0,0,0,0.0,1,0
34,2014,2014-09-14,2,23.130,NYG,,ARI,L 14-25,*,7,4,39,9.75,1,57.1%,5.57,0,0,,0,1,6,0.0,0,0
35,2014,2014-09-21,3,23.137,NYG,,HOU,W 30-17,*,10,5,27,5.40,0,50.0%,2.70,0,0,,0,0,0,0.0,0,0
36,2014,2014-09-25,4,23.141,NYG,@,WAS,W 45-14,*,10,8,89,11.13,0,80.0%,8.90,0,0,,0,0,0,0.0,0,0
37,2014,2014-10-05,5,23.151,NYG,,ATL,W 30-20,*,10,4,33,8.25,1,40.0%,3.30,0,0,,0,1,6,0.0,0,0
38,2014,2014-10-12,6,23.158,NYG,@,PHI,L 0-27,*,9,5,58,11.60,0,55.6%,6.44,0,0,,0,0,0,0.0,0,0
39,2014,2014-10-19,7,23.165,NYG,@,DAL,L 21-31,*,9,6,74,12.33,0,66.7%,8.22,0,0,,0,0,0,0.0,0,0
40,2014,2014-11-03,8,23.180,NYG,,IND,L 24-40,*,11,4,49,12.25,0,36.4%,4.45,0,0,,0,0,0,0.0,0,0
41,2014,2014-11-09,9,23.186,NYG,@,SEA,L 17-38,*,10,5,39,7.80,0,50.0%,3.90,0,0,,0,0,0,0.0,0,0
42,2014,2014-11-16,10,23.193,NYG,,SFO,L 10-16,*,15,7,112,16.00,0,46.7%,7.47,0,0,,0,0,0,0.0,1,0
43,2014,2014-11-23,11,23.200,NYG,,DAL,L 28-31,*,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0
44,2014,2014-11-30,12,23.207,NYG,@,JAX,L 24-25,,4,3,52,17.33,0,75.0%,13.00,0,0,,0,0,0,0.0,0,0
45,2014,2014-12-07,13,23.214,NYG,@,TEN,W 36-7,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,0.0,0,0
46,2014,2014-12-14,14,23.221,NYG,,WAS,W 24-13,,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,0.0,0,0
47,2014,2014-12-21,15,23.228,NYG,@,STL,W 37-27,*,6,6,132,22.00,1,100.0%,22.00,0,0,,0,1,6,0.0,0,0
48,2014,2014-12-28,16,23.235,NYG,,PHI,L 26-34,*,13,6,158,26.33,0,46.2%,12.15,0,0,,0,0,0,0.0,0,0
49,2015,2015-09-13,1,24.129,NYG,@,DAL,L 26-27,*,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,0.0,0,0
50,2015,2015-09-20,2,24.136,NYG,,ATL,L 20-24,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0
51,2015,2015-09-24,3,24.140,NYG,,WAS,W 32-21,*,7,7,116,16.57,1,100.0%,16.57,0,0,,0,1,6,0.0,0,0
52,2015,2015-10-04,4,24.150,NYG,@,BUF,W 24-10,*,6,3,31,10.33,1,50.0%,5.17,0,0,,0,1,6,0.0,0,0
53,2015,2015-10-11,5,24.157,NYG,,SFO,W 30-27,*,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,0.0,0,0
54,2015,2015-10-19,6,24.165,NYG,@,PHI,L 7-27,*,6,5,44,8.80,0,83.3%,7.33,0,0,,0,0,0,0.0,0,0
55,2015,2015-10-25,7,24.171,NYG,,DAL,W 27-20,*,5,2,68,34.00,0,40.0%,13.60,0,0,,0,0,0,0.0,0,0
56,2015,2015-11-01,8,24.178,NYG,@,NOR,L 49-52,*,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,0.0,0,0
57,2015,2015-11-08,9,24.185,NYG,@,TAM,W 32-18,*,5,5,40,8.00,1,100.0%,8.00,0,0,,0,1,6,0.0,0,0
58,2015,2015-11-15,10,24.192,NYG,,NWE,L 26-27,*,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,0.0,0,0
59,2015,2015-11-29,11,24.206,NYG,@,WAS,L 14-20,*,6,1,36,36.00,1,16.7%,6.00,0,0,,0,1,6,0.0,0,0
60,2015,2015-12-06,12,24.213,NYG,,NYJ,L 20-23,*,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,0.0,0,0
61,2015,2015-12-14,13,24.221,NYG,@,MIA,W 31-24,*,6,5,58,11.60,1,83.3%,9.67,0,0,,0,1,6,0.0,0,0
62,2015,2015-12-20,14,24.227,NYG,,CAR,L 35-38,*,5,4,47,11.75,1,80.0%,9.40,0,0,,0,1,6,0.0,0,0
63,2015,2015-12-27,15,24.234,NYG,@,MIN,L 17-49,*,5,2,80,40.00,1,40.0%,16.00,0,0,,0,1,6,0.0,0,0
64,2015,2016-01-03,16,24.241,NYG,,PHI,L 30-35,*,7,4,79,19.75,1,57.1%,11.29,0,0,,0,1,6,0.0,0,0
