ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
20,1964,1964-12-06,12,23.260,BUF,@,OAK,L 13-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
21,1964,1964-12-13,13,23.267,BUF,@,DEN,W 30-19,,0,0,,0,0,0,,0,0,,,0,0,,0,4,69,17.25,1,3,75,25.00,0,0,0,,0,1,6
22,1964,1964-12-20,14,23.274,BUF,@,BOS,W 24-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,61,20.33,0,0,0,,0,0,0
23,1965,1965-09-11,1,24.174,BUF,,BOS,W 24-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,31,31.00,0,0,0
24,1965,1965-09-19,2,24.182,BUF,@,DEN,W 30-15,,0,0,,0,0,0,,0,0,,,0,0,,0,1,17,17.00,0,0,0,,0,2,8,4.00,0,0,0
25,1965,1965-09-26,3,24.189,BUF,,NYJ,W 33-21,,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,0,0,,0,0,0,,0,0,0
26,1965,1965-10-03,4,24.196,BUF,,OAK,W 17-12,,0,0,,0,0,0,,0,0,,,0,0,,0,3,64,21.33,0,0,0,,0,1,33,33.00,0,0,0
27,1965,1965-10-10,5,24.203,BUF,,SDG,L 3-34,,0,0,,0,0,0,,0,0,,,0,0,,0,4,44,11.00,0,3,61,20.33,0,0,0,,0,0,0
28,1965,1965-10-17,6,24.210,BUF,@,KAN,W 23-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,,0,1,7,7.00,0,0,0
29,1965,1965-10-31,8,24.224,BUF,,HOU,L 17-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,17,17.00,0,4,35,8.75,0,0,0
30,1965,1965-12-05,12,24.259,BUF,@,HOU,W 29-18,,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,,0,0,0,,0,0,0
31,1965,1965-12-12,13,24.266,BUF,,KAN,W 34-25,,0,0,,0,0,0,,0,0,,,0,0,,0,5,83,16.60,1,1,19,19.00,0,0,0,,0,1,6
32,1965,1965-12-19,14,24.273,BUF,@,NYJ,L 12-14,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,0,0,,0,2,13,6.50,0,0,0
33,1966,1966-09-04,1,25.167,BUF,@,SDG,L 7-27,,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0,,0,2,43,21.50,0,1,0,0.00,0,0,0
34,1966,1966-09-11,2,25.174,BUF,,KAN,L 20-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,21,21.00,0,1,73,73.00,1,1,6
35,1966,1966-09-18,3,25.181,BUF,,MIA,W 58-24,,0,0,,0,0,0,,0,0,,,0,0,,0,1,32,32.00,0,1,0,0.00,0,2,24,12.00,0,0,0
36,1966,1966-09-25,4,25.188,BUF,,HOU,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,2,6,3.00,0,0,0
37,1966,1966-10-02,5,25.195,BUF,@,KAN,W 29-14,,0,0,,0,0,0,,0,0,,,0,0,,0,1,24,24.00,1,0,0,,0,2,20,10.00,0,1,6
38,1966,1966-10-16,7,25.209,BUF,,SDG,T 17-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,25,25.00,0,2,33,16.50,0,0,0
39,1966,1966-11-06,9,25.230,BUF,@,MIA,W 29-0,,0,0,,0,0,0,,0,0,,,0,0,,0,1,19,19.00,0,0,0,,0,0,0,,0,0,0
40,1966,1966-11-13,10,25.237,BUF,,NYJ,W 14-3,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,2,9,4.50,0,0,0
41,1966,1966-11-20,11,25.244,BUF,@,HOU,W 42-20,,0,0,,0,0,0,,0,0,,,0,0,,0,2,60,30.00,0,0,0,,0,3,14,4.67,0,0,0
42,1966,1966-11-24,12,25.248,BUF,@,OAK,W 31-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,32,32.00,0,2,9,4.50,0,0,0
43,1966,1966-12-04,13,25.258,BUF,@,BOS,L 3-14,,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,0,0,,0,0,0,,0,0,0
44,1966,1966-12-18,14,25.272,BUF,,DEN,W 38-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,21,21.00,0,0,0
45,1967,1967-09-10,1,26.173,BUF,,NYJ,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,49,24.50,0,0,0,,0,0,0
46,1967,1967-09-17,2,26.180,BUF,,HOU,L 3-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,22,22.00,0,2,7,3.50,0,0,0
47,1967,1967-10-01,4,26.194,BUF,,SDG,L 17-37,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
48,1967,1967-10-08,5,26.201,BUF,@,DEN,W 17-16,,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,0,0,,0,3,-2,-0.67,0,0,0
49,1967,1967-10-15,6,26.208,BUF,,OAK,L 20-24,,0,0,,0,0,0,,0,0,,,0,0,,0,2,14,7.00,0,0,0,,0,3,15,5.00,0,0,0
50,1967,1967-11-05,8,26.229,BUF,,MIA,W 35-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,2,9,4.50,0,0,0
51,1967,1967-11-12,9,26.236,BUF,@,NYJ,L 10-20,,0,0,,0,0,0,,0,0,,,0,0,,0,2,26,13.00,0,0,0,,0,2,-3,-1.50,0,0,0
52,1967,1967-11-19,10,26.243,BUF,,DEN,L 20-21,,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,,0,2,12,6.00,0,0,0
53,1967,1967-12-03,12,26.257,BUF,@,KAN,L 13-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0
54,1968,1968-09-15,2,27.178,BUF,,OAK,L 6-48,,0,0,,0,0,0,,0,0,,,0,0,,0,1,27,27.00,0,0,0,,0,0,0,,0,0,0
55,1968,1968-09-22,3,27.185,BUF,@,CIN,L 23-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0
56,1968,1968-09-29,4,27.192,BUF,,NYJ,W 37-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0
57,1968,1968-10-12,6,27.205,BUF,@,MIA,T 14-14,,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,,0,0,0,,0,2,8,4.00,0,0,0
58,1968,1968-10-20,7,27.213,BUF,@,BOS,L 6-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,15,15.00,0,3,15,5.00,0,0,0
59,1968,1968-10-27,8,27.220,BUF,,HOU,L 7-30,,0,4,0.00,0,0,1,0.0,0,0,0.00,-11.25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
60,1968,1968-11-10,10,27.234,BUF,,MIA,L 17-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,2,-7,-3.50,0,0,0
61,1968,1968-11-17,11,27.241,BUF,,SDG,L 6-21,,7,15,46.67,35,0,1,25.7,0,0,2.33,-0.67,4,24,6.00,0,0,0,,0,1,14,14.00,0,1,7,7.00,0,0,0
62,1968,1968-11-24,12,27.248,BUF,@,DEN,L 32-34,*,17,38,44.74,161,0,2,35.1,0,0,4.24,1.87,5,48,9.60,1,0,0,,0,0,0,,0,0,0,,0,1,6
63,1968,1968-11-28,13,27.252,BUF,@,OAK,L 10-13,*,10,25,40.00,160,0,2,28.7,0,0,6.40,2.80,5,39,7.80,0,0,0,,0,0,0,,0,0,0,,0,0,0
64,1968,1968-12-07,14,27.261,BUF,@,HOU,L 6-35,*,7,18,38.89,24,0,0,47.0,0,0,1.33,1.33,5,-20,-4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
