ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
26,2001,2001-11-25,10,23.184,CHI,@,MIN,W 13-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
27,2001,2001-12-02,11,23.191,CHI,,DET,W 13-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,1.0,,,0,0,0
28,2001,2001-12-09,12,23.198,CHI,@,GNB,L 7-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,1.0,,,1,41,0
29,2001,2001-12-16,13,23.205,CHI,,TAM,W 27-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
30,2001,2001-12-23,14,23.212,CHI,@,WAS,W 20-15,*,1,1,27,27.00,1,100.0%,27.00,0,0,,0,0,0,,,,,,1,6,0.0,,,0,0,0
31,2001,2001-12-30,15,23.219,CHI,@,DET,W 24-0,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
32,2001,2002-01-06,16,23.226,CHI,,JAX,W 33-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,1.0,,,0,0,0
33,2002,2002-09-08,1,24.106,CHI,,MIN,W 27-23,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
34,2002,2002-09-15,2,24.113,CHI,@,ATL,W 14-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,2.0,,,0,0,0
35,2002,2002-09-22,3,24.120,CHI,,NOR,L 23-29,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
36,2002,2002-09-29,4,24.127,CHI,@,BUF,L 27-33,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
37,2002,2002-10-07,5,24.135,CHI,,GNB,L 21-34,*,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0.0,,,0,0,0
38,2002,2002-10-20,6,24.148,CHI,@,DET,L 20-23,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
39,2002,2002-10-27,7,24.155,CHI,@,MIN,L 7-25,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
40,2002,2002-11-03,8,24.162,CHI,,PHI,L 13-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,1.0,,,0,0,0
41,2002,2002-11-10,9,24.169,CHI,,NWE,L 30-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,0.0,,,1,0,0
42,2002,2002-11-18,10,24.177,CHI,@,STL,L 16-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,1.0,,,0,0,0
43,2002,2002-11-24,11,24.183,CHI,,DET,W 20-17,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
44,2002,2002-12-01,12,24.190,CHI,@,GNB,L 20-30,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
45,2002,2002-12-09,13,24.198,CHI,@,MIA,L 9-27,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
46,2002,2002-12-15,14,24.204,CHI,,NYJ,W 20-13,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
47,2002,2002-12-22,15,24.211,CHI,@,CAR,L 14-24,*,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,
48,2002,2002-12-29,16,24.218,CHI,,TAM,L 0-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,0.5,,,0,0,0
49,2003,2003-09-07,1,25.105,CHI,@,SFO,L 7-49,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
50,2003,2003-09-14,2,25.112,CHI,@,MIN,L 13-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.5,,,0,0,0
51,2003,2003-09-29,3,25.127,CHI,,GNB,L 23-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
52,2003,2003-10-05,4,25.133,CHI,,OAK,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
53,2003,2003-10-12,5,25.140,CHI,@,NOR,L 13-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
54,2003,2003-10-19,6,25.147,CHI,@,SEA,L 17-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
55,2003,2003-10-26,7,25.154,CHI,,DET,W 24-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
56,2003,2003-11-02,8,25.161,CHI,,SDG,W 20-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
57,2003,2003-11-09,9,25.168,CHI,@,DET,L 10-12,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
58,2003,2003-11-16,10,25.175,CHI,,STL,L 21-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
59,2003,2003-11-23,11,25.182,CHI,@,DEN,W 19-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
60,2003,2003-11-30,12,25.189,CHI,,ARI,W 28-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
61,2003,2003-12-07,13,25.196,CHI,@,GNB,L 21-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
62,2003,2003-12-14,14,25.203,CHI,,MIN,W 13-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
63,2003,2003-12-21,15,25.210,CHI,,WAS,W 27-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
64,2003,2003-12-28,16,25.217,CHI,@,KAN,L 3-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
65,2004,2004-09-12,1,26.110,CHI,,DET,L 16-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
66,2004,2004-09-19,2,26.117,CHI,@,GNB,W 21-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
67,2004,2004-10-17,5,26.145,CHI,,WAS,L 10-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
68,2004,2004-10-24,6,26.152,CHI,@,TAM,L 7-19,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
69,2004,2004-10-31,7,26.159,CHI,,SFO,W 23-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,2.0,,,0,0,0
70,2004,2004-11-07,8,26.166,CHI,@,NYG,W 28-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
71,2004,2004-11-14,9,26.173,CHI,@,TEN,W 19-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
72,2004,2004-12-05,12,26.194,CHI,,MIN,W 24-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.5,,,1,42,0
73,2004,2004-12-12,13,26.201,CHI,@,JAX,L 3-22,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
74,2005,2005-09-11,1,27.109,CHI,@,WAS,L 7-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
75,2005,2005-09-18,2,27.116,CHI,,DET,W 38-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,2.0,,,0,0,0
76,2005,2005-09-25,3,27.123,CHI,,CIN,L 7-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
77,2005,2005-10-09,4,27.137,CHI,@,CLE,L 10-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
78,2005,2005-10-16,5,27.144,CHI,,MIN,W 28-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,2.0,,,0,0,0
79,2005,2005-10-23,6,27.151,CHI,,BAL,W 10-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
80,2005,2005-10-30,7,27.158,CHI,@,DET,W 19-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
81,2005,2005-11-06,8,27.165,CHI,@,NOR,W 20-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
82,2005,2005-11-13,9,27.172,CHI,,SFO,W 17-9,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
83,2005,2005-11-20,10,27.179,CHI,,CAR,W 13-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
84,2005,2005-11-27,11,27.186,CHI,@,TAM,W 13-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
85,2005,2005-12-04,12,27.193,CHI,,GNB,W 19-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
86,2005,2005-12-11,13,27.200,CHI,@,PIT,L 9-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
87,2005,2005-12-18,14,27.207,CHI,,ATL,W 16-3,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
88,2005,2005-12-25,15,27.214,CHI,@,GNB,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
89,2005,2006-01-01,16,27.221,CHI,@,MIN,L 10-34,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
90,2006,2006-09-10,1,28.108,CHI,@,GNB,W 26-0,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
91,2006,2006-09-17,2,28.115,CHI,,DET,W 34-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
92,2006,2006-09-24,3,28.122,CHI,@,MIN,W 19-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
93,2006,2006-10-01,4,28.129,CHI,,SEA,W 37-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
94,2006,2006-10-08,5,28.136,CHI,,BUF,W 40-7,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
95,2006,2006-10-16,6,28.144,CHI,@,ARI,W 24-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
96,2006,2006-10-29,7,28.157,CHI,,SFO,W 41-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,0,0
97,2006,2006-11-05,8,28.164,CHI,,MIA,L 13-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
98,2006,2006-11-12,9,28.171,CHI,@,NYG,W 38-20,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
99,2006,2006-11-19,10,28.178,CHI,@,NYJ,W 10-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,36,0
100,2006,2006-11-26,11,28.185,CHI,@,NWE,L 13-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
101,2006,2006-12-03,12,28.192,CHI,,MIN,W 23-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,2,0
102,2006,2006-12-11,13,28.200,CHI,@,STL,W 42-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
103,2006,2006-12-17,14,28.206,CHI,,TAM,W 34-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
104,2006,2006-12-24,15,28.213,CHI,@,DET,W 26-21,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
105,2006,2006-12-31,16,28.220,CHI,,GNB,L 7-26,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
106,2007,2007-09-09,1,29.107,CHI,@,SDG,L 3-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
107,2007,2007-09-16,2,29.114,CHI,,KAN,W 20-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,,,0,0,0
108,2007,2007-09-23,3,29.121,CHI,,DAL,L 10-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,2.0,,,0,0,0
109,2007,2007-09-30,4,29.128,CHI,@,DET,L 27-37,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
110,2007,2007-10-07,5,29.135,CHI,@,GNB,W 27-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,0,0
111,2007,2007-10-14,6,29.142,CHI,,MIN,L 31-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
112,2007,2007-10-21,7,29.149,CHI,@,PHI,W 19-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
113,2007,2007-10-28,8,29.156,CHI,,DET,L 7-16,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
114,2007,2007-11-11,9,29.170,CHI,@,OAK,W 17-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
115,2007,2007-11-18,10,29.177,CHI,@,SEA,L 23-30,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
116,2007,2007-11-25,11,29.184,CHI,,DEN,W 37-34,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
117,2007,2007-12-02,12,29.191,CHI,,NYG,L 16-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,1,0
118,2007,2007-12-06,13,29.195,CHI,@,WAS,L 16-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,
119,2007,2007-12-17,14,29.206,CHI,@,MIN,L 13-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,2.0,,,1,12,0
120,2007,2007-12-23,15,29.212,CHI,,GNB,W 35-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,6,0.0,,,1,85,1
121,2007,2007-12-30,16,29.219,CHI,,NOR,W 33-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,,,1,3,0
122,2008,2008-09-07,1,30.105,CHI,@,IND,W 29-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,0,0,0,0
123,2008,2008-09-14,2,30.112,CHI,@,CAR,L 17-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,0,0,0
124,2008,2008-09-21,3,30.119,CHI,,TAM,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,0,0,0
125,2008,2008-09-28,4,30.126,CHI,,PHI,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,0,0,0,0
126,2008,2008-10-05,5,30.133,CHI,@,DET,W 34-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,0,0,0
127,2008,2008-10-12,6,30.140,CHI,@,ATL,L 20-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,0,0,0
128,2008,2008-10-19,7,30.147,CHI,,MIN,W 48-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,1,0,0,0
129,2008,2008-11-02,8,30.161,CHI,,DET,W 27-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,0,0,0
130,2008,2008-11-09,9,30.168,CHI,,TEN,L 14-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,0,0,0
131,2008,2008-11-16,10,30.175,CHI,@,GNB,L 3-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,1,1,0,0
132,2008,2008-11-23,11,30.182,CHI,@,STL,W 27-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,1,11,0
133,2008,2008-11-30,12,30.189,CHI,@,MIN,L 14-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,0,0,0
134,2008,2008-12-07,13,30.196,CHI,,JAX,W 23-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,3,0,0,0
135,2008,2008-12-11,14,30.200,CHI,,NOR,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,3,0,0,0
136,2008,2008-12-22,15,30.211,CHI,,GNB,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,0,0,0
137,2008,2008-12-28,16,30.217,CHI,@,HOU,L 24-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,0,0,0
138,2009,2009-09-13,1,31.111,CHI,@,GNB,L 15-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,0,0,0
139,2010,2010-09-12,1,32.110,CHI,,DET,W 19-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,8,0,0,0,0
140,2010,2010-09-19,2,32.117,CHI,@,DAL,W 27-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,2,0,0,0
141,2010,2010-09-27,3,32.125,CHI,,GNB,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,9,0,0,0,0
142,2010,2010-10-03,4,32.131,CHI,@,NYG,L 3-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,1,0,0,0
143,2010,2010-10-10,5,32.138,CHI,@,CAR,W 23-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,2,1,0,0
144,2010,2010-10-17,6,32.145,CHI,,SEA,L 20-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,2,0,0,0
145,2010,2010-10-24,7,32.152,CHI,,WAS,L 14-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2,0,0,0
146,2010,2010-11-07,8,32.166,CHI,@,BUF,W 22-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,3,0,0,0
147,2010,2010-11-14,9,32.173,CHI,,MIN,W 27-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,0,0,0,0
148,2010,2010-11-18,10,32.177,CHI,@,MIA,W 16-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,4,1,0,0,0
149,2010,2010-11-28,11,32.187,CHI,,PHI,W 31-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,9,1,0,0,0
150,2010,2010-12-05,12,32.194,CHI,@,DET,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,10,7,0,0,0
151,2010,2010-12-12,13,32.201,CHI,,NWE,L 7-36,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,1.0,9,2,0,0,0
152,2010,2010-12-20,14,32.209,CHI,@,MIN,W 40-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,1,0,0,0
153,2010,2010-12-26,15,32.215,CHI,,NYJ,W 38-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,2,0,0,0
154,2010,2011-01-02,16,32.222,CHI,@,GNB,L 3-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.5,3,2,0,0,0
155,2011,2011-09-11,1,33.109,CHI,,ATL,W 30-12,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,1,6,0.0,8,0,1,-1,0
156,2011,2011-09-18,2,33.116,CHI,@,NOR,L 13-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,0,0,0
157,2011,2011-09-25,3,33.123,CHI,,GNB,L 17-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,1,1,0,0
158,2011,2011-10-02,4,33.130,CHI,,CAR,W 34-29,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,0,0,0,0
159,2011,2011-10-10,5,33.138,CHI,@,DET,L 13-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,1,0,0,0
160,2011,2011-10-16,6,33.144,CHI,,MIN,W 39-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,0,0,0,0
161,2011,2011-10-23,7,33.151,CHI,@,TAM,W 24-18,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,2,1,8,0
162,2011,2011-11-07,8,33.166,CHI,@,PHI,W 30-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,10,1,0,0,0
163,2011,2011-11-13,9,33.172,CHI,,DET,W 37-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,8,1,0,0,0
164,2011,2011-11-20,10,33.179,CHI,,SDG,W 31-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,3,0,0,0
165,2011,2011-11-27,11,33.186,CHI,@,OAK,L 20-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,0,0,0,0
166,2011,2011-12-04,12,33.193,CHI,,KAN,L 3-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,0,0,0
167,2011,2011-12-11,13,33.200,CHI,@,DEN,L 10-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,10,1,0,0,0
168,2011,2011-12-18,14,33.207,CHI,,SEA,L 14-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,0,0,0,0
169,2011,2011-12-25,15,33.214,CHI,@,GNB,L 21-35,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,0,0,0,0
170,2011,2012-01-01,16,33.221,CHI,@,MIN,W 17-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,7,3,0,0,0
171,2012,2012-09-09,1,34.107,CHI,,IND,W 41-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,1,1,0,0,0
172,2012,2012-09-13,2,34.111,CHI,@,GNB,L 10-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,5,3,0,0,0
173,2012,2012-09-23,3,34.121,CHI,,STL,W 23-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,3,1,0,0,0
174,2012,2012-10-01,4,34.129,CHI,@,DAL,W 34-18,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,4,0,0,0,0
175,2012,2012-10-07,5,34.135,CHI,@,JAX,W 41-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,2,0,0,0,0
176,2012,2012-10-22,6,34.150,CHI,,DET,W 13-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,0.0,6,1,0,0,0
